# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.058685302734375,0.00244,0.00009,0.00056,0.00000,0.00000,0.00130,0.00438
1413393890.106826305389404,0.00272,0.00011,0.00174,0.00000,0.00305,0.00124,0.00887
1413393890.156696796417236,0.00252,0.00014,0.00003,0.00077,0.00000,0.00122,0.00469
1413393890.206190109252930,0.00280,0.00014,0.00032,0.00076,0.00000,0.00128,0.00530
1413393890.256216526031494,0.00282,0.00012,0.00023,0.00080,0.00011,0.00131,0.00538
1413393890.306569814682007,0.00240,0.00014,0.00043,0.00086,0.00000,0.00130,0.00514
1413393890.356837987899780,0.00232,0.00014,0.00004,0.00091,0.00000,0.00132,0.00473
1413393890.406928777694702,0.00229,0.00015,0.00057,0.00095,0.00000,0.00142,0.00538
1413393890.457138538360596,0.00221,0.00012,0.00054,0.00090,0.00166,0.00134,0.00676
1413393890.507037878036499,0.00236,0.00015,0.00026,0.00110,0.00012,0.00137,0.00537
1413393890.556704044342041,0.00267,0.00015,0.00037,0.00115,0.00696,0.00138,0.01269
1413393890.606925964355469,0.00286,0.00016,0.00023,0.00216,0.00659,0.00139,0.01338
1413393890.657685518264771,0.00251,0.00016,0.00010,0.00254,0.00136,0.00156,0.00823
1413393890.708417892456055,0.00278,0.00020,0.00390,0.00294,0.01003,0.00157,0.02143
1413393890.758576154708862,0.00232,0.00020,0.00187,0.00434,0.00118,0.00137,0.01128
1413393890.808541059494019,0.00260,0.00031,0.00093,0.00470,0.00116,0.00137,0.01107
1413393890.858446836471558,0.00263,0.00020,0.00288,0.00484,0.00000,0.00150,0.01204
1413393890.908242702484131,0.00266,0.00020,0.00006,0.00517,0.00000,0.00144,0.00952
1413393890.958121061325073,0.00242,0.00020,0.00402,0.00488,0.00000,0.00141,0.01294
1413393891.008124589920044,0.00260,0.00020,0.00011,0.00632,0.00000,0.00145,0.01068
1413393891.058132648468018,0.00265,0.00020,0.00348,0.00490,0.00000,0.00143,0.01266
1413393891.108197927474976,0.00242,0.00018,0.00080,0.00466,0.00000,0.00142,0.00947
1413393891.158282995223999,0.00227,0.00019,0.00263,0.00443,0.00001,0.00150,0.01103
1413393891.208337783813477,0.00215,0.00019,0.00113,0.00458,0.00019,0.00153,0.00977
1413393891.258388996124268,0.00210,0.00020,0.00004,0.00446,0.00076,0.00148,0.00904
1413393891.308345079421997,0.00203,0.00019,0.00419,0.00498,0.00018,0.00144,0.01302
1413393891.358116865158081,0.00265,0.00019,0.00212,0.00437,0.00000,0.00133,0.01066
1413393891.408013105392456,0.00263,0.00019,0.00115,0.00358,0.00000,0.00141,0.00898
1413393891.458010911941528,0.00430,0.00030,0.00101,0.00542,0.00316,0.00173,0.01591
1413393891.507903575897217,0.00459,0.00034,0.00120,0.00291,0.00021,0.00132,0.01057
1413393891.557685852050781,0.00292,0.00016,0.00016,0.00290,0.00197,0.00137,0.00949
1413393891.607384204864502,0.00223,0.00020,0.00009,0.00310,0.00106,0.00134,0.00802
1413393891.656945466995239,0.00218,0.00015,0.00010,0.00280,0.00487,0.00137,0.01147
1413393891.706793308258057,0.00214,0.00018,0.00004,0.00302,0.00000,0.00144,0.00683
1413393891.756609201431274,0.00221,0.00021,0.00052,0.00254,0.00273,0.00150,0.00972
1413393891.806456089019775,0.00214,0.00022,0.00025,0.00267,0.00148,0.00140,0.00816
1413393891.856363534927368,0.00238,0.00019,0.00011,0.00273,0.00029,0.00139,0.00709
1413393891.906162500381470,0.00241,0.00019,0.00109,0.00255,0.00359,0.00139,0.01121
1413393891.955969810485840,0.00284,0.00021,0.00130,0.00295,0.00164,0.00129,0.01024
1413393892.005890369415283,0.00408,0.00022,0.00458,0.00299,0.00216,0.00135,0.01538
1413393892.055908679962158,0.00277,0.00017,0.00012,0.00346,0.00106,0.00126,0.00884
1413393892.106069803237915,0.00306,0.00018,0.00372,0.00338,0.00561,0.00132,0.01727
1413393892.156086444854736,0.00295,0.00019,0.00035,0.00388,0.00192,0.00130,0.01059
1413393892.206086635589600,0.00283,0.00037,0.00045,0.00382,0.00002,0.00149,0.00899
1413393892.256088018417358,0.00328,0.00017,0.00024,0.00365,0.00002,0.00128,0.00865
1413393892.306080102920532,0.00344,0.00016,0.00068,0.00347,0.00014,0.00143,0.00932
1413393892.356069087982178,0.00276,0.00018,0.00090,0.00365,0.00051,0.00140,0.00939
1413393892.406026124954224,0.00287,0.00018,0.00080,0.00343,0.00000,0.00141,0.00870
1413393892.455960988998413,0.00252,0.00015,0.00015,0.00334,0.00000,0.00134,0.00751
1413393892.505942583084106,0.00253,0.00021,0.00033,0.00324,0.00379,0.00134,0.01145
1413393892.555935621261597,0.00312,0.00018,0.00105,0.00339,0.00092,0.00146,0.01012
1413393892.605944395065308,0.00238,0.00018,0.00122,0.00337,0.00211,0.00144,0.01070
1413393892.655947923660278,0.00263,0.00018,0.00087,0.00342,0.00361,0.00130,0.01201
1413393892.705944061279297,0.00317,0.00018,0.00340,0.00369,0.00358,0.00133,0.01534
1413393892.755940914154053,0.00244,0.00019,0.00112,0.00402,0.00000,0.00142,0.00919
1413393892.805932044982910,0.00359,0.00018,0.00081,0.00351,0.00465,0.00135,0.01409
1413393892.855919837951660,0.00261,0.00016,0.00107,0.00378,0.00232,0.00152,0.01146
1413393892.905892133712769,0.00336,0.00019,0.00083,0.00350,0.00109,0.00148,0.01044
1413393892.955882072448730,0.00278,0.00023,0.00272,0.00314,0.00238,0.00150,0.01275
1413393893.005893945693970,0.00280,0.00020,0.00042,0.00296,0.00014,0.00144,0.00796
1413393893.055927753448486,0.00314,0.00020,0.00015,0.00275,0.00001,0.00158,0.00782
1413393893.105930805206299,0.00274,0.00019,0.00059,0.00253,0.00499,0.00151,0.01255
1413393893.155954122543335,0.00268,0.00019,0.00037,0.00321,0.00050,0.00150,0.00846
1413393893.205941677093506,0.00331,0.00016,0.00003,0.00345,0.00110,0.00160,0.00966
1413393893.255885124206543,0.00257,0.00018,0.00487,0.00332,0.00529,0.00153,0.01778
1413393893.305883407592773,0.00264,0.00019,0.00161,0.00423,0.00115,0.00141,0.01123
1413393893.355914592742920,0.00265,0.00017,0.00462,0.00410,0.00057,0.00157,0.01370
1413393893.405927181243896,0.00274,0.00018,0.00064,0.00396,0.00000,0.00158,0.00910
1413393893.455977678298950,0.00326,0.00019,0.01024,0.00408,0.00104,0.00161,0.02041
1413393893.505984544754028,0.00313,0.00021,0.00212,0.00411,0.00030,0.00154,0.01141
1413393893.555980920791626,0.00264,0.00020,0.00157,0.00389,0.00063,0.00153,0.01046
1413393893.605969667434692,0.00403,0.00020,0.00067,0.00368,0.00000,0.00155,0.01012
1413393893.655942916870117,0.00276,0.00019,0.00076,0.00305,0.00073,0.00147,0.00896
1413393893.705924987792969,0.00321,0.00019,0.00099,0.00363,0.00147,0.00141,0.01089
1413393893.755927562713623,0.00320,0.00019,0.00042,0.00372,0.00263,0.00147,0.01163
1413393893.805916786193848,0.00257,0.00020,0.00168,0.00384,0.00000,0.00152,0.00981
1413393893.855923652648926,0.00321,0.00019,0.00537,0.00315,0.00104,0.00139,0.01435
1413393893.905923604965210,0.00255,0.00018,0.00301,0.00262,0.00061,0.00144,0.01041
1413393893.955919027328491,0.00334,0.00017,0.00258,0.00280,0.00341,0.00143,0.01372
1413393894.005921602249146,0.00256,0.00019,0.00093,0.00249,0.00017,0.00141,0.00775
1413393894.055928707122803,0.00318,0.00019,0.00087,0.00246,0.00000,0.00229,0.00899
1413393894.105957269668579,0.00246,0.00019,0.00120,0.00224,0.00147,0.00138,0.00895
1413393894.156000614166260,0.00286,0.00019,0.00068,0.00223,0.00801,0.00140,0.01537
1413393894.206034660339355,0.00243,0.00018,0.00094,0.00276,0.00000,0.00132,0.00763
1413393894.256057500839233,0.00279,0.00019,0.00040,0.00250,0.00031,0.00134,0.00753
1413393894.306079864501953,0.00266,0.00017,0.00091,0.00246,0.00098,0.00143,0.00861
1413393894.356090784072876,0.00268,0.00017,0.00087,0.00198,0.00088,0.00136,0.00795
