# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393890.058768033981323,0,13,0,0,5
1413393890.105232000350952,17,16,0,17,6
1413393890.155164957046509,17,0,17,0,7
1413393890.205007553100586,17,3,17,0,8
1413393890.255202293395996,17,1,17,0,9
1413393890.305619239807129,17,2,17,0,10
1413393890.355843544006348,17,0,17,0,11
1413393890.405921459197998,17,2,16,0,11
1413393890.455676078796387,18,2,15,2,11
1413393890.505682468414307,18,1,17,1,11
1413393890.555362701416016,30,1,18,12,11
1413393890.605355978012085,35,1,26,8,11
1413393890.655339002609253,38,0,35,3,11
1413393890.705298185348511,49,7,38,11,11
1413393890.755212306976318,49,4,49,0,11
1413393890.805346488952637,50,0,49,1,11
1413393890.855436325073242,50,4,50,0,11
1413393890.905646085739136,50,1,50,0,11
1413393890.955862998962402,50,3,50,0,11
1413393891.005937814712524,50,0,50,0,11
1413393891.056009292602539,50,5,49,0,11
1413393891.106137990951538,50,1,48,0,11
1413393891.156169652938843,49,3,48,0,11
1413393891.206238269805908,48,1,47,1,11
1413393891.256280183792114,49,0,47,1,11
1413393891.306546211242676,50,5,48,1,11
1413393891.356843709945679,45,4,43,0,11
1413393891.406911373138428,39,5,37,0,11
1413393891.456871509552002,40,2,36,2,11
1413393891.506746530532837,38,4,34,2,11
1413393891.556685924530029,39,0,35,3,11
1413393891.606661796569824,40,0,38,2,11
1413393891.656628370285034,45,0,40,5,11
1413393891.706620693206787,45,0,44,0,11
1413393891.756572723388672,48,1,44,3,11
1413393891.806555032730103,47,0,46,1,11
1413393891.856546640396118,47,0,46,0,11
1413393891.906534671783447,48,2,42,4,11
1413393891.956496000289917,50,3,44,2,11
1413393892.006493091583252,44,15,39,2,11
1413393892.056467533111572,42,1,38,2,11
1413393892.106439113616943,49,4,39,8,11
1413393892.156317234039307,49,0,42,1,11
1413393892.206154108047485,46,2,44,0,11
1413393892.256025791168213,45,4,43,0,11
1413393892.306013584136963,42,3,41,0,11
1413393892.355995416641235,43,3,42,1,11
1413393892.405930519104004,45,3,40,2,11
1413393892.455850362777710,43,0,39,0,11
1413393892.505782842636108,39,1,36,0,11
1413393892.555766344070435,39,7,34,4,11
1413393892.605793714523315,40,4,38,2,11
1413393892.655815839767456,44,1,39,4,11
1413393892.705863237380981,44,3,39,4,11
1413393892.755936384201050,47,0,42,4,11
1413393892.805953025817871,46,1,42,1,11
1413393892.855984449386597,48,3,43,3,11
1413393892.905969142913818,46,1,46,0,11
1413393892.955935478210449,46,3,42,4,11
1413393893.005928039550781,45,12,41,3,11
1413393893.055919647216797,43,4,42,0,11
1413393893.105922937393188,43,2,42,1,11
1413393893.155936956405640,46,1,42,3,11
1413393893.205906152725220,50,9,44,4,11
1413393893.255906820297241,49,0,46,0,11
1413393893.305891752243042,48,2,47,0,11
1413393893.355883121490479,49,1,47,2,11
1413393893.405877351760864,50,21,47,1,11
1413393893.455867290496826,48,29,47,0,11
1413393893.505848646163940,48,0,44,2,11
1413393893.555831909179688,47,0,45,0,11
1413393893.605801105499268,48,6,39,3,11
1413393893.655778169631958,46,2,39,1,11
1413393893.705764293670654,42,3,40,1,11
1413393893.755764722824097,41,6,41,0,11
1413393893.805766820907593,48,8,39,7,11
1413393893.855766534805298,46,10,44,0,11
1413393893.905778646469116,45,11,41,2,11
1413393893.955770969390869,41,5,36,2,11
1413393894.005759477615356,41,8,31,7,11
1413393894.055741310119629,39,4,35,2,11
1413393894.105725526809692,37,6,34,2,11
1413393894.155720949172974,38,3,35,1,11
1413393894.205708980560303,37,8,33,2,11
1413393894.255690097808838,44,0,30,11,11
1413393894.305685520172119,44,1,37,3,11
1413393894.355680465698242,38,1,32,3,11
1413393894.405676841735840,35,0,34,0,11
1413393894.455670833587646,41,0,33,7,11
1413393894.505671262741089,47,3,38,6,11
1413393894.555674076080322,46,2,45,0,11
1413393894.605669975280762,49,6,43,5,11
1413393894.655665159225464,48,3,47,0,11
1413393894.705662488937378,48,6,46,0,11
1413393894.755661964416504,49,5,46,2,11
1413393894.805660009384155,50,3,46,2,11
1413393894.855663299560547,50,4,46,0,11
1413393894.905665874481201,50,2,44,2,11
1413393894.955665588378906,47,3,42,1,11
1413393895.005666732788086,47,1,41,3,11
1413393895.055666923522949,47,0,43,2,11
1413393895.105661869049072,45,1,42,1,11
1413393895.155655860900879,45,4,43,2,11
1413393895.205655813217163,47,0,44,2,11
1413393895.255655050277710,47,2,42,3,11
1413393895.305654525756836,48,3,43,3,11
1413393895.355658531188965,47,5,44,3,11
1413393895.405662536621094,45,5,44,1,11
1413393895.455665111541748,46,1,43,3,11
1413393895.505662918090820,45,1,43,0,11
1413393895.555661201477051,45,3,38,2,11
1413393895.605666399002075,50,5,40,7,11
1413393895.655675888061523,47,7,44,1,11
1413393895.705685377120972,43,2,40,0,11
1413393895.755689382553101,39,3,34,0,11
1413393895.805693387985229,34,3,30,0,11
1413393895.855695724487305,31,3,25,3,11
1413393895.905697107315063,28,4,24,2,11
1413393895.955694913864136,29,0,23,3,11
1413393896.005693912506104,28,1,24,1,11
1413393896.055694103240967,24,5,23,0,11
1413393896.105695724487305,24,2,20,1,11
1413393896.155698060989380,24,9,18,0,11
1413393896.205697536468506,23,2,18,2,11
1413393896.255703210830688,23,2,19,3,11
1413393896.305711030960083,23,1,20,0,11
1413393896.355719804763794,25,2,20,3,11
1413393896.405727386474609,28,1,23,5,11
1413393896.455717325210571,35,2,27,8,11
1413393896.505720615386963,37,0,32,3,11
1413393896.555720090866089,35,0,31,0,11
1413393896.605720043182373,37,6,27,6,11
1413393896.655725240707397,34,0,27,1,11
1413393896.705726623535156,32,1,28,1,11
1413393896.755725860595703,32,1,28,3,11
1413393896.805727720260620,32,1,30,0,11
1413393896.855720996856689,39,1,27,8,11
1413393896.905732870101929,39,0,35,1,11
1413393896.955745220184326,38,2,35,0,11
1413393897.005751609802246,36,0,32,0,11
1413393897.055741310119629,37,1,33,2,11
1413393897.105732440948486,39,2,31,5,11
1413393897.155723571777344,40,0,33,3,11
1413393897.205724000930786,41,4,34,5,11
1413393897.255710124969482,41,2,35,1,11
1413393897.305679559707642,45,0,35,5,11
1413393897.355670690536499,44,3,39,3,11
1413393897.405648708343506,44,4,42,1,11
1413393897.455667257308960,44,7,36,6,11
1413393897.505675554275513,43,0,40,2,11
1413393897.555698394775391,44,0,40,2,11
1413393897.605705738067627,45,1,42,1,11
1413393897.655711650848389,47,1,43,4,11
1413393897.705708265304565,48,2,45,2,11
1413393897.755709648132324,48,3,47,0,11
1413393897.805741071701050,48,6,45,3,11
1413393897.855746746063232,48,0,47,1,11
1413393897.905750036239624,44,0,44,0,11
1413393897.955786466598511,48,4,43,5,11
