# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403637149.987318277359009,0,8,0,0,5
1403637150.036755084991455,15,14,0,15,6
1403637150.086406707763672,13,29,12,0,7
1403637150.136349201202393,10,1,8,0,8
1403637150.186404228210449,9,2,6,0,9
1403637150.236432313919067,5,10,5,0,10
1403637150.286446809768677,5,7,4,0,11
1403637150.336531877517700,3,4,3,0,11
1403637150.386538743972778,2,10,2,0,11
1403637150.436788082122803,1,7,1,0,11
1403637150.486697196960449,1,7,1,0,11
1403637150.536769390106201,0,5,0,0,11
1403637150.586838245391846,0,2,0,0,11
1403637150.637199163436890,11,7,0,11,11
1403637150.687289953231812,10,4,10,0,11
1403637150.737383842468262,9,0,9,0,11
1403637150.787364482879639,9,2,9,0,11
1403637150.837416410446167,10,2,9,1,11
1403637150.887558698654175,11,6,9,2,11
1403637150.937611579895020,11,2,11,0,11
1403637150.987848281860352,16,2,11,5,11
1403637151.037859439849854,16,2,16,0,11
1403637151.087851047515869,16,2,16,0,11
1403637151.137898445129395,19,2,16,3,11
1403637151.187971115112305,19,1,19,0,11
1403637151.238170146942139,26,1,19,7,11
1403637151.288245439529419,26,1,26,0,11
1403637151.338264703750610,26,2,25,1,11
1403637151.388250112533569,21,0,21,0,11
1403637151.438229322433472,21,1,21,0,11
1403637151.488233804702759,22,1,21,1,11
1403637151.538220405578613,24,0,22,2,11
1403637151.588236570358276,24,2,23,0,11
1403637151.638242483139038,25,0,23,1,11
1403637151.688250780105591,23,3,23,0,11
1403637151.738267660140991,23,1,22,0,11
1403637151.788289308547974,25,0,21,2,11
1403637151.838282823562622,24,1,23,0,11
1403637151.888342142105103,25,0,21,3,11
1403637151.938331604003906,27,0,23,2,11
1403637151.988343000411987,25,0,25,0,11
1403637152.038378953933716,24,0,24,0,11
1403637152.088373661041260,25,0,23,2,11
1403637152.138378381729126,25,0,25,0,11
1403637152.188373088836670,26,0,25,1,11
1403637152.238439559936523,33,0,25,7,11
1403637152.288429021835327,34,0,31,1,11
1403637152.338471412658691,32,0,31,0,11
1403637152.388519525527954,32,0,31,1,11
1403637152.438464403152466,33,0,31,1,11
1403637152.488501310348511,32,0,31,0,11
1403637152.538469791412354,32,1,30,2,11
1403637152.588439941406250,32,0,32,0,11
1403637152.638470649719238,30,0,30,0,11
1403637152.688457250595093,31,0,30,1,11
1403637152.738467216491699,30,0,30,0,11
1403637152.788448333740234,31,0,30,1,11
1403637152.838455677032471,32,0,31,1,11
1403637152.888465166091919,31,0,31,0,11
1403637152.938472509384155,30,1,30,0,11
1403637152.988464117050171,31,0,30,1,11
1403637153.038461446762085,31,0,30,0,11
1403637153.088480234146118,31,0,29,0,11
1403637153.138484001159668,32,0,28,2,11
1403637153.188541173934937,36,0,29,6,11
1403637153.238536834716797,35,0,35,0,11
1403637153.288538694381714,35,0,35,0,11
1403637153.338606357574463,37,0,33,3,11
1403637153.388631820678711,36,0,34,1,11
1403637153.438635349273682,34,0,34,0,11
1403637153.488672494888306,34,0,34,0,11
1403637153.538691759109497,33,0,33,0,11
1403637153.588671445846558,34,0,33,1,11
1403637153.638628005981445,34,0,34,0,11
1403637153.688585519790649,34,0,34,0,11
1403637153.738547801971436,40,1,34,6,11
1403637153.788513183593750,40,0,37,2,11
1403637153.838495254516602,41,0,39,1,11
1403637153.888494014739990,39,0,38,0,11
1403637153.938499212265015,39,0,38,0,11
1403637153.988588333129883,38,0,37,0,11
1403637154.038630962371826,38,0,34,1,11
1403637154.088751077651978,37,0,35,0,11
1403637154.138820171356201,35,0,35,0,11
1403637154.188879489898682,35,0,35,0,11
1403637154.238867998123169,35,0,35,0,11
1403637154.288854598999023,35,1,33,0,11
1403637154.338791370391846,38,0,32,3,11
1403637154.388722419738770,35,0,33,0,11
1403637154.438590526580811,38,1,32,4,11
1403637154.488498687744141,40,6,35,3,11
1403637154.538502216339111,38,0,36,1,11
1403637154.588504076004028,37,0,35,1,11
1403637154.638552188873291,37,1,36,0,11
1403637154.688579797744751,36,0,34,1,11
1403637154.738587856292725,40,0,31,5,11
1403637154.788604497909546,38,0,34,0,11
1403637154.838638544082642,33,1,30,0,11
1403637154.888648033142090,31,0,29,0,11
1403637154.938680648803711,27,0,24,0,11
1403637154.988734006881714,27,0,22,1,11
1403637155.038794040679932,27,1,23,4,11
1403637155.088853120803833,30,0,25,5,11
1403637155.138888835906982,29,0,29,0,11
1403637155.188902139663696,28,1,27,0,11
1403637155.238944768905640,28,2,26,0,11
1403637155.288949728012085,26,1,23,1,11
1403637155.338932991027832,26,0,22,1,11
1403637155.388941526412964,25,2,21,1,11
1403637155.438889741897583,29,0,21,7,11
1403637155.488867759704590,28,1,27,0,11
1403637155.538836002349854,30,1,26,3,11
1403637155.588808536529541,30,0,28,0,11
1403637155.638783693313599,30,0,28,1,11
1403637155.688748598098755,38,0,27,10,11
1403637155.738730192184448,38,0,36,0,11
1403637155.788696765899658,37,0,36,0,11
1403637155.838691234588623,35,0,34,0,11
1403637155.888617753982544,35,0,34,1,11
1403637155.938577413558960,35,0,34,0,11
1403637155.988583087921143,33,0,32,1,11
1403637156.038613080978394,34,1,31,2,11
1403637156.088632583618164,31,2,29,0,11
1403637156.138635635375977,29,0,28,0,11
1403637156.188636779785156,27,1,26,0,11
1403637156.238632917404175,24,0,23,0,11
1403637156.288635730743408,24,0,23,0,11
1403637156.338650226593018,23,0,23,0,11
1403637156.388654470443726,23,0,23,0,11
1403637156.438642501831055,23,0,23,0,11
1403637156.488631963729858,22,3,22,0,11
1403637156.538632392883301,20,2,20,0,11
1403637156.588630199432373,20,0,20,0,11
1403637156.638622760772705,19,2,18,1,11
1403637156.688617467880249,17,0,17,0,11
1403637156.738612413406372,17,0,17,0,11
1403637156.788547039031982,18,1,15,3,11
1403637156.838491439819336,19,0,18,1,11
1403637156.888448715209961,18,0,18,0,11
1403637156.938414335250854,18,0,17,0,11
1403637156.988356351852417,20,0,17,2,11
1403637157.038367986679077,19,0,19,0,11
1403637157.088369846343994,19,0,19,0,11
1403637157.138401746749878,20,0,19,1,11
1403637157.188408374786377,20,0,20,0,11
1403637157.238420724868774,20,0,20,0,11
1403637157.288414716720581,21,0,20,1,11
1403637157.338412523269653,21,0,21,0,11
1403637157.388388395309448,23,1,21,2,11
1403637157.438382625579834,24,1,23,1,11
1403637157.488375425338745,25,0,24,1,11
1403637157.538376092910767,25,2,25,0,11
1403637157.588383436203003,26,1,24,1,11
1403637157.638390541076660,36,0,24,10,11
1403637157.688391447067261,34,0,32,0,11
1403637157.738395452499390,38,1,32,5,11
1403637157.788379907608032,36,0,35,0,11
1403637157.838379383087158,46,3,35,10,11
1403637157.888368129730225,44,0,42,1,11
1403637157.938370466232300,43,0,40,1,11
1403637157.988365888595581,40,1,39,0,11
1403637158.038357734680176,37,0,34,3,11
1403637158.088376760482788,40,1,37,3,11
1403637158.138394117355347,40,0,39,1,11
1403637158.188410043716431,46,0,38,6,11
1403637158.238406419754028,45,0,40,1,11
1403637158.288390874862671,44,0,37,1,11
1403637158.338358640670776,43,1,37,3,11
1403637158.388346433639526,39,0,36,0,11
1403637158.438324451446533,44,0,35,7,11
1403637158.488319396972656,45,1,38,4,11
1403637158.538292407989502,49,5,42,5,11
1403637158.588292837142944,47,0,47,0,11
1403637158.638277530670166,49,3,45,3,11
1403637158.688277959823608,49,0,47,0,11
1403637158.738277196884155,45,1,41,0,11
1403637158.788271903991699,43,1,40,1,11
1403637158.838276624679565,41,1,38,2,11
1403637158.888269424438477,40,1,39,0,11
1403637158.938256025314331,40,1,37,2,11
1403637158.988224744796753,40,0,38,1,11
1403637159.038234233856201,45,1,38,5,11
1403637159.088236808776855,44,0,43,1,11
1403637159.138228416442871,45,0,42,1,11
1403637159.188219070434570,45,0,43,0,11
1403637159.238223075866699,47,1,42,4,11
1403637159.288213014602661,48,8,45,1,11
1403637159.338222026824951,47,0,45,0,11
1403637159.388230562210083,49,8,44,3,11
1403637159.438228845596313,48,0,45,0,11
1403637159.488240480422974,47,0,43,0,11
1403637159.538254022598267,45,3,43,0,11
1403637159.588262081146240,43,1,43,0,11
1403637159.638283014297485,43,0,41,1,11
1403637159.688284397125244,43,0,40,0,11
1403637159.738268613815308,41,0,38,0,11
1403637159.788259029388428,43,4,35,5,11
1403637159.838248014450073,42,0,39,1,11
1403637159.888225793838501,46,3,38,7,11
1403637159.938205957412720,46,0,42,1,11
1403637159.988186836242676,44,3,37,4,11
1403637160.038176536560059,44,2,38,0,11
1403637160.088170528411865,39,0,35,0,11
1403637160.138147830963135,37,4,34,0,11
1403637160.188133001327515,33,0,32,0,11
