# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987318277359009,0.00374,0.00011,0.00056,0.00000,0.00000,0.00129,0.00570
1403637150.036755084991455,0.00415,0.00011,0.00151,0.00000,0.00208,0.00121,0.00906
1403637150.086406707763672,0.00483,0.00026,0.00236,0.00027,0.00000,0.00119,0.00891
1403637150.136349201202393,0.00493,0.00017,0.00016,0.00017,0.00000,0.00135,0.00679
1403637150.186404228210449,0.00523,0.00013,0.00018,0.00016,0.00003,0.00128,0.00700
1403637150.236432313919067,0.00480,0.00014,0.00044,0.00010,0.00001,0.00123,0.00671
1403637150.286446809768677,0.00684,0.00013,0.00034,0.00009,0.00000,0.00121,0.00861
1403637150.336531877517700,0.00615,0.00014,0.00038,0.00008,0.00000,0.00130,0.00804
1403637150.386538743972778,0.00593,0.00013,0.00060,0.00006,0.00000,0.00129,0.00801
1403637150.436788082122803,0.00495,0.00015,0.00052,0.00005,0.00000,0.00127,0.00694
1403637150.486697196960449,0.00447,0.00013,0.00090,0.00005,0.00000,0.00131,0.00687
1403637150.536769390106201,0.00395,0.00013,0.00028,0.00000,0.00000,0.00133,0.00569
1403637150.586838245391846,0.00591,0.00013,0.00037,0.00000,0.00000,0.00139,0.00780
1403637150.637199163436890,0.00448,0.00014,0.00170,0.00000,0.00495,0.00138,0.01266
1403637150.687289953231812,0.00435,0.00014,0.00041,0.00035,0.00000,0.00131,0.00656
1403637150.737353324890137,0.00430,0.00013,0.00016,0.00025,0.00000,0.00137,0.00620
1403637150.787322759628296,0.00400,0.00013,0.00038,0.00025,0.00000,0.00139,0.00614
1403637150.837367534637451,0.00457,0.00014,0.00034,0.00026,0.00033,0.00136,0.00700
1403637150.887493371963501,0.00422,0.00014,0.00058,0.00030,0.00151,0.00134,0.00808
1403637150.937559604644775,0.00500,0.00017,0.00026,0.00032,0.00030,0.00142,0.00746
1403637150.987852811813354,0.00424,0.00014,0.00009,0.00034,0.00320,0.00140,0.00942
1403637151.037841081619263,0.00395,0.00014,0.00031,0.00064,0.00036,0.00136,0.00677
1403637151.087796449661255,0.00392,0.00014,0.00040,0.00066,0.00042,0.00135,0.00689
1403637151.137850761413574,0.00506,0.00014,0.00061,0.00062,0.00282,0.00151,0.01076
1403637151.187869548797607,0.00432,0.00015,0.00047,0.00088,0.00051,0.00141,0.00775
1403637151.238058328628540,0.00395,0.00015,0.00016,0.00088,0.00494,0.00138,0.01145
1403637151.288124084472656,0.00368,0.00018,0.00031,0.00172,0.00029,0.00138,0.00755
1403637151.338146924972534,0.00470,0.00016,0.00034,0.00158,0.00068,0.00141,0.00887
1403637151.388112306594849,0.00477,0.00016,0.00005,0.00170,0.00016,0.00137,0.00819
1403637151.438052892684937,0.00434,0.00016,0.00083,0.00156,0.00013,0.00141,0.00843
1403637151.488072633743286,0.00397,0.00016,0.00022,0.00165,0.00106,0.00132,0.00838
1403637151.538029670715332,0.00461,0.00016,0.00012,0.00175,0.00112,0.00140,0.00915
1403637151.587953805923462,0.00432,0.00017,0.00032,0.00186,0.00075,0.00162,0.00905
1403637151.637885332107544,0.00462,0.00017,0.00037,0.00182,0.00114,0.00136,0.00947
1403637151.687855720520020,0.00416,0.00017,0.00071,0.00187,0.00001,0.00144,0.00835
1403637151.737869262695312,0.00404,0.00017,0.00047,0.00193,0.00041,0.00145,0.00847
1403637151.787883996963501,0.00342,0.00017,0.00020,0.00176,0.00148,0.00176,0.00878
1403637151.837877035140991,0.00389,0.00016,0.00050,0.00180,0.00026,0.00137,0.00798
1403637151.887929677963257,0.00453,0.00017,0.00018,0.00182,0.00091,0.00164,0.00925
1403637151.937921762466431,0.00394,0.00017,0.00014,0.00188,0.00338,0.00151,0.01100
1403637151.987925767898560,0.00359,0.00016,0.00005,0.00211,0.00006,0.00162,0.00760
1403637152.037957668304443,0.00386,0.00016,0.00005,0.00208,0.00003,0.00147,0.00765
1403637152.087950706481934,0.00356,0.00016,0.00018,0.00197,0.00103,0.00163,0.00853
1403637152.137947797775269,0.00397,0.00017,0.00006,0.00202,0.00024,0.00138,0.00784
1403637152.187947034835815,0.00422,0.00017,0.00007,0.00200,0.00140,0.00165,0.00951
1403637152.237994670867920,0.00400,0.00017,0.00006,0.00201,0.00608,0.00147,0.01379
1403637152.287994146347046,0.00349,0.00018,0.00006,0.00266,0.00054,0.00170,0.00862
1403637152.338019609451294,0.00340,0.00017,0.00014,0.00269,0.00024,0.00155,0.00821
1403637152.388051748275757,0.00352,0.00018,0.00004,0.00270,0.00075,0.00156,0.00875
1403637152.438019514083862,0.00338,0.00017,0.00036,0.00272,0.00169,0.00161,0.00992
1403637152.488051176071167,0.00344,0.00018,0.00010,0.00257,0.00019,0.00149,0.00798
1403637152.538041830062866,0.00329,0.00018,0.00008,0.00259,0.00166,0.00146,0.00926
1403637152.588026046752930,0.00343,0.00018,0.00002,0.00283,0.00016,0.00147,0.00809
1403637152.638064146041870,0.00451,0.00018,0.00006,0.00262,0.00005,0.00189,0.00931
1403637152.688081502914429,0.00439,0.00018,0.00028,0.00260,0.00125,0.00152,0.01021
1403637152.738124370574951,0.00397,0.00018,0.00021,0.00277,0.00096,0.00174,0.00983
1403637152.788143873214722,0.00429,0.00018,0.00009,0.00275,0.00171,0.00158,0.01059
1403637152.838182449340820,0.00402,0.00019,0.00011,0.00290,0.00081,0.00179,0.00981
1403637152.888215541839600,0.00451,0.00019,0.00015,0.00291,0.00000,0.00154,0.00931
1403637152.938209533691406,0.00364,0.00018,0.00042,0.00277,0.00024,0.00145,0.00869
1403637152.988196849822998,0.00384,0.00019,0.00002,0.00288,0.00108,0.00158,0.00957
1403637153.038202047348022,0.00363,0.00018,0.00021,0.00293,0.00060,0.00149,0.00905
1403637153.088210821151733,0.00362,0.00018,0.00024,0.00284,0.00010,0.00148,0.00846
1403637153.138221025466919,0.00341,0.00018,0.00006,0.00301,0.00190,0.00145,0.01002
1403637153.188273191452026,0.00496,0.00025,0.00034,0.00247,0.00765,0.00161,0.01728
1403637153.238259553909302,0.00390,0.00019,0.00015,0.00350,0.00004,0.00144,0.00920
1403637153.288249254226685,0.00369,0.00019,0.00008,0.00329,0.00040,0.00148,0.00914
1403637153.338303804397583,0.00362,0.00018,0.00022,0.00333,0.00345,0.00151,0.01231
1403637153.388333797454834,0.00362,0.00019,0.00011,0.00334,0.00038,0.00149,0.00913
1403637153.438322067260742,0.00463,0.00018,0.00018,0.00333,0.00020,0.00150,0.01002
1403637153.488376379013062,0.00362,0.00018,0.00002,0.00335,0.00000,0.00147,0.00864
1403637153.538411617279053,0.00385,0.00020,0.00022,0.00303,0.00020,0.00149,0.00898
1403637153.588389635086060,0.00367,0.00018,0.00008,0.00299,0.00108,0.00151,0.00952
1403637153.638355255126953,0.00358,0.00017,0.00012,0.00309,0.00040,0.00148,0.00884
1403637153.688312768936157,0.00462,0.00018,0.00002,0.00312,0.00008,0.00151,0.00952
1403637153.738288640975952,0.00392,0.00018,0.00218,0.00301,0.00481,0.00282,0.01692
1403637153.788228034973145,0.00377,0.00018,0.00012,0.00344,0.00192,0.00154,0.01097
1403637153.838235378265381,0.00366,0.00019,0.00024,0.00367,0.00004,0.00143,0.00924
1403637153.888226747512817,0.00374,0.00019,0.00035,0.00344,0.00025,0.00149,0.00947
1403637153.938233852386475,0.00565,0.00018,0.00026,0.00318,0.00019,0.00161,0.01107
1403637153.988311052322388,0.00418,0.00018,0.00047,0.00310,0.00001,0.00157,0.00951
1403637154.038366794586182,0.00393,0.00019,0.00011,0.00309,0.00014,0.00154,0.00899
1403637154.088543653488159,0.00396,0.00020,0.00007,0.00297,0.00003,0.00158,0.00880
1403637154.138649225234985,0.00408,0.00018,0.00002,0.00290,0.00021,0.00160,0.00900
1403637154.188787698745728,0.00406,0.00018,0.00005,0.00273,0.00106,0.00161,0.00970
1403637154.238787651062012,0.00420,0.00019,0.00020,0.00290,0.00191,0.00159,0.01099
1403637154.288759231567383,0.00409,0.00019,0.00010,0.00326,0.00008,0.00167,0.00940
1403637154.338733434677124,0.00400,0.00019,0.00053,0.00284,0.00267,0.00218,0.01241
1403637154.388666152954102,0.00396,0.00018,0.00011,0.00301,0.00015,0.00152,0.00893
1403637154.438545227050781,0.00399,0.00018,0.00009,0.00285,0.00001,0.00163,0.00875
1403637154.488471269607544,0.00400,0.00018,0.00503,0.00350,0.00430,0.00162,0.01863
1403637154.538441419601440,0.00415,0.00019,0.00029,0.00307,0.00029,0.00157,0.00956
1403637154.588413000106812,0.00394,0.00019,0.00007,0.00326,0.00056,0.00146,0.00950
1403637154.638397216796875,0.00400,0.00019,0.00010,0.00330,0.00163,0.00159,0.01081
1403637154.688349723815918,0.00378,0.00018,0.00021,0.00275,0.00100,0.00149,0.00943
1403637154.738387346267700,0.00366,0.00018,0.00022,0.00251,0.00308,0.00155,0.01120
1403637154.788414955139160,0.00372,0.00019,0.00044,0.00262,0.00002,0.00150,0.00850
1403637154.838480472564697,0.00363,0.00018,0.00042,0.00242,0.00179,0.00152,0.00997
1403637154.888527154922485,0.00400,0.00018,0.00024,0.00218,0.00100,0.00148,0.00909
1403637154.938605070114136,0.00450,0.00019,0.00011,0.00204,0.00036,0.00148,0.00868
1403637154.988662004470825,0.00371,0.00017,0.00011,0.00200,0.00017,0.00159,0.00775
1403637155.038723707199097,0.00367,0.00017,0.00071,0.00245,0.00013,0.00152,0.00865
1403637155.088756084442139,0.00353,0.00015,0.00043,0.00149,0.00601,0.00146,0.01308
1403637155.138756752014160,0.00471,0.00016,0.00012,0.00207,0.00015,0.00146,0.00866
1403637155.188759803771973,0.00374,0.00017,0.00008,0.00206,0.00000,0.00178,0.00783
1403637155.238754272460938,0.00363,0.00016,0.00030,0.00153,0.00002,0.00146,0.00709
1403637155.288766145706177,0.00355,0.00016,0.00021,0.00124,0.00002,0.00148,0.00666
1403637155.338800191879272,0.00424,0.00025,0.00009,0.00127,0.00171,0.00148,0.00905
1403637155.388806819915771,0.00348,0.00016,0.00005,0.00127,0.00087,0.00156,0.00738
1403637155.438784837722778,0.00354,0.00015,0.00025,0.00113,0.00041,0.00147,0.00695
1403637155.488784551620483,0.00470,0.00016,0.00077,0.00101,0.00622,0.00202,0.01488
1403637155.538775920867920,0.00382,0.00017,0.00049,0.00205,0.00291,0.00160,0.01104
1403637155.588734626770020,0.00397,0.00017,0.00002,0.00254,0.00259,0.00152,0.01080
1403637155.638729095458984,0.00376,0.00017,0.00003,0.00255,0.00000,0.00150,0.00802
1403637155.688701629638672,0.00382,0.00018,0.00006,0.00231,0.00772,0.00303,0.01712
1403637155.738697290420532,0.00510,0.00022,0.00038,0.00324,0.00016,0.00147,0.01057
1403637155.788700103759766,0.00362,0.00018,0.00008,0.00320,0.00003,0.00144,0.00855
1403637155.838736057281494,0.00368,0.00018,0.00008,0.00297,0.00102,0.00145,0.00938
1403637155.888710021972656,0.00387,0.00018,0.00010,0.00309,0.00101,0.00147,0.00973
1403637155.938703775405884,0.00376,0.00018,0.00002,0.00311,0.00113,0.00148,0.00967
1403637155.988692283630371,0.00366,0.00018,0.00039,0.00282,0.00002,0.00158,0.00866
1403637156.038686513900757,0.00409,0.00018,0.00020,0.00259,0.00039,0.00150,0.00895
1403637156.088690519332886,0.00529,0.00020,0.00050,0.00215,0.00008,0.00152,0.00974
1403637156.138683795928955,0.00517,0.00017,0.00015,0.00210,0.00028,0.00146,0.00934
1403637156.188684463500977,0.00394,0.00016,0.00023,0.00207,0.00013,0.00182,0.00836
1403637156.238680362701416,0.00594,0.00029,0.00008,0.00230,0.00000,0.00156,0.01016
1403637156.288686037063599,0.00461,0.00017,0.00007,0.00173,0.00029,0.00167,0.00854
1403637156.338693380355835,0.00437,0.00028,0.00003,0.00221,0.00015,0.00144,0.00849
1403637156.388699769973755,0.00351,0.00016,0.00003,0.00167,0.00002,0.00144,0.00684
1403637156.438697099685669,0.00354,0.00016,0.00006,0.00168,0.00000,0.00143,0.00687
1403637156.488685369491577,0.00352,0.00016,0.00087,0.00162,0.00000,0.00145,0.00762
1403637156.538682937622070,0.00407,0.00016,0.00133,0.00137,0.00009,0.00140,0.00843
1403637156.588679075241089,0.00452,0.00016,0.00006,0.00144,0.00010,0.00150,0.00778
1403637156.638667106628418,0.00486,0.00023,0.00142,0.00114,0.00214,0.00149,0.01127
1403637156.688661098480225,0.00439,0.00016,0.00006,0.00133,0.00006,0.00147,0.00745
1403637156.738657236099243,0.00363,0.00016,0.00020,0.00131,0.00006,0.00151,0.00688
1403637156.788598775863647,0.00356,0.00016,0.00026,0.00100,0.00275,0.00149,0.00921
1403637156.838542222976685,0.00381,0.00016,0.00005,0.00141,0.00000,0.00149,0.00692
