# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987318277359009,0.00381,0.00011,0.00055,0.00000,0.00000,0.00129,0.00577
1403637150.036755084991455,0.00422,0.00011,0.00150,0.00000,0.00208,0.00121,0.00912
1403637150.086406707763672,0.00455,0.00013,0.00224,0.00026,0.00000,0.00120,0.00838
1403637150.136349201202393,0.00428,0.00013,0.00016,0.00018,0.00000,0.00126,0.00602
1403637150.186404228210449,0.00554,0.00020,0.00027,0.00015,0.00003,0.00142,0.00761
1403637150.236432313919067,0.00496,0.00013,0.00040,0.00010,0.00000,0.00122,0.00682
1403637150.286446809768677,0.00668,0.00013,0.00035,0.00009,0.00000,0.00121,0.00846
1403637150.336531877517700,0.00608,0.00013,0.00035,0.00007,0.00000,0.00127,0.00790
1403637150.386538743972778,0.00628,0.00014,0.00060,0.00005,0.00000,0.00128,0.00834
1403637150.436788082122803,0.00565,0.00013,0.00052,0.00004,0.00000,0.00128,0.00762
1403637150.486697196960449,0.00473,0.00014,0.00091,0.00004,0.00000,0.00135,0.00717
1403637150.536769390106201,0.00388,0.00013,0.00029,0.00000,0.00000,0.00142,0.00572
1403637150.586838245391846,0.00401,0.00012,0.00035,0.00000,0.00000,0.00140,0.00590
1403637150.637199163436890,0.00445,0.00014,0.00150,0.00000,0.00467,0.00129,0.01205
1403637150.687289953231812,0.00471,0.00015,0.00042,0.00028,0.00000,0.00133,0.00690
1403637150.737383842468262,0.00433,0.00014,0.00015,0.00027,0.00000,0.00134,0.00624
1403637150.787364482879639,0.00408,0.00014,0.00039,0.00025,0.00000,0.00134,0.00621
1403637150.837416410446167,0.00387,0.00014,0.00028,0.00026,0.00034,0.00134,0.00624
1403637150.887558698654175,0.00397,0.00014,0.00053,0.00028,0.00151,0.00134,0.00777
1403637150.937611579895020,0.00411,0.00015,0.00026,0.00034,0.00036,0.00135,0.00656
1403637150.987848281860352,0.00414,0.00013,0.00026,0.00033,0.00318,0.00133,0.00938
1403637151.037859439849854,0.00338,0.00014,0.00036,0.00062,0.00039,0.00141,0.00630
1403637151.087851047515869,0.00366,0.00015,0.00035,0.00063,0.00035,0.00145,0.00659
1403637151.137898445129395,0.00346,0.00016,0.00061,0.00064,0.00256,0.00131,0.00874
1403637151.187971115112305,0.00415,0.00015,0.00038,0.00087,0.00053,0.00154,0.00762
1403637151.238170146942139,0.00339,0.00015,0.00017,0.00085,0.00493,0.00138,0.01086
1403637151.288189888000488,0.00345,0.00015,0.00028,0.00164,0.00027,0.00130,0.00708
1403637151.338185071945190,0.00404,0.00016,0.00031,0.00156,0.00068,0.00130,0.00805
1403637151.388160467147827,0.00455,0.00015,0.00032,0.00111,0.00016,0.00137,0.00766
1403637151.438118934631348,0.00363,0.00015,0.00053,0.00111,0.00014,0.00134,0.00691
1403637151.488123178482056,0.00423,0.00016,0.00034,0.00118,0.00113,0.00137,0.00841
1403637151.538068771362305,0.00422,0.00016,0.00012,0.00134,0.00100,0.00136,0.00820
1403637151.588053464889526,0.00392,0.00016,0.00029,0.00141,0.00027,0.00134,0.00739
1403637151.638010740280151,0.00393,0.00017,0.00017,0.00144,0.00117,0.00146,0.00834
1403637151.687958717346191,0.00408,0.00016,0.00060,0.00148,0.00001,0.00143,0.00776
1403637151.737965345382690,0.00344,0.00015,0.00052,0.00126,0.00026,0.00145,0.00709
1403637151.787981033325195,0.00433,0.00015,0.00020,0.00100,0.00143,0.00148,0.00859
1403637151.837969779968262,0.00351,0.00016,0.00030,0.00120,0.00027,0.00143,0.00688
1403637151.888037443161011,0.00345,0.00016,0.00020,0.00111,0.00141,0.00143,0.00776
1403637151.938025712966919,0.00343,0.00016,0.00011,0.00134,0.00275,0.00143,0.00923
1403637151.988032817840576,0.00341,0.00016,0.00013,0.00160,0.00006,0.00148,0.00685
1403637152.038060426712036,0.00346,0.00016,0.00020,0.00156,0.00004,0.00146,0.00689
1403637152.088061809539795,0.00354,0.00016,0.00019,0.00143,0.00137,0.00172,0.00840
1403637152.138069868087769,0.00394,0.00017,0.00014,0.00162,0.00014,0.00144,0.00746
1403637152.188064575195312,0.00459,0.00018,0.00002,0.00167,0.00150,0.00153,0.00948
1403637152.238134860992432,0.00361,0.00019,0.00006,0.00167,0.00581,0.00162,0.01296
1403637152.288128376007080,0.00352,0.00016,0.00004,0.00211,0.00051,0.00166,0.00800
1403637152.338167667388916,0.00363,0.00018,0.00012,0.00232,0.00156,0.00162,0.00944
1403637152.388218402862549,0.00357,0.00017,0.00005,0.00218,0.00070,0.00145,0.00812
1403637152.438169240951538,0.00358,0.00016,0.00004,0.00224,0.00076,0.00149,0.00827
1403637152.488204717636108,0.00351,0.00017,0.00005,0.00205,0.00021,0.00184,0.00784
1403637152.538181304931641,0.00381,0.00017,0.00005,0.00207,0.00137,0.00146,0.00893
1403637152.588153362274170,0.00335,0.00017,0.00028,0.00215,0.00015,0.00145,0.00757
1403637152.638191699981689,0.00359,0.00017,0.00005,0.00207,0.00005,0.00147,0.00739
1403637152.688210248947144,0.00336,0.00017,0.00016,0.00205,0.00118,0.00143,0.00834
1403637152.738250494003296,0.00444,0.00019,0.00008,0.00213,0.00121,0.00148,0.00953
1403637152.788279294967651,0.00503,0.00018,0.00019,0.00225,0.00156,0.00186,0.01108
1403637152.838329553604126,0.00459,0.00018,0.00009,0.00236,0.00081,0.00159,0.00962
1403637152.888361215591431,0.00381,0.00018,0.00008,0.00234,0.00000,0.00154,0.00795
1403637152.938358068466187,0.00386,0.00021,0.00075,0.00235,0.00211,0.00159,0.01086
1403637152.988319158554077,0.00388,0.00018,0.00030,0.00239,0.00105,0.00164,0.00942
1403637153.038331747055054,0.00372,0.00019,0.00003,0.00238,0.00031,0.00158,0.00821
1403637153.088307857513428,0.00368,0.00017,0.00064,0.00235,0.00011,0.00154,0.00850
1403637153.138303756713867,0.00348,0.00017,0.00004,0.00224,0.00179,0.00149,0.00921
1403637153.188305377960205,0.00349,0.00017,0.00011,0.00213,0.00016,0.00154,0.00761
1403637153.238293886184692,0.00346,0.00017,0.00031,0.00213,0.00004,0.00152,0.00763
1403637153.288290739059448,0.00364,0.00018,0.00006,0.00206,0.00570,0.00158,0.01321
1403637153.338335037231445,0.00338,0.00019,0.00547,0.00264,0.00267,0.00166,0.01601
1403637153.388337135314941,0.00476,0.00020,0.00015,0.00261,0.00038,0.00154,0.00963
1403637153.438332080841064,0.00404,0.00018,0.00015,0.00242,0.00017,0.00152,0.00848
1403637153.488354682922363,0.00383,0.00019,0.00017,0.00251,0.00000,0.00153,0.00823
1403637153.538361310958862,0.00385,0.00018,0.00014,0.00247,0.00040,0.00156,0.00859
1403637153.588332176208496,0.00376,0.00018,0.00009,0.00244,0.00103,0.00222,0.00973
1403637153.638277530670166,0.00421,0.00019,0.00021,0.00259,0.00029,0.00154,0.00903
1403637153.688227891921997,0.00384,0.00018,0.00037,0.00257,0.00011,0.00154,0.00860
1403637153.738215923309326,0.00367,0.00019,0.00034,0.00254,0.00074,0.00147,0.00894
1403637153.788178920745850,0.00382,0.00019,0.00070,0.00343,0.00011,0.00194,0.01019
1403637153.838152647018433,0.00386,0.00017,0.00008,0.00236,0.00104,0.00159,0.00911
1403637153.888154983520508,0.00462,0.00017,0.00029,0.00217,0.00045,0.00210,0.00980
1403637153.938167810440063,0.00403,0.00017,0.00443,0.00214,0.00555,0.00161,0.01794
1403637153.988228559494019,0.00385,0.00018,0.00012,0.00272,0.00104,0.00177,0.00968
1403637154.038277387619019,0.00403,0.00018,0.00006,0.00277,0.00055,0.00151,0.00910
1403637154.088425874710083,0.00366,0.00018,0.00009,0.00279,0.00002,0.00150,0.00824
1403637154.138516902923584,0.00369,0.00019,0.00004,0.00274,0.00029,0.00156,0.00851
1403637154.188593626022339,0.00454,0.00019,0.00009,0.00253,0.00000,0.00150,0.00886
1403637154.238578081130981,0.00390,0.00018,0.00002,0.00263,0.00031,0.00159,0.00863
1403637154.288540124893188,0.00383,0.00018,0.00009,0.00248,0.00011,0.00150,0.00818
1403637154.338515281677246,0.00443,0.00018,0.00005,0.00238,0.00022,0.00150,0.00878
1403637154.388499736785889,0.00368,0.00017,0.00012,0.00222,0.00006,0.00153,0.00780
1403637154.438455343246460,0.00365,0.00018,0.00004,0.00215,0.00817,0.00156,0.01574
1403637154.488448858261108,0.00389,0.00019,0.00021,0.00301,0.00146,0.00202,0.01079
1403637154.538452148437500,0.00394,0.00018,0.00326,0.00276,0.00296,0.00158,0.01468
1403637154.588433265686035,0.00373,0.00020,0.00015,0.00299,0.00104,0.00189,0.01000
1403637154.638451576232910,0.00496,0.00024,0.00009,0.00262,0.00002,0.00148,0.00942
1403637154.688449621200562,0.00398,0.00018,0.00011,0.00247,0.00101,0.00169,0.00945
1403637154.738461732864380,0.00432,0.00018,0.00020,0.00238,0.00403,0.00149,0.01261
1403637154.788480043411255,0.00390,0.00020,0.00017,0.00249,0.00001,0.00170,0.00847
1403637154.838514804840088,0.00414,0.00018,0.00038,0.00287,0.00031,0.00151,0.00939
