# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987498760223389,0.00285,0.00011,0.00054,0.00000,0.00000,0.00133,0.00484
1403637150.037049531936646,0.00319,0.00011,0.00155,0.00000,0.00206,0.00133,0.00825
1403637150.086292505264282,0.00352,0.00014,0.00251,0.00028,0.00000,0.00141,0.00786
1403637150.136124849319458,0.00321,0.00014,0.00017,0.00022,0.00000,0.00140,0.00514
1403637150.186099767684937,0.00446,0.00014,0.00022,0.00016,0.00003,0.00132,0.00632
1403637150.236156463623047,0.00312,0.00013,0.00041,0.00010,0.00000,0.00129,0.00506
1403637150.286166191101074,0.00498,0.00013,0.00035,0.00009,0.00001,0.00137,0.00692
1403637150.336280822753906,0.00369,0.00014,0.00030,0.00007,0.00000,0.00139,0.00559
1403637150.386448860168457,0.00345,0.00014,0.00061,0.00007,0.00000,0.00132,0.00559
1403637150.436570405960083,0.00369,0.00014,0.00059,0.00006,0.00000,0.00138,0.00587
1403637150.486499309539795,0.00340,0.00013,0.00051,0.00006,0.00000,0.00141,0.00551
1403637150.536624908447266,0.00398,0.00013,0.00032,0.00000,0.00000,0.00142,0.00585
1403637150.586759328842163,0.00329,0.00014,0.00053,0.00000,0.00000,0.00149,0.00545
1403637150.637011528015137,0.00423,0.00014,0.00120,0.00000,0.00489,0.00144,0.01190
1403637150.687101125717163,0.00356,0.00016,0.00038,0.00030,0.00000,0.00146,0.00585
1403637150.737190485000610,0.00296,0.00014,0.00013,0.00028,0.00003,0.00143,0.00496
1403637150.787225246429443,0.00303,0.00014,0.00029,0.00027,0.00000,0.00147,0.00521
1403637150.837505102157593,0.00245,0.00014,0.00034,0.00026,0.00138,0.00146,0.00603
1403637150.887605905532837,0.00322,0.00015,0.00054,0.00032,0.00130,0.00146,0.00698
1403637150.937706947326660,0.00298,0.00014,0.00027,0.00045,0.00020,0.00148,0.00552
1403637150.987730264663696,0.00245,0.00016,0.00031,0.00039,0.00230,0.00149,0.00710
1403637151.037815570831299,0.00270,0.00015,0.00055,0.00057,0.00077,0.00150,0.00624
1403637151.087893486022949,0.00255,0.00015,0.00034,0.00058,0.00314,0.00151,0.00827
1403637151.137940645217896,0.00251,0.00016,0.00078,0.00100,0.00068,0.00147,0.00660
1403637151.188013792037964,0.00317,0.00017,0.00053,0.00090,0.00039,0.00163,0.00679
1403637151.238030910491943,0.00256,0.00017,0.00018,0.00083,0.00203,0.00154,0.00730
1403637151.288048028945923,0.00254,0.00016,0.00028,0.00111,0.00054,0.00154,0.00617
1403637151.338074207305908,0.00323,0.00015,0.00023,0.00096,0.00012,0.00161,0.00631
1403637151.388081789016724,0.00349,0.00015,0.00051,0.00091,0.00000,0.00163,0.00670
1403637151.438061475753784,0.00282,0.00016,0.00056,0.00093,0.00054,0.00157,0.00658
1403637151.488083124160767,0.00356,0.00016,0.00083,0.00094,0.00080,0.00156,0.00785
1403637151.538076162338257,0.00269,0.00016,0.00058,0.00109,0.00015,0.00154,0.00622
1403637151.588044643402100,0.00311,0.00016,0.00033,0.00109,0.00223,0.00174,0.00866
1403637151.637990474700928,0.00274,0.00017,0.00023,0.00131,0.00028,0.00163,0.00636
1403637151.687967300415039,0.00301,0.00017,0.00046,0.00129,0.00010,0.00160,0.00662
1403637151.738009214401245,0.00267,0.00016,0.00031,0.00123,0.00279,0.00169,0.00884
1403637151.788012981414795,0.00340,0.00016,0.00021,0.00150,0.00201,0.00159,0.00887
1403637151.838034391403198,0.00353,0.00017,0.00036,0.00176,0.00099,0.00165,0.00846
1403637151.888075828552246,0.00356,0.00018,0.00069,0.00180,0.00121,0.00162,0.00905
1403637151.938102483749390,0.00331,0.00017,0.00019,0.00203,0.00684,0.00170,0.01424
1403637151.988124847412109,0.00328,0.00018,0.00002,0.00274,0.00000,0.00164,0.00786
1403637152.038175344467163,0.00274,0.00018,0.00020,0.00259,0.00363,0.00160,0.01094
1403637152.088210582733154,0.00265,0.00018,0.00039,0.00287,0.00180,0.00163,0.00953
1403637152.138212203979492,0.00259,0.00018,0.00006,0.00310,0.00025,0.00159,0.00777
1403637152.188213825225830,0.00466,0.00019,0.00005,0.00313,0.00146,0.00166,0.01115
1403637152.238230705261230,0.00345,0.00021,0.00003,0.00328,0.00028,0.00165,0.00890
1403637152.288227319717407,0.00282,0.00028,0.00012,0.00330,0.00057,0.00172,0.00880
1403637152.338246345520020,0.00336,0.00020,0.00076,0.00326,0.00080,0.00167,0.01006
1403637152.388279438018799,0.00325,0.00018,0.00013,0.00325,0.00074,0.00157,0.00913
1403637152.438256025314331,0.00258,0.00018,0.00006,0.00314,0.00049,0.00155,0.00800
1403637152.488261461257935,0.00248,0.00018,0.00014,0.00305,0.00067,0.00161,0.00813
1403637152.538282394409180,0.00234,0.00019,0.00010,0.00309,0.00196,0.00157,0.00925
1403637152.588275909423828,0.00273,0.00020,0.00002,0.00340,0.00000,0.00160,0.00794
1403637152.638287544250488,0.00224,0.00019,0.00011,0.00324,0.00107,0.00157,0.00841
1403637152.688305616378784,0.00276,0.00019,0.00002,0.00359,0.00022,0.00156,0.00835
1403637152.738323688507080,0.00220,0.00018,0.00140,0.00303,0.00375,0.00156,0.01212
1403637152.788340806961060,0.00223,0.00019,0.00005,0.00352,0.00042,0.00157,0.00797
1403637152.838380813598633,0.00223,0.00019,0.00007,0.00335,0.00064,0.00170,0.00819
1403637152.888387918472290,0.00329,0.00019,0.00006,0.00339,0.00000,0.00154,0.00849
1403637152.938407182693481,0.00324,0.00019,0.00068,0.00322,0.00064,0.00161,0.00959
1403637152.988370180130005,0.00340,0.00020,0.00012,0.00324,0.00115,0.00162,0.00974
1403637153.038377523422241,0.00284,0.00019,0.00027,0.00333,0.00090,0.00166,0.00918
1403637153.088417768478394,0.00273,0.00019,0.00026,0.00355,0.00006,0.00165,0.00844
1403637153.138388395309448,0.00268,0.00021,0.00030,0.00377,0.00078,0.00165,0.00940
1403637153.188434839248657,0.00284,0.00019,0.00021,0.00330,0.00000,0.00163,0.00818
1403637153.238406896591187,0.00333,0.00021,0.00005,0.00319,0.00061,0.00164,0.00903
1403637153.288387060165405,0.00262,0.00024,0.00013,0.00327,0.00022,0.00167,0.00816
1403637153.338401794433594,0.00262,0.00019,0.00024,0.00297,0.00061,0.00156,0.00820
1403637153.388405799865723,0.00325,0.00019,0.00025,0.00291,0.00127,0.00171,0.00958
1403637153.438393354415894,0.00255,0.00020,0.00022,0.00292,0.00007,0.00155,0.00751
1403637153.488434076309204,0.00256,0.00019,0.00001,0.00296,0.00000,0.00165,0.00737
1403637153.538451194763184,0.00332,0.00018,0.00365,0.00286,0.00106,0.00163,0.01271
1403637153.588414430618286,0.00315,0.00018,0.00001,0.00286,0.00000,0.00165,0.00786
