# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863017320632935,0,3,0,0,5
1403715278.911641120910645,32,35,0,32,6
1403715278.961362123489380,31,4,31,0,7
1403715279.010837316513062,29,0,29,0,8
1403715279.060688972473145,29,0,29,0,9
1403715279.110451221466064,29,1,29,0,10
1403715279.160490512847900,28,2,28,0,11
1403715279.210573434829712,28,1,28,0,11
1403715279.260615110397339,33,0,28,5,11
1403715279.310425996780396,37,0,33,4,11
1403715279.359902381896973,38,0,37,1,11
1403715279.409179210662842,47,0,38,9,11
1403715279.458809852600098,47,0,47,0,11
1403715279.508381605148315,48,22,47,1,11
1403715279.558145284652710,48,0,48,0,11
1403715279.607833147048950,49,1,48,1,11
1403715279.657713890075684,49,0,49,0,11
1403715279.707723379135132,49,0,49,0,11
1403715279.757725000381470,49,0,49,0,11
1403715279.807870149612427,49,0,49,0,11
1403715279.857858657836914,49,0,49,0,11
1403715279.907656908035278,49,1,49,0,11
1403715279.957425832748413,49,1,49,0,11
1403715280.007427453994751,49,0,49,0,11
1403715280.057635068893433,49,0,49,0,11
1403715280.107718229293823,48,19,48,0,11
1403715280.158504009246826,48,0,48,0,11
1403715280.209254026412964,49,0,48,1,11
1403715280.259854078292847,48,0,48,0,11
1403715280.309956789016724,47,0,47,0,11
1403715280.359943151473999,47,0,47,0,11
1403715280.409905672073364,47,0,46,0,11
1403715280.459801197052002,47,1,46,0,11
1403715280.509772300720215,46,0,45,1,11
1403715280.559710741043091,47,2,45,1,11
1403715280.609866857528687,49,2,45,3,11
1403715280.659978866577148,47,1,47,0,11
1403715280.710128068923950,48,22,47,1,11
1403715280.760144233703613,49,1,47,1,11
1403715280.810141086578369,45,1,45,0,11
1403715280.860178709030151,45,2,44,0,11
1403715280.910276889801025,45,2,43,0,11
1403715280.960359811782837,44,1,40,2,11
1403715281.010412931442261,40,0,39,1,11
1403715281.060449123382568,40,0,40,0,11
1403715281.110490560531616,40,0,39,0,11
1403715281.160543918609619,41,0,37,3,11
1403715281.210541486740112,41,1,40,1,11
1403715281.260569810867310,40,0,40,0,11
1403715281.310648441314697,48,12,39,9,11
1403715281.360736131668091,47,1,47,0,11
1403715281.410812139511108,47,0,47,0,11
1403715281.460982084274292,50,12,47,3,11
1403715281.510959625244141,50,0,49,0,11
1403715281.560947656631470,50,0,48,0,11
1403715281.610953807830811,50,0,46,1,11
1403715281.660935878753662,50,0,46,1,11
1403715281.710909366607666,42,0,38,1,11
1403715281.760841369628906,48,7,37,8,11
1403715281.810876846313477,46,0,42,1,11
1403715281.860862016677856,44,6,42,0,11
1403715281.910921812057495,49,2,41,7,11
1403715281.960937261581421,49,0,47,0,11
1403715282.010960578918457,49,0,47,1,11
1403715282.061045646667480,48,10,44,1,11
1403715282.111031055450439,48,0,44,0,11
1403715282.161103725433350,48,0,43,3,11
1403715282.211112499237061,48,0,46,1,11
1403715282.261147499084473,48,0,47,1,11
1403715282.311143398284912,47,1,47,0,11
