# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863096714019775,0.00466,0.00011,0.00032,0.00000,0.00000,0.00131,0.00641
1403715278.911693572998047,0.00446,0.00012,0.00339,0.00000,0.00653,0.00118,0.01568
1403715278.961421012878418,0.00405,0.00013,0.00048,0.00214,0.00000,0.00118,0.00798
1403715279.010867834091187,0.00422,0.00014,0.00006,0.00206,0.00000,0.00129,0.00777
1403715279.060710668563843,0.00476,0.00015,0.00003,0.00211,0.00000,0.00133,0.00838
1403715279.110449552536011,0.00408,0.00016,0.00042,0.00214,0.00000,0.00125,0.00805
1403715279.160491228103638,0.00392,0.00016,0.00048,0.00206,0.00000,0.00133,0.00795
1403715279.210592746734619,0.00371,0.00015,0.00058,0.00208,0.00000,0.00130,0.00782
1403715279.260610580444336,0.00412,0.00016,0.00001,0.00234,0.00429,0.00137,0.01228
1403715279.310519695281982,0.00413,0.00018,0.00005,0.00292,0.00363,0.00135,0.01224
1403715279.360332965850830,0.00407,0.00018,0.00001,0.00330,0.00116,0.00136,0.01009
1403715279.409984350204468,0.00402,0.00017,0.00002,0.00340,0.00914,0.00130,0.01805
1403715279.459831237792969,0.00415,0.00018,0.00001,0.00498,0.00000,0.00178,0.01111
1403715279.509662389755249,0.00421,0.00018,0.01050,0.00468,0.00113,0.00129,0.02198
1403715279.559322357177734,0.00396,0.00017,0.00001,0.00522,0.00005,0.00139,0.01080
1403715279.609143257141113,0.00397,0.00018,0.00113,0.00517,0.00182,0.00192,0.01419
1403715279.659138441085815,0.00392,0.00019,0.00001,0.00537,0.00000,0.00129,0.01079
1403715279.709145784378052,0.00399,0.00018,0.00001,0.00528,0.00000,0.00132,0.01078
1403715279.759130001068115,0.00412,0.00020,0.00002,0.00528,0.00000,0.00141,0.01102
1403715279.809252738952637,0.00394,0.00018,0.00004,0.00541,0.00000,0.00138,0.01095
1403715279.859211206436157,0.00401,0.00019,0.00006,0.00547,0.00000,0.00135,0.01108
1403715279.908931493759155,0.00376,0.00018,0.00059,0.00574,0.00000,0.00133,0.01161
1403715279.958626031875610,0.00426,0.00017,0.00126,0.00547,0.00003,0.00137,0.01256
