# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00269,0.00012,0.00034,0.00000,0.00000,0.00135,0.00450
1403715278.911641120910645,0.00271,0.00012,0.00333,0.00000,0.00661,0.00128,0.01404
1403715278.961362123489380,0.00265,0.00014,0.00050,0.00218,0.00000,0.00130,0.00677
1403715279.010837316513062,0.00253,0.00018,0.00009,0.00210,0.00000,0.00133,0.00624
1403715279.060688972473145,0.00324,0.00015,0.00003,0.00215,0.00000,0.00138,0.00695
1403715279.110451221466064,0.00221,0.00015,0.00042,0.00215,0.00000,0.00131,0.00624
1403715279.160490512847900,0.00209,0.00017,0.00046,0.00222,0.00000,0.00132,0.00625
1403715279.210573434829712,0.00220,0.00016,0.00061,0.00216,0.00000,0.00143,0.00657
1403715279.260564327239990,0.00244,0.00015,0.00001,0.00224,0.00416,0.00138,0.01038
1403715279.310595512390137,0.00252,0.00015,0.00005,0.00257,0.00356,0.00142,0.01027
1403715279.360611438751221,0.00249,0.00018,0.00001,0.00322,0.00113,0.00140,0.00843
1403715279.411156177520752,0.00262,0.00016,0.00002,0.00345,0.00883,0.00140,0.01647
1403715279.461534976959229,0.00244,0.00018,0.00001,0.00479,0.00000,0.00167,0.00910
1403715279.511668443679810,0.00258,0.00019,0.01039,0.00465,0.00117,0.00135,0.02033
1403715279.561639785766602,0.00233,0.00020,0.00001,0.00524,0.00004,0.00142,0.00925
1403715279.611679553985596,0.00249,0.00020,0.00113,0.00504,0.00112,0.00144,0.01143
1403715279.661779165267944,0.00291,0.00019,0.00001,0.00543,0.00000,0.00141,0.00995
1403715279.711961030960083,0.00300,0.00019,0.00001,0.00544,0.00000,0.00142,0.01006
1403715279.761872053146362,0.00292,0.00018,0.00001,0.00567,0.00000,0.00158,0.01036
1403715279.811909675598145,0.00241,0.00019,0.00005,0.00537,0.00000,0.00147,0.00950
1403715279.861814975738525,0.00305,0.00022,0.00006,0.00568,0.00000,0.00156,0.01057
1403715279.911805391311646,0.00232,0.00024,0.00056,0.00537,0.00000,0.00143,0.00993
1403715279.961541175842285,0.00230,0.00019,0.00123,0.00534,0.00002,0.00145,0.01053
1403715280.011495351791382,0.00299,0.00019,0.00002,0.00562,0.00000,0.00173,0.01055
1403715280.061527490615845,0.00259,0.00017,0.00005,0.00522,0.00000,0.00141,0.00944
1403715280.111835718154907,0.00304,0.00017,0.00960,0.00505,0.00003,0.00140,0.01930
1403715280.162273883819580,0.00245,0.00020,0.00001,0.00511,0.00003,0.00143,0.00923
1403715280.212667465209961,0.00265,0.00019,0.00008,0.00519,0.00115,0.00136,0.01062
1403715280.263072013854980,0.00314,0.00020,0.00016,0.00504,0.00000,0.00140,0.00995
1403715280.313137531280518,0.00253,0.00019,0.00004,0.00502,0.00000,0.00138,0.00916
1403715280.363102197647095,0.00238,0.00017,0.00001,0.00464,0.00000,0.00150,0.00870
1403715280.413021564483643,0.00268,0.00017,0.00001,0.00484,0.00000,0.00149,0.00919
1403715280.462879180908203,0.00251,0.00025,0.00051,0.00464,0.00016,0.00148,0.00955
1403715280.512830972671509,0.00301,0.00018,0.00008,0.00480,0.00000,0.00149,0.00956
1403715280.562708854675293,0.00249,0.00021,0.00087,0.00469,0.00076,0.00168,0.01069
1403715280.612670660018921,0.00304,0.00025,0.00068,0.00507,0.00320,0.00142,0.01366
1403715280.662626266479492,0.00259,0.00020,0.00052,0.00546,0.00001,0.00139,0.01017
1403715280.712640523910522,0.00332,0.00020,0.00930,0.00517,0.00121,0.00141,0.02061
1403715280.762608528137207,0.00251,0.00019,0.00071,0.00530,0.00124,0.00257,0.01251
1403715280.812624692916870,0.00237,0.00018,0.00096,0.00458,0.00016,0.00174,0.01000
1403715280.862675428390503,0.00255,0.00019,0.00023,0.00473,0.00000,0.00132,0.00902
1403715280.912784099578857,0.00345,0.00018,0.00121,0.00455,0.00015,0.00144,0.01099
1403715280.962875843048096,0.00231,0.00020,0.00019,0.00419,0.00201,0.00159,0.01048
1403715281.012956619262695,0.00238,0.00019,0.00030,0.00387,0.00014,0.00140,0.00827
1403715281.063015460968018,0.00213,0.00019,0.00004,0.00420,0.00000,0.00142,0.00798
1403715281.113087415695190,0.00219,0.00016,0.00017,0.00400,0.00000,0.00160,0.00811
1403715281.163127660751343,0.00218,0.00017,0.00011,0.00374,0.00295,0.00141,0.01056
1403715281.213155508041382,0.00297,0.00018,0.00065,0.00408,0.00000,0.00139,0.00927
1403715281.263206243515015,0.00250,0.00016,0.00008,0.00403,0.00000,0.00140,0.00818
1403715281.313294649124146,0.00265,0.00020,0.00579,0.00378,0.00821,0.00150,0.02213
1403715281.363250255584717,0.00256,0.00022,0.00065,0.00527,0.00000,0.00146,0.01016
1403715281.413260698318481,0.00257,0.00018,0.00002,0.00542,0.00005,0.00147,0.00972
1403715281.463273286819458,0.00266,0.00019,0.00678,0.00514,0.00327,0.00159,0.01964
1403715281.513211250305176,0.00273,0.00020,0.00002,0.00581,0.00000,0.00143,0.01019
1403715281.563164472579956,0.00261,0.00019,0.00010,0.00537,0.00000,0.00148,0.00976
1403715281.613169431686401,0.00263,0.00019,0.00008,0.00501,0.00017,0.00151,0.00960
1403715281.663154602050781,0.00262,0.00019,0.00012,0.00479,0.00039,0.00168,0.00979
1403715281.713130235671997,0.00264,0.00021,0.00033,0.00366,0.00000,0.00138,0.00822
1403715281.762982845306396,0.00271,0.00017,0.00748,0.00548,0.00630,0.00143,0.02358
1403715281.812998771667480,0.00424,0.00018,0.00016,0.00360,0.00001,0.00144,0.00962
1403715281.862958669662476,0.00275,0.00017,0.00033,0.00331,0.00000,0.00140,0.00796
1403715281.912964582443237,0.00346,0.00017,0.00011,0.00339,0.00864,0.00146,0.01723
1403715281.962934255599976,0.00330,0.00017,0.00005,0.00485,0.00000,0.00156,0.00993
1403715282.012938737869263,0.00273,0.00017,0.00009,0.00480,0.00003,0.00148,0.00930
1403715282.062879085540771,0.00261,0.00018,0.00476,0.00469,0.00320,0.00147,0.01691
1403715282.112889766693115,0.00266,0.00019,0.00001,0.00588,0.00000,0.00144,0.01018
1403715282.162921667098999,0.00248,0.00021,0.00005,0.00527,0.00000,0.00151,0.00952
1403715282.212908983230591,0.00255,0.00021,0.00002,0.00512,0.00000,0.00159,0.00948
1403715282.262927293777466,0.00309,0.00017,0.00014,0.00504,0.00031,0.00158,0.01032
1403715282.312922954559326,0.00320,0.00019,0.00066,0.00525,0.00000,0.00151,0.01080
1403715282.362918615341187,0.00248,0.00021,0.01381,0.00531,0.00352,0.00137,0.02671
1403715282.412893295288086,0.00257,0.00021,0.00015,0.00526,0.00000,0.00142,0.00961
1403715282.462879657745361,0.00247,0.00019,0.00006,0.00506,0.00000,0.00147,0.00924
1403715282.512848854064941,0.00224,0.00018,0.00013,0.00481,0.00140,0.00138,0.01015
1403715282.562886476516724,0.00237,0.00019,0.00007,0.00507,0.00000,0.00143,0.00913
1403715282.612913846969604,0.00242,0.00017,0.00014,0.00426,0.00020,0.00137,0.00856
1403715282.662997961044312,0.00336,0.00019,0.00376,0.00399,0.00467,0.00137,0.01734
1403715282.712943553924561,0.00229,0.00017,0.00077,0.00494,0.00001,0.00147,0.00966
1403715282.762961149215698,0.00349,0.00021,0.00002,0.00480,0.00000,0.00155,0.01008
