# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863231897354126,0.00390,0.00015,0.00047,0.00000,0.00000,0.00197,0.00649
1403715278.911832809448242,0.00500,0.00024,0.00613,0.00000,0.00956,0.00164,0.02258
1403715278.961926937103271,0.00298,0.00016,0.00061,0.00283,0.00000,0.00154,0.00812
1403715279.011647701263428,0.00300,0.00017,0.00007,0.00275,0.00000,0.00162,0.00761
1403715279.061487436294556,0.00324,0.00018,0.00004,0.00268,0.00000,0.00161,0.00775
1403715279.111063480377197,0.00271,0.00018,0.00048,0.00266,0.00000,0.00153,0.00757
1403715279.161073446273804,0.00244,0.00016,0.00051,0.00254,0.00000,0.00151,0.00717
1403715279.211390495300293,0.00240,0.00016,0.00067,0.00254,0.00000,0.00157,0.00735
1403715279.261416912078857,0.00234,0.00014,0.00001,0.00252,0.00502,0.00158,0.01162
1403715279.311603069305420,0.00231,0.00017,0.00004,0.00308,0.00426,0.00154,0.01142
1403715279.361919641494751,0.00232,0.00017,0.00001,0.00355,0.00125,0.00156,0.00886
1403715279.412391424179077,0.00245,0.00018,0.00002,0.00379,0.00998,0.00145,0.01786
1403715279.462741374969482,0.00230,0.00020,0.00001,0.00552,0.00000,0.00172,0.00976
1403715279.512772083282471,0.00218,0.00019,0.01164,0.00524,0.00125,0.00141,0.02192
1403715279.562441825866699,0.00252,0.00020,0.00003,0.00566,0.00005,0.00142,0.00989
1403715279.612393379211426,0.00255,0.00021,0.00121,0.00560,0.00129,0.00150,0.01236
1403715279.662371635437012,0.00309,0.00021,0.00001,0.00599,0.00000,0.00149,0.01079
1403715279.712355852127075,0.00308,0.00019,0.00001,0.00585,0.00000,0.00148,0.01062
1403715279.762283563613892,0.00253,0.00020,0.00001,0.00580,0.00000,0.00152,0.01007
1403715279.812336444854736,0.00246,0.00019,0.00005,0.00582,0.00000,0.00159,0.01011
1403715279.862141847610474,0.00242,0.00019,0.00006,0.00580,0.00000,0.00158,0.01004
1403715279.912100553512573,0.00255,0.00018,0.00060,0.00575,0.00000,0.00155,0.01063
1403715279.961245059967041,0.00251,0.00019,0.00127,0.00573,0.00003,0.00159,0.01133
1403715280.011064767837524,0.00266,0.00020,0.00002,0.00580,0.00000,0.00178,0.01047
1403715280.061054706573486,0.00334,0.00017,0.00005,0.00569,0.00000,0.00145,0.01071
1403715280.110980033874512,0.00321,0.00019,0.01055,0.00545,0.00004,0.00140,0.02084
1403715280.161292552947998,0.00251,0.00020,0.00001,0.00562,0.00004,0.00144,0.00982
1403715280.211636543273926,0.00275,0.00022,0.00007,0.00554,0.00125,0.00148,0.01131
1403715280.262211084365845,0.00281,0.00019,0.00014,0.00574,0.00000,0.00147,0.01034
1403715280.312240600585938,0.00266,0.00021,0.00007,0.00551,0.00000,0.00142,0.00988
1403715280.362236499786377,0.00260,0.00020,0.00001,0.00517,0.00000,0.00149,0.00949
1403715280.412192583084106,0.00284,0.00020,0.00002,0.00528,0.00000,0.00149,0.00983
1403715280.462153911590576,0.00260,0.00019,0.00055,0.00519,0.00018,0.00149,0.01020
1403715280.512176036834717,0.00333,0.00019,0.00005,0.00530,0.00000,0.00162,0.01051
1403715280.562106609344482,0.00252,0.00019,0.00091,0.00510,0.00084,0.00175,0.01131
1403715280.612199306488037,0.00299,0.00017,0.00069,0.00508,0.00347,0.00142,0.01382
1403715280.662265062332153,0.00268,0.00021,0.00056,0.00569,0.00001,0.00145,0.01060
1403715280.712363481521606,0.00269,0.00022,0.01013,0.00566,0.00167,0.00185,0.02222
1403715280.762374162673950,0.00302,0.00019,0.00081,0.00549,0.00121,0.00149,0.01221
1403715280.812410593032837,0.00263,0.00019,0.00094,0.00532,0.00019,0.00138,0.01064
1403715280.862439870834351,0.00253,0.00019,0.00024,0.00493,0.00000,0.00145,0.00934
1403715280.912511587142944,0.00339,0.00018,0.00126,0.00497,0.00000,0.00152,0.01134
1403715280.962496042251587,0.00268,0.00021,0.00030,0.00431,0.00223,0.00150,0.01123
1403715281.012470483779907,0.00260,0.00017,0.00020,0.00434,0.00000,0.00143,0.00874
1403715281.062467575073242,0.00226,0.00019,0.00004,0.00434,0.00000,0.00152,0.00835
1403715281.112462759017944,0.00248,0.00022,0.00017,0.00419,0.00000,0.00164,0.00871
1403715281.162504673004150,0.00261,0.00021,0.00007,0.00401,0.00341,0.00151,0.01181
1403715281.212536811828613,0.00301,0.00018,0.00068,0.00433,0.00000,0.00148,0.00968
1403715281.262649059295654,0.00255,0.00016,0.00012,0.00422,0.00000,0.00143,0.00849
1403715281.312738180160522,0.00252,0.00016,0.00607,0.00393,0.00869,0.00150,0.02286
1403715281.362628459930420,0.00248,0.00021,0.00073,0.00525,0.00000,0.00144,0.01012
1403715281.412736415863037,0.00252,0.00021,0.00002,0.00542,0.00006,0.00148,0.00970
1403715281.462792396545410,0.00251,0.00019,0.00723,0.00494,0.00362,0.00145,0.01994
