# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864676713943481,0.00856,0.00010,0.00034,0.00000,0.00000,0.00226,0.01125
1403715278.908056259155273,0.00822,0.00011,0.00368,0.00000,0.00733,0.00225,0.02159
1403715278.958448648452759,0.00783,0.00012,0.00040,0.00241,0.00000,0.00210,0.01285
1403715279.007982969284058,0.00903,0.00014,0.00007,0.00215,0.00000,0.00308,0.01447
1403715279.057370424270630,0.00837,0.00011,0.00003,0.00219,0.00000,0.00235,0.01305
1403715279.106485843658447,0.00738,0.00013,0.00042,0.00221,0.00000,0.00237,0.01250
1403715279.156696081161499,0.00793,0.00016,0.00047,0.00196,0.00000,0.00218,0.01270
1403715279.207427501678467,0.00792,0.00014,0.00060,0.00230,0.00000,0.00225,0.01321
1403715279.258870840072632,0.00721,0.00013,0.00001,0.00226,0.00513,0.00259,0.01733
1403715279.308734893798828,0.00724,0.00016,0.00005,0.00312,0.00427,0.00211,0.01695
1403715279.357144117355347,0.00718,0.00012,0.00001,0.00384,0.00149,0.00228,0.01492
1403715279.406558752059937,0.00896,0.00016,0.00002,0.00382,0.00929,0.00245,0.02469
1403715279.455590963363647,0.00814,0.00014,0.00001,0.00514,0.00000,0.00254,0.01597
1403715279.504571914672852,0.00777,0.00015,0.01115,0.00509,0.00120,0.00260,0.02796
1403715279.553889274597168,0.00779,0.00014,0.00001,0.00546,0.00006,0.00242,0.01588
1403715279.603767633438110,0.00817,0.00013,0.00114,0.00538,0.00130,0.00237,0.01849
1403715279.653894662857056,0.00758,0.00014,0.00001,0.00570,0.00000,0.00217,0.01561
1403715279.703866720199585,0.00741,0.00015,0.00001,0.00570,0.00000,0.00232,0.01559
1403715279.753617763519287,0.00798,0.00012,0.00001,0.00580,0.00000,0.00238,0.01629
1403715279.803654670715332,0.00840,0.00014,0.00004,0.00588,0.00000,0.00240,0.01686
1403715279.853769063949585,0.00735,0.00015,0.00005,0.00595,0.00000,0.00248,0.01599
1403715279.903861522674561,0.00809,0.00030,0.00057,0.00572,0.00000,0.00229,0.01697
1403715279.953565120697021,0.00779,0.00015,0.00121,0.00662,0.00003,0.00225,0.01807
1403715280.005307674407959,0.00735,0.00015,0.00001,0.00558,0.00000,0.00248,0.01558
1403715280.056548357009888,0.00826,0.00015,0.00004,0.00543,0.00000,0.00219,0.01608
1403715280.107532024383545,0.00896,0.00016,0.01014,0.00545,0.00020,0.00199,0.02689
1403715280.158593416213989,0.00861,0.00016,0.00005,0.00550,0.00004,0.00230,0.01666
1403715280.208880662918091,0.00766,0.00013,0.00121,0.00541,0.00006,0.00210,0.01657
1403715280.259410858154297,0.00845,0.00022,0.00017,0.00529,0.00000,0.00218,0.01631
1403715280.309331655502319,0.00846,0.00011,0.00001,0.00507,0.00000,0.00223,0.01589
1403715280.359190464019775,0.00836,0.00014,0.00001,0.00520,0.00000,0.00250,0.01621
1403715280.409034252166748,0.00881,0.00016,0.00001,0.00516,0.00000,0.00227,0.01641
1403715280.458746671676636,0.00773,0.00014,0.00042,0.00516,0.00000,0.00237,0.01583
1403715280.508611202239990,0.00904,0.00016,0.00010,0.00470,0.00001,0.00247,0.01647
1403715280.558187484741211,0.01016,0.00015,0.00103,0.00512,0.00167,0.00321,0.02134
1403715280.608301639556885,0.00794,0.00014,0.00044,0.00440,0.00000,0.00206,0.01499
1403715280.658543586730957,0.00775,0.00014,0.00060,0.00416,0.00385,0.00209,0.01859
1403715280.709084749221802,0.00791,0.00015,0.01162,0.00519,0.00037,0.00261,0.02785
1403715280.759191751480103,0.00981,0.00017,0.00062,0.00539,0.00061,0.00240,0.01900
1403715280.809191226959229,0.00786,0.00016,0.00174,0.00488,0.00004,0.00240,0.01708
1403715280.859212636947632,0.01180,0.00017,0.00032,0.00507,0.00000,0.00252,0.01988
1403715280.909234285354614,0.00883,0.00015,0.00013,0.00493,0.00000,0.00236,0.01640
1403715280.959400177001953,0.00764,0.00012,0.00047,0.00379,0.00000,0.00223,0.01425
1403715281.009419918060303,0.00821,0.00014,0.00029,0.00289,0.00016,0.00211,0.01380
1403715281.059429168701172,0.00914,0.00016,0.00048,0.00125,0.00030,0.00222,0.01354
1403715281.109673738479614,0.00752,0.00013,0.00015,0.00127,0.00597,0.00241,0.01745
1403715281.159694910049438,0.00952,0.00012,0.00108,0.00185,0.00174,0.00209,0.01641
1403715281.209725379943848,0.00955,0.00015,0.00069,0.00428,0.00000,0.00233,0.01700
1403715281.259738922119141,0.00782,0.00017,0.00011,0.00330,0.00031,0.00216,0.01386
1403715281.310082912445068,0.00806,0.00016,0.00563,0.00156,0.00601,0.00332,0.02474
1403715281.360179424285889,0.01008,0.00015,0.00012,0.00125,0.00014,0.00230,0.01404
1403715281.410335779190063,0.00813,0.00020,0.00504,0.00169,0.00437,0.00242,0.02184
1403715281.460169315338135,0.00812,0.00015,0.00057,0.00403,0.00067,0.00219,0.01572
1403715281.510162830352783,0.00842,0.00018,0.00016,0.00328,0.00028,0.00208,0.01441
1403715281.560007095336914,0.00871,0.00018,0.00017,0.00348,0.00064,0.00221,0.01540
1403715281.609967470169067,0.00984,0.00012,0.00050,0.00323,0.00085,0.00231,0.01686
1403715281.659898519515991,0.00931,0.00015,0.00009,0.00495,0.00027,0.00199,0.01676
1403715281.709962606430054,0.01040,0.00012,0.00500,0.00396,0.00231,0.00231,0.02412
1403715281.760027647018433,0.01017,0.00014,0.00034,0.00428,0.00001,0.00250,0.01744
1403715281.810020923614502,0.00892,0.00014,0.00007,0.00380,0.00000,0.00219,0.01512
1403715281.860117435455322,0.00981,0.00014,0.00079,0.00343,0.00001,0.00231,0.01649
1403715281.910163164138794,0.00790,0.00013,0.00008,0.00339,0.01006,0.00235,0.02390
1403715281.960204839706421,0.00832,0.00014,0.00001,0.00541,0.00000,0.00281,0.01670
1403715282.010298490524292,0.00780,0.00012,0.00468,0.00771,0.00233,0.00243,0.02506
1403715282.060223817825317,0.00751,0.00015,0.00004,0.00554,0.00000,0.00225,0.01549
1403715282.110294580459595,0.00787,0.00016,0.00001,0.00541,0.00000,0.00247,0.01594
1403715282.160293340682983,0.00800,0.00021,0.00008,0.00402,0.00018,0.00225,0.01473
1403715282.210309028625488,0.00742,0.00015,0.00009,0.00324,0.00016,0.00203,0.01308
1403715282.260456323623657,0.00754,0.00014,0.01278,0.00397,0.00311,0.00231,0.02985
1403715282.310445308685303,0.00817,0.00016,0.00460,0.00565,0.00024,0.00212,0.02093
1403715282.360392093658447,0.00809,0.00015,0.00002,0.00555,0.00000,0.00229,0.01610
1403715282.410068988800049,0.00754,0.00015,0.00058,0.00316,0.00018,0.00230,0.01391
1403715282.460111618041992,0.00909,0.00028,0.00037,0.00122,0.00027,0.00225,0.01349
1403715282.510111093521118,0.01081,0.00017,0.00042,0.00089,0.00238,0.00232,0.01699
1403715282.560158491134644,0.00888,0.00014,0.00046,0.00205,0.00161,0.00215,0.01529
1403715282.610254049301147,0.00824,0.00016,0.00025,0.00374,0.00712,0.00219,0.02169
1403715282.660262346267700,0.01053,0.00012,0.00052,0.00526,0.00001,0.00241,0.01885
1403715282.710273504257202,0.00795,0.00014,0.00068,0.00491,0.00000,0.00250,0.01619
1403715282.760144710540771,0.00816,0.00012,0.00014,0.00440,0.00000,0.00232,0.01513
1403715282.810093402862549,0.00701,0.00015,0.00038,0.00424,0.00024,0.00240,0.01442
1403715282.860237598419189,0.00837,0.00018,0.00671,0.00391,0.00532,0.00251,0.02699
1403715282.910228729248047,0.00836,0.00016,0.00456,0.00731,0.00114,0.00223,0.02376
1403715282.960231304168701,0.00893,0.00016,0.00013,0.00561,0.00000,0.00231,0.01714
1403715283.010138273239136,0.00997,0.00017,0.00018,0.00508,0.00000,0.00303,0.01844
1403715283.060331821441650,0.00869,0.00012,0.01157,0.00467,0.00121,0.00245,0.02872
1403715283.110321998596191,0.00878,0.00021,0.00031,0.00504,0.00001,0.00261,0.01696
1403715283.210364341735840,0.00863,0.00018,0.00003,0.00439,0.00061,0.00222,0.01607
1403715283.260387659072876,0.00935,0.00015,0.00001,0.00466,0.00020,0.00237,0.01674
1403715283.310385704040527,0.00800,0.00011,0.00023,0.00499,0.00096,0.00243,0.01672
1403715283.360322237014771,0.00803,0.00016,0.00008,0.00474,0.00018,0.00230,0.01550
1403715283.410246133804321,0.00974,0.00014,0.00006,0.00471,0.00000,0.00247,0.01712
1403715283.460126161575317,0.01217,0.00017,0.00019,0.00406,0.00001,0.00230,0.01890
