# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.864676713943481,0.00283,0.00009,0.00034,0.00000,0.00000,0.00152,0.00478
1403715278.908056259155273,0.00284,0.00011,0.00352,0.00000,0.00709,0.00136,0.01491
1403715278.958448648452759,0.00258,0.00012,0.00040,0.00217,0.00000,0.00125,0.00652
1403715279.007982969284058,0.00320,0.00012,0.00007,0.00215,0.00000,0.00143,0.00697
1403715279.057370424270630,0.00280,0.00011,0.00003,0.00217,0.00000,0.00139,0.00650
1403715279.106485843658447,0.00242,0.00013,0.00042,0.00221,0.00000,0.00141,0.00658
1403715279.156696081161499,0.00243,0.00014,0.00047,0.00195,0.00000,0.00140,0.00639
1403715279.207427501678467,0.00268,0.00013,0.00060,0.00225,0.00000,0.00143,0.00710
1403715279.258870840072632,0.00231,0.00013,0.00001,0.00225,0.00443,0.00156,0.01069
1403715279.308734893798828,0.00229,0.00014,0.00005,0.00291,0.00393,0.00134,0.01065
1403715279.357144117355347,0.00229,0.00012,0.00001,0.00366,0.00130,0.00144,0.00883
1403715279.406558752059937,0.00316,0.00016,0.00002,0.00351,0.00891,0.00154,0.01729
1403715279.455590963363647,0.00230,0.00014,0.00001,0.00503,0.00000,0.00168,0.00916
1403715279.504571914672852,0.00230,0.00015,0.01093,0.00497,0.00120,0.00147,0.02102
1403715279.553889274597168,0.00225,0.00014,0.00001,0.00537,0.00005,0.00153,0.00936
1403715279.603767633438110,0.00267,0.00013,0.00114,0.00529,0.00126,0.00145,0.01194
1403715279.653894662857056,0.00228,0.00014,0.00001,0.00560,0.00000,0.00139,0.00941
1403715279.703866720199585,0.00223,0.00015,0.00001,0.00558,0.00000,0.00147,0.00945
1403715279.753617763519287,0.00235,0.00012,0.00001,0.00564,0.00000,0.00144,0.00957
1403715279.803654670715332,0.00273,0.00014,0.00004,0.00569,0.00000,0.00152,0.01012
1403715279.853769063949585,0.00222,0.00015,0.00005,0.00579,0.00000,0.00162,0.00983
1403715279.903861522674561,0.00250,0.00030,0.00057,0.00560,0.00000,0.00138,0.01035
1403715279.953565120697021,0.00251,0.00015,0.00121,0.00646,0.00003,0.00143,0.01180
1403715280.005307674407959,0.00228,0.00015,0.00001,0.00542,0.00000,0.00176,0.00962
1403715280.056548357009888,0.00246,0.00014,0.00004,0.00528,0.00000,0.00150,0.00944
1403715280.107532024383545,0.00270,0.00015,0.00995,0.00523,0.00020,0.00135,0.01959
1403715280.158593416213989,0.00244,0.00016,0.00005,0.00533,0.00003,0.00148,0.00949
1403715280.208880662918091,0.00229,0.00013,0.00112,0.00524,0.00006,0.00144,0.01027
1403715280.259410858154297,0.00264,0.00022,0.00010,0.00517,0.00000,0.00141,0.00954
1403715280.309331655502319,0.00240,0.00011,0.00001,0.00491,0.00000,0.00144,0.00888
1403715280.359190464019775,0.00234,0.00014,0.00001,0.00507,0.00000,0.00155,0.00911
1403715280.409034252166748,0.00259,0.00016,0.00001,0.00502,0.00000,0.00145,0.00923
1403715280.458746671676636,0.00234,0.00014,0.00042,0.00501,0.00000,0.00148,0.00939
1403715280.508611202239990,0.00296,0.00016,0.00010,0.00453,0.00001,0.00158,0.00933
1403715280.558187484741211,0.00339,0.00015,0.00103,0.00500,0.00164,0.00238,0.01358
1403715280.608301639556885,0.00249,0.00014,0.00044,0.00428,0.00000,0.00139,0.00874
1403715280.658543586730957,0.00239,0.00014,0.00050,0.00407,0.00378,0.00136,0.01224
1403715280.709084749221802,0.00238,0.00015,0.01125,0.00511,0.00037,0.00155,0.02080
1403715280.759191751480103,0.00286,0.00017,0.00057,0.00533,0.00061,0.00148,0.01102
1403715280.809191226959229,0.00236,0.00015,0.00172,0.00483,0.00004,0.00149,0.01059
1403715280.859212636947632,0.00373,0.00017,0.00032,0.00495,0.00000,0.00157,0.01074
1403715280.909234285354614,0.00268,0.00015,0.00013,0.00485,0.00000,0.00160,0.00940
1403715280.959400177001953,0.00257,0.00012,0.00047,0.00373,0.00000,0.00147,0.00836
1403715281.009419918060303,0.00243,0.00014,0.00026,0.00288,0.00016,0.00141,0.00727
1403715281.059429168701172,0.00306,0.00016,0.00048,0.00120,0.00026,0.00150,0.00666
1403715281.109673738479614,0.00224,0.00013,0.00015,0.00117,0.00584,0.00165,0.01119
1403715281.159694910049438,0.00306,0.00012,0.00103,0.00182,0.00171,0.00146,0.00919
1403715281.209725379943848,0.00340,0.00015,0.00069,0.00416,0.00000,0.00152,0.00992
1403715281.259738922119141,0.00250,0.00017,0.00011,0.00323,0.00028,0.00140,0.00769
1403715281.310082912445068,0.00250,0.00012,0.00548,0.00149,0.00591,0.00246,0.01795
1403715281.360179424285889,0.00314,0.00015,0.00012,0.00122,0.00014,0.00148,0.00625
1403715281.410335779190063,0.00270,0.00014,0.00496,0.00166,0.00421,0.00156,0.01523
1403715281.460169315338135,0.00256,0.00015,0.00057,0.00388,0.00067,0.00150,0.00933
1403715281.510162830352783,0.00254,0.00015,0.00016,0.00324,0.00028,0.00143,0.00779
1403715281.560007095336914,0.00311,0.00018,0.00017,0.00339,0.00064,0.00147,0.00896
1403715281.609967470169067,0.00318,0.00012,0.00050,0.00321,0.00085,0.00142,0.00928
1403715281.659898519515991,0.00313,0.00015,0.00009,0.00486,0.00027,0.00133,0.00982
1403715281.709962606430054,0.00333,0.00012,0.00493,0.00388,0.00229,0.00148,0.01602
1403715281.760027647018433,0.00343,0.00014,0.00034,0.00417,0.00001,0.00150,0.00959
1403715281.810020923614502,0.00276,0.00014,0.00007,0.00370,0.00000,0.00145,0.00813
1403715281.860117435455322,0.00324,0.00014,0.00072,0.00332,0.00001,0.00151,0.00894
1403715281.910163164138794,0.00238,0.00012,0.00008,0.00333,0.00980,0.00149,0.01721
1403715281.960204839706421,0.00243,0.00014,0.00001,0.00533,0.00000,0.00194,0.00985
1403715282.010298490524292,0.00230,0.00012,0.00466,0.00747,0.00230,0.00150,0.01834
1403715282.060223817825317,0.00230,0.00015,0.00004,0.00550,0.00000,0.00149,0.00948
1403715282.110294580459595,0.00237,0.00016,0.00001,0.00537,0.00000,0.00152,0.00944
1403715282.160293340682983,0.00240,0.00021,0.00008,0.00399,0.00018,0.00151,0.00837
1403715282.210309028625488,0.00233,0.00015,0.00008,0.00313,0.00016,0.00144,0.00729
1403715282.260456323623657,0.00227,0.00014,0.01248,0.00384,0.00310,0.00149,0.02332
1403715282.310445308685303,0.00230,0.00016,0.00455,0.00551,0.00021,0.00150,0.01423
1403715282.360392093658447,0.00230,0.00015,0.00002,0.00538,0.00000,0.00144,0.00929
1403715282.410068988800049,0.00220,0.00015,0.00058,0.00306,0.00018,0.00154,0.00771
1403715282.460111618041992,0.00357,0.00028,0.00037,0.00122,0.00027,0.00144,0.00715
1403715282.510111093521118,0.00353,0.00016,0.00042,0.00090,0.00234,0.00157,0.00891
1403715282.560158491134644,0.00274,0.00014,0.00046,0.00195,0.00157,0.00142,0.00829
1403715282.610254049301147,0.00261,0.00016,0.00025,0.00367,0.00702,0.00149,0.01519
1403715282.660262346267700,0.00348,0.00012,0.00052,0.00514,0.00001,0.00156,0.01082
1403715282.710273504257202,0.00247,0.00014,0.00066,0.00482,0.00000,0.00160,0.00970
1403715282.760144710540771,0.00251,0.00012,0.00014,0.00433,0.00000,0.00154,0.00863
1403715282.810093402862549,0.00238,0.00015,0.00038,0.00424,0.00017,0.00154,0.00885
1403715282.860237598419189,0.00246,0.00018,0.00657,0.00381,0.00529,0.00154,0.01985
1403715282.910228729248047,0.00244,0.00016,0.00452,0.00705,0.00114,0.00141,0.01672
1403715282.960231304168701,0.00254,0.00016,0.00013,0.00546,0.00000,0.00152,0.00980
1403715283.010138273239136,0.00312,0.00017,0.00018,0.00496,0.00000,0.00209,0.01052
1403715283.060331821441650,0.00265,0.00012,0.01122,0.00466,0.00120,0.00157,0.02142
1403715283.110321998596191,0.00251,0.00021,0.00031,0.00499,0.00001,0.00166,0.00968
1403715283.210364341735840,0.00249,0.00018,0.00003,0.00436,0.00061,0.00147,0.00913
1403715283.260387659072876,0.00296,0.00015,0.00001,0.00461,0.00020,0.00146,0.00939
1403715283.310385704040527,0.00235,0.00011,0.00014,0.00494,0.00092,0.00154,0.01001
1403715283.360322237014771,0.00233,0.00016,0.00008,0.00470,0.00017,0.00144,0.00886
1403715283.410246133804321,0.00321,0.00012,0.00006,0.00470,0.00000,0.00160,0.00969
1403715283.460126161575317,0.00425,0.00017,0.00019,0.00402,0.00001,0.00149,0.01013
1403715283.510120630264282,0.00388,0.00015,0.00358,0.00345,0.00737,0.00160,0.02004
1403715283.559962987899780,0.00280,0.00017,0.00227,0.00432,0.00347,0.00153,0.01456
1403715283.659943819046021,0.00387,0.00020,0.00016,0.00479,0.00017,0.00156,0.01074
1403715283.709979772567749,0.00272,0.00014,0.00076,0.00459,0.00000,0.00160,0.00981
1403715283.759968042373657,0.00343,0.00014,0.00726,0.00050,0.00436,0.00166,0.01736
1403715283.809987306594849,0.00289,0.00014,0.00052,0.00046,0.00059,0.00158,0.00620
1403715283.909991025924683,0.00264,0.00016,0.00101,0.00030,0.00257,0.00160,0.00830
1403715283.959896802902222,0.00280,0.00015,0.00031,0.00300,0.00071,0.00185,0.00882
1403715284.009832859039307,0.00360,0.00014,0.00044,0.00265,0.00016,0.00155,0.00854
1403715284.059837579727173,0.00337,0.00011,0.00010,0.00252,0.00015,0.00154,0.00780
1403715284.109907150268555,0.00261,0.00018,0.00144,0.00201,0.00324,0.00157,0.01105
1403715284.160055875778198,0.00269,0.00011,0.00701,0.00353,0.00141,0.00166,0.01641
1403715284.210103511810303,0.00365,0.00015,0.00039,0.00342,0.00306,0.00153,0.01220
1403715284.260226726531982,0.00279,0.00016,0.00109,0.00387,0.00120,0.00160,0.01071
1403715284.310258388519287,0.00267,0.00020,0.00012,0.00410,0.00032,0.00152,0.00894
1403715284.360276460647583,0.00340,0.00011,0.00027,0.00416,0.00086,0.00154,0.01034
1403715284.410176515579224,0.00263,0.00015,0.00699,0.00550,0.00021,0.00165,0.01712
1403715284.460093259811401,0.00265,0.00015,0.00001,0.00548,0.00065,0.00181,0.01076
1403715284.560014724731445,0.00350,0.00021,0.00051,0.00568,0.00064,0.00161,0.01215
1403715284.609800815582275,0.00335,0.00016,0.00054,0.00561,0.00000,0.00152,0.01118
1403715284.659840822219849,0.00260,0.00015,0.00001,0.00584,0.00000,0.00155,0.01016
1403715284.709821224212646,0.00279,0.00012,0.00057,0.00532,0.00000,0.00176,0.01057
1403715284.759802818298340,0.00286,0.00029,0.00331,0.00539,0.00019,0.00158,0.01361
1403715284.859587430953979,0.00247,0.00023,0.01153,0.00418,0.00034,0.00160,0.02035
1403715284.909624814987183,0.00244,0.00015,0.00116,0.00210,0.00124,0.00155,0.00864
1403715285.009643077850342,0.00246,0.00015,0.00124,0.00048,0.00075,0.00144,0.00652
1403715285.059658765792847,0.00233,0.00015,0.00081,0.00057,0.00198,0.00148,0.00734
1403715285.109606266021729,0.00237,0.00015,0.00080,0.00209,0.00185,0.00145,0.00871
