# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.058765172958374,0.00369,0.00010,0.00056,0.00000,0.00000,0.00125,0.00560
1413393890.105403661727905,0.00445,0.00012,0.00181,0.00000,0.00295,0.00114,0.01048
1413393890.155354022979736,0.00350,0.00012,0.00003,0.00085,0.00000,0.00127,0.00578
1413393890.205099821090698,0.00405,0.00013,0.00029,0.00086,0.00000,0.00129,0.00662
1413393890.255239009857178,0.00350,0.00014,0.00015,0.00085,0.00000,0.00145,0.00609
1413393890.305698394775391,0.00346,0.00014,0.00035,0.00083,0.00000,0.00136,0.00613
1413393890.356010437011719,0.00363,0.00014,0.00004,0.00092,0.00000,0.00128,0.00600
1413393890.406068325042725,0.00391,0.00020,0.00057,0.00088,0.00000,0.00138,0.00695
1413393890.456363439559937,0.00401,0.00012,0.00053,0.00085,0.00138,0.00126,0.00815
1413393890.506407737731934,0.00348,0.00015,0.00028,0.00102,0.00025,0.00130,0.00649
1413393890.556190967559814,0.00333,0.00012,0.00035,0.00117,0.00686,0.00131,0.01313
1413393890.606307744979858,0.00329,0.00015,0.00021,0.00184,0.00640,0.00132,0.01321
1413393890.657096147537231,0.00351,0.00016,0.00010,0.00269,0.00164,0.00139,0.00950
1413393890.707682371139526,0.00343,0.00019,0.00390,0.00269,0.00973,0.00123,0.02116
1413393890.757763147354126,0.00326,0.00020,0.00176,0.00445,0.00118,0.00129,0.01214
1413393890.807760953903198,0.00353,0.00019,0.00006,0.00470,0.00112,0.00133,0.01093
1413393890.857728242874146,0.00373,0.00021,0.00306,0.00478,0.00000,0.00132,0.01309
1413393890.907525062561035,0.00365,0.00018,0.00143,0.00477,0.00000,0.00132,0.01135
1413393890.957428693771362,0.00341,0.00020,0.00304,0.00479,0.00000,0.00130,0.01275
1413393891.007418632507324,0.00358,0.00019,0.00012,0.00500,0.00000,0.00137,0.01026
1413393891.057419538497925,0.00369,0.00020,0.00342,0.00485,0.00000,0.00146,0.01362
1413393891.107486248016357,0.00368,0.00018,0.00059,0.00514,0.00000,0.00140,0.01100
1413393891.157511234283447,0.00347,0.00021,0.00281,0.00482,0.00001,0.00151,0.01283
1413393891.207590818405151,0.00336,0.00020,0.00110,0.00474,0.00018,0.00145,0.01103
1413393891.257673740386963,0.00366,0.00021,0.00051,0.00479,0.00083,0.00154,0.01152
1413393891.307695627212524,0.00335,0.00023,0.00436,0.00502,0.00000,0.00130,0.01426
1413393891.357463598251343,0.00390,0.00019,0.00222,0.00405,0.00000,0.00143,0.01178
1413393891.407332658767700,0.00414,0.00019,0.00185,0.00314,0.00000,0.00123,0.01056
1413393891.457348108291626,0.00369,0.00017,0.00050,0.00315,0.00201,0.00127,0.01079
1413393891.507328987121582,0.00387,0.00021,0.00110,0.00286,0.00121,0.00124,0.01049
1413393891.557265043258667,0.00483,0.00020,0.00011,0.00320,0.00201,0.00132,0.01167
1413393891.607150077819824,0.00349,0.00018,0.00011,0.00356,0.00096,0.00127,0.00958
1413393891.657003402709961,0.00376,0.00016,0.00007,0.00383,0.00512,0.00133,0.01429
1413393891.706930875778198,0.00326,0.00018,0.00032,0.00463,0.00001,0.00141,0.00982
1413393891.756815433502197,0.00335,0.00017,0.00002,0.00447,0.00259,0.00141,0.01200
1413393891.806734561920166,0.00325,0.00019,0.00011,0.00437,0.00159,0.00140,0.01091
1413393891.856703042984009,0.00388,0.00018,0.00004,0.00476,0.00000,0.00137,0.01023
1413393891.906611442565918,0.00360,0.00019,0.00174,0.00412,0.00344,0.00139,0.01448
1413393891.956510066986084,0.00372,0.00019,0.00288,0.00471,0.00132,0.00126,0.01407
1413393892.006466627120972,0.00574,0.00018,0.00581,0.00452,0.00000,0.00125,0.01751
1413393892.056480884552002,0.00429,0.00015,0.00011,0.00372,0.00101,0.00135,0.01064
1413393892.106523990631104,0.00470,0.00017,0.00060,0.00349,0.00673,0.00124,0.01693
1413393892.156482934951782,0.00400,0.00019,0.00027,0.00409,0.00227,0.00126,0.01207
1413393892.206295013427734,0.00429,0.00018,0.00027,0.00469,0.00017,0.00153,0.01114
1413393892.256201505661011,0.00410,0.00019,0.00046,0.00446,0.00002,0.00133,0.01056
1413393892.306109905242920,0.00447,0.00018,0.00116,0.00394,0.00001,0.00142,0.01119
1413393892.356072425842285,0.00345,0.00020,0.00079,0.00487,0.00056,0.00137,0.01125
1413393892.406001329421997,0.00414,0.00018,0.00127,0.00361,0.00001,0.00132,0.01052
1413393892.455899477005005,0.00462,0.00014,0.00013,0.00315,0.00001,0.00134,0.00940
1413393892.505826234817505,0.00367,0.00018,0.00019,0.00311,0.00048,0.00130,0.00894
1413393892.555799245834351,0.00374,0.00018,0.00123,0.00265,0.00343,0.00151,0.01273
1413393892.605807781219482,0.00440,0.00018,0.00124,0.00318,0.00024,0.00127,0.01051
1413393892.655816316604614,0.00538,0.00019,0.00137,0.00340,0.00450,0.00145,0.01629
1413393892.705827713012695,0.00399,0.00019,0.00148,0.00350,0.00163,0.00140,0.01219
1413393892.755841970443726,0.00411,0.00018,0.00055,0.00371,0.00222,0.00137,0.01215
1413393892.805837631225586,0.00352,0.00019,0.00043,0.00326,0.00394,0.00141,0.01275
1413393892.855832338333130,0.00344,0.00017,0.00016,0.00361,0.00172,0.00147,0.01057
1413393892.905827760696411,0.00357,0.00018,0.00126,0.00356,0.00078,0.00136,0.01070
1413393892.955825805664062,0.00541,0.00018,0.00037,0.00290,0.00112,0.00148,0.01146
1413393893.005823612213135,0.00399,0.00017,0.00266,0.00256,0.00426,0.00151,0.01516
1413393893.055834770202637,0.00375,0.00019,0.00067,0.00311,0.00097,0.00140,0.01009
1413393893.105839252471924,0.00380,0.00019,0.00044,0.00326,0.00001,0.00147,0.00918
1413393893.155853509902954,0.00373,0.00018,0.00121,0.00288,0.00410,0.00144,0.01353
1413393893.205840349197388,0.00401,0.00018,0.00553,0.00373,0.00228,0.00166,0.01739
1413393893.255843400955200,0.00368,0.00019,0.00046,0.00419,0.00001,0.00143,0.00996
1413393893.305860280990601,0.00374,0.00019,0.00285,0.00404,0.00059,0.00149,0.01290
1413393893.355863332748413,0.00348,0.00017,0.00223,0.00411,0.00002,0.00149,0.01151
1413393893.405895948410034,0.00368,0.00019,0.00231,0.00401,0.00062,0.00152,0.01234
1413393893.455931901931763,0.00354,0.00019,0.00054,0.00389,0.00059,0.00142,0.01017
1413393893.505996704101562,0.00350,0.00017,0.01507,0.00400,0.00068,0.00176,0.02519
1413393893.556008577346802,0.00351,0.00019,0.00008,0.00372,0.00213,0.00150,0.01113
1413393893.606026172637939,0.00354,0.00019,0.00291,0.00338,0.00054,0.00144,0.01201
1413393893.656027555465698,0.00359,0.00020,0.00043,0.00318,0.00015,0.00137,0.00892
1413393893.706024885177612,0.00338,0.00018,0.00046,0.00331,0.00064,0.00134,0.00930
1413393893.756025552749634,0.00450,0.00021,0.00039,0.00303,0.00016,0.00141,0.00971
1413393893.806032657623291,0.00381,0.00019,0.00462,0.00280,0.00355,0.00138,0.01636
1413393893.856035232543945,0.00372,0.00019,0.00194,0.00308,0.00051,0.00128,0.01072
1413393893.906035184860229,0.00475,0.00017,0.00151,0.00250,0.00233,0.00158,0.01285
1413393893.956033706665039,0.00359,0.00017,0.00097,0.00270,0.00196,0.00136,0.01075
1413393894.006034612655640,0.00404,0.00018,0.00178,0.00225,0.00198,0.00131,0.01154
1413393894.056042909622192,0.00409,0.00018,0.00220,0.00254,0.00002,0.00129,0.01031
1413393894.106051683425903,0.00378,0.00018,0.00090,0.00226,0.00403,0.00139,0.01254
1413393894.156062841415405,0.00400,0.00017,0.00036,0.00233,0.00048,0.00127,0.00861
1413393894.206068038940430,0.00352,0.00017,0.00051,0.00197,0.00183,0.00136,0.00936
1413393894.256065607070923,0.00365,0.00019,0.00115,0.00203,0.00014,0.00141,0.00857
1413393894.306067228317261,0.00383,0.00016,0.00065,0.00188,0.00594,0.00133,0.01380
1413393894.356068849563599,0.00356,0.00016,0.00088,0.00233,0.00016,0.00131,0.00841
1413393894.406071662902832,0.00398,0.00017,0.00014,0.00193,0.00106,0.00123,0.00851
1413393894.456070899963379,0.00337,0.00015,0.00005,0.00205,0.01007,0.00139,0.01708
1413393894.506070375442505,0.00345,0.00017,0.00080,0.00316,0.00024,0.00126,0.00908
1413393894.556070089340210,0.00352,0.00017,0.00011,0.00348,0.00109,0.00127,0.00964
1413393894.606070280075073,0.00362,0.00021,0.00051,0.00398,0.00612,0.00177,0.01620
1413393894.656075954437256,0.00339,0.00019,0.00119,0.00450,0.00107,0.00128,0.01162
1413393894.706079721450806,0.00360,0.00020,0.00019,0.00452,0.00163,0.00126,0.01140
1413393894.756082057952881,0.00380,0.00018,0.00318,0.00434,0.00117,0.00126,0.01393
1413393894.806084394454956,0.00366,0.00019,0.00321,0.00458,0.00218,0.00126,0.01509
1413393894.856090784072876,0.00383,0.00020,0.00358,0.00499,0.00019,0.00144,0.01424
1413393894.906102895736694,0.00357,0.00020,0.00099,0.00445,0.00016,0.00226,0.01163
1413393894.956109762191772,0.00345,0.00019,0.00236,0.00449,0.00090,0.00161,0.01300
1413393895.006114006042480,0.00397,0.00019,0.00024,0.00489,0.00132,0.00149,0.01211
