# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393890.058765172958374,0,13,0,0,5
1413393890.105513572692871,17,16,0,17,6
1413393890.155498981475830,17,0,17,0,7
1413393890.205138683319092,17,3,17,0,8
1413393890.255342006683350,17,1,17,0,9
1413393890.306085586547852,17,2,17,0,10
1413393890.356607437133789,17,0,17,0,11
1413393890.406722068786621,17,2,16,0,11
1413393890.456476926803589,18,2,15,2,11
1413393890.506275177001953,18,1,17,1,11
1413393890.556087493896484,30,1,18,12,11
1413393890.606305599212646,35,1,26,8,11
1413393890.656747102737427,38,0,34,3,11
1413393890.707111120223999,48,7,37,11,11
1413393890.757221698760986,49,3,48,1,11
1413393890.807290792465210,50,0,49,1,11
1413393890.857220172882080,50,4,50,0,11
1413393890.907202482223511,50,0,50,0,11
1413393890.957143306732178,50,3,50,0,11
1413393891.007077217102051,50,2,50,0,11
1413393891.056951284408569,50,5,50,0,11
1413393891.106882333755493,50,1,49,0,11
1413393891.156944990158081,50,3,48,0,11
1413393891.206985235214233,49,2,48,0,11
1413393891.257020235061646,50,0,48,2,11
1413393891.307200908660889,50,10,50,0,11
1413393891.357351303100586,46,3,43,0,11
1413393891.407359123229980,40,4,37,0,11
1413393891.457288265228271,40,3,34,2,11
1413393891.507094621658325,36,3,34,0,11
1413393891.556759834289551,37,0,33,4,11
1413393891.606465578079224,38,0,37,1,11
1413393891.656081438064575,43,0,37,5,11
1413393891.705967903137207,43,1,37,0,11
1413393891.755834341049194,44,1,34,2,11
1413393891.805730819702148,44,0,33,6,11
1413393891.855670452117920,42,0,38,1,11
1413393891.905545234680176,46,2,37,6,11
1413393891.955400705337524,47,2,42,2,11
1413393892.005363941192627,45,12,41,3,11
1413393892.055414199829102,46,0,42,2,11
1413393892.105554819107056,46,12,41,2,11
1413393892.155585527420044,45,1,40,1,11
1413393892.205530881881714,43,0,40,0,11
1413393892.255519866943359,40,0,39,1,11
1413393892.305466651916504,39,6,39,0,11
1413393892.355423927307129,40,3,39,1,11
1413393892.405338764190674,39,2,36,1,11
1413393892.455245733261108,38,0,30,1,11
1413393892.505203962326050,38,0,26,4,11
1413393892.555184364318848,31,2,29,0,11
1413393892.605197191238403,32,3,29,3,11
1413393892.655233144760132,34,2,30,4,11
1413393892.705285787582397,44,1,31,11,11
1413393892.755320072174072,43,2,38,1,11
1413393892.805333614349365,44,1,36,5,11
1413393892.855332374572754,45,5,41,3,11
1413393892.905329465866089,42,2,40,0,11
1413393892.955350637435913,45,0,36,5,11
1413393893.005387783050537,46,8,38,5,11
1413393893.055420637130737,42,3,40,1,11
1413393893.105445623397827,42,1,39,1,11
1413393893.155490159988403,49,5,41,8,11
1413393893.205496311187744,50,3,49,1,11
1413393893.255498409271240,50,14,50,0,11
1413393893.305485963821411,50,2,49,0,11
1413393893.355477333068848,50,3,49,0,11
1413393893.405471086502075,49,19,48,0,11
1413393893.455459833145142,48,1,46,1,11
1413393893.505434036254883,48,5,45,1,11
1413393893.555401563644409,48,1,46,1,11
1413393893.605373144149780,47,29,44,2,11
1413393893.655359745025635,47,1,44,1,11
1413393893.705352783203125,49,11,44,3,11
1413393893.755357027053833,50,9,47,2,11
1413393893.805363178253174,47,3,46,0,11
1413393893.855376720428467,49,19,44,3,11
1413393893.905381679534912,46,7,40,1,11
1413393893.955374240875244,39,7,36,0,11
1413393894.005355834960938,40,9,34,5,11
1413393894.055344343185425,37,5,35,0,11
1413393894.105338335037231,36,4,33,0,11
1413393894.155347585678101,33,4,26,2,11
1413393894.205349445343018,36,6,24,7,11
1413393894.255356788635254,32,1,27,1,11
1413393894.305366039276123,32,3,28,3,11
1413393894.355370521545410,30,5,29,0,11
1413393894.405373811721802,33,1,28,3,11
1413393894.455378770828247,43,0,29,11,11
1413393894.505379915237427,45,0,39,3,11
1413393894.555383920669556,44,0,41,2,11
1413393894.605382204055786,48,3,43,5,11
1413393894.655380725860596,49,5,48,1,11
1413393894.705379724502563,49,1,45,0,11
1413393894.755379915237427,49,7,44,1,11
1413393894.805378198623657,47,4,44,2,11
1413393894.855380773544312,48,5,41,2,11
1413393894.905384778976440,48,0,42,1,11
1413393894.955389022827148,48,4,42,4,11
1413393895.005387544631958,48,0,45,2,11
1413393895.055384874343872,48,2,47,1,11
1413393895.105385303497314,48,1,47,0,11
1413393895.155387878417969,47,4,45,1,11
1413393895.205391645431519,49,1,45,3,11
1413393895.255390882492065,48,4,44,1,11
1413393895.305390596389771,47,3,42,2,11
1413393895.355391740798950,48,6,43,4,11
1413393895.405391931533813,47,3,42,3,11
1413393895.455395221710205,47,2,43,2,11
1413393895.505399703979492,45,1,44,1,11
1413393895.555400609970093,46,6,39,4,11
1413393895.605404615402222,45,1,39,0,11
1413393895.655405759811401,43,4,36,3,11
1413393895.705405950546265,38,1,33,1,11
1413393895.755404710769653,34,2,31,0,11
1413393895.805408239364624,32,4,28,1,11
1413393895.855408430099487,30,5,24,3,11
1413393895.905409574508667,27,4,21,3,11
1413393895.955405235290527,29,0,22,4,11
1413393896.005407333374023,31,3,22,4,11
1413393896.055407285690308,27,1,21,2,11
1413393896.105419874191284,27,2,21,2,11
1413393896.155442714691162,25,7,18,1,11
1413393896.205453634262085,24,1,12,0,11
1413393896.255466222763062,22,2,11,3,11
1413393896.305481433868408,21,4,14,6,11
1413393896.355498313903809,23,1,20,3,11
1413393896.405511617660522,23,0,21,0,11
1413393896.455540180206299,24,2,17,1,11
1413393896.505567073822021,24,0,18,3,11
1413393896.555572509765625,21,2,16,1,11
1413393896.605601310729980,23,5,15,4,11
1413393896.655600547790527,22,0,16,2,11
1413393896.705628156661987,27,1,18,6,11
1413393896.755634546279907,27,2,22,3,11
1413393896.805629968643188,27,1,25,0,11
1413393896.855645179748535,35,1,25,10,11
1413393896.905643701553345,35,0,33,0,11
1413393896.955646753311157,34,1,32,0,11
1413393897.005647420883179,39,0,32,6,11
1413393897.055628538131714,39,1,33,0,11
1413393897.105617523193359,39,2,30,2,11
1413393897.155623674392700,40,3,26,6,11
1413393897.205646753311157,40,0,25,4,11
1413393897.255653381347656,38,1,29,4,11
1413393897.305666446685791,36,1,32,2,11
1413393897.355664014816284,42,4,34,7,11
1413393897.405649900436401,42,3,40,2,11
1413393897.455672264099121,45,8,39,5,11
1413393897.505669355392456,42,0,41,0,11
1413393897.555681467056274,42,0,41,1,11
1413393897.605691671371460,42,1,40,1,11
1413393897.655700206756592,43,3,39,2,11
1413393897.705708026885986,46,1,41,3,11
1413393897.755737543106079,48,2,40,4,11
1413393897.805754899978638,49,2,42,2,11
1413393897.855756521224976,48,4,44,4,11
1413393897.905756711959839,46,2,45,1,11
1413393897.955780744552612,47,4,44,2,11
1413393898.005777359008789,44,1,39,0,11
1413393898.055815458297729,45,3,36,5,11
1413393898.105828762054443,43,0,38,2,11
1413393898.155865430831909,43,6,37,1,11
1413393898.205887794494629,35,4,29,4,11
1413393898.255906343460083,34,4,30,0,11
1413393898.305924415588379,32,0,28,1,11
1413393898.355936765670776,29,4,26,2,11
1413393898.405938386917114,27,3,25,1,11
1413393898.455943822860718,22,7,17,3,11
1413393898.505950450897217,21,0,19,0,11
1413393898.555994510650635,25,2,17,5,11
1413393898.606008768081665,24,7,17,1,11
1413393898.656019449234009,24,4,18,3,11
1413393898.706018924713135,22,3,19,2,11
1413393898.756036758422852,24,4,19,2,11
1413393898.806039094924927,21,1,18,0,11
1413393898.856043815612793,19,2,16,1,11
1413393898.906049251556396,14,3,10,1,11
1413393898.956052541732788,13,3,10,1,11
1413393899.006061315536499,13,5,10,1,11
1413393899.056085348129272,13,1,11,2,11
1413393899.106093645095825,15,3,12,3,11
1413393899.156070232391357,18,2,14,4,11
1413393899.206055879592896,19,10,15,1,11
1413393899.256037473678589,24,8,11,5,11
1413393899.306026220321655,24,17,14,4,11
1413393899.356016159057617,18,2,17,0,11
1413393899.406021118164062,15,6,13,2,11
1413393899.456019163131714,14,0,11,1,11
1413393899.506029844284058,12,6,11,0,11
1413393899.556020736694336,11,3,10,0,11
1413393899.606012344360352,8,1,5,0,11
1413393899.656011104583740,8,1,2,2,11
1413393899.706025600433350,6,1,4,0,11
1413393899.756027460098267,4,1,2,0,11
1413393899.806080341339111,5,4,2,1,11
1413393899.856131076812744,3,13,2,0,11
1413393899.906144380569458,4,0,0,1,11
1413393899.956144332885742,4,2,0,1,11
1413393900.006144523620605,1,4,0,0,11
1413393900.056136846542358,1,1,0,0,11
1413393900.106146812438965,0,4,0,0,11
1413393900.156144142150879,0,3,0,0,11
1413393900.206148386001587,0,2,0,0,11
1413393900.256152153015137,0,2,0,0,11
1413393900.306157827377319,2,2,0,2,11
1413393900.356159687042236,2,3,0,0,11
1413393900.406169891357422,2,6,0,0,11
1413393900.456176757812500,0,3,0,0,11
1413393900.506187915802002,0,6,0,0,11
1413393900.556192636489868,0,4,0,0,11
1413393900.606193542480469,1,2,0,1,11
1413393900.656198024749756,1,2,1,0,11
1413393900.706199884414673,1,1,0,0,11
1413393900.756201267242432,1,1,0,0,11
1413393900.806204080581665,0,2,0,0,11
1413393900.856214284896851,2,0,0,2,11
1413393900.906222343444824,1,2,1,0,11
1413393900.956239223480225,1,4,1,0,11
