# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.058620691299438,0.00265,0.00013,0.00059,0.00000,0.00000,0.00136,0.00474
1413393890.105400800704956,0.00300,0.00011,0.00179,0.00000,0.00299,0.00150,0.00940
1413393890.155465841293335,0.00267,0.00012,0.00004,0.00084,0.00000,0.00117,0.00484
1413393890.205550909042358,0.00288,0.00015,0.00029,0.00082,0.00000,0.00122,0.00537
1413393890.255577802658081,0.00259,0.00013,0.00015,0.00078,0.00000,0.00142,0.00508
1413393890.305879831314087,0.00434,0.00024,0.00075,0.00188,0.00000,0.00710,0.01432
1413393890.356099605560303,0.00248,0.00016,0.00005,0.00081,0.00010,0.00164,0.00525
1413393890.406253814697266,0.00279,0.00016,0.00055,0.00094,0.00000,0.00141,0.00586
1413393890.456084251403809,0.00297,0.00013,0.00057,0.00090,0.00171,0.00150,0.00780
1413393890.505941390991211,0.00284,0.00016,0.00026,0.00115,0.00014,0.00141,0.00595
1413393890.555436611175537,0.00264,0.00015,0.00036,0.00113,0.00745,0.00146,0.01319
1413393890.605632066726685,0.00265,0.00015,0.00022,0.00203,0.00669,0.00157,0.01331
1413393890.656439304351807,0.00321,0.00019,0.00011,0.00264,0.00152,0.00161,0.00928
1413393890.707100391387939,0.00272,0.00020,0.00404,0.00258,0.01036,0.00151,0.02141
1413393890.757279396057129,0.00258,0.00020,0.00167,0.00452,0.00131,0.00150,0.01178
1413393890.807285308837891,0.00283,0.00020,0.00006,0.00483,0.00114,0.00144,0.01049
1413393890.857224702835083,0.00300,0.00022,0.00322,0.00542,0.00001,0.00140,0.01326
1413393890.907010316848755,0.00277,0.00020,0.00101,0.00524,0.00000,0.00156,0.01078
1413393890.956876516342163,0.00335,0.00020,0.00314,0.00496,0.00000,0.00147,0.01312
1413393891.006835937500000,0.00293,0.00022,0.00012,0.00564,0.00001,0.00149,0.01041
1413393891.056778669357300,0.00301,0.00025,0.00385,0.00526,0.00000,0.00145,0.01383
1413393891.106781244277954,0.00300,0.00020,0.00062,0.00528,0.00001,0.00160,0.01071
1413393891.156785011291504,0.00275,0.00021,0.00315,0.00512,0.00002,0.00168,0.01293
1413393891.206793546676636,0.00329,0.00021,0.00123,0.00467,0.00020,0.00190,0.01150
1413393891.256796360015869,0.00241,0.00021,0.00005,0.00498,0.00088,0.00163,0.01015
1413393891.306850671768188,0.00270,0.00022,0.00422,0.00541,0.00125,0.00146,0.01527
1413393891.356913328170776,0.00280,0.00020,0.00226,0.00454,0.00000,0.00144,0.01125
1413393891.406891822814941,0.00406,0.00021,0.00187,0.00316,0.00000,0.00135,0.01066
1413393891.456885337829590,0.00303,0.00018,0.00060,0.00341,0.00209,0.00135,0.01066
1413393891.506795406341553,0.00289,0.00020,0.00112,0.00289,0.00112,0.00135,0.00957
1413393891.556693553924561,0.00421,0.00020,0.00019,0.00304,0.00210,0.00141,0.01115
