# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.058685302734375,0.00270,0.00013,0.00057,0.00000,0.00000,0.00128,0.00468
1413393890.105247735977173,0.00283,0.00012,0.00186,0.00000,0.00299,0.00120,0.00900
1413393890.155170202255249,0.00229,0.00013,0.00004,0.00087,0.00000,0.00120,0.00454
1413393890.205012321472168,0.00283,0.00014,0.00029,0.00081,0.00000,0.00130,0.00537
1413393890.255121946334839,0.00247,0.00011,0.00016,0.00084,0.00000,0.00138,0.00496
1413393890.305423021316528,0.00256,0.00016,0.00040,0.00087,0.00000,0.00130,0.00529
1413393890.355601787567139,0.00258,0.00016,0.00004,0.00093,0.00000,0.00144,0.00515
1413393890.405703783035278,0.00232,0.00014,0.00056,0.00084,0.00000,0.00199,0.00586
1413393890.455750942230225,0.00263,0.00014,0.00056,0.00080,0.00153,0.00142,0.00708
1413393890.505800724029541,0.00236,0.00016,0.00026,0.00097,0.00020,0.00143,0.00538
1413393890.555543184280396,0.00232,0.00016,0.00036,0.00112,0.00752,0.00149,0.01297
1413393890.605748891830444,0.00243,0.00015,0.00018,0.00198,0.00641,0.00140,0.01256
1413393890.656473636627197,0.00222,0.00016,0.00010,0.00264,0.00160,0.00153,0.00826
1413393890.707158327102661,0.00273,0.00019,0.00388,0.00258,0.01008,0.00140,0.02087
1413393890.757276058197021,0.00211,0.00020,0.00185,0.00478,0.00145,0.00141,0.01179
1413393890.807276725769043,0.00233,0.00022,0.00006,0.00484,0.00124,0.00135,0.01003
1413393890.857254743576050,0.00243,0.00021,0.00312,0.00524,0.00000,0.00143,0.01243
1413393890.907306194305420,0.00236,0.00021,0.00098,0.00494,0.00000,0.00134,0.00981
1413393890.957289218902588,0.00327,0.00020,0.00309,0.00514,0.00000,0.00145,0.01316
1413393891.007247686386108,0.00332,0.00021,0.00012,0.00488,0.00000,0.00193,0.01046
1413393891.057176589965820,0.00360,0.00020,0.00337,0.00472,0.00000,0.00144,0.01334
1413393891.107134342193604,0.00295,0.00021,0.00058,0.00465,0.00000,0.00148,0.00987
1413393891.157076597213745,0.00284,0.00019,0.00271,0.00490,0.00001,0.00143,0.01207
1413393891.207084655761719,0.00262,0.00020,0.00124,0.00573,0.00019,0.00150,0.01149
1413393891.257082700729370,0.00258,0.00019,0.00052,0.00526,0.00095,0.00150,0.01100
1413393891.307124853134155,0.00304,0.00022,0.00435,0.00515,0.00000,0.00148,0.01425
1413393891.357318401336670,0.00355,0.00019,0.00266,0.00446,0.00000,0.00149,0.01234
1413393891.407368183135986,0.00332,0.00020,0.00151,0.00321,0.00000,0.00182,0.01005
1413393891.457304000854492,0.00303,0.00018,0.00051,0.00319,0.00218,0.00139,0.01048
1413393891.507130146026611,0.00284,0.00018,0.00098,0.00288,0.00122,0.00135,0.00945
1413393891.556948184967041,0.00353,0.00019,0.00019,0.00330,0.00219,0.00143,0.01083
1413393891.606727600097656,0.00335,0.00020,0.00018,0.00330,0.00095,0.00140,0.00938
1413393891.656480789184570,0.00261,0.00016,0.00011,0.00369,0.00525,0.00144,0.01325
1413393891.706389188766479,0.00311,0.00019,0.00004,0.00456,0.00000,0.00157,0.00948
1413393891.756255626678467,0.00254,0.00016,0.00001,0.00453,0.00283,0.00153,0.01161
1413393891.806157827377319,0.00306,0.00021,0.00005,0.00444,0.00163,0.00150,0.01089
1413393891.856113433837891,0.00305,0.00019,0.00011,0.00490,0.00017,0.00146,0.00988
1413393891.906015157699585,0.00335,0.00019,0.00144,0.00417,0.00351,0.00150,0.01415
1413393891.955915451049805,0.00283,0.00019,0.00302,0.00472,0.00110,0.00135,0.01322
1413393892.005867719650269,0.00496,0.00021,0.00556,0.00393,0.00001,0.00142,0.01610
1413393892.055895090103149,0.00312,0.00019,0.00087,0.00364,0.00097,0.00141,0.01019
1413393892.105996131896973,0.00312,0.00017,0.00018,0.00345,0.00642,0.00135,0.01468
1413393892.156002044677734,0.00284,0.00019,0.00027,0.00375,0.00207,0.00146,0.01057
1413393892.205896615982056,0.00289,0.00018,0.00034,0.00417,0.00015,0.00132,0.00905
1413393892.255827426910400,0.00275,0.00018,0.00021,0.00433,0.00057,0.00131,0.00935
1413393892.305783510208130,0.00296,0.00018,0.00030,0.00445,0.00000,0.00166,0.00955
