# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.789619684219360,0,15,0,0,5
1403715893.835055112838745,13,15,0,13,6
1403715893.883656501770020,13,0,12,0,7
1403715893.932248830795288,13,0,12,0,8
1403715893.982240438461304,12,2,12,0,9
1403715894.032060623168945,12,1,12,0,10
1403715894.081972599029541,12,0,12,0,11
1403715894.132272958755493,12,0,12,0,11
1403715894.183091878890991,17,0,11,6,11
1403715894.232816219329834,19,0,17,2,11
1403715894.282976150512695,25,1,19,6,11
1403715894.332967519760132,24,2,24,0,11
1403715894.383846521377563,29,2,21,5,11
1403715894.435289621353149,45,24,29,16,11
1403715894.485622882843018,48,0,44,4,11
1403715894.535241603851318,47,0,46,0,11
1403715894.584910631179810,49,0,37,2,11
1403715894.634852409362793,49,0,46,2,11
1403715894.684801816940308,49,0,48,1,11
1403715894.734450101852417,49,1,48,1,11
1403715894.783771753311157,49,0,45,0,11
1403715894.833216190338135,50,4,47,2,11
1403715894.883109569549561,50,0,49,1,11
1403715894.932970762252808,49,5,49,0,11
1403715894.983005046844482,48,2,46,1,11
1403715895.032794475555420,45,20,44,0,11
1403715895.082849502563477,43,0,42,1,11
1403715895.132907867431641,45,0,43,2,11
1403715895.182745933532715,45,2,44,0,11
1403715895.232739210128784,43,3,43,0,11
1403715895.282739400863647,42,0,40,0,11
1403715895.332747936248779,38,0,35,1,11
1403715895.382786035537720,38,0,36,2,11
1403715895.432997703552246,42,0,38,4,11
1403715895.483035564422607,46,7,39,4,11
1403715895.532931089401245,47,2,40,3,11
1403715895.582870244979858,47,0,42,3,11
1403715895.632905483245850,44,19,29,0,11
1403715895.682950019836426,42,0,24,2,11
1403715895.732948064804077,38,0,28,9,11
1403715895.782936811447144,36,0,34,1,11
1403715895.832884311676025,37,1,34,1,11
1403715895.882877588272095,37,1,18,1,11
1403715895.932930707931519,37,1,25,3,11
1403715895.982927322387695,34,0,28,5,11
1403715896.032989501953125,45,4,31,14,11
1403715896.082999706268311,46,3,42,3,11
1403715896.133196115493774,47,0,43,1,11
1403715896.183149814605713,45,0,44,0,11
1403715896.233178138732910,46,14,44,2,11
1403715896.283241033554077,47,0,44,1,11
1403715896.333185195922852,48,1,44,3,11
1403715896.383166790008545,46,0,46,0,11
1403715896.433228969573975,45,0,42,0,11
1403715896.483338594436646,45,4,39,0,11
