# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.790577411651611,0.00772,0.00011,0.00061,0.00000,0.00000,0.00204,0.01048
1403715893.836808681488037,0.01016,0.00011,0.00212,0.00000,0.00382,0.00216,0.01837
1403715893.886706590652466,0.00746,0.00013,0.00002,0.00103,0.00000,0.00200,0.01064
1403715893.936038255691528,0.00695,0.00015,0.00004,0.00103,0.00000,0.00222,0.01039
1403715893.986293554306030,0.00823,0.00023,0.00015,0.00106,0.00000,0.00242,0.01209
1403715894.036217451095581,0.00652,0.00013,0.00028,0.00107,0.00000,0.00212,0.01011
1403715894.086926460266113,0.00733,0.00014,0.00004,0.00108,0.00000,0.00235,0.01095
1403715894.136706829071045,0.00716,0.00013,0.00007,0.00097,0.00000,0.00219,0.01052
1403715894.186509132385254,0.00730,0.00012,0.00015,0.00105,0.00253,0.00230,0.01347
1403715894.236231565475464,0.00885,0.00013,0.00033,0.00132,0.00127,0.00218,0.01409
1403715894.286106586456299,0.00873,0.00013,0.00003,0.00176,0.00400,0.00330,0.01794
1403715894.335907936096191,0.01103,0.00015,0.00051,0.00186,0.00026,0.00225,0.01606
1403715894.385737419128418,0.00916,0.00016,0.00056,0.00190,0.00197,0.00348,0.01724
1403715894.434873104095459,0.00790,0.00017,0.00992,0.00212,0.00523,0.00227,0.02762
1403715894.484541654586792,0.00847,0.00018,0.00007,0.00324,0.00497,0.00243,0.01936
1403715894.534270524978638,0.00931,0.00018,0.00002,0.00284,0.00000,0.00243,0.01477
1403715894.584042549133301,0.00700,0.00017,0.00008,0.00197,0.00236,0.00216,0.01374
1403715894.633929252624512,0.00731,0.00023,0.00022,0.00301,0.00065,0.00210,0.01352
1403715894.683892250061035,0.00705,0.00024,0.00019,0.00394,0.00017,0.00201,0.01360
1403715894.733818769454956,0.00681,0.00020,0.00008,0.00427,0.00000,0.00211,0.01347
1403715894.783367156982422,0.00672,0.00017,0.00060,0.00406,0.00183,0.00286,0.01625
1403715894.833080291748047,0.00821,0.00018,0.00352,0.00493,0.00121,0.00242,0.02047
1403715894.883044958114624,0.00881,0.00019,0.00155,0.00433,0.00000,0.00298,0.01787
1403715894.933155298233032,0.00772,0.00020,0.00352,0.00471,0.00017,0.00289,0.01920
1403715894.983327150344849,0.00785,0.00019,0.00099,0.00370,0.00000,0.00223,0.01496
1403715895.033385276794434,0.00793,0.00018,0.01142,0.00357,0.00081,0.00274,0.02665
1403715895.083515644073486,0.00799,0.00018,0.00010,0.00366,0.00000,0.00282,0.01476
1403715895.133548021316528,0.00737,0.00017,0.00029,0.00325,0.00000,0.00249,0.01358
1403715895.183548450469971,0.01006,0.00017,0.00011,0.00282,0.00015,0.00218,0.01549
