# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.790577411651611,0.00264,0.00010,0.00058,0.00000,0.00000,0.00132,0.00464
1403715893.836808681488037,0.00336,0.00010,0.00212,0.00000,0.00382,0.00130,0.01070
1403715893.886706590652466,0.00258,0.00013,0.00002,0.00103,0.00000,0.00127,0.00503
1403715893.936038255691528,0.00245,0.00015,0.00004,0.00099,0.00000,0.00133,0.00496
1403715893.986293554306030,0.00285,0.00023,0.00010,0.00106,0.00000,0.00162,0.00585
1403715894.036217451095581,0.00230,0.00013,0.00028,0.00104,0.00000,0.00135,0.00509
1403715894.086926460266113,0.00259,0.00014,0.00004,0.00108,0.00000,0.00155,0.00540
1403715894.136706829071045,0.00248,0.00013,0.00006,0.00097,0.00000,0.00142,0.00506
1403715894.186509132385254,0.00247,0.00012,0.00015,0.00105,0.00250,0.00158,0.00787
1403715894.236231565475464,0.00307,0.00013,0.00033,0.00132,0.00125,0.00143,0.00753
1403715894.286106586456299,0.00309,0.00013,0.00003,0.00174,0.00400,0.00169,0.01067
1403715894.335907936096191,0.00404,0.00015,0.00051,0.00182,0.00026,0.00144,0.00822
1403715894.385737419128418,0.00343,0.00016,0.00056,0.00188,0.00197,0.00194,0.00994
1403715894.434873104095459,0.00276,0.00017,0.00934,0.00212,0.00523,0.00144,0.02106
1403715894.484541654586792,0.00307,0.00018,0.00007,0.00321,0.00445,0.00171,0.01269
1403715894.534270524978638,0.00344,0.00018,0.00001,0.00281,0.00000,0.00146,0.00790
1403715894.584042549133301,0.00251,0.00017,0.00008,0.00197,0.00233,0.00139,0.00845
1403715894.633929252624512,0.00246,0.00020,0.00022,0.00298,0.00063,0.00131,0.00780
1403715894.683892250061035,0.00237,0.00024,0.00010,0.00390,0.00017,0.00137,0.00814
1403715894.733818769454956,0.00236,0.00020,0.00008,0.00420,0.00000,0.00136,0.00820
1403715894.783367156982422,0.00230,0.00017,0.00056,0.00406,0.00183,0.00147,0.01039
1403715894.833080291748047,0.00301,0.00018,0.00345,0.00419,0.00121,0.00159,0.01364
1403715894.883044958114624,0.00296,0.00019,0.00155,0.00431,0.00000,0.00152,0.01054
1403715894.933155298233032,0.00283,0.00020,0.00350,0.00419,0.00017,0.00198,0.01287
1403715894.983327150344849,0.00276,0.00019,0.00099,0.00367,0.00000,0.00148,0.00909
1403715895.033385276794434,0.00286,0.00018,0.01064,0.00357,0.00081,0.00180,0.01986
1403715895.083515644073486,0.00286,0.00018,0.00010,0.00363,0.00000,0.00149,0.00827
1403715895.133548021316528,0.00262,0.00017,0.00029,0.00322,0.00000,0.00171,0.00801
1403715895.183548450469971,0.00354,0.00017,0.00011,0.00280,0.00015,0.00143,0.00819
1403715895.233553409576416,0.00301,0.00016,0.00043,0.00296,0.00057,0.00190,0.00904
1403715895.283500909805298,0.00348,0.00014,0.00023,0.00201,0.00013,0.00149,0.00748
1403715895.333233833312988,0.00270,0.00014,0.00048,0.00220,0.00012,0.00184,0.00749
1403715895.383242130279541,0.00347,0.00014,0.00008,0.00243,0.00022,0.00157,0.00792
1403715895.433611631393433,0.00342,0.00014,0.00022,0.00234,0.00895,0.00169,0.01677
1403715895.483575105667114,0.00285,0.00021,0.00018,0.00320,0.00122,0.00148,0.00914
1403715895.533524513244629,0.00280,0.00018,0.00012,0.00054,0.00373,0.00182,0.00919
1403715895.583510160446167,0.00303,0.00018,0.00096,0.00041,0.00171,0.00143,0.00772
1403715895.633514404296875,0.00262,0.00016,0.00416,0.00037,0.00257,0.00185,0.01172
1403715895.683507442474365,0.00343,0.00017,0.00013,0.00207,0.00022,0.00149,0.00752
1403715895.733528852462769,0.00332,0.00014,0.00031,0.00200,0.00305,0.00183,0.01065
1403715895.783507108688354,0.00439,0.00015,0.00016,0.00206,0.00001,0.00154,0.00831
1403715895.833665132522583,0.00300,0.00014,0.00019,0.00213,0.00018,0.00170,0.00733
1403715895.883709907531738,0.00420,0.00015,0.00024,0.00208,0.00013,0.00156,0.00836
1403715895.933644771575928,0.00292,0.00015,0.00024,0.00222,0.00012,0.00177,0.00742
1403715895.983667612075806,0.00321,0.00017,0.00008,0.00255,0.00014,0.00156,0.00771
1403715896.033707380294800,0.00251,0.00014,0.00038,0.00224,0.00014,0.00171,0.00711
1403715896.083717107772827,0.00265,0.00013,0.00009,0.00203,0.00049,0.00152,0.00691
1403715896.133834838867188,0.00241,0.00017,0.00008,0.00167,0.00026,0.00150,0.00609
1403715896.183737277984619,0.00274,0.00015,0.00003,0.00155,0.00193,0.00173,0.00812
1403715896.233801841735840,0.00339,0.00014,0.00671,0.00171,0.00488,0.00152,0.01836
1403715896.283787488937378,0.00272,0.00015,0.00037,0.00102,0.00031,0.00152,0.00609
1403715896.333212852478027,0.00328,0.00015,0.00790,0.00089,0.00636,0.00147,0.02007
1403715896.383261442184448,0.00390,0.00015,0.00044,0.00110,0.00170,0.00150,0.00880
1403715896.433218240737915,0.00394,0.00018,0.00046,0.00165,0.00043,0.00144,0.00810
1403715896.483155250549316,0.00306,0.00018,0.00042,0.00169,0.00030,0.00143,0.00708
1403715896.533146142959595,0.00296,0.00014,0.00039,0.00173,0.00045,0.00155,0.00722
1403715896.583196401596069,0.00357,0.00018,0.00037,0.00162,0.00024,0.00162,0.00760
1403715896.633245706558228,0.00283,0.00017,0.00048,0.00114,0.00031,0.00151,0.00645
1403715896.683228731155396,0.00274,0.00014,0.00052,0.00126,0.00050,0.00152,0.00668
1403715896.733297348022461,0.00265,0.00014,0.00050,0.00108,0.00044,0.00156,0.00636
1403715896.783317804336548,0.00256,0.00016,0.00042,0.00140,0.00020,0.00150,0.00624
1403715896.833250045776367,0.00319,0.00016,0.00050,0.00135,0.01092,0.00160,0.01772
1403715896.883261680603027,0.00279,0.00015,0.00090,0.00348,0.00026,0.00148,0.00907
1403715896.933177471160889,0.00263,0.00018,0.01010,0.00374,0.00363,0.00142,0.02171
1403715896.983130931854248,0.00304,0.00017,0.00018,0.00439,0.00120,0.00161,0.01058
1403715897.033097982406616,0.00268,0.00027,0.00009,0.00477,0.00001,0.00205,0.00988
1403715897.083172321319580,0.00436,0.00020,0.00012,0.00368,0.00110,0.00159,0.01105
1403715897.133228778839111,0.00306,0.00018,0.00028,0.00372,0.00066,0.00150,0.00941
1403715897.183399200439453,0.00278,0.00018,0.00034,0.00394,0.00060,0.00155,0.00940
1403715897.233593940734863,0.00289,0.00021,0.00066,0.00382,0.00227,0.00163,0.01148
1403715897.283717870712280,0.00258,0.00021,0.00092,0.00400,0.00076,0.00152,0.00998
1403715897.333898782730103,0.00244,0.00019,0.00189,0.00377,0.00061,0.00164,0.01054
1403715897.383886575698853,0.00241,0.00018,0.00064,0.00397,0.00000,0.00156,0.00876
1403715897.433846235275269,0.00549,0.00018,0.00099,0.00375,0.00086,0.00168,0.01295
1403715897.483750581741333,0.00275,0.00016,0.00255,0.00352,0.00000,0.00148,0.01045
1403715897.533779382705688,0.00249,0.00017,0.00620,0.00384,0.00183,0.00151,0.01605
1403715897.583892822265625,0.00241,0.00016,0.00101,0.00394,0.00078,0.00151,0.00981
1403715897.633991956710815,0.00326,0.00018,0.00589,0.00440,0.00089,0.00156,0.01618
1403715897.683892011642456,0.00377,0.00016,0.00042,0.00280,0.00072,0.00158,0.00945
1403715897.733811855316162,0.00299,0.00019,0.00094,0.00311,0.00015,0.00175,0.00912
1403715897.783774137496948,0.00315,0.00019,0.00077,0.00292,0.00046,0.00154,0.00903
1403715897.833743810653687,0.00284,0.00019,0.00066,0.00340,0.00052,0.00183,0.00944
1403715897.883701801300049,0.00309,0.00020,0.00107,0.00346,0.00000,0.00152,0.00934
1403715897.933658361434937,0.00252,0.00019,0.00160,0.00308,0.00000,0.00170,0.00908
1403715897.983612775802612,0.00374,0.00019,0.00363,0.00266,0.00835,0.00144,0.02001
1403715898.033597469329834,0.00295,0.00020,0.00107,0.00342,0.00058,0.00172,0.00994
1403715898.083547592163086,0.00278,0.00020,0.00039,0.00260,0.00015,0.00140,0.00753
1403715898.133513689041138,0.00360,0.00018,0.00330,0.00207,0.00383,0.00178,0.01478
1403715898.183500766754150,0.00342,0.00018,0.00184,0.00202,0.00012,0.00140,0.00897
1403715898.233514547348022,0.00299,0.00016,0.00037,0.00193,0.00985,0.00154,0.01683
1403715898.283580541610718,0.00307,0.00020,0.00149,0.00269,0.00000,0.00136,0.00880
1403715898.333602905273438,0.00414,0.00019,0.00106,0.00278,0.00001,0.00167,0.00985
1403715898.383663654327393,0.00428,0.00015,0.00071,0.00271,0.00065,0.00149,0.00999
1403715898.433717012405396,0.00328,0.00017,0.00109,0.00192,0.00014,0.00162,0.00821
1403715898.483752012252808,0.00492,0.00018,0.00129,0.00196,0.00000,0.00147,0.00983
1403715898.533717870712280,0.00297,0.00014,0.00256,0.00175,0.00145,0.00172,0.01060
1403715898.583724021911621,0.00343,0.00017,0.00118,0.00191,0.00038,0.00140,0.00848
1403715898.633749723434448,0.00332,0.00017,0.00094,0.00186,0.00093,0.00184,0.00906
1403715898.683880567550659,0.00318,0.00015,0.00092,0.00182,0.00276,0.00152,0.01034
1403715898.733952522277832,0.00346,0.00016,0.00078,0.00133,0.00106,0.00171,0.00849
1403715898.783975839614868,0.00307,0.00021,0.00067,0.00034,0.00001,0.00153,0.00584
1403715898.834007501602173,0.00351,0.00014,0.00068,0.00020,0.00023,0.00172,0.00647
1403715898.884042024612427,0.00352,0.00014,0.00055,0.00022,0.00075,0.00144,0.00661
1403715898.934091567993164,0.00361,0.00015,0.00060,0.00026,0.00265,0.00168,0.00893
1403715898.984107494354248,0.00379,0.00014,0.00072,0.00026,0.00017,0.00155,0.00662
1403715899.034287691116333,0.00284,0.00012,0.00019,0.00022,0.01057,0.00178,0.01572
1403715899.084231138229370,0.00398,0.00026,0.00097,0.00074,0.00034,0.00147,0.00777
1403715899.134195327758789,0.00342,0.00016,0.00081,0.00113,0.00382,0.00201,0.01135
1403715899.184176921844482,0.00368,0.00018,0.00180,0.00140,0.00260,0.00162,0.01128
1403715899.234136104583740,0.00272,0.00016,0.00104,0.00131,0.00141,0.00177,0.00842
1403715899.284126520156860,0.00345,0.00017,0.00069,0.00113,0.00201,0.00140,0.00885
1403715899.334117889404297,0.00277,0.00020,0.00045,0.00100,0.00010,0.00172,0.00623
1403715899.384095430374146,0.00332,0.00013,0.00142,0.00104,0.00524,0.00145,0.01259
1403715899.434076547622681,0.00245,0.00017,0.00223,0.00170,0.00327,0.00163,0.01146
1403715899.484018087387085,0.00389,0.00017,0.00062,0.00177,0.00522,0.00147,0.01313
1403715899.533971786499023,0.00274,0.00014,0.00027,0.00168,0.00000,0.00173,0.00657
1403715899.583976745605469,0.00353,0.00017,0.00057,0.00187,0.00000,0.00154,0.00768
1403715899.633947849273682,0.00275,0.00017,0.00050,0.00193,0.00469,0.00179,0.01183
1403715899.683932542800903,0.00404,0.00020,0.00059,0.00280,0.01111,0.00154,0.02027
1403715899.733955144882202,0.00269,0.00015,0.00152,0.00144,0.00110,0.00151,0.00842
1403715899.783961534500122,0.00320,0.00021,0.00061,0.00155,0.00000,0.00164,0.00720
1403715899.833935499191284,0.00342,0.00022,0.00552,0.00113,0.00157,0.00154,0.01340
1403715899.884043455123901,0.00343,0.00018,0.00160,0.00290,0.00770,0.00144,0.01725
1403715899.934029340744019,0.00410,0.00019,0.00206,0.00414,0.00097,0.00153,0.01300
1403715899.983995914459229,0.00452,0.00020,0.00098,0.00427,0.00000,0.00144,0.01141
1403715900.033981800079346,0.00277,0.00020,0.00070,0.00408,0.00172,0.00150,0.01098
1403715900.083988666534424,0.00260,0.00021,0.00124,0.00463,0.00000,0.00139,0.01009
1403715900.134036779403687,0.00336,0.00017,0.00084,0.00412,0.00182,0.00147,0.01178
1403715900.184078931808472,0.00333,0.00019,0.00164,0.00398,0.00000,0.00167,0.01081
1403715900.234105587005615,0.00320,0.00019,0.00047,0.00382,0.00207,0.00158,0.01133
1403715900.284147739410400,0.00321,0.00018,0.00101,0.00375,0.00004,0.00153,0.00972
1403715900.334171056747437,0.00382,0.00017,0.00061,0.00355,0.00068,0.00147,0.01029
1403715900.384186506271362,0.00322,0.00016,0.00053,0.00343,0.00530,0.00179,0.01443
1403715900.434226274490356,0.00322,0.00018,0.00222,0.00370,0.00173,0.00149,0.01253
1403715900.484264373779297,0.00386,0.00018,0.00412,0.00289,0.00146,0.00157,0.01408
1403715900.534276247024536,0.00391,0.00018,0.00089,0.00265,0.00683,0.00138,0.01584
1403715900.584270238876343,0.00328,0.00019,0.00170,0.00269,0.00000,0.00138,0.00924
1403715900.634262323379517,0.00330,0.00016,0.00182,0.00219,0.00000,0.00140,0.00886
1403715900.684267997741699,0.00346,0.00016,0.00143,0.00157,0.00936,0.00146,0.01745
1403715900.734254360198975,0.00326,0.00017,0.00097,0.00259,0.00001,0.00135,0.00836
1403715900.784244775772095,0.00299,0.00016,0.00009,0.00153,0.00001,0.00141,0.00619
1403715900.834266185760498,0.00425,0.00017,0.00083,0.00086,0.00078,0.00138,0.00826
1403715900.884240150451660,0.00347,0.00016,0.00077,0.00088,0.00228,0.00138,0.00895
1403715900.934213399887085,0.00289,0.00016,0.00027,0.00119,0.00031,0.00132,0.00614
1403715900.984214782714844,0.00395,0.00015,0.00033,0.00149,0.00012,0.00148,0.00752
1403715901.034225940704346,0.00299,0.00015,0.00148,0.00122,0.00052,0.00142,0.00779
1403715901.084223747253418,0.00326,0.00014,0.00062,0.00192,0.00189,0.00143,0.00926
