# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.782879114151001,0,15,0,0,5
1403715893.833498716354370,27,15,0,27,6
1403715893.878809452056885,27,0,25,0,7
1403715893.926704406738281,27,0,24,0,8
1403715893.976108789443970,26,0,24,1,9
1403715894.024212598800659,26,1,25,1,10
1403715894.073902845382690,26,1,26,0,11
1403715894.125588893890381,26,2,26,0,11
1403715894.177535295486450,31,0,25,6,11
1403715894.227123022079468,33,1,31,2,11
1403715894.277693271636963,41,2,27,8,11
1403715894.328027486801147,40,1,38,0,11
1403715894.378532648086548,43,2,33,5,11
1403715894.430109262466431,44,23,39,5,11
1403715894.481122970581055,46,0,43,3,11
1403715894.530959606170654,46,0,46,0,11
1403715894.580565929412842,48,0,45,2,11
1403715894.630438089370728,48,1,47,0,11
1403715894.680311918258667,48,1,46,0,11
1403715894.729607343673706,47,1,44,1,11
1403715894.778881311416626,49,1,42,3,11
1403715894.828652858734131,49,4,33,2,11
1403715894.878560543060303,50,2,26,4,11
1403715894.928354978561401,39,3,10,1,11
1403715894.978320360183716,37,0,10,8,11
1403715895.028466463088989,30,8,13,13,11
1403715895.078574419021606,29,0,24,1,11
1403715895.128605604171753,27,0,20,1,11
1403715895.178762435913086,25,2,17,0,11
1403715895.228977918624878,21,2,16,2,11
1403715895.278998613357544,19,1,17,1,11
1403715895.329042434692383,17,0,16,1,11
1403715895.379130840301514,17,0,16,0,11
1403715895.429382801055908,20,1,14,4,11
1403715895.479463577270508,21,0,18,2,11
1403715895.529587030410767,35,2,19,15,11
1403715895.579571962356567,37,1,34,2,11
1403715895.629594326019287,39,24,34,4,11
1403715895.679617166519165,39,2,37,0,11
1403715895.729529142379761,40,1,34,3,11
1403715895.779457330703735,44,0,34,6,11
1403715895.829548835754395,46,12,37,4,11
1403715895.879539489746094,44,0,30,1,11
1403715895.929363489151001,46,3,27,4,11
1403715895.979370594024658,42,0,18,8,11
1403715896.029421567916870,39,2,25,1,11
1403715896.079457283020020,35,1,23,7,11
1403715896.129450559616089,34,0,30,1,11
1403715896.179402112960815,33,0,30,2,11
1403715896.229391574859619,40,9,30,7,11
1403715896.279340505599976,40,1,33,1,11
1403715896.329313516616821,39,4,31,2,11
1403715896.379333019256592,37,0,25,2,11
1403715896.429446220397949,42,1,13,9,11
1403715896.479516983032227,41,0,17,5,11
1403715896.529546737670898,37,1,14,11,11
1403715896.579580307006836,36,0,22,4,11
1403715896.629702568054199,33,0,22,5,11
1403715896.679715871810913,30,0,22,2,11
1403715896.729726791381836,30,0,23,3,11
1403715896.779763936996460,29,0,25,2,11
1403715896.829775333404541,28,1,22,0,11
1403715896.879776716232300,28,0,15,1,11
1403715896.929782390594482,27,0,15,4,11
1403715896.979781866073608,26,0,18,6,11
1403715897.029836177825928,25,0,17,0,11
1403715897.079822301864624,25,0,8,2,11
1403715897.129988193511963,30,0,6,11,11
1403715897.179995059967041,30,0,9,9,11
1403715897.230048656463623,31,0,11,5,11
1403715897.280089378356934,28,0,10,5,11
1403715897.330076456069946,25,4,10,4,11
1403715897.380049467086792,24,2,14,5,11
1403715897.430039167404175,23,0,14,4,11
1403715897.480034828186035,22,2,4,0,11
1403715897.530051231384277,20,0,1,3,11
1403715897.580062627792358,17,4,5,10,11
1403715897.630059719085693,15,2,13,0,11
1403715897.680074214935303,15,0,5,1,11
1403715897.730125427246094,15,0,6,1,11
1403715897.780154705047607,13,0,5,7,11
1403715897.830172777175903,14,0,12,1,11
1403715897.880221843719482,13,1,12,1,11
1403715897.930212020874023,14,2,12,1,11
1403715897.980142831802368,16,3,13,2,11
1403715898.030126333236694,21,3,11,6,11
1403715898.080170392990112,20,4,14,0,11
1403715898.130191564559937,19,7,13,3,11
1403715898.180246353149414,18,8,10,2,11
1403715898.230292081832886,20,5,9,4,11
1403715898.280344247817993,19,3,10,4,11
1403715898.330431222915649,18,4,12,2,11
1403715898.380481481552124,15,6,11,0,11
1403715898.430519819259644,14,7,12,1,11
1403715898.480512142181396,14,7,8,1,11
1403715898.530520677566528,12,6,6,1,11
1403715898.580614089965820,20,4,5,12,11
1403715898.630654335021973,21,5,9,2,11
1403715898.680667638778687,19,3,9,1,11
1403715898.730758905410767,15,5,10,3,11
1403715898.780765295028687,10,3,7,2,11
1403715898.830785512924194,12,0,7,2,11
1403715898.881026268005371,14,1,8,3,11
1403715898.931018114089966,14,6,0,2,11
1403715898.981002569198608,14,1,0,1,11
1403715899.031263351440430,13,6,0,10,11
1403715899.081300020217896,14,0,2,3,11
1403715899.131284713745117,13,4,2,0,11
1403715899.181258678436279,9,0,2,4,11
1403715899.231238842010498,6,7,4,0,11
1403715899.281237602233887,9,9,4,3,11
1403715899.331228733062744,12,4,6,5,11
1403715899.381377696990967,21,3,6,9,11
1403715899.431471586227417,29,7,16,9,11
1403715899.481492042541504,25,1,22,2,11
1403715899.531470298767090,26,6,20,3,11
1403715899.581439256668091,26,5,23,1,11
1403715899.631450414657593,34,2,23,11,11
1403715899.681454420089722,35,8,34,1,11
1403715899.731451988220215,37,8,35,2,11
1403715899.781471252441406,49,8,37,12,11
1403715899.831480503082275,44,2,42,1,11
1403715899.881510019302368,47,9,41,3,11
1403715899.931515455245972,44,1,41,2,11
1403715899.981557846069336,45,4,41,4,11
1403715900.031628131866455,43,4,42,0,11
1403715900.081677436828613,46,3,41,3,11
1403715900.131731748580933,44,6,39,0,11
1403715900.181829929351807,40,1,29,3,11
1403715900.231892347335815,43,1,27,6,11
1403715900.281935453414917,42,3,25,4,11
1403715900.331951379776001,39,1,29,3,11
1403715900.381954669952393,35,1,18,4,11
1403715900.432043313980103,38,7,10,7,11
1403715900.482104301452637,37,5,13,11,11
1403715900.532094717025757,29,3,17,6,11
1403715900.582095861434937,25,7,15,1,11
1403715900.632086038589478,21,2,14,2,11
1403715900.682033538818359,19,5,16,3,11
1403715900.731997251510620,19,5,19,0,11
1403715900.781944513320923,20,2,18,1,11
1403715900.831918716430664,18,7,17,0,11
1403715900.881919145584106,17,0,16,1,11
1403715900.931882143020630,24,1,15,7,11
1403715900.981885671615601,24,0,19,1,11
1403715901.031900644302368,21,3,18,1,11
1403715901.081965684890747,26,4,12,6,11
1403715901.131986618041992,26,5,11,2,11
1403715901.182002782821655,23,2,7,6,11
1403715901.232019186019897,23,1,11,6,11
1403715901.282032728195190,23,2,14,6,11
1403715901.332090377807617,24,0,15,3,11
1403715901.382237434387207,26,0,15,3,11
1403715901.432316303253174,24,2,14,4,11
1403715901.482326745986938,22,1,10,2,11
1403715901.532296895980835,21,4,8,1,11
1403715901.582243680953979,19,0,9,6,11
1403715901.632211685180664,20,2,14,5,11
1403715901.682198286056519,20,0,18,0,11
1403715901.732191085815430,20,0,17,1,11
1403715901.782173156738281,22,1,17,3,11
1403715901.832183837890625,24,1,19,3,11
1403715901.882148504257202,27,2,22,4,11
1403715901.932140588760376,27,2,25,1,11
1403715901.982142210006714,26,1,24,1,11
1403715902.032184362411499,29,1,25,4,11
1403715902.082258701324463,34,2,28,5,11
1403715902.132285594940186,35,1,32,1,11
1403715902.182325839996338,43,4,32,9,11
1403715902.232348680496216,46,5,39,4,11
1403715902.282335519790649,46,3,41,2,11
1403715902.332339763641357,42,3,38,0,11
1403715902.382352590560913,43,1,36,4,11
1403715902.432329654693604,41,3,37,1,11
1403715902.482346057891846,46,5,37,6,11
1403715902.532326936721802,45,3,41,2,11
1403715902.582335233688354,50,6,42,5,11
1403715902.632376670837402,48,8,46,0,11
1403715902.682388544082642,48,4,46,1,11
1403715902.732432365417480,49,4,45,2,11
1403715902.782427072525024,48,2,43,1,11
1403715902.832436323165894,47,0,44,1,11
1403715902.882465839385986,46,5,43,2,11
1403715902.932475090026855,46,3,44,0,11
1403715902.982478857040405,40,1,40,0,11
1403715903.032506704330444,40,2,35,3,11
1403715903.082539558410645,37,2,34,0,11
1403715903.132555484771729,34,3,33,1,11
1403715903.182553291320801,34,4,33,1,11
1403715903.232574939727783,37,5,32,5,11
1403715903.282608270645142,37,3,36,0,11
1403715903.332633733749390,35,2,32,0,11
1403715903.382665634155273,43,4,31,9,11
1403715903.432674407958984,41,1,37,0,11
1403715903.482681512832642,37,6,28,5,11
1403715903.532691240310669,33,3,29,0,11
1403715903.582666873931885,41,3,25,12,11
1403715903.632645845413208,40,5,35,3,11
1403715903.682667732238770,39,6,37,0,11
1403715903.732712268829346,34,2,31,1,11
1403715903.782743453979492,29,7,25,0,11
1403715903.832758903503418,27,16,9,7,11
1403715903.882766723632812,21,3,11,0,11
1403715903.932764768600464,15,4,4,3,11
1403715903.982742786407471,8,8,5,1,11
1403715904.032730817794800,7,4,5,1,11
1403715904.082604408264160,11,2,5,4,11
1403715904.132582902908325,10,8,5,0,11
1403715904.182503938674927,16,7,5,7,11
1403715904.232384204864502,18,0,11,6,11
1403715904.282355785369873,18,8,17,0,11
1403715904.332319736480713,20,4,11,4,11
1403715904.382302045822144,20,4,13,0,11
1403715904.432254076004028,26,1,12,12,11
1403715904.482239961624146,27,5,21,5,11
1403715904.532250881195068,31,3,25,4,11
1403715904.582229375839233,31,7,23,6,11
1403715904.632234573364258,28,0,27,0,11
1403715904.682235956192017,29,0,24,5,11
1403715904.732237815856934,30,2,25,3,11
1403715904.782230377197266,30,0,27,0,11
1403715904.832237720489502,31,1,23,4,11
1403715904.882233858108521,31,2,23,1,11
1403715904.932234287261963,27,0,18,2,11
1403715904.982239723205566,18,1,17,0,11
1403715905.032272577285767,19,3,9,5,11
1403715905.082278490066528,17,0,12,1,11
1403715905.132288694381714,16,1,13,0,11
1403715905.182313680648804,14,6,8,2,11
1403715905.232321977615356,14,0,12,0,11
1403715905.282350063323975,14,2,9,1,11
1403715905.332410097122192,15,3,10,3,11
1403715905.382439613342285,18,2,12,5,11
1403715905.432448625564575,19,0,16,1,11
1403715905.482460737228394,21,2,16,5,11
1403715905.532512903213501,22,2,17,4,11
1403715905.582574605941772,26,2,18,6,11
1403715905.632678985595703,27,4,21,5,11
1403715905.682721138000488,26,2,23,1,11
1403715905.732806921005249,29,3,24,4,11
1403715905.782882928848267,37,4,27,10,11
1403715905.832899093627930,37,1,30,0,11
1403715905.882894277572632,33,2,27,0,11
1403715905.932909011840820,31,2,23,6,11
1403715905.982925415039062,32,2,28,1,11
1403715906.032926321029663,32,1,27,2,11
1403715906.082905054092407,30,4,20,2,11
1403715906.132893085479736,28,3,22,0,11
1403715906.182868719100952,28,0,14,6,11
1403715906.232851982116699,28,1,15,6,11
1403715906.282853126525879,25,1,16,2,11
1403715906.332848072052002,23,0,12,2,11
1403715906.382863044738770,24,0,11,6,11
1403715906.432858705520630,23,0,13,4,11
1403715906.482873201370239,23,0,17,3,11
1403715906.532869815826416,20,0,17,1,11
1403715906.582890510559082,20,1,16,0,11
1403715906.632903337478638,17,0,14,0,11
1403715906.682902097702026,15,0,14,0,11
1403715906.732914447784424,15,2,12,1,11
1403715906.782914400100708,14,1,10,0,11
1403715906.832927465438843,15,2,9,5,11
1403715906.882941246032715,12,3,8,0,11
1403715906.932942628860474,10,0,4,0,11
1403715906.982953786849976,8,0,3,3,11
1403715907.032963991165161,7,0,0,5,11
1403715907.082963705062866,5,1,3,0,11
1403715907.132963180541992,8,1,3,5,11
1403715907.182965278625488,8,0,5,0,11
1403715907.232974529266357,11,0,5,4,11
1403715907.282982110977173,11,0,8,2,11
1403715907.332987785339355,9,1,8,0,11
1403715907.382986068725586,15,2,8,7,11
1403715907.432991743087769,15,2,15,0,11
1403715907.482997417449951,17,0,15,2,11
1403715907.532990932464600,22,1,16,5,11
1403715907.582993507385254,19,1,17,0,11
1403715907.633006095886230,24,2,16,7,11
1403715907.683021545410156,21,1,20,0,11
1403715907.733042478561401,21,1,19,1,11
1403715907.783058166503906,22,1,17,3,11
1403715907.833086013793945,22,4,16,5,11
1403715907.883090496063232,22,2,21,1,11
1403715907.933113336563110,24,2,21,3,11
1403715907.983129501342773,32,2,24,8,11
1403715908.033132314682007,36,1,27,6,11
1403715908.083140850067139,34,0,30,0,11
1403715908.133155822753906,35,1,24,5,11
1403715908.183176517486572,38,4,25,7,11
1403715908.233183860778809,36,2,22,4,11
1403715908.283220767974854,42,2,24,9,11
1403715908.333228111267090,35,2,29,4,11
1403715908.383218526840210,33,1,29,0,11
1403715908.433218955993652,32,1,28,2,11
1403715908.483213186264038,32,2,28,4,11
1403715908.533204793930054,35,1,30,3,11
1403715908.583179950714111,32,1,30,0,11
1403715908.633136749267578,36,4,25,10,11
1403715908.683090209960938,34,1,33,0,11
1403715908.733068227767944,32,3,29,1,11
1403715908.783065795898438,38,1,22,12,11
1403715908.833096742630005,35,0,29,2,11
1403715908.883118629455566,35,0,31,2,11
1403715908.933118581771851,45,3,28,14,11
1403715908.983131885528564,45,0,41,0,11
1403715909.033141851425171,41,0,39,0,11
1403715909.083141803741455,36,1,34,0,11
1403715909.133149385452271,34,1,30,1,11
1403715909.183138847351074,39,5,25,13,11
1403715909.233136892318726,39,0,36,1,11
1403715909.283149480819702,38,0,35,1,11
1403715909.333154439926147,37,0,34,0,11
1403715909.383164405822754,46,7,30,12,11
1403715909.433204650878906,43,1,39,0,11
1403715909.483217000961304,35,0,34,0,11
1403715909.533247947692871,36,0,28,4,11
1403715909.583260059356689,36,0,30,0,11
1403715909.633261442184448,33,0,27,0,11
1403715909.683304786682129,44,3,24,16,11
1403715909.733301162719727,40,1,36,0,11
1403715909.783317327499390,43,2,34,6,11
1403715909.833347320556641,38,1,32,0,11
1403715909.883361816406250,37,1,22,0,11
1403715909.933381557464600,30,5,17,0,11
1403715909.983390569686890,22,4,6,4,11
1403715910.033390760421753,14,4,9,0,11
1403715910.083387374877930,15,3,7,6,11
1403715910.133380413055420,12,4,4,0,11
1403715910.183369874954224,11,6,3,1,11
1403715910.233340740203857,13,3,3,10,11
1403715910.283339262008667,11,4,10,0,11
1403715910.333335638046265,1,8,1,0,11
1403715910.383300781250000,2,2,0,2,11
1403715910.433299064636230,2,2,2,0,11
1403715910.483304500579834,2,4,1,0,11
1403715910.533297538757324,6,3,1,4,11
1403715910.583284854888916,13,0,4,8,11
1403715910.633275508880615,15,4,4,2,11
1403715910.683258295059204,16,4,2,3,11
1403715910.733249187469482,19,7,1,10,11
1403715910.783220529556274,21,0,5,6,11
1403715910.833220243453979,18,2,10,0,11
1403715910.883210182189941,27,1,10,16,11
1403715910.933216333389282,27,6,22,3,11
1403715910.983215570449829,24,7,21,0,11
1403715911.033213138580322,25,2,21,3,11
1403715911.083207845687866,24,3,24,0,11
1403715911.133213758468628,27,2,24,3,11
1403715911.183216810226440,26,5,24,0,11
1403715911.233219623565674,30,3,23,4,11
1403715911.283228874206543,31,5,24,4,11
1403715911.333264827728271,31,4,22,4,11
1403715911.383281946182251,33,1,21,6,11
1403715911.433298826217651,21,6,20,1,11
1403715911.483308553695679,26,4,20,5,11
1403715911.533319234848022,28,4,21,2,11
1403715911.583328485488892,30,1,21,5,11
1403715911.633319139480591,25,2,23,1,11
1403715911.683312892913818,21,4,18,1,11
1403715911.733294963836670,21,3,18,0,11
1403715911.783287286758423,24,6,17,6,11
1403715911.833279848098755,27,1,23,3,11
1403715911.883291244506836,30,1,25,5,11
1403715911.933294057846069,30,3,30,0,11
1403715911.983295679092407,33,4,29,3,11
1403715912.033295154571533,37,1,31,4,11
1403715912.083287954330444,39,3,32,5,11
1403715912.133289813995361,40,1,37,1,11
1403715912.183277130126953,40,1,37,1,11
1403715912.233303546905518,46,5,36,8,11
1403715912.283311128616333,44,0,40,0,11
1403715912.333311080932617,44,0,40,2,11
1403715912.383311033248901,46,7,39,4,11
1403715912.433326005935669,46,1,38,3,11
1403715912.483342409133911,43,0,36,2,11
1403715912.533365249633789,44,8,33,5,11
1403715912.583376884460449,39,2,31,1,11
1403715912.633379459381104,37,1,29,4,11
1403715912.683392524719238,38,4,30,4,11
