# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.775819301605225,0.00851,0.00013,0.00039,0.00000,0.00000,0.00198,0.01102
1403715893.837649822235107,0.01080,0.00008,0.00196,0.00000,0.00450,0.00211,0.01945
1403715893.886259794235229,0.00740,0.00013,0.00002,0.00110,0.00000,0.00225,0.01090
1403715893.934122562408447,0.01013,0.00016,0.00009,0.00113,0.00000,0.00228,0.01379
1403715893.984000205993652,0.00858,0.00017,0.00007,0.00096,0.00000,0.00217,0.01195
1403715894.034256219863892,0.00958,0.00014,0.00005,0.00097,0.00000,0.00227,0.01300
1403715894.085327386856079,0.00837,0.00014,0.00027,0.00090,0.00010,0.00232,0.01209
1403715894.135075807571411,0.01041,0.00014,0.00008,0.00128,0.00000,0.00228,0.01419
1403715894.184137105941772,0.00963,0.00014,0.00016,0.00102,0.00055,0.00229,0.01378
1403715894.234203100204468,0.00774,0.00014,0.00020,0.00123,0.00120,0.00224,0.01275
1403715894.284698724746704,0.00730,0.00027,0.00033,0.00196,0.00025,0.00251,0.01261
1403715894.334979295730591,0.00736,0.00013,0.00017,0.00091,0.00004,0.00235,0.01096
1403715894.384443044662476,0.00722,0.00014,0.00034,0.00093,0.00128,0.00220,0.01211
1403715894.433428287506104,0.00611,0.00016,0.00683,0.00204,0.00948,0.00223,0.02685
1403715894.483235359191895,0.00620,0.00015,0.00005,0.00241,0.00391,0.00248,0.01520
1403715894.533031940460205,0.00637,0.00015,0.00004,0.00284,0.00000,0.00214,0.01155
1403715894.582825899124146,0.00691,0.00016,0.00030,0.00201,0.00268,0.00296,0.01503
1403715894.632799386978149,0.00641,0.00018,0.00009,0.00204,0.00016,0.00228,0.01115
1403715894.682825565338135,0.00670,0.00028,0.00046,0.00123,0.00063,0.00236,0.01166
1403715894.732645273208618,0.00928,0.00016,0.00015,0.00103,0.00034,0.00242,0.01338
1403715894.782289266586304,0.00770,0.00015,0.00034,0.00114,0.00160,0.00248,0.01340
1403715894.832164764404297,0.00765,0.00014,0.00024,0.00140,0.00012,0.00217,0.01172
1403715894.881898164749146,0.00728,0.00017,0.00006,0.00115,0.00520,0.00372,0.01758
1403715894.931855678558350,0.00667,0.00016,0.00046,0.00087,0.00133,0.00234,0.01182
1403715894.981864452362061,0.00689,0.00015,0.00016,0.00063,0.00083,0.00223,0.01089
1403715895.031847476959229,0.00725,0.00016,0.00267,0.00091,0.00431,0.00227,0.01757
1403715895.081881999969482,0.00718,0.00016,0.00018,0.00060,0.00043,0.00208,0.01064
