# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.775819301605225,0.00284,0.00009,0.00039,0.00000,0.00000,0.00133,0.00465
1403715893.837649822235107,0.00370,0.00008,0.00192,0.00000,0.00392,0.00133,0.01096
1403715893.886259794235229,0.00257,0.00013,0.00002,0.00110,0.00000,0.00141,0.00523
1403715893.934122562408447,0.00376,0.00016,0.00009,0.00109,0.00000,0.00146,0.00657
1403715893.984000205993652,0.00297,0.00015,0.00007,0.00096,0.00000,0.00140,0.00554
1403715894.034256219863892,0.00349,0.00014,0.00005,0.00097,0.00000,0.00152,0.00616
1403715894.085327386856079,0.00307,0.00014,0.00027,0.00090,0.00010,0.00151,0.00599
1403715894.135075807571411,0.00375,0.00014,0.00008,0.00125,0.00000,0.00153,0.00676
1403715894.184137105941772,0.00365,0.00014,0.00016,0.00102,0.00054,0.00151,0.00702
1403715894.234203100204468,0.00274,0.00014,0.00020,0.00117,0.00118,0.00150,0.00693
1403715894.284698724746704,0.00291,0.00022,0.00033,0.00192,0.00025,0.00169,0.00732
1403715894.334979295730591,0.00261,0.00013,0.00017,0.00089,0.00004,0.00152,0.00537
1403715894.384443044662476,0.00249,0.00014,0.00034,0.00092,0.00125,0.00155,0.00671
1403715894.433428287506104,0.00217,0.00016,0.00678,0.00146,0.00944,0.00150,0.02150
1403715894.483235359191895,0.00223,0.00015,0.00005,0.00239,0.00387,0.00146,0.01016
1403715894.533031940460205,0.00225,0.00015,0.00004,0.00280,0.00000,0.00147,0.00671
1403715894.582825899124146,0.00241,0.00016,0.00030,0.00201,0.00267,0.00151,0.00906
1403715894.632799386978149,0.00227,0.00018,0.00009,0.00199,0.00016,0.00153,0.00622
1403715894.682825565338135,0.00239,0.00026,0.00043,0.00123,0.00060,0.00156,0.00647
1403715894.732645273208618,0.00319,0.00016,0.00015,0.00103,0.00034,0.00153,0.00641
1403715894.782289266586304,0.00272,0.00015,0.00034,0.00114,0.00157,0.00150,0.00742
1403715894.832164764404297,0.00269,0.00014,0.00024,0.00140,0.00012,0.00145,0.00604
1403715894.881898164749146,0.00253,0.00017,0.00006,0.00114,0.00518,0.00203,0.01111
1403715894.931855678558350,0.00250,0.00016,0.00041,0.00087,0.00130,0.00166,0.00691
1403715894.981864452362061,0.00239,0.00015,0.00012,0.00063,0.00083,0.00146,0.00559
1403715895.031847476959229,0.00253,0.00016,0.00264,0.00090,0.00363,0.00143,0.01131
1403715895.081881999969482,0.00244,0.00016,0.00018,0.00060,0.00043,0.00145,0.00526
1403715895.131916999816895,0.00216,0.00014,0.00015,0.00082,0.00000,0.00143,0.00471
1403715895.181897401809692,0.00327,0.00017,0.00014,0.00051,0.00048,0.00155,0.00612
1403715895.231934070587158,0.00242,0.00015,0.00055,0.00067,0.00061,0.00148,0.00587
1403715895.281922101974487,0.00267,0.00016,0.00043,0.00078,0.00234,0.00146,0.00784
1403715895.331979990005493,0.00371,0.00014,0.00029,0.00089,0.00048,0.00159,0.00711
1403715895.381955623626709,0.00267,0.00012,0.00011,0.00059,0.00047,0.00160,0.00555
1403715895.431941270828247,0.00264,0.00015,0.00019,0.00044,0.00038,0.00159,0.00538
1403715895.482019662857056,0.00241,0.00015,0.00010,0.00052,0.00174,0.00144,0.00636
1403715895.532043695449829,0.00247,0.00014,0.00001,0.00099,0.00107,0.00152,0.00621
1403715895.582058668136597,0.00253,0.00012,0.00015,0.00061,0.00053,0.00142,0.00536
1403715895.632105112075806,0.00271,0.00014,0.00070,0.00040,0.00486,0.00153,0.01035
1403715895.682111024856567,0.00221,0.00013,0.00009,0.00046,0.00039,0.00146,0.00474
1403715895.732205867767334,0.00226,0.00013,0.00040,0.00044,0.00588,0.00165,0.01076
1403715895.782209634780884,0.00402,0.00013,0.00016,0.00104,0.00019,0.00154,0.00709
1403715895.832243204116821,0.00301,0.00014,0.00026,0.00083,0.00144,0.00172,0.00740
1403715895.882271051406860,0.00315,0.00016,0.00029,0.00072,0.00126,0.00159,0.00717
1403715895.932295322418213,0.00376,0.00015,0.00036,0.00054,0.00067,0.00155,0.00702
1403715895.982343673706055,0.00287,0.00015,0.00029,0.00071,0.00071,0.00151,0.00624
1403715896.032354593276978,0.00345,0.00014,0.00018,0.00060,0.00043,0.00186,0.00666
1403715896.082365989685059,0.00282,0.00018,0.00040,0.00142,0.00077,0.00193,0.00752
1403715896.132384061813354,0.00238,0.00013,0.00008,0.00052,0.00062,0.00152,0.00526
1403715896.182372331619263,0.00257,0.00015,0.00010,0.00088,0.00011,0.00146,0.00527
1403715896.232355594635010,0.00278,0.00014,0.00008,0.00073,0.00374,0.00145,0.00892
1403715896.282277822494507,0.00269,0.00013,0.00024,0.00048,0.00000,0.00156,0.00511
1403715896.332097291946411,0.00277,0.00014,0.00059,0.00044,0.00695,0.00151,0.01240
1403715896.382127523422241,0.00259,0.00014,0.00015,0.00063,0.00052,0.00157,0.00560
1403715896.432152509689331,0.00257,0.00015,0.00001,0.00097,0.00000,0.00150,0.00521
1403715896.482207298278809,0.00349,0.00016,0.00009,0.00059,0.00090,0.00158,0.00680
1403715896.532207250595093,0.00519,0.00013,0.00009,0.00031,0.00046,0.00166,0.00783
