# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.794095754623413,0.00235,0.00011,0.00062,0.00000,0.00000,0.00130,0.00438
1403715893.837712287902832,0.00412,0.00011,0.00184,0.00000,0.00266,0.00128,0.01002
1403715893.887346029281616,0.00239,0.00012,0.00002,0.00057,0.00000,0.00122,0.00432
1403715893.936416625976562,0.00272,0.00014,0.00003,0.00059,0.00000,0.00143,0.00490
1403715893.986374616622925,0.00305,0.00014,0.00008,0.00056,0.00000,0.00139,0.00521
1403715894.036912679672241,0.00361,0.00012,0.00024,0.00060,0.00000,0.00144,0.00602
1403715894.087435007095337,0.00253,0.00012,0.00009,0.00054,0.00000,0.00137,0.00465
1403715894.137986183166504,0.00354,0.00012,0.00014,0.00059,0.00000,0.00154,0.00593
1403715894.190064430236816,0.00248,0.00012,0.00005,0.00045,0.00236,0.00141,0.00687
1403715894.240571260452271,0.00355,0.00013,0.00017,0.00084,0.00120,0.00152,0.00740
1403715894.290822267532349,0.00250,0.00013,0.00009,0.00096,0.00341,0.00144,0.00854
1403715894.340451478958130,0.00303,0.00013,0.00037,0.00101,0.00004,0.00139,0.00597
1403715894.390152931213379,0.00356,0.00014,0.00043,0.00138,0.00164,0.00150,0.00866
1403715894.439492464065552,0.00348,0.00015,0.00884,0.00156,0.01086,0.00153,0.02643
1403715894.488504886627197,0.00236,0.00014,0.00006,0.00306,0.00392,0.00143,0.01098
1403715894.538041353225708,0.00238,0.00015,0.00024,0.00329,0.00000,0.00137,0.00744
1403715894.587770938873291,0.00230,0.00020,0.00006,0.00234,0.00342,0.00155,0.00988
1403715894.637593746185303,0.00279,0.00019,0.00021,0.00321,0.00060,0.00140,0.00840
1403715894.687358140945435,0.00252,0.00021,0.00084,0.00431,0.00000,0.00155,0.00942
1403715894.736999511718750,0.00308,0.00017,0.00007,0.00388,0.00016,0.00150,0.00887
1403715894.786728858947754,0.00239,0.00020,0.00055,0.00397,0.00016,0.00146,0.00873
1403715894.836592197418213,0.00323,0.00021,0.00018,0.00376,0.00019,0.00175,0.00931
1403715894.886579036712646,0.00252,0.00020,0.00274,0.00371,0.00241,0.00146,0.01304
1403715894.936705350875854,0.00217,0.00017,0.00382,0.00431,0.00001,0.00148,0.01197
1403715894.987061262130737,0.00307,0.00018,0.00061,0.00173,0.00105,0.00150,0.00814
1403715895.037878513336182,0.00266,0.00021,0.01075,0.00291,0.00039,0.00160,0.01851
1403715895.088127613067627,0.00257,0.00019,0.00020,0.00243,0.00046,0.00146,0.00731
1403715895.138180494308472,0.00260,0.00017,0.00023,0.00289,0.00021,0.00166,0.00776
1403715895.188246011734009,0.00252,0.00014,0.00024,0.00284,0.00000,0.00147,0.00722
1403715895.238297224044800,0.00255,0.00017,0.00072,0.00247,0.00000,0.00139,0.00729
1403715895.288203477859497,0.00248,0.00016,0.00023,0.00224,0.00001,0.00140,0.00652
1403715895.338175296783447,0.00236,0.00014,0.00074,0.00138,0.00012,0.00142,0.00615
1403715895.388135910034180,0.00294,0.00014,0.00012,0.00153,0.00086,0.00145,0.00703
1403715895.438077449798584,0.00246,0.00015,0.00049,0.00204,0.00098,0.00144,0.00757
1403715895.488052845001221,0.00244,0.00019,0.00001,0.00249,0.00181,0.00148,0.00842
1403715895.538087844848633,0.00497,0.00023,0.00518,0.00242,0.00916,0.00181,0.02377
1403715895.587873458862305,0.00301,0.00016,0.00037,0.00312,0.00098,0.00145,0.00909
1403715895.637609004974365,0.00283,0.00017,0.00849,0.00310,0.00249,0.00150,0.01860
1403715895.687617063522339,0.00268,0.00017,0.00057,0.00337,0.00121,0.00166,0.00966
1403715895.737536430358887,0.00269,0.00016,0.00017,0.00375,0.00166,0.00161,0.01003
1403715895.787515640258789,0.00283,0.00018,0.00016,0.00408,0.00000,0.00149,0.00874
1403715895.837523937225342,0.00251,0.00017,0.00002,0.00374,0.00000,0.00136,0.00780
1403715895.887493610382080,0.00266,0.00017,0.00007,0.00347,0.00054,0.00143,0.00834
1403715895.937503099441528,0.00274,0.00017,0.00069,0.00333,0.00088,0.00150,0.00931
1403715895.987419366836548,0.00239,0.00018,0.00038,0.00361,0.00001,0.00146,0.00803
1403715896.037341117858887,0.00239,0.00016,0.00009,0.00283,0.00000,0.00148,0.00694
1403715896.087114810943604,0.00244,0.00019,0.00617,0.00234,0.00730,0.00166,0.02010
1403715896.137048244476318,0.00230,0.00017,0.00490,0.00345,0.00146,0.00143,0.01372
1403715896.187072753906250,0.00241,0.00017,0.00006,0.00432,0.00016,0.00138,0.00850
1403715896.237005472183228,0.00239,0.00017,0.00748,0.00426,0.00130,0.00153,0.01712
1403715896.286781549453735,0.00253,0.00015,0.00001,0.00425,0.00000,0.00143,0.00838
1403715896.336728811264038,0.00250,0.00017,0.00032,0.00345,0.00028,0.00133,0.00804
1403715896.386726617813110,0.00234,0.00016,0.00006,0.00392,0.00001,0.00134,0.00782
1403715896.436701774597168,0.00237,0.00016,0.00016,0.00355,0.00042,0.00136,0.00802
1403715896.486663818359375,0.00243,0.00020,0.00020,0.00356,0.00014,0.00138,0.00792
1403715896.536683320999146,0.00393,0.00016,0.00009,0.00376,0.00016,0.00140,0.00950
1403715896.586709976196289,0.00287,0.00016,0.00036,0.00366,0.00001,0.00149,0.00856
1403715896.636743783950806,0.00277,0.00017,0.00048,0.00342,0.00000,0.00160,0.00844
1403715896.686833381652832,0.00278,0.00015,0.00303,0.00273,0.00612,0.00144,0.01626
1403715896.736936330795288,0.00274,0.00017,0.00347,0.00392,0.00239,0.00153,0.01422
1403715896.786878108978271,0.00265,0.00016,0.00009,0.00421,0.00016,0.00143,0.00871
1403715896.836824655532837,0.00268,0.00017,0.00595,0.00423,0.00115,0.00150,0.01568
1403715896.886825799942017,0.00268,0.00017,0.00007,0.00408,0.00000,0.00138,0.00838
1403715896.936820983886719,0.00242,0.00016,0.00025,0.00394,0.00015,0.00138,0.00830
1403715896.986804246902466,0.00261,0.00016,0.00005,0.00410,0.00069,0.00141,0.00903
1403715897.036807060241699,0.00242,0.00023,0.00009,0.00421,0.00001,0.00156,0.00852
1403715897.086969614028931,0.00237,0.00018,0.00672,0.00415,0.00377,0.00139,0.01858
1403715897.136938571929932,0.00248,0.00024,0.00002,0.00479,0.00062,0.00163,0.00978
1403715897.186812877655029,0.00257,0.00024,0.00037,0.00437,0.00016,0.00147,0.00918
1403715897.236737728118896,0.00235,0.00018,0.00012,0.00450,0.00032,0.00154,0.00901
1403715897.286648750305176,0.00263,0.00023,0.00380,0.00397,0.00018,0.00155,0.01236
1403715897.336570978164673,0.00370,0.00019,0.00342,0.00174,0.00055,0.00149,0.01109
1403715897.386543989181519,0.00262,0.00018,0.00056,0.00162,0.00066,0.00142,0.00707
1403715897.436480998992920,0.00248,0.00020,0.00584,0.00123,0.00111,0.00150,0.01236
1403715897.486528396606445,0.00252,0.00017,0.00054,0.00239,0.00044,0.00133,0.00739
1403715897.536461830139160,0.00401,0.00015,0.00038,0.00229,0.00031,0.00143,0.00856
1403715897.586469173431396,0.00274,0.00022,0.00017,0.00192,0.00000,0.00146,0.00652
1403715897.636460781097412,0.00266,0.00017,0.00030,0.00197,0.00027,0.00136,0.00674
1403715897.686383962631226,0.00262,0.00018,0.00054,0.00231,0.00252,0.00147,0.00964
1403715897.736286640167236,0.00252,0.00017,0.00053,0.00292,0.00000,0.00148,0.00761
1403715897.786234378814697,0.00240,0.00018,0.00070,0.00311,0.00000,0.00144,0.00783
1403715897.836175203323364,0.00237,0.00017,0.00001,0.00304,0.00000,0.00141,0.00700
1403715897.886089801788330,0.00249,0.00017,0.00071,0.00366,0.00940,0.00140,0.01782
1403715897.936077356338501,0.00380,0.00018,0.00155,0.00370,0.00195,0.00163,0.01281
1403715897.986106872558594,0.00292,0.00019,0.00082,0.00370,0.00000,0.00145,0.00908
1403715898.036071062088013,0.00277,0.00017,0.00554,0.00339,0.00177,0.00142,0.01507
1403715898.086005449295044,0.00240,0.00019,0.00261,0.00248,0.00502,0.00144,0.01414
1403715898.136009931564331,0.00385,0.00018,0.00062,0.00245,0.00009,0.00148,0.00868
1403715898.186011075973511,0.00277,0.00016,0.00095,0.00195,0.00001,0.00136,0.00720
1403715898.236021280288696,0.00334,0.00015,0.00057,0.00166,0.00063,0.00134,0.00768
1403715898.286015987396240,0.00311,0.00016,0.00023,0.00188,0.00009,0.00150,0.00698
1403715898.336008548736572,0.00374,0.00015,0.00026,0.00173,0.00000,0.00150,0.00739
1403715898.386003732681274,0.00265,0.00014,0.00165,0.00157,0.00020,0.00142,0.00763
1403715898.436017513275146,0.00272,0.00016,0.00190,0.00157,0.00001,0.00158,0.00795
1403715898.485933303833008,0.00338,0.00016,0.00109,0.00128,0.00740,0.00151,0.01482
1403715898.535908460617065,0.00313,0.00014,0.00185,0.00177,0.00034,0.00136,0.00858
1403715898.585884571075439,0.00372,0.00016,0.00126,0.00176,0.00002,0.00140,0.00831
