# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.790877819061279,0.00342,0.00012,0.00055,0.00000,0.00000,0.00139,0.00548
1403715893.836881160736084,0.00447,0.00014,0.00257,0.00000,0.00434,0.00139,0.01291
1403715893.885990381240845,0.00344,0.00013,0.00002,0.00126,0.00000,0.00134,0.00619
1403715893.935211896896362,0.00292,0.00014,0.00003,0.00111,0.00000,0.00137,0.00558
1403715893.985388517379761,0.00266,0.00015,0.00009,0.00119,0.00000,0.00144,0.00554
1403715894.035820722579956,0.00401,0.00016,0.00008,0.00113,0.00000,0.00140,0.00680
1403715894.084992408752441,0.00280,0.00019,0.00033,0.00113,0.00000,0.00141,0.00587
1403715894.134038448333740,0.00303,0.00017,0.00011,0.00112,0.00000,0.00151,0.00594
1403715894.183926582336426,0.00319,0.00015,0.00015,0.00109,0.00196,0.00157,0.00812
1403715894.234150409698486,0.00256,0.00016,0.00014,0.00153,0.00133,0.00142,0.00714
1403715894.284041881561279,0.00298,0.00016,0.00011,0.00181,0.00295,0.00167,0.00968
1403715894.334084510803223,0.00299,0.00016,0.00022,0.00184,0.00012,0.00142,0.00674
1403715894.383898496627808,0.00334,0.00020,0.00085,0.00184,0.00233,0.00208,0.01063
1403715894.432577610015869,0.00284,0.00016,0.00907,0.00186,0.00653,0.00150,0.02196
1403715894.481546163558960,0.00302,0.00020,0.00008,0.00299,0.00404,0.00148,0.01182
1403715894.530751943588257,0.00291,0.00020,0.00010,0.00273,0.00018,0.00144,0.00756
1403715894.580125093460083,0.00333,0.00032,0.00026,0.00501,0.00551,0.00177,0.01620
1403715894.629961967468262,0.00235,0.00022,0.00022,0.00315,0.00057,0.00142,0.00793
1403715894.680009841918945,0.00232,0.00025,0.00020,0.00362,0.00095,0.00141,0.00875
1403715894.730491876602173,0.00226,0.00018,0.00044,0.00406,0.00000,0.00154,0.00848
1403715894.780670166015625,0.00253,0.00020,0.00002,0.00418,0.00000,0.00157,0.00849
1403715894.830693244934082,0.00248,0.00024,0.00152,0.00373,0.00420,0.00145,0.01361
1403715894.880690097808838,0.00265,0.00022,0.00117,0.00452,0.00016,0.00139,0.01011
1403715894.930643558502197,0.00338,0.00022,0.00515,0.00474,0.00000,0.00167,0.01516
1403715894.980679035186768,0.00264,0.00021,0.00012,0.00419,0.00062,0.00150,0.00928
1403715895.031002521514893,0.00252,0.00021,0.00973,0.00375,0.00035,0.00150,0.01805
1403715895.081096649169922,0.00257,0.00019,0.00010,0.00407,0.00017,0.00154,0.00866
1403715895.131165504455566,0.00250,0.00020,0.00025,0.00398,0.00000,0.00153,0.00845
1403715895.181212663650513,0.00243,0.00021,0.00009,0.00396,0.00000,0.00145,0.00815
1403715895.231244087219238,0.00218,0.00021,0.00144,0.00343,0.00112,0.00154,0.00993
1403715895.281307697296143,0.00249,0.00018,0.00062,0.00336,0.00025,0.00141,0.00831
1403715895.331480026245117,0.00326,0.00023,0.00054,0.00317,0.00002,0.00155,0.00876
1403715895.381640911102295,0.00285,0.00022,0.00044,0.00261,0.00018,0.00160,0.00790
1403715895.431869983673096,0.00269,0.00020,0.00027,0.00279,0.00133,0.00158,0.00887
1403715895.481935977935791,0.00293,0.00019,0.00295,0.00283,0.00539,0.00158,0.01586
1403715895.531893730163574,0.00232,0.00019,0.00289,0.00393,0.00304,0.00157,0.01393
