# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.791191101074219,0,15,0,0,5
1403715893.835780143737793,13,13,0,13,6
1403715893.885843992233276,13,0,13,0,7
1403715893.936089515686035,13,0,13,0,8
1403715893.986256122589111,13,0,12,0,9
1403715894.036474466323853,12,0,12,0,10
1403715894.086675167083740,12,0,12,0,11
1403715894.136397123336792,12,0,12,0,11
1403715894.186378002166748,17,0,11,6,11
1403715894.236416816711426,19,0,17,2,11
1403715894.286670446395874,25,0,19,6,11
1403715894.336573839187622,24,0,23,0,11
1403715894.386494159698486,28,3,24,4,11
1403715894.435997486114502,44,25,28,16,11
1403715894.485833406448364,47,0,43,4,11
1403715894.535662651062012,47,1,47,0,11
1403715894.585792064666748,50,2,47,3,11
1403715894.635801315307617,50,0,49,0,11
1403715894.685668468475342,50,0,49,0,11
1403715894.735354661941528,50,0,49,1,11
1403715894.784770965576172,50,6,50,0,11
1403715894.834315776824951,50,6,49,0,11
1403715894.884198665618896,49,2,49,0,11
1403715894.934118270874023,49,4,48,1,11
1403715894.984066963195801,49,1,48,1,11
1403715895.033911228179932,46,21,46,0,11
1403715895.083867788314819,46,1,44,1,11
1403715895.133790969848633,45,0,45,0,11
1403715895.183718204498291,45,1,44,0,11
1403715895.233756065368652,44,4,42,0,11
1403715895.283753156661987,43,1,42,0,11
1403715895.333654642105103,40,0,38,1,11
1403715895.383700132369995,43,0,39,3,11
1403715895.433767795562744,48,3,41,7,11
1403715895.483780145645142,49,1,46,1,11
1403715895.533743381500244,49,2,46,2,11
1403715895.583805322647095,50,0,45,2,11
1403715895.633952856063843,48,18,42,0,11
1403715895.684023380279541,49,14,42,4,11
1403715895.734132289886475,46,0,44,0,11
1403715895.784165143966675,46,1,44,0,11
1403715895.834259748458862,45,0,43,0,11
1403715895.884256362915039,45,5,42,1,11
1403715895.934263467788696,45,1,43,1,11
1403715895.984250545501709,45,1,44,1,11
1403715896.034220457077026,46,1,43,2,11
1403715896.084197282791138,46,0,43,0,11
1403715896.134104251861572,46,0,43,1,11
1403715896.184212684631348,47,9,43,3,11
1403715896.234307527542114,47,16,46,1,11
1403715896.284338235855103,48,10,44,2,11
1403715896.334639549255371,47,1,35,2,11
1403715896.384689807891846,45,0,30,2,11
1403715896.434793233871460,44,0,30,7,11
1403715896.484994888305664,43,0,35,4,11
1403715896.535120964050293,43,1,38,2,11
1403715896.585152149200439,42,1,40,1,11
1403715896.635168313980103,41,1,40,1,11
1403715896.685186147689819,39,2,39,0,11
1403715896.735145330429077,39,1,36,0,11
1403715896.785018205642700,47,1,32,8,11
1403715896.835024595260620,47,11,40,3,11
1403715896.884971380233765,48,5,40,5,11
1403715896.934996128082275,50,0,44,2,11
1403715896.985002994537354,50,0,46,3,11
1403715897.035020589828491,49,2,47,0,11
1403715897.085243940353394,49,11,44,1,11
1403715897.135331153869629,48,0,43,0,11
1403715897.185482978820801,47,0,43,3,11
1403715897.235494136810303,47,0,46,1,11
1403715897.285467147827148,47,2,46,0,11
1403715897.335470676422119,46,2,43,0,11
1403715897.385526418685913,48,0,43,3,11
1403715897.435621976852417,48,16,44,1,11
1403715897.485562086105347,48,9,44,1,11
1403715897.535446166992188,46,6,44,0,11
1403715897.585346698760986,45,2,43,1,11
1403715897.635235309600830,46,3,41,1,11
1403715897.685139894485474,50,3,41,5,11
1403715897.735032796859741,49,2,45,2,11
1403715897.784992456436157,48,2,45,1,11
1403715897.834946632385254,46,1,42,1,11
1403715897.884969234466553,46,2,40,2,11
1403715897.934975147247314,42,2,34,0,11
1403715897.985062360763550,39,1,32,1,11
1403715898.035076379776001,38,16,30,8,11
1403715898.085064411163330,41,6,31,3,11
1403715898.135097265243530,38,2,24,0,11
1403715898.185142278671265,29,3,22,4,11
1403715898.235207080841064,22,2,19,1,11
1403715898.285308361053467,21,3,20,0,11
1403715898.335369348526001,20,5,20,0,11
1403715898.385414361953735,20,3,20,0,11
1403715898.435482025146484,18,8,17,0,11
1403715898.485583305358887,26,7,17,8,11
1403715898.535585641860962,26,7,24,1,11
1403715898.585599422454834,26,1,22,2,11
1403715898.635613441467285,33,4,23,7,11
1403715898.685604572296143,35,3,26,6,11
1403715898.735595941543579,34,8,27,1,11
1403715898.785602331161499,24,3,19,2,11
1403715898.835603237152100,24,1,20,3,11
1403715898.885589838027954,25,6,22,1,11
1403715898.935536384582520,29,5,17,8,11
1403715898.985530138015747,25,2,24,0,11
1403715899.035514593124390,28,3,22,5,11
1403715899.085480928421021,28,2,25,1,11
1403715899.135465621948242,25,4,23,1,11
1403715899.185443162918091,27,3,23,4,11
1403715899.235427856445312,34,2,25,8,11
