# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.790081977844238,0.00958,0.00011,0.00064,0.00000,0.00000,0.00213,0.01246
1403715893.835411310195923,0.01127,0.00011,0.00199,0.00000,0.00264,0.00181,0.01781
1403715893.883653163909912,0.00893,0.00013,0.00002,0.00057,0.00002,0.00205,0.01171
1403715893.932509660720825,0.00758,0.00013,0.00004,0.00057,0.00000,0.00198,0.01031
1403715893.982325553894043,0.00658,0.00014,0.00007,0.00052,0.00000,0.00203,0.00935
1403715894.032117843627930,0.00849,0.00014,0.00005,0.00055,0.00000,0.00206,0.01129
1403715894.082316160202026,0.00892,0.00015,0.00031,0.00053,0.00000,0.00229,0.01220
1403715894.132078409194946,0.00872,0.00015,0.00004,0.00053,0.00000,0.00209,0.01153
1403715894.182007312774658,0.00731,0.00013,0.00006,0.00047,0.00198,0.00234,0.01230
1403715894.231664896011353,0.00854,0.00013,0.00042,0.00076,0.00115,0.00212,0.01312
1403715894.281833887100220,0.00851,0.00016,0.00009,0.00102,0.00269,0.00229,0.01477
1403715894.331816196441650,0.00852,0.00017,0.00041,0.00161,0.00018,0.00215,0.01304
1403715894.382289886474609,0.01017,0.00017,0.00099,0.00154,0.00200,0.00233,0.01720
1403715894.432690382003784,0.00836,0.00017,0.00924,0.00165,0.01178,0.00231,0.03352
1403715894.483027935028076,0.00737,0.00017,0.00016,0.00310,0.00404,0.00221,0.01705
1403715894.532983779907227,0.00887,0.00020,0.00002,0.00423,0.00000,0.00232,0.01564
1403715894.583219766616821,0.00613,0.00017,0.00105,0.00395,0.00216,0.00188,0.01535
1403715894.633215904235840,0.00634,0.00021,0.00001,0.00413,0.00000,0.00215,0.01286
1403715894.683213710784912,0.00712,0.00019,0.00026,0.00424,0.00000,0.00199,0.01381
1403715894.733197927474976,0.00773,0.00018,0.00002,0.00408,0.00000,0.00206,0.01407
1403715894.782854557037354,0.00747,0.00018,0.00011,0.00408,0.00017,0.00275,0.01477
1403715894.832649230957031,0.00777,0.00019,0.00408,0.00390,0.00107,0.00205,0.01906
1403715894.882634639739990,0.00761,0.00021,0.00099,0.00464,0.00063,0.00259,0.01668
1403715894.932560205459595,0.00789,0.00020,0.00406,0.00404,0.00000,0.00227,0.01847
1403715894.982450008392334,0.00970,0.00020,0.00024,0.00398,0.00061,0.00215,0.01688
1403715895.032279968261719,0.00682,0.00019,0.00965,0.00347,0.00056,0.00322,0.02391
1403715895.082182168960571,0.00689,0.00020,0.00036,0.00356,0.00000,0.00210,0.01311
1403715895.132150888442993,0.00750,0.00018,0.00013,0.00325,0.00015,0.00204,0.01325
1403715895.182102918624878,0.00663,0.00019,0.00009,0.00346,0.00104,0.00207,0.01348
1403715895.232081174850464,0.00694,0.00018,0.00042,0.00349,0.00000,0.00201,0.01304
1403715895.282104492187500,0.00752,0.00017,0.00038,0.00299,0.00240,0.00235,0.01581
1403715895.332312583923340,0.00779,0.00017,0.00079,0.00253,0.00033,0.00207,0.01369
1403715895.382447957992554,0.00698,0.00016,0.00001,0.00308,0.00000,0.00248,0.01272
1403715895.432708501815796,0.00800,0.00016,0.00061,0.00249,0.00485,0.00190,0.01800
1403715895.482733488082886,0.00706,0.00021,0.00001,0.00353,0.00061,0.00219,0.01361
1403715895.532805442810059,0.00695,0.00019,0.00678,0.00315,0.00413,0.00200,0.02319
1403715895.582822084426880,0.00702,0.00018,0.00008,0.00432,0.00000,0.00204,0.01363
1403715895.632948875427246,0.01022,0.00020,0.00884,0.00363,0.00114,0.00274,0.02676
1403715895.682976961135864,0.00695,0.00016,0.00007,0.00356,0.00016,0.00211,0.01301
1403715895.732985258102417,0.00725,0.00021,0.00018,0.00355,0.00015,0.00197,0.01331
1403715895.782980203628540,0.00795,0.00020,0.00038,0.00376,0.00000,0.00227,0.01457
1403715895.833024263381958,0.00643,0.00017,0.00001,0.00317,0.00000,0.00215,0.01193
1403715895.882999658584595,0.00763,0.00022,0.00092,0.00324,0.00044,0.00220,0.01466
