# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.789683341979980,0.00259,0.00011,0.00060,0.00000,0.00000,0.00132,0.00462
1403715893.835621356964111,0.00371,0.00012,0.00220,0.00000,0.00282,0.00130,0.01014
1403715893.883715629577637,0.00334,0.00013,0.00002,0.00064,0.00000,0.00131,0.00544
1403715893.932419061660767,0.00276,0.00013,0.00003,0.00062,0.00000,0.00143,0.00498
1403715893.982355833053589,0.00263,0.00014,0.00007,0.00061,0.00000,0.00144,0.00490
1403715894.032423019409180,0.00302,0.00015,0.00029,0.00055,0.00000,0.00144,0.00546
1403715894.082240581512451,0.00284,0.00015,0.00031,0.00053,0.00000,0.00148,0.00531
1403715894.131707906723022,0.00313,0.00015,0.00016,0.00055,0.00000,0.00152,0.00551
1403715894.181534051895142,0.00259,0.00016,0.00008,0.00052,0.00177,0.00142,0.00654
1403715894.231177806854248,0.00350,0.00026,0.00007,0.00127,0.00121,0.00190,0.00820
1403715894.281136035919189,0.00284,0.00014,0.00022,0.00093,0.00271,0.00146,0.00830
1403715894.331278562545776,0.00229,0.00016,0.00048,0.00146,0.00019,0.00140,0.00597
1403715894.381837368011475,0.00232,0.00016,0.00094,0.00141,0.00160,0.00156,0.00799
1403715894.432267665863037,0.00215,0.00016,0.00852,0.00149,0.01024,0.00140,0.02397
1403715894.482356071472168,0.00228,0.00019,0.00022,0.00284,0.00397,0.00146,0.01096
1403715894.532178401947021,0.00244,0.00018,0.00002,0.00355,0.00000,0.00145,0.00764
1403715894.582234621047974,0.00282,0.00020,0.00008,0.00344,0.00311,0.00142,0.01107
1403715894.632222890853882,0.00234,0.00021,0.00029,0.00394,0.00000,0.00144,0.00822
1403715894.682230710983276,0.00213,0.00019,0.00027,0.00406,0.00000,0.00145,0.00811
1403715894.732352495193481,0.00278,0.00022,0.00016,0.00388,0.00000,0.00155,0.00859
1403715894.782463550567627,0.00236,0.00019,0.00048,0.00353,0.00015,0.00143,0.00814
1403715894.832581520080566,0.00229,0.00017,0.00159,0.00354,0.00466,0.00144,0.01369
1403715894.882615327835083,0.00229,0.00023,0.00002,0.00445,0.00066,0.00139,0.00903
1403715894.932596683502197,0.00226,0.00020,0.00389,0.00414,0.00001,0.00170,0.01220
1403715894.982562303543091,0.00230,0.00019,0.00068,0.00421,0.00075,0.00149,0.00963
1403715895.032585620880127,0.00385,0.00023,0.01146,0.00427,0.00021,0.00161,0.02163
1403715895.082539796829224,0.00274,0.00020,0.00027,0.00349,0.00053,0.00142,0.00865
1403715895.132491111755371,0.00290,0.00020,0.00010,0.00353,0.00015,0.00154,0.00843
1403715895.182382583618164,0.00355,0.00021,0.00006,0.00349,0.00016,0.00148,0.00894
1403715895.232383966445923,0.00330,0.00020,0.00041,0.00337,0.00013,0.00154,0.00895
1403715895.282368421554565,0.00363,0.00020,0.00060,0.00365,0.00328,0.00151,0.01287
1403715895.332414627075195,0.00285,0.00021,0.00077,0.00321,0.00015,0.00154,0.00872
1403715895.382569551467896,0.00330,0.00017,0.00043,0.00337,0.00000,0.00157,0.00884
1403715895.432795524597168,0.00325,0.00020,0.00055,0.00282,0.00063,0.00145,0.00890
1403715895.482783794403076,0.00330,0.00021,0.00008,0.00297,0.00015,0.00155,0.00826
1403715895.532726049423218,0.00328,0.00030,0.00032,0.00328,0.00411,0.00148,0.01277
1403715895.582828521728516,0.00249,0.00020,0.00512,0.00312,0.00367,0.00152,0.01611
1403715895.632934093475342,0.00264,0.00021,0.00963,0.00348,0.00073,0.00149,0.01817
1403715895.682904005050659,0.00390,0.00018,0.00002,0.00408,0.00000,0.00145,0.00962
1403715895.732938528060913,0.00335,0.00023,0.00024,0.00374,0.00001,0.00181,0.00938
1403715895.782940149307251,0.00331,0.00019,0.00030,0.00327,0.00000,0.00145,0.00853
1403715895.832987546920776,0.00293,0.00019,0.00002,0.00329,0.00000,0.00184,0.00826
1403715895.882982492446899,0.00318,0.00019,0.00064,0.00323,0.00126,0.00146,0.00996
1403715895.932931423187256,0.00290,0.00020,0.00045,0.00333,0.00017,0.00174,0.00879
1403715895.982923269271851,0.00287,0.00018,0.00001,0.00323,0.00000,0.00142,0.00773
1403715896.032940626144409,0.00303,0.00020,0.00007,0.00241,0.00001,0.00182,0.00753
1403715896.082965135574341,0.00307,0.00019,0.00054,0.00157,0.00015,0.00157,0.00708
1403715896.133085727691650,0.00342,0.00017,0.00026,0.00150,0.00095,0.00175,0.00805
1403715896.183092355728149,0.00363,0.00017,0.00026,0.00116,0.00566,0.00153,0.01241
1403715896.232810497283936,0.00271,0.00018,0.01125,0.00283,0.00293,0.00146,0.02136
1403715896.282777070999146,0.00276,0.00020,0.00007,0.00230,0.00001,0.00140,0.00673
1403715896.332660198211670,0.00252,0.00019,0.00036,0.00236,0.00120,0.00140,0.00802
1403715896.382687330245972,0.00356,0.00017,0.00001,0.00347,0.00000,0.00152,0.00874
1403715896.432649135589600,0.00285,0.00018,0.00012,0.00297,0.00001,0.00146,0.00759
1403715896.482704401016235,0.00401,0.00018,0.00029,0.00300,0.00053,0.00150,0.00951
1403715896.532722949981689,0.00291,0.00018,0.00027,0.00282,0.00001,0.00158,0.00777
1403715896.582691431045532,0.00374,0.00021,0.00049,0.00222,0.00015,0.00165,0.00845
1403715896.632676601409912,0.00300,0.00020,0.00053,0.00258,0.00025,0.00164,0.00821
1403715896.682770252227783,0.00336,0.00017,0.00102,0.00207,0.00070,0.00163,0.00896
1403715896.732670545578003,0.00266,0.00016,0.00020,0.00209,0.00058,0.00155,0.00724
1403715896.782522916793823,0.00326,0.00018,0.00026,0.00153,0.00234,0.00162,0.00919
1403715896.832369804382324,0.00259,0.00018,0.00761,0.00207,0.00411,0.00154,0.01809
1403715896.882312297821045,0.00247,0.00017,0.00013,0.00190,0.00129,0.00146,0.00744
1403715896.932282447814941,0.00358,0.00018,0.00125,0.00182,0.00322,0.00158,0.01163
1403715896.982289314270020,0.00294,0.00017,0.00021,0.00195,0.00050,0.00156,0.00732
1403715897.032327890396118,0.00369,0.00034,0.00048,0.00418,0.00115,0.00211,0.01193
1403715897.082391500473022,0.00245,0.00016,0.00023,0.00090,0.00034,0.00159,0.00568
1403715897.132449150085449,0.00301,0.00019,0.00017,0.00094,0.00071,0.00182,0.00684
1403715897.182530164718628,0.00265,0.00018,0.00035,0.00064,0.00100,0.00144,0.00627
1403715897.232552766799927,0.00246,0.00018,0.00045,0.00184,0.00021,0.00148,0.00661
1403715897.282556295394897,0.00318,0.00018,0.00027,0.00194,0.00026,0.00145,0.00727
1403715897.332612276077271,0.00253,0.00017,0.00035,0.00185,0.00047,0.00144,0.00680
1403715897.382678508758545,0.00333,0.00016,0.00054,0.00182,0.00163,0.00146,0.00895
1403715897.432883739471436,0.00282,0.00018,0.00340,0.00204,0.00818,0.00166,0.01828
1403715897.482929706573486,0.00264,0.00018,0.00054,0.00274,0.00287,0.00144,0.01040
1403715897.532813072204590,0.00329,0.00019,0.00050,0.00278,0.00580,0.00164,0.01420
1403715897.583020925521851,0.00250,0.00019,0.00012,0.00315,0.00067,0.00143,0.00807
1403715897.633185386657715,0.00238,0.00022,0.00011,0.00326,0.00100,0.00140,0.00837
