# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.791880130767822,0.00959,0.00012,0.00059,0.00000,0.00000,0.00194,0.01225
1403715893.836900472640991,0.01179,0.00012,0.00205,0.00000,0.00340,0.00245,0.01980
1403715893.886719226837158,0.00834,0.00012,0.00002,0.00076,0.00000,0.00210,0.01134
1403715893.936771154403687,0.00953,0.00015,0.00005,0.00077,0.00000,0.00237,0.01287
1403715893.987022876739502,0.00874,0.00015,0.00008,0.00101,0.00000,0.00286,0.01284
1403715894.037406206130981,0.00715,0.00015,0.00007,0.00077,0.00000,0.00207,0.01021
1403715894.087477922439575,0.00637,0.00016,0.00010,0.00080,0.00000,0.00200,0.00943
1403715894.137193918228149,0.00892,0.00015,0.00001,0.00074,0.00000,0.00220,0.01202
1403715894.187239170074463,0.00629,0.00015,0.00017,0.00069,0.00177,0.00231,0.01138
1403715894.237170219421387,0.00727,0.00015,0.00007,0.00107,0.00123,0.00223,0.01202
1403715894.287162303924561,0.00831,0.00025,0.00015,0.00126,0.00383,0.00218,0.01598
1403715894.336912631988525,0.00715,0.00018,0.00022,0.00173,0.00006,0.00242,0.01176
1403715894.386506319046021,0.00841,0.00017,0.00058,0.00174,0.00212,0.00208,0.01510
1403715894.435399055480957,0.00698,0.00018,0.01054,0.00195,0.01015,0.00224,0.03205
1403715894.484977483749390,0.00742,0.00019,0.00007,0.00326,0.00403,0.00228,0.01725
1403715894.534855365753174,0.00785,0.00021,0.00010,0.00151,0.00000,0.00212,0.01180
1403715894.584415912628174,0.00701,0.00020,0.00115,0.00389,0.00219,0.00224,0.01668
1403715894.634330034255981,0.00695,0.00022,0.00013,0.00386,0.00018,0.00200,0.01334
1403715894.684255361557007,0.00691,0.00021,0.00002,0.00423,0.00089,0.00207,0.01433
1403715894.734104633331299,0.00722,0.00019,0.00045,0.00440,0.00000,0.00232,0.01457
1403715894.783832788467407,0.00720,0.00020,0.00012,0.00449,0.00000,0.00236,0.01437
1403715894.833492755889893,0.00710,0.00019,0.00364,0.00397,0.00111,0.00263,0.01863
1403715894.883406877517700,0.00744,0.00021,0.00057,0.00447,0.00000,0.00230,0.01500
1403715894.933300495147705,0.00664,0.00034,0.00757,0.00772,0.00002,0.00391,0.02618
1403715894.983383178710938,0.00860,0.00021,0.00007,0.00428,0.00057,0.00215,0.01588
1403715895.033439159393311,0.00697,0.00021,0.01020,0.00500,0.00029,0.00281,0.02549
1403715895.083564043045044,0.00671,0.00024,0.00011,0.00385,0.00000,0.00226,0.01317
1403715895.133755445480347,0.00691,0.00019,0.00034,0.00368,0.00001,0.00242,0.01354
1403715895.183805942535400,0.00725,0.00019,0.00008,0.00448,0.00114,0.00236,0.01550
1403715895.233733415603638,0.00875,0.00019,0.00042,0.00293,0.00053,0.00214,0.01497
1403715895.283686161041260,0.00732,0.00018,0.00044,0.00273,0.00014,0.00214,0.01295
1403715895.334017515182495,0.00777,0.00028,0.00111,0.00282,0.00030,0.00216,0.01444
1403715895.384324550628662,0.00637,0.00019,0.00048,0.00225,0.00028,0.00245,0.01201
1403715895.434616088867188,0.00662,0.00015,0.00033,0.00261,0.00420,0.00211,0.01602
1403715895.484643220901489,0.00645,0.00018,0.00016,0.00299,0.00069,0.00266,0.01314
1403715895.534579992294312,0.01019,0.00018,0.00598,0.00295,0.00794,0.00241,0.02964
1403715895.584647655487061,0.00787,0.00017,0.00011,0.00352,0.00017,0.00240,0.01424
1403715895.634750843048096,0.00769,0.00018,0.00887,0.00355,0.00191,0.00293,0.02512
1403715895.684751272201538,0.00759,0.00019,0.00032,0.00379,0.00027,0.00205,0.01420
1403715895.734827041625977,0.00778,0.00022,0.00010,0.00383,0.00063,0.00224,0.01481
1403715895.784824609756470,0.00799,0.00019,0.00035,0.00374,0.00015,0.00215,0.01456
1403715895.835004329681396,0.00756,0.00021,0.00020,0.00379,0.00016,0.00214,0.01406
1403715895.885041236877441,0.00777,0.00020,0.00025,0.00408,0.00032,0.00232,0.01494
1403715895.935033798217773,0.00790,0.00020,0.00033,0.00383,0.00016,0.00242,0.01484
1403715895.985042572021484,0.00761,0.00024,0.00004,0.00437,0.00200,0.00248,0.01673
1403715896.035065174102783,0.00910,0.00018,0.00052,0.00390,0.00000,0.00240,0.01610
1403715896.085090398788452,0.00761,0.00023,0.00534,0.00351,0.00582,0.00244,0.02495
1403715896.135039567947388,0.00767,0.00019,0.00547,0.00517,0.00036,0.00234,0.02120
1403715896.184984445571899,0.00843,0.00021,0.00014,0.00558,0.00033,0.00210,0.01678
1403715896.234792232513428,0.00663,0.00020,0.00866,0.00456,0.00020,0.00237,0.02260
1403715896.284768819808960,0.00640,0.00020,0.00009,0.00472,0.00001,0.00224,0.01366
1403715896.334847450256348,0.01058,0.00021,0.00016,0.00424,0.00027,0.00234,0.01779
1403715896.384839296340942,0.00799,0.00023,0.00017,0.00402,0.00000,0.00226,0.01467
1403715896.434855222702026,0.00772,0.00019,0.00010,0.00382,0.00016,0.00226,0.01425
1403715896.484904289245605,0.00781,0.00019,0.00082,0.00326,0.00001,0.00225,0.01434
1403715896.534905910491943,0.00753,0.00020,0.00050,0.00354,0.00001,0.00245,0.01422
1403715896.584847450256348,0.00779,0.00020,0.00051,0.00299,0.00040,0.00232,0.01421
1403715896.634747505187988,0.00779,0.00019,0.00079,0.00345,0.00014,0.00225,0.01461
1403715896.684678792953491,0.00730,0.00017,0.00025,0.00348,0.00779,0.00231,0.02131
1403715896.734639644622803,0.00711,0.00020,0.00313,0.00422,0.00131,0.00230,0.01827
1403715896.784524679183960,0.00757,0.00020,0.00006,0.00470,0.00017,0.00218,0.01488
1403715896.834464073181152,0.00717,0.00020,0.00744,0.00427,0.00020,0.00228,0.02157
1403715896.884329557418823,0.00768,0.00020,0.00745,0.00430,0.00003,0.00233,0.02200
1403715896.934375524520874,0.00715,0.00020,0.00025,0.00389,0.00058,0.00223,0.01431
1403715896.984378099441528,0.00655,0.00023,0.00011,0.00477,0.00001,0.00230,0.01396
1403715897.034373760223389,0.00749,0.00020,0.00008,0.00362,0.00015,0.00202,0.01355
1403715897.084553718566895,0.00764,0.00019,0.00008,0.00394,0.00017,0.00226,0.01427
1403715897.134553670883179,0.00853,0.00035,0.00026,0.00528,0.00076,0.00240,0.01757
1403715897.184617280960083,0.00689,0.00030,0.00003,0.00584,0.00000,0.00231,0.01536
1403715897.234589576721191,0.00739,0.00020,0.00023,0.00387,0.00073,0.00251,0.01493
1403715897.284558773040771,0.00998,0.00023,0.00009,0.00534,0.00092,0.00217,0.01875
1403715897.334549903869629,0.01072,0.00019,0.00329,0.00321,0.00061,0.00226,0.02029
1403715897.384538412094116,0.00810,0.00019,0.00042,0.00328,0.00016,0.00203,0.01419
1403715897.434614419937134,0.00761,0.00021,0.00710,0.00334,0.00199,0.00232,0.02256
1403715897.484556674957275,0.00755,0.00019,0.00411,0.00339,0.00465,0.00279,0.02268
1403715897.534514427185059,0.00802,0.00020,0.00027,0.00432,0.00000,0.00214,0.01495
1403715897.584483146667480,0.00956,0.00024,0.00024,0.00387,0.00057,0.00302,0.01750
1403715897.634468078613281,0.01049,0.00022,0.00018,0.00356,0.00017,0.00225,0.01688
1403715897.684432983398438,0.00738,0.00019,0.00052,0.00323,0.00065,0.00282,0.01480
1403715897.734404087066650,0.00865,0.00020,0.00045,0.00313,0.00056,0.00211,0.01511
1403715897.784375190734863,0.00829,0.00018,0.00145,0.00325,0.00001,0.00277,0.01595
1403715897.834313392639160,0.00868,0.00020,0.00049,0.00313,0.00001,0.00203,0.01453
1403715897.884357929229736,0.00789,0.00020,0.00157,0.00282,0.00675,0.00272,0.02195
1403715897.934364318847656,0.00826,0.00022,0.00146,0.00363,0.00089,0.00248,0.01695
1403715897.984386920928955,0.00802,0.00022,0.00069,0.00321,0.00002,0.00223,0.01440
1403715898.034395694732666,0.00740,0.00020,0.00403,0.00306,0.00319,0.00266,0.02054
1403715898.084381341934204,0.01099,0.00033,0.00379,0.00266,0.00294,0.00229,0.02300
1403715898.134366989135742,0.00743,0.00020,0.00175,0.00226,0.00499,0.00229,0.01891
1403715898.184364318847656,0.00953,0.00021,0.00667,0.00250,0.00181,0.00214,0.02286
1403715898.234396219253540,0.00829,0.00017,0.00045,0.00203,0.00023,0.00200,0.01316
1403715898.284434795379639,0.00811,0.00019,0.00046,0.00200,0.00012,0.00193,0.01282
1403715898.334444999694824,0.00848,0.00018,0.00036,0.00214,0.00013,0.00246,0.01375
1403715898.384454488754272,0.00700,0.00017,0.00113,0.00201,0.00001,0.00202,0.01233
1403715898.434466123580933,0.00949,0.00017,0.00148,0.00207,0.00059,0.00246,0.01626
1403715898.484451293945312,0.00873,0.00017,0.00111,0.00163,0.00012,0.00206,0.01380
1403715898.534442424774170,0.01009,0.00019,0.00128,0.00144,0.00041,0.00242,0.01584
1403715898.584442377090454,0.00989,0.00017,0.00097,0.00147,0.00012,0.00220,0.01481
1403715898.634444475173950,0.00944,0.00016,0.00152,0.00133,0.00507,0.00244,0.01995
1403715898.684472799301147,0.00753,0.00016,0.00097,0.00191,0.00001,0.00240,0.01298
1403715898.734511852264404,0.01072,0.00017,0.00118,0.00166,0.00144,0.00241,0.01758
1403715898.784532546997070,0.00908,0.00016,0.00117,0.00089,0.00455,0.00231,0.01816
1403715898.834531545639038,0.01142,0.00023,0.00017,0.00104,0.00000,0.00233,0.01519
1403715898.884516477584839,0.00777,0.00016,0.00015,0.00096,0.00298,0.00230,0.01434
1403715898.934511184692383,0.01132,0.00016,0.00040,0.00127,0.00001,0.00233,0.01549
1403715898.984459638595581,0.00698,0.00016,0.00073,0.00100,0.00369,0.00234,0.01490
1403715899.034426212310791,0.00754,0.00017,0.00039,0.00142,0.00369,0.00213,0.01533
