# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.791880130767822,0.00312,0.00012,0.00059,0.00000,0.00000,0.00128,0.00512
1403715893.836900472640991,0.00390,0.00012,0.00204,0.00000,0.00340,0.00156,0.01102
1403715893.886719226837158,0.00280,0.00012,0.00002,0.00076,0.00000,0.00131,0.00501
1403715893.936771154403687,0.00347,0.00015,0.00005,0.00077,0.00000,0.00145,0.00589
1403715893.987022876739502,0.00324,0.00015,0.00008,0.00101,0.00000,0.00177,0.00625
1403715894.037406206130981,0.00251,0.00015,0.00007,0.00077,0.00000,0.00139,0.00489
1403715894.087477922439575,0.00230,0.00016,0.00010,0.00080,0.00000,0.00140,0.00476
1403715894.137193918228149,0.00313,0.00015,0.00001,0.00074,0.00000,0.00147,0.00550
1403715894.187239170074463,0.00218,0.00015,0.00017,0.00069,0.00177,0.00142,0.00639
1403715894.237170219421387,0.00258,0.00015,0.00007,0.00107,0.00122,0.00139,0.00647
1403715894.287162303924561,0.00304,0.00025,0.00015,0.00126,0.00381,0.00150,0.01001
1403715894.336912631988525,0.00258,0.00018,0.00022,0.00172,0.00006,0.00151,0.00627
1403715894.386506319046021,0.00291,0.00017,0.00058,0.00169,0.00212,0.00153,0.00900
1403715894.435399055480957,0.00252,0.00018,0.01049,0.00195,0.00944,0.00144,0.02604
1403715894.484977483749390,0.00262,0.00019,0.00007,0.00322,0.00403,0.00158,0.01171
1403715894.534855365753174,0.00294,0.00021,0.00010,0.00151,0.00000,0.00140,0.00617
1403715894.584415912628174,0.00249,0.00020,0.00115,0.00386,0.00219,0.00145,0.01134
1403715894.634330034255981,0.00242,0.00022,0.00013,0.00383,0.00018,0.00136,0.00814
1403715894.684255361557007,0.00243,0.00021,0.00002,0.00421,0.00089,0.00141,0.00917
1403715894.734104633331299,0.00249,0.00019,0.00045,0.00439,0.00000,0.00150,0.00902
1403715894.783832788467407,0.00251,0.00020,0.00012,0.00445,0.00000,0.00150,0.00878
1403715894.833492755889893,0.00244,0.00019,0.00360,0.00397,0.00111,0.00189,0.01320
1403715894.883406877517700,0.00258,0.00021,0.00057,0.00445,0.00000,0.00144,0.00927
1403715894.933300495147705,0.00242,0.00034,0.00753,0.00770,0.00002,0.00226,0.02027
1403715894.983383178710938,0.00315,0.00021,0.00007,0.00423,0.00057,0.00157,0.00980
1403715895.033439159393311,0.00260,0.00021,0.01016,0.00407,0.00029,0.00182,0.01914
1403715895.083564043045044,0.00252,0.00024,0.00011,0.00380,0.00000,0.00149,0.00816
1403715895.133755445480347,0.00250,0.00019,0.00034,0.00365,0.00001,0.00157,0.00826
1403715895.183805942535400,0.00262,0.00019,0.00008,0.00445,0.00114,0.00156,0.01004
1403715895.233733415603638,0.00339,0.00019,0.00042,0.00289,0.00053,0.00142,0.00885
1403715895.283686161041260,0.00262,0.00018,0.00044,0.00270,0.00014,0.00144,0.00752
1403715895.334017515182495,0.00327,0.00028,0.00111,0.00277,0.00030,0.00149,0.00922
1403715895.384324550628662,0.00230,0.00019,0.00048,0.00220,0.00028,0.00163,0.00707
1403715895.434616088867188,0.00231,0.00015,0.00034,0.00257,0.00420,0.00148,0.01105
1403715895.484643220901489,0.00219,0.00018,0.00016,0.00295,0.00069,0.00185,0.00802
1403715895.534579992294312,0.00381,0.00018,0.00594,0.00295,0.00725,0.00166,0.02178
1403715895.584647655487061,0.00287,0.00017,0.00011,0.00349,0.00017,0.00173,0.00854
1403715895.634750843048096,0.00280,0.00018,0.00885,0.00353,0.00145,0.00185,0.01865
1403715895.684751272201538,0.00276,0.00019,0.00032,0.00374,0.00027,0.00147,0.00874
1403715895.734827041625977,0.00282,0.00019,0.00010,0.00381,0.00063,0.00151,0.00907
1403715895.784824609756470,0.00292,0.00019,0.00035,0.00372,0.00015,0.00143,0.00875
