# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.789526224136353,0,15,0,0,5
1403715893.835479736328125,14,15,0,14,6
1403715893.883716583251953,14,0,14,0,7
1403715893.932474851608276,14,0,14,0,8
1403715893.982364177703857,14,1,13,0,9
1403715894.032243490219116,13,1,13,0,10
1403715894.081685066223145,13,0,13,0,11
1403715894.131826162338257,13,1,13,0,11
1403715894.181717395782471,18,1,12,6,11
1403715894.231292009353638,20,0,17,2,11
1403715894.281491994857788,24,1,19,5,11
1403715894.331624984741211,23,1,22,0,11
1403715894.382082223892212,26,3,22,3,11
1403715894.432409763336182,40,23,25,15,11
1403715894.482478141784668,43,0,39,4,11
1403715894.532091617584229,43,0,43,0,11
1403715894.581983089447021,46,0,42,3,11
1403715894.631968498229980,45,0,44,0,11
1403715894.681961059570312,45,1,45,0,11
1403715894.732108354568481,44,0,43,0,11
1403715894.782256364822388,43,2,42,1,11
1403715894.832318544387817,48,0,43,5,11
1403715894.882229566574097,50,2,47,2,11
1403715894.932269334793091,50,5,48,0,11
1403715894.982261419296265,50,3,48,1,11
1403715895.032431364059448,46,24,46,0,11
1403715895.082489728927612,45,0,44,0,11
1403715895.132561683654785,45,1,44,0,11
1403715895.182509183883667,45,1,43,1,11
1403715895.232531070709229,44,2,42,0,11
1403715895.282546997070312,44,2,38,3,11
1403715895.332744836807251,41,2,37,1,11
1403715895.382861137390137,40,1,38,1,11
1403715895.433017253875732,39,1,37,1,11
1403715895.483055830001831,41,0,37,2,11
1403715895.533039808273315,45,1,38,5,11
1403715895.583063840866089,47,2,38,3,11
1403715895.633150815963745,46,20,40,1,11
1403715895.683193206787109,45,1,38,4,11
1403715895.733303070068359,44,1,38,0,11
1403715895.783304929733276,46,10,37,6,11
1403715895.833436727523804,44,0,42,1,11
1403715895.883471012115479,45,4,43,1,11
1403715895.933426618576050,43,0,40,1,11
1403715895.983439683914185,44,0,41,1,11
1403715896.033529043197632,42,1,39,0,11
1403715896.083536863327026,40,1,37,1,11
1403715896.133667230606079,39,0,38,0,11
1403715896.183561325073242,39,0,38,1,11
1403715896.233285903930664,41,25,32,2,11
1403715896.283300161361694,42,0,38,1,11
1403715896.333282470703125,40,0,36,2,11
1403715896.383143424987793,48,1,34,9,11
1403715896.433168172836304,50,0,38,3,11
1403715896.483234405517578,47,2,33,2,11
1403715896.533295631408691,45,0,34,2,11
1403715896.583252668380737,43,0,29,5,11
1403715896.633174657821655,40,1,32,1,11
1403715896.683203697204590,37,1,19,3,11
1403715896.733060359954834,37,1,17,3,11
1403715896.783041000366211,31,0,5,7,11
1403715896.832982301712036,33,0,8,7,11
1403715896.882957220077515,27,0,8,8,11
1403715896.932969570159912,25,0,8,2,11
1403715896.982973575592041,25,0,10,7,11
1403715897.032961368560791,25,0,16,8,11
1403715897.083025217056274,25,0,12,0,11
1403715897.133032321929932,25,0,6,1,11
1403715897.183033466339111,25,0,1,12,11
1403715897.232985973358154,25,1,11,6,11
1403715897.282925844192505,25,0,12,6,11
1403715897.333011865615845,25,1,10,2,11
1403715897.383023262023926,27,1,9,7,11
1403715897.433142185211182,28,0,13,9,11
1403715897.483284235000610,28,2,20,3,11
1403715897.533436536788940,29,0,20,3,11
1403715897.583518981933594,29,1,19,3,11
1403715897.633696317672729,28,1,21,2,11
1403715897.683734655380249,26,1,21,2,11
1403715897.733749389648438,26,0,19,1,11
1403715897.783623456954956,25,0,20,2,11
1403715897.833620786666870,25,3,22,3,11
1403715897.883465051651001,26,2,24,2,11
1403715897.933445215225220,25,3,25,0,11
1403715897.983418464660645,25,2,24,1,11
1403715898.033500909805298,36,4,23,11,11
1403715898.083518505096436,44,7,31,10,11
1403715898.133522987365723,40,6,32,1,11
1403715898.183551788330078,38,11,31,0,11
1403715898.233657836914062,31,6,28,2,11
1403715898.283836126327515,31,4,29,1,11
1403715898.333919286727905,29,4,27,1,11
1403715898.383993387222290,29,3,27,1,11
1403715898.434088945388794,30,10,27,2,11
1403715898.484115839004517,30,5,28,0,11
1403715898.534148693084717,28,6,26,0,11
1403715898.584169387817383,26,3,24,0,11
1403715898.634236335754395,25,6,19,4,11
1403715898.684261798858643,23,5,20,0,11
1403715898.734278917312622,21,3,18,1,11
1403715898.784279346466064,18,4,13,5,11
1403715898.834246158599854,20,2,17,3,11
1403715898.884221315383911,20,2,19,0,11
1403715898.934115648269653,26,7,17,6,11
1403715898.984025716781616,34,2,23,9,11
1403715899.034021854400635,34,6,30,3,11
1403715899.083961009979248,37,11,33,3,11
1403715899.133887052536011,39,4,33,5,11
1403715899.183872222900391,38,2,35,2,11
1403715899.233848333358765,42,3,33,9,11
1403715899.283850908279419,38,5,37,0,11
1403715899.333850145339966,33,4,30,2,11
1403715899.383833646774292,42,1,31,11,11
1403715899.433831214904785,45,6,40,5,11
1403715899.483867645263672,45,6,41,2,11
1403715899.533910512924194,44,3,40,0,11
1403715899.583904981613159,45,10,38,4,11
1403715899.633919000625610,42,1,41,0,11
1403715899.683924436569214,42,6,41,0,11
1403715899.734011888504028,45,3,35,5,11
1403715899.784064292907715,46,1,40,1,11
1403715899.834112644195557,44,11,39,5,11
1403715899.884153842926025,45,8,41,2,11
1403715899.934178113937378,44,11,41,1,11
1403715899.984232664108276,43,2,41,2,11
