# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00927,0.00012,0.00035,0.00000,0.00000,0.00243,0.01217
1403715278.911641120910645,0.01014,0.00012,0.00339,0.00000,0.00664,0.00217,0.02246
1403715278.961444139480591,0.00969,0.00014,0.00051,0.00240,0.00000,0.00223,0.01497
1403715279.010967969894409,0.00837,0.00015,0.00006,0.00216,0.00000,0.00216,0.01289
1403715279.060829877853394,0.01118,0.00015,0.00003,0.00226,0.00000,0.00253,0.01615
1403715279.110655069351196,0.00756,0.00015,0.00040,0.00218,0.00000,0.00222,0.01252
1403715279.160697937011719,0.00770,0.00015,0.00044,0.00208,0.00000,0.00219,0.01256
1403715279.210664510726929,0.00776,0.00015,0.00056,0.00209,0.00000,0.00208,0.01264
1403715279.260640621185303,0.00726,0.00015,0.00001,0.00226,0.00434,0.00225,0.01627
1403715279.310433626174927,0.00942,0.00027,0.00009,0.00335,0.00406,0.00239,0.01958
1403715279.359864950180054,0.00756,0.00039,0.00004,0.00548,0.00123,0.00234,0.01703
1403715279.409132957458496,0.00899,0.00023,0.00002,0.00359,0.00942,0.00231,0.02456
1403715279.458761692047119,0.00765,0.00019,0.00002,0.00499,0.00000,0.00285,0.01570
1403715279.508343219757080,0.00856,0.00019,0.01088,0.00489,0.00127,0.00236,0.02817
1403715279.558113098144531,0.00932,0.00019,0.00001,0.00574,0.00005,0.00234,0.01766
1403715279.607826709747314,0.00819,0.00020,0.00115,0.00526,0.00113,0.00205,0.01798
1403715279.657739400863647,0.00814,0.00019,0.00001,0.00537,0.00000,0.00236,0.01607
1403715279.707831382751465,0.00947,0.00018,0.00001,0.00565,0.00000,0.00218,0.01749
1403715279.757823944091797,0.00789,0.00028,0.00002,0.00574,0.00000,0.00213,0.01606
1403715279.808006763458252,0.00804,0.00018,0.00004,0.00567,0.00000,0.00226,0.01619
1403715279.857753753662109,0.00917,0.00019,0.00005,0.00547,0.00000,0.00232,0.01720
1403715279.907275915145874,0.00808,0.00019,0.00057,0.00553,0.00000,0.00228,0.01664
1403715279.956954240798950,0.00807,0.00017,0.00118,0.00537,0.00002,0.00233,0.01715
1403715280.006829500198364,0.00782,0.00020,0.00002,0.00544,0.00000,0.00325,0.01672
1403715280.056759595870972,0.00728,0.00023,0.00006,0.00582,0.00000,0.00256,0.01595
1403715280.106633424758911,0.00718,0.00025,0.01075,0.00521,0.00004,0.00219,0.02562
1403715280.157760858535767,0.00616,0.00021,0.00002,0.00588,0.00003,0.00229,0.01459
1403715280.208804368972778,0.00876,0.00021,0.00007,0.00506,0.00117,0.00210,0.01736
1403715280.259535074234009,0.00894,0.00026,0.00013,0.00543,0.00000,0.00227,0.01703
1403715280.309660196304321,0.00828,0.00019,0.00007,0.00507,0.00000,0.00200,0.01563
1403715280.359657526016235,0.00829,0.00021,0.00001,0.00501,0.00000,0.00230,0.01582
1403715280.409574508666992,0.00897,0.00019,0.00002,0.00528,0.00000,0.00223,0.01668
1403715280.459479808807373,0.00816,0.00019,0.00044,0.00527,0.00000,0.00219,0.01625
1403715280.509490728378296,0.00832,0.00018,0.00007,0.00511,0.00000,0.00228,0.01597
1403715280.559433460235596,0.00820,0.00017,0.00089,0.00452,0.00073,0.00244,0.01695
1403715280.609608888626099,0.01117,0.00018,0.00060,0.00471,0.00335,0.00254,0.02254
1403715280.659705638885498,0.00903,0.00019,0.00052,0.00511,0.00016,0.00207,0.01709
