# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.862178802490234,0.00301,0.00009,0.00034,0.00000,0.00000,0.00151,0.00496
1403715278.908824205398560,0.00359,0.00011,0.00351,0.00000,0.00747,0.00144,0.01612
1403715278.959190845489502,0.00275,0.00012,0.00049,0.00217,0.00000,0.00131,0.00683
1403715279.009043455123901,0.00262,0.00012,0.00006,0.00216,0.00000,0.00136,0.00632
1403715279.059450626373291,0.00328,0.00013,0.00001,0.00225,0.00000,0.00135,0.00703
1403715279.109335899353027,0.00213,0.00012,0.00042,0.00224,0.00000,0.00136,0.00627
1403715279.159170389175415,0.00215,0.00013,0.00046,0.00221,0.00000,0.00131,0.00627
1403715279.209243535995483,0.00209,0.00013,0.00059,0.00240,0.00000,0.00151,0.00672
1403715279.259490251541138,0.00233,0.00013,0.00001,0.00231,0.00457,0.00144,0.01080
1403715279.310195684432983,0.00245,0.00013,0.00004,0.00312,0.00389,0.00139,0.01102
1403715279.360346317291260,0.00236,0.00014,0.00001,0.00336,0.00127,0.00143,0.00858
1403715279.411685228347778,0.00256,0.00014,0.00001,0.00357,0.00967,0.00149,0.01744
1403715279.463251590728760,0.00258,0.00018,0.00001,0.00508,0.00001,0.00190,0.00975
1403715279.514228343963623,0.00248,0.00016,0.01160,0.00529,0.00125,0.00146,0.02225
1403715279.564539432525635,0.00304,0.00020,0.00002,0.00553,0.00005,0.00140,0.01025
1403715279.614975452423096,0.00236,0.00035,0.00128,0.00511,0.00136,0.00183,0.01228
1403715279.665008783340454,0.00285,0.00015,0.00002,0.00087,0.00000,0.00157,0.00546
1403715279.715007305145264,0.00271,0.00023,0.00008,0.00042,0.00031,0.00187,0.00562
1403715279.765003681182861,0.00267,0.00016,0.00085,0.00016,0.00343,0.00138,0.00866
1403715279.814746141433716,0.00260,0.00021,0.00019,0.00394,0.00061,0.00189,0.00944
1403715279.863871574401855,0.00286,0.00016,0.00005,0.00499,0.00000,0.00140,0.00946
1403715279.912038326263428,0.00295,0.00015,0.00004,0.00345,0.00000,0.00183,0.00842
1403715279.961642742156982,0.00323,0.00016,0.00036,0.00169,0.00020,0.00144,0.00708
1403715280.010589838027954,0.00266,0.00016,0.00034,0.00322,0.00129,0.00165,0.00933
1403715280.060198307037354,0.00354,0.00013,0.00004,0.00490,0.00000,0.00154,0.01015
1403715280.110490560531616,0.00248,0.00023,0.00542,0.00480,0.00027,0.00174,0.01495
1403715280.161737442016602,0.00285,0.00016,0.00001,0.00542,0.00003,0.00140,0.00988
1403715280.212277889251709,0.00282,0.00017,0.00001,0.00491,0.00141,0.00179,0.01113
1403715280.262455940246582,0.00252,0.00015,0.00010,0.00496,0.00000,0.00140,0.00913
1403715280.312534809112549,0.00254,0.00015,0.00001,0.00476,0.00000,0.00200,0.00946
