# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.789302825927734,0,15,0,0,5
1403715893.835279226303101,13,15,0,13,6
1403715893.884341478347778,13,0,13,0,7
1403715893.933839797973633,13,0,13,0,8
1403715893.983754873275757,13,1,12,0,9
1403715894.033874988555908,12,1,12,0,10
1403715894.083754062652588,12,0,12,0,11
1403715894.134011507034302,12,1,12,0,11
1403715894.184230804443359,17,1,11,6,11
1403715894.234214305877686,19,0,17,2,11
1403715894.284192800521851,23,1,18,5,11
1403715894.334299325942993,22,1,21,0,11
1403715894.384640216827393,25,3,21,3,11
1403715894.434448480606079,40,22,24,16,11
1403715894.484098196029663,43,0,39,4,11
1403715894.533986091613770,43,0,14,0,11
1403715894.583569526672363,46,0,33,3,11
1403715894.633503198623657,39,0,35,3,11
1403715894.683446168899536,39,1,38,1,11
1403715894.733298778533936,39,0,39,0,11
1403715894.782838106155396,39,1,38,0,11
1403715894.832338094711304,44,0,38,5,11
1403715894.882083892822266,48,1,43,5,11
1403715894.931915044784546,50,3,47,2,11
1403715894.981892824172974,49,4,47,0,11
1403715895.031875371932983,47,23,45,1,11
1403715895.081953525543213,45,1,44,1,11
1403715895.132046699523926,45,0,44,0,11
1403715895.182079076766968,45,0,43,0,11
1403715895.232100963592529,45,1,41,2,11
1403715895.282129287719727,44,5,40,1,11
1403715895.332341670989990,40,2,37,0,11
1403715895.382544755935669,40,0,37,2,11
1403715895.432773590087891,39,1,39,0,11
1403715895.482790946960449,39,0,38,0,11
1403715895.532776594161987,40,1,36,2,11
1403715895.582840442657471,42,11,37,3,11
1403715895.632917881011963,43,18,39,3,11
1403715895.682926416397095,43,1,41,1,11
1403715895.732970952987671,43,0,41,0,11
1403715895.782963037490845,42,0,40,1,11
1403715895.833008527755737,41,2,40,0,11
1403715895.883029937744141,44,0,35,3,11
1403715895.933057785034180,42,0,38,2,11
1403715895.983068466186523,42,1,40,2,11
1403715896.033092737197876,42,0,41,1,11
1403715896.083102703094482,42,1,40,0,11
1403715896.133166551589966,50,5,39,8,11
1403715896.183138370513916,50,9,47,2,11
1403715896.233246803283691,49,13,48,0,11
1403715896.283275604248047,49,1,46,0,11
1403715896.333288669586182,48,1,45,0,11
1403715896.383302450180054,48,1,42,2,11
1403715896.433320999145508,47,0,43,2,11
1403715896.483295202255249,47,1,42,1,11
1403715896.533282756805420,47,0,41,1,11
1403715896.583221673965454,45,0,43,1,11
1403715896.633090019226074,49,4,43,5,11
1403715896.683139562606812,47,0,43,0,11
1403715896.733076810836792,47,4,42,1,11
1403715896.783025026321411,48,6,42,4,11
1403715896.833012342453003,48,12,44,2,11
1403715896.882980823516846,47,1,44,1,11
1403715896.933033227920532,47,0,44,2,11
1403715896.983072757720947,46,1,43,0,11
1403715897.033076047897339,46,0,42,1,11
1403715897.083184957504272,46,0,40,2,11
1403715897.133174896240234,46,0,42,1,11
1403715897.183250904083252,45,1,41,3,11
1403715897.233217239379883,48,3,41,4,11
1403715897.283268690109253,49,9,43,1,11
1403715897.333286285400391,48,4,40,3,11
1403715897.383393049240112,48,6,43,1,11
1403715897.433435201644897,49,8,43,3,11
1403715897.483403444290161,47,1,42,1,11
1403715897.533388376235962,46,1,42,1,11
1403715897.583395242691040,44,1,39,1,11
1403715897.633421182632446,43,1,38,1,11
1403715897.683370590209961,41,0,38,1,11
1403715897.733317375183105,39,0,35,0,11
1403715897.783287286758423,37,2,32,1,11
1403715897.833213567733765,35,1,31,1,11
1403715897.883333206176758,45,3,25,13,11
1403715897.933315753936768,44,1,33,3,11
