# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.789302825927734,0.00360,0.00010,0.00054,0.00000,0.00000,0.00122,0.00546
1403715893.835279226303101,0.00461,0.00010,0.00197,0.00000,0.00271,0.00126,0.01065
1403715893.884341478347778,0.00345,0.00011,0.00002,0.00054,0.00000,0.00122,0.00534
1403715893.933839797973633,0.00347,0.00012,0.00003,0.00053,0.00000,0.00131,0.00546
1403715893.983754873275757,0.00334,0.00013,0.00014,0.00049,0.00000,0.00135,0.00544
1403715894.033874988555908,0.00379,0.00013,0.00014,0.00053,0.00000,0.00130,0.00589
1403715894.083754062652588,0.00343,0.00013,0.00008,0.00053,0.00000,0.00130,0.00547
1403715894.134011507034302,0.00386,0.00016,0.00019,0.00054,0.00000,0.00138,0.00613
1403715894.184230804443359,0.00326,0.00013,0.00021,0.00045,0.00197,0.00134,0.00736
1403715894.234214305877686,0.00330,0.00015,0.00003,0.00078,0.00107,0.00130,0.00663
1403715894.284192800521851,0.00385,0.00014,0.00036,0.00093,0.00222,0.00141,0.00891
1403715894.334299325942993,0.00337,0.00015,0.00037,0.00126,0.00018,0.00133,0.00666
1403715894.384640216827393,0.00362,0.00014,0.00070,0.00115,0.00117,0.00144,0.00822
1403715894.434448480606079,0.00332,0.00014,0.00808,0.00134,0.01045,0.00137,0.02469
1403715894.484098196029663,0.00344,0.00017,0.00006,0.00261,0.00387,0.00127,0.01142
1403715894.533986091613770,0.00335,0.00015,0.00001,0.00099,0.00000,0.00131,0.00581
1403715894.583569526672363,0.00341,0.00016,0.00008,0.00235,0.00322,0.00137,0.01059
1403715894.633503198623657,0.00319,0.00018,0.00030,0.00261,0.00031,0.00128,0.00788
1403715894.683446168899536,0.00340,0.00017,0.00027,0.00299,0.00016,0.00133,0.00831
1403715894.733298778533936,0.00380,0.00015,0.00001,0.00338,0.00000,0.00137,0.00871
1403715894.782838106155396,0.00346,0.00017,0.00043,0.00305,0.00000,0.00136,0.00847
1403715894.832338094711304,0.00347,0.00016,0.00019,0.00308,0.00505,0.00135,0.01331
1403715894.882083892822266,0.00347,0.00020,0.00059,0.00374,0.00215,0.00130,0.01147
1403715894.931915044784546,0.00337,0.00018,0.00261,0.00414,0.00216,0.00146,0.01392
1403715894.981892824172974,0.00349,0.00017,0.00159,0.00439,0.00000,0.00140,0.01104
1403715895.031875371932983,0.00480,0.00019,0.00957,0.00424,0.00057,0.00140,0.02076
1403715895.081953525543213,0.00377,0.00019,0.00021,0.00382,0.00014,0.00133,0.00946
1403715895.132046699523926,0.00387,0.00018,0.00004,0.00405,0.00000,0.00137,0.00952
1403715895.182079076766968,0.00369,0.00018,0.00009,0.00378,0.00000,0.00143,0.00917
1403715895.232100963592529,0.00368,0.00018,0.00051,0.00358,0.00106,0.00132,0.01033
1403715895.282129287719727,0.00377,0.00017,0.00209,0.00323,0.00155,0.00142,0.01222
1403715895.332341670989990,0.00334,0.00017,0.00040,0.00306,0.00001,0.00127,0.00826
1403715895.382544755935669,0.00360,0.00016,0.00017,0.00307,0.00026,0.00143,0.00868
1403715895.432773590087891,0.00347,0.00017,0.00052,0.00328,0.00001,0.00131,0.00876
1403715895.482790946960449,0.00341,0.00018,0.00001,0.00314,0.00000,0.00136,0.00810
1403715895.532776594161987,0.00360,0.00018,0.00022,0.00308,0.00213,0.00141,0.01061
1403715895.582840442657471,0.00504,0.00018,0.00537,0.00299,0.00332,0.00143,0.01832
1403715895.632917881011963,0.00399,0.00017,0.00733,0.00318,0.00215,0.00151,0.01834
1403715895.682926416397095,0.00373,0.00018,0.00032,0.00353,0.00016,0.00136,0.00927
1403715895.732970952987671,0.00372,0.00018,0.00005,0.00370,0.00000,0.00141,0.00905
1403715895.782963037490845,0.00383,0.00017,0.00012,0.00356,0.00014,0.00134,0.00916
1403715895.833008527755737,0.00383,0.00017,0.00063,0.00344,0.00001,0.00164,0.00971
1403715895.883029937744141,0.00380,0.00017,0.00009,0.00282,0.00156,0.00136,0.00981
1403715895.933057785034180,0.00372,0.00017,0.00013,0.00320,0.00047,0.00198,0.00967
1403715895.983068466186523,0.00389,0.00017,0.00031,0.00322,0.00024,0.00134,0.00916
1403715896.033092737197876,0.00360,0.00023,0.00004,0.00354,0.00052,0.00169,0.00962
1403715896.083102703094482,0.00590,0.00019,0.00037,0.00326,0.00000,0.00145,0.01117
1403715896.133166551589966,0.00434,0.00017,0.00347,0.00317,0.00812,0.00191,0.02118
