# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.788777112960815,0.00268,0.00012,0.00061,0.00000,0.00000,0.00130,0.00472
1403715893.835260629653931,0.00336,0.00011,0.00204,0.00000,0.00279,0.00130,0.00961
1403715893.883291244506836,0.00269,0.00013,0.00002,0.00063,0.00000,0.00134,0.00480
1403715893.932136774063110,0.00249,0.00012,0.00003,0.00058,0.00000,0.00137,0.00460
1403715893.982204198837280,0.00217,0.00013,0.00007,0.00059,0.00000,0.00135,0.00432
1403715894.032405138015747,0.00257,0.00012,0.00024,0.00054,0.00000,0.00140,0.00487
1403715894.082789897918701,0.00226,0.00016,0.00026,0.00055,0.00000,0.00140,0.00463
1403715894.132971286773682,0.00278,0.00014,0.00016,0.00059,0.00000,0.00151,0.00519
1403715894.182286739349365,0.00263,0.00014,0.00007,0.00052,0.00172,0.00144,0.00652
1403715894.231818437576294,0.00219,0.00013,0.00004,0.00075,0.00111,0.00142,0.00564
1403715894.281746387481689,0.00248,0.00013,0.00021,0.00087,0.00231,0.00142,0.00742
1403715894.331814050674438,0.00238,0.00015,0.00049,0.00125,0.00019,0.00141,0.00587
1403715894.381953001022339,0.00270,0.00015,0.00092,0.00103,0.00115,0.00149,0.00745
1403715894.431584835052490,0.00236,0.00015,0.00863,0.00116,0.01158,0.00143,0.02531
1403715894.480981588363647,0.00235,0.00019,0.00025,0.00247,0.00385,0.00142,0.01054
1403715894.530158042907715,0.00239,0.00016,0.00005,0.00316,0.00018,0.00140,0.00734
1403715894.579771280288696,0.00221,0.00019,0.00002,0.00322,0.00303,0.00135,0.01002
1403715894.629758358001709,0.00233,0.00018,0.00025,0.00378,0.00000,0.00142,0.00797
1403715894.679814338684082,0.00236,0.00020,0.00026,0.00372,0.00000,0.00142,0.00796
1403715894.729889631271362,0.00361,0.00022,0.00020,0.00341,0.00000,0.00151,0.00896
1403715894.779850244522095,0.00336,0.00019,0.00042,0.00330,0.00000,0.00154,0.00881
1403715894.829639911651611,0.00260,0.00025,0.00046,0.00340,0.00588,0.00136,0.01395
1403715894.879560232162476,0.00258,0.00019,0.00054,0.00429,0.00059,0.00141,0.00959
1403715894.929480314254761,0.00250,0.00019,0.00389,0.00458,0.00000,0.00159,0.01276
1403715894.979511260986328,0.00259,0.00017,0.00186,0.00355,0.00000,0.00149,0.00966
1403715895.029975891113281,0.00250,0.00020,0.00960,0.00360,0.00017,0.00159,0.01767
1403715895.080126285552979,0.00222,0.00019,0.00006,0.00360,0.00160,0.00135,0.00903
1403715895.130168914794922,0.00326,0.00020,0.00010,0.00371,0.00031,0.00149,0.00907
1403715895.180247545242310,0.00295,0.00023,0.00011,0.00359,0.00001,0.00147,0.00835
1403715895.230409145355225,0.00280,0.00018,0.00047,0.00318,0.00015,0.00137,0.00816
1403715895.280475378036499,0.00255,0.00018,0.00097,0.00302,0.00247,0.00149,0.01067
1403715895.330601692199707,0.00333,0.00018,0.00022,0.00286,0.00026,0.00149,0.00834
1403715895.380714654922485,0.00268,0.00015,0.00011,0.00320,0.00015,0.00153,0.00783
1403715895.430792093276978,0.00266,0.00017,0.00055,0.00299,0.00061,0.00145,0.00843
1403715895.480822324752808,0.00232,0.00019,0.00053,0.00314,0.00052,0.00157,0.00827
1403715895.530852317810059,0.00226,0.00020,0.00043,0.00319,0.00348,0.00159,0.01115
1403715895.580842971801758,0.00225,0.00018,0.00015,0.00367,0.00063,0.00141,0.00828
1403715895.630857706069946,0.00249,0.00020,0.00869,0.00329,0.00117,0.00155,0.01737
1403715895.680947065353394,0.00225,0.00018,0.00746,0.00339,0.00420,0.00140,0.01889
1403715895.731060504913330,0.00233,0.00019,0.00014,0.00376,0.00040,0.00137,0.00820
1403715895.781092405319214,0.00372,0.00021,0.00020,0.00382,0.00015,0.00149,0.00958
1403715895.831073760986328,0.00286,0.00018,0.00024,0.00362,0.00030,0.00145,0.00865
1403715895.881088256835938,0.00297,0.00021,0.00038,0.00384,0.00025,0.00143,0.00908
1403715895.931179046630859,0.00287,0.00019,0.00040,0.00339,0.00055,0.00172,0.00912
1403715895.981210708618164,0.00352,0.00018,0.00020,0.00385,0.00000,0.00149,0.00924
1403715896.031239986419678,0.00285,0.00019,0.00019,0.00385,0.00015,0.00159,0.00882
1403715896.081245183944702,0.00281,0.00018,0.00028,0.00319,0.00000,0.00151,0.00796
1403715896.131293058395386,0.00333,0.00017,0.00004,0.00340,0.00033,0.00159,0.00887
1403715896.181314229965210,0.00287,0.00019,0.00010,0.00335,0.00041,0.00152,0.00844
1403715896.231280088424683,0.00281,0.00018,0.00651,0.00369,0.00147,0.00151,0.01616
1403715896.281283855438232,0.00281,0.00018,0.00484,0.00341,0.00483,0.00139,0.01746
1403715896.331197977066040,0.00337,0.00018,0.00738,0.00404,0.00071,0.00140,0.01707
1403715896.381195545196533,0.00267,0.00017,0.00014,0.00428,0.00001,0.00150,0.00876
1403715896.431294679641724,0.00266,0.00018,0.00004,0.00403,0.00018,0.00143,0.00853
1403715896.481369018554688,0.00339,0.00019,0.00009,0.00336,0.00088,0.00146,0.00937
1403715896.531384706497192,0.00281,0.00018,0.00005,0.00359,0.00019,0.00135,0.00818
1403715896.581370115280151,0.00251,0.00019,0.00019,0.00348,0.00043,0.00147,0.00827
1403715896.631368160247803,0.00337,0.00022,0.00016,0.00327,0.00065,0.00144,0.00912
1403715896.681363344192505,0.00408,0.00016,0.00018,0.00227,0.00000,0.00148,0.00817
1403715896.731348991394043,0.00379,0.00019,0.00025,0.00183,0.00030,0.00151,0.00788
1403715896.781254291534424,0.00317,0.00017,0.00034,0.00137,0.00047,0.00146,0.00699
1403715896.831168174743652,0.00372,0.00018,0.00353,0.00152,0.00541,0.00163,0.01599
1403715896.881151199340820,0.00381,0.00016,0.00038,0.00217,0.00607,0.00154,0.01412
1403715896.931166648864746,0.00292,0.00023,0.00419,0.00395,0.00355,0.00148,0.01631
1403715896.981212139129639,0.00293,0.00018,0.00027,0.00326,0.00078,0.00138,0.00880
1403715897.031237602233887,0.00279,0.00022,0.00051,0.00332,0.00018,0.00151,0.00853
1403715897.081260919570923,0.00291,0.00020,0.00036,0.00314,0.00043,0.00151,0.00855
1403715897.131291151046753,0.00270,0.00018,0.00054,0.00316,0.00024,0.00140,0.00822
1403715897.181315660476685,0.00276,0.00021,0.00016,0.00336,0.00026,0.00146,0.00820
1403715897.231253862380981,0.00269,0.00018,0.00363,0.00347,0.00462,0.00148,0.01607
1403715897.281269073486328,0.00243,0.00019,0.00001,0.00414,0.00000,0.00148,0.00826
1403715897.331444025039673,0.00352,0.00019,0.00062,0.00303,0.00200,0.00152,0.01087
1403715897.381524801254272,0.00242,0.00020,0.00053,0.00305,0.00211,0.00148,0.00979
1403715897.431696653366089,0.00232,0.00019,0.00407,0.00331,0.00154,0.00147,0.01290
1403715897.481710672378540,0.00334,0.00020,0.00101,0.00324,0.00113,0.00142,0.01035
1403715897.531872749328613,0.00262,0.00019,0.00163,0.00329,0.00424,0.00139,0.01337
1403715897.582012176513672,0.00241,0.00019,0.00017,0.00370,0.00015,0.00137,0.00799
1403715897.632126331329346,0.00237,0.00019,0.00037,0.00317,0.00121,0.00143,0.00874
1403715897.682198047637939,0.00231,0.00016,0.00036,0.00293,0.00013,0.00142,0.00730
1403715897.732262372970581,0.00324,0.00020,0.00025,0.00310,0.00027,0.00149,0.00856
1403715897.782284021377563,0.00360,0.00018,0.00152,0.00254,0.00047,0.00149,0.00979
1403715897.832269191741943,0.00303,0.00017,0.00053,0.00291,0.00327,0.00144,0.01137
1403715897.882461547851562,0.00288,0.00019,0.00319,0.00300,0.00637,0.00142,0.01704
1403715897.932459115982056,0.00364,0.00023,0.00062,0.00439,0.00016,0.00207,0.01111
1403715897.982506513595581,0.00345,0.00020,0.00075,0.00365,0.00057,0.00145,0.01006
1403715898.032505273818970,0.00588,0.00024,0.00660,0.00344,0.00054,0.00184,0.01855
1403715898.082471847534180,0.00329,0.00019,0.00094,0.00301,0.00001,0.00146,0.00890
1403715898.132466077804565,0.00282,0.00019,0.00065,0.00200,0.00110,0.00137,0.00815
1403715898.182494163513184,0.00469,0.00018,0.00047,0.00165,0.00028,0.00137,0.00864
1403715898.232566356658936,0.00346,0.00016,0.00124,0.00180,0.00084,0.00146,0.00896
1403715898.282694578170776,0.00372,0.00016,0.00020,0.00160,0.00001,0.00156,0.00725
1403715898.332779407501221,0.00271,0.00015,0.00050,0.00159,0.00114,0.00132,0.00741
1403715898.382862806320190,0.00341,0.00014,0.00055,0.00127,0.00000,0.00145,0.00682
1403715898.432897806167603,0.00364,0.00016,0.00162,0.00090,0.00000,0.00155,0.00787
1403715898.482998847961426,0.00479,0.00016,0.00120,0.00072,0.00178,0.00145,0.01011
1403715898.533045530319214,0.00422,0.00015,0.00191,0.00111,0.00068,0.00150,0.00958
1403715898.583193778991699,0.00403,0.00016,0.00041,0.00159,0.00989,0.00146,0.01754
1403715898.633165121078491,0.00348,0.00018,0.00134,0.00203,0.00337,0.00148,0.01188
1403715898.683097124099731,0.00333,0.00018,0.00111,0.00249,0.00000,0.00151,0.00862
