# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.783330202102661,0.00858,0.00011,0.00054,0.00000,0.00000,0.00198,0.01121
1403715893.834781885147095,0.01026,0.00010,0.00213,0.00000,0.00283,0.00210,0.01742
1403715893.883590221405029,0.00969,0.00014,0.00002,0.00072,0.00000,0.00209,0.01266
1403715893.932439088821411,0.00847,0.00013,0.00001,0.00063,0.00000,0.00205,0.01130
1403715893.982525110244751,0.00800,0.00014,0.00005,0.00069,0.00000,0.00233,0.01122
1403715894.032483816146851,0.01004,0.00014,0.00022,0.00062,0.00000,0.00213,0.01315
1403715894.081986665725708,0.01090,0.00013,0.00010,0.00062,0.00000,0.00237,0.01412
1403715894.132575750350952,0.00800,0.00014,0.00010,0.00065,0.00000,0.00232,0.01120
1403715894.183809518814087,0.00752,0.00014,0.00123,0.00058,0.00178,0.00216,0.01340
1403715894.233603000640869,0.00826,0.00015,0.00011,0.00091,0.00118,0.00217,0.01278
1403715894.284020900726318,0.01007,0.00015,0.00049,0.00107,0.00382,0.00218,0.01778
1403715894.334169864654541,0.00723,0.00015,0.00012,0.00160,0.00004,0.00217,0.01130
1403715894.384417772293091,0.00866,0.00019,0.00088,0.00165,0.00203,0.00213,0.01554
1403715894.434465408325195,0.00756,0.00016,0.00892,0.00189,0.01037,0.00236,0.03127
1403715894.484375000000000,0.00749,0.00019,0.00006,0.00326,0.00415,0.00234,0.01749
1403715894.534047365188599,0.00709,0.00017,0.00005,0.00414,0.00000,0.00222,0.01366
1403715894.583965301513672,0.00888,0.00017,0.00111,0.00396,0.00112,0.00217,0.01740
1403715894.633919000625610,0.00768,0.00020,0.00012,0.00373,0.00000,0.00224,0.01397
1403715894.683824777603149,0.00735,0.00019,0.00073,0.00382,0.00000,0.00231,0.01441
1403715894.733723163604736,0.00717,0.00017,0.00005,0.00357,0.00000,0.00209,0.01305
1403715894.783267259597778,0.00743,0.00020,0.00015,0.00370,0.00080,0.00222,0.01450
1403715894.832800149917603,0.00901,0.00018,0.00343,0.00360,0.00216,0.00226,0.02063
1403715894.882639169692993,0.00764,0.00020,0.00014,0.00381,0.00000,0.00236,0.01416
1403715894.932601213455200,0.00756,0.00019,0.00194,0.00371,0.00030,0.00234,0.01605
1403715894.982667446136475,0.00893,0.00021,0.00010,0.00390,0.00129,0.00219,0.01663
1403715895.032572031021118,0.01076,0.00020,0.00979,0.00461,0.00020,0.00226,0.02782
1403715895.082684516906738,0.00788,0.00025,0.00019,0.00349,0.00000,0.00218,0.01399
1403715895.132870912551880,0.00958,0.00020,0.00005,0.00371,0.00087,0.00220,0.01660
1403715895.182935714721680,0.00658,0.00019,0.00010,0.00329,0.00112,0.00214,0.01342
1403715895.232956647872925,0.00766,0.00020,0.00023,0.00372,0.00001,0.00204,0.01385
1403715895.282971143722534,0.00757,0.00026,0.00063,0.00299,0.00014,0.00202,0.01361
1403715895.333300590515137,0.00911,0.00019,0.00050,0.00284,0.00000,0.00222,0.01485
1403715895.383583068847656,0.00755,0.00015,0.00009,0.00275,0.00142,0.00234,0.01430
1403715895.433953285217285,0.00719,0.00017,0.00092,0.00310,0.00465,0.00198,0.01802
1403715895.483956813812256,0.00829,0.00019,0.00011,0.00375,0.00001,0.00243,0.01479
1403715895.533844232559204,0.00915,0.00020,0.00082,0.00317,0.00230,0.00233,0.01796
1403715895.583983421325684,0.00810,0.00017,0.00389,0.00335,0.00247,0.00242,0.02038
1403715895.634106874465942,0.00808,0.00018,0.00959,0.00388,0.00106,0.00277,0.02555
1403715895.684056997299194,0.01226,0.00019,0.00005,0.00421,0.00000,0.00241,0.01913
1403715895.734082698822021,0.00826,0.00018,0.00027,0.00357,0.00018,0.00199,0.01445
1403715895.784024238586426,0.00869,0.00019,0.00073,0.00313,0.00014,0.00204,0.01492
1403715895.834278106689453,0.00920,0.00017,0.00009,0.00287,0.00026,0.00224,0.01483
1403715895.884335279464722,0.00783,0.00020,0.00099,0.00284,0.00463,0.00220,0.01867
1403715895.934213638305664,0.00773,0.00020,0.00052,0.00346,0.00024,0.00249,0.01465
1403715895.984238624572754,0.00759,0.00019,0.00009,0.00352,0.00015,0.00224,0.01378
1403715896.034338474273682,0.00841,0.00017,0.00040,0.00362,0.00000,0.00234,0.01495
1403715896.084384441375732,0.00757,0.00017,0.00060,0.00332,0.00076,0.00221,0.01462
