# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.789152145385742,0.00372,0.00010,0.00055,0.00000,0.00000,0.00124,0.00561
1403715893.835451126098633,0.00556,0.00010,0.00198,0.00000,0.00274,0.00124,0.01162
1403715893.883716344833374,0.00371,0.00014,0.00002,0.00058,0.00000,0.00127,0.00573
1403715893.932487726211548,0.00351,0.00012,0.00003,0.00056,0.00000,0.00143,0.00565
1403715893.982372283935547,0.00347,0.00013,0.00015,0.00057,0.00000,0.00135,0.00567
1403715894.032258272171021,0.00391,0.00013,0.00014,0.00059,0.00000,0.00130,0.00607
1403715894.081654548645020,0.00337,0.00015,0.00008,0.00056,0.00000,0.00135,0.00551
1403715894.131575584411621,0.00410,0.00013,0.00019,0.00059,0.00000,0.00138,0.00639
1403715894.182118177413940,0.00325,0.00013,0.00019,0.00051,0.00212,0.00137,0.00757
1403715894.231799125671387,0.00344,0.00013,0.00003,0.00089,0.00115,0.00132,0.00697
1403715894.281908512115479,0.00399,0.00015,0.00039,0.00102,0.00261,0.00135,0.00950
1403715894.332067251205444,0.00401,0.00016,0.00036,0.00139,0.00019,0.00132,0.00742
1403715894.382970571517944,0.00379,0.00016,0.00072,0.00136,0.00195,0.00146,0.00943
1403715894.433712005615234,0.00344,0.00015,0.00880,0.00155,0.01122,0.00136,0.02651
1403715894.483591318130493,0.00351,0.00018,0.00007,0.00290,0.00402,0.00139,0.01206
1403715894.533031702041626,0.00345,0.00018,0.00007,0.00333,0.00001,0.00129,0.00832
1403715894.582741022109985,0.00330,0.00017,0.00013,0.00087,0.00338,0.00128,0.00912
1403715894.632593870162964,0.00379,0.00019,0.00013,0.00116,0.00017,0.00134,0.00678
1403715894.682479381561279,0.00355,0.00019,0.00065,0.00088,0.00066,0.00134,0.00727
1403715894.732521057128906,0.00353,0.00014,0.00005,0.00189,0.00020,0.00134,0.00714
1403715894.782531023025513,0.00345,0.00014,0.00001,0.00215,0.00000,0.00136,0.00710
1403715894.832067489624023,0.00339,0.00015,0.00051,0.00202,0.00461,0.00145,0.01214
1403715894.881855964660645,0.00343,0.00017,0.00001,0.00249,0.00134,0.00142,0.00886
1403715894.931617498397827,0.00334,0.00017,0.00022,0.00270,0.00483,0.00137,0.01264
1403715894.981601476669312,0.00350,0.00017,0.00021,0.00337,0.00053,0.00142,0.00920
1403715895.031593084335327,0.00349,0.00017,0.00841,0.00319,0.00337,0.00130,0.01993
1403715895.081738471984863,0.00347,0.00018,0.00028,0.00361,0.00000,0.00134,0.00887
1403715895.131901502609253,0.00334,0.00018,0.00006,0.00301,0.00067,0.00135,0.00860
1403715895.181975364685059,0.00325,0.00017,0.00001,0.00337,0.00437,0.00133,0.01252
1403715895.232049465179443,0.00475,0.00017,0.00094,0.00350,0.00081,0.00144,0.01161
1403715895.282160997390747,0.00398,0.00017,0.00326,0.00341,0.00355,0.00139,0.01577
1403715895.332485437393188,0.00377,0.00019,0.00047,0.00343,0.00015,0.00132,0.00933
1403715895.382829427719116,0.00358,0.00017,0.00011,0.00279,0.00014,0.00138,0.00817
1403715895.433285951614380,0.00406,0.00019,0.00040,0.00255,0.00037,0.00138,0.00895
1403715895.483331203460693,0.00347,0.00017,0.00021,0.00255,0.00024,0.00131,0.00795
1403715895.533215761184692,0.00352,0.00017,0.00012,0.00255,0.00042,0.00136,0.00814
1403715895.583320617675781,0.00346,0.00016,0.00041,0.00213,0.00022,0.00127,0.00766
1403715895.633489847183228,0.00340,0.00017,0.00725,0.00285,0.00223,0.00203,0.01792
1403715895.683508634567261,0.00561,0.00015,0.00049,0.00247,0.00029,0.00137,0.01038
1403715895.733628034591675,0.00445,0.00016,0.00013,0.00280,0.00000,0.00147,0.00901
1403715895.783675909042358,0.00412,0.00017,0.00081,0.00282,0.01267,0.00146,0.02204
1403715895.833922386169434,0.00398,0.00018,0.00011,0.00430,0.00017,0.00148,0.01023
1403715895.883956670761108,0.00420,0.00018,0.00164,0.00375,0.00325,0.00143,0.01445
1403715895.933859348297119,0.00391,0.00019,0.00069,0.00453,0.00034,0.00149,0.01116
1403715895.983863592147827,0.00369,0.00019,0.00034,0.00436,0.00028,0.00137,0.01023
1403715896.033926725387573,0.00371,0.00017,0.00089,0.00469,0.00001,0.00142,0.01087
1403715896.083925008773804,0.00370,0.00020,0.00080,0.00414,0.00128,0.00137,0.01149
1403715896.134048223495483,0.00365,0.00019,0.00002,0.00460,0.00004,0.00138,0.00988
