# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.790590047836304,0.00268,0.00010,0.00064,0.00000,0.00000,0.00127,0.00469
1403715893.834519863128662,0.00331,0.00011,0.00196,0.00000,0.00282,0.00130,0.00950
1403715893.885290861129761,0.00250,0.00011,0.00002,0.00062,0.00000,0.00125,0.00451
1403715893.935713291168213,0.00246,0.00014,0.00006,0.00063,0.00000,0.00137,0.00465
1403715893.985893487930298,0.00243,0.00014,0.00007,0.00062,0.00000,0.00135,0.00461
1403715894.036048650741577,0.00253,0.00014,0.00007,0.00060,0.00000,0.00140,0.00474
1403715894.086055755615234,0.00323,0.00014,0.00010,0.00061,0.00000,0.00145,0.00552
1403715894.135441541671753,0.00289,0.00015,0.00001,0.00065,0.00000,0.00151,0.00521
1403715894.185110092163086,0.00312,0.00014,0.00016,0.00058,0.00172,0.00150,0.00723
1403715894.235015630722046,0.00229,0.00014,0.00007,0.00091,0.00117,0.00145,0.00602
1403715894.284973382949829,0.00278,0.00016,0.00012,0.00106,0.00229,0.00143,0.00785
1403715894.334891080856323,0.00254,0.00017,0.00021,0.00146,0.00005,0.00139,0.00583
1403715894.384858369827271,0.00286,0.00015,0.00045,0.00152,0.00120,0.00155,0.00772
1403715894.434429168701172,0.00241,0.00016,0.00821,0.00148,0.01224,0.00139,0.02589
1403715894.484225988388062,0.00255,0.00020,0.00007,0.00295,0.00375,0.00142,0.01093
1403715894.533962965011597,0.00245,0.00017,0.00065,0.00359,0.00018,0.00148,0.00852
1403715894.583896636962891,0.00294,0.00017,0.00004,0.00377,0.00321,0.00144,0.01157
1403715894.633680820465088,0.00259,0.00020,0.00001,0.00413,0.00000,0.00141,0.00834
1403715894.683710098266602,0.00364,0.00042,0.00014,0.00437,0.00000,0.00174,0.01031
1403715894.733447551727295,0.00285,0.00019,0.00078,0.00368,0.00026,0.00147,0.00924
1403715894.782892704010010,0.00268,0.00019,0.00014,0.00399,0.00002,0.00151,0.00853
1403715894.832313060760498,0.00260,0.00019,0.00323,0.00394,0.00324,0.00144,0.01465
1403715894.882215976715088,0.00264,0.00021,0.00056,0.00455,0.00000,0.00142,0.00938
1403715894.932122945785522,0.00253,0.00019,0.00525,0.00444,0.00000,0.00154,0.01396
1403715894.982114791870117,0.00307,0.00018,0.00148,0.00429,0.00000,0.00156,0.01059
1403715895.032032012939453,0.00248,0.00019,0.00909,0.00399,0.00020,0.00164,0.01759
1403715895.082048177719116,0.00218,0.00019,0.00005,0.00391,0.00000,0.00136,0.00769
