# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.789571285247803,0,15,0,0,5
1403715893.834399223327637,18,15,0,18,6
1403715893.881560087203979,18,0,18,0,7
1403715893.930212497711182,18,0,18,0,8
1403715893.980320215225220,18,1,17,0,9
1403715894.029430150985718,17,1,16,0,10
1403715894.078758955001831,17,0,17,0,11
1403715894.128990650177002,17,1,17,0,11
1403715894.179279804229736,22,1,16,6,11
1403715894.228315591812134,24,0,21,2,11
1403715894.278353929519653,30,0,23,6,11
1403715894.328513860702515,28,1,28,0,11
1403715894.379071474075317,33,4,28,5,11
1403715894.429729223251343,45,24,33,12,11
1403715894.480205297470093,48,0,44,4,11
1403715894.529686689376831,48,0,45,0,11
1403715894.579967498779297,50,1,46,2,11
1403715894.629849910736084,50,0,48,0,11
1403715894.679763793945312,50,0,48,2,11
1403715894.729652166366577,49,0,48,0,11
1403715894.779576778411865,48,0,48,0,11
1403715894.829452753067017,50,5,47,2,11
1403715894.879422664642334,50,3,49,0,11
1403715894.929438829421997,49,6,48,1,11
1403715894.979439020156860,50,0,49,1,11
1403715895.029416322708130,47,22,47,0,11
1403715895.079336881637573,46,0,45,0,11
1403715895.129296779632568,45,0,42,0,11
1403715895.179095506668091,48,2,41,6,11
1403715895.228775739669800,47,1,46,0,11
1403715895.278627634048462,46,2,44,1,11
1403715895.328597545623779,43,2,41,0,11
1403715895.378587961196899,42,2,39,0,11
1403715895.428562641143799,46,1,39,5,11
1403715895.478560924530029,46,0,43,3,11
1403715895.528571128845215,47,2,43,2,11
1403715895.578541278839111,47,2,42,0,11
1403715895.628492832183838,44,20,40,3,11
1403715895.678474187850952,44,0,42,1,11
1403715895.728469610214233,42,1,39,0,11
1403715895.778401136398315,48,10,37,7,11
1403715895.828447580337524,47,0,42,2,11
1403715895.878464937210083,47,5,44,1,11
1403715895.928428411483765,46,1,43,2,11
1403715895.978435277938843,46,1,44,0,11
1403715896.028435707092285,46,1,43,1,11
1403715896.078406333923340,45,1,40,1,11
1403715896.128397226333618,45,0,41,0,11
1403715896.178438425064087,44,0,41,3,11
1403715896.228468894958496,45,26,43,1,11
1403715896.278660297393799,49,1,43,4,11
1403715896.328679323196411,48,1,46,1,11
1403715896.378715038299561,48,5,44,2,11
1403715896.428734540939331,47,0,44,0,11
1403715896.478718280792236,47,1,42,1,11
1403715896.528695583343506,47,1,41,3,11
1403715896.578667879104614,45,0,43,0,11
1403715896.628623247146606,43,1,40,1,11
1403715896.678655862808228,41,1,38,1,11
1403715896.728650331497192,41,1,35,0,11
1403715896.778688907623291,42,0,34,4,11
1403715896.828752279281616,43,17,36,3,11
1403715896.878764867782593,43,0,39,2,11
1403715896.928796052932739,43,0,39,1,11
1403715896.978839635848999,45,0,39,4,11
1403715897.028926372528076,45,0,40,1,11
1403715897.079007625579834,46,16,41,3,11
1403715897.129037857055664,45,0,43,1,11
1403715897.179060935974121,46,0,43,2,11
1403715897.229083776473999,44,0,39,0,11
1403715897.279185533523560,44,0,38,1,11
1403715897.329325199127197,42,4,35,3,11
1403715897.379374980926514,41,2,36,1,11
1403715897.429533004760742,42,17,36,4,11
1403715897.479606151580811,41,1,37,0,11
1403715897.529685497283936,41,2,36,1,11
1403715897.579787492752075,40,4,33,2,11
1403715897.629895925521851,40,1,34,1,11
1403715897.680079936981201,41,8,30,7,11
1403715897.730158805847168,40,3,36,0,11
1403715897.780188798904419,39,1,37,0,11
1403715897.830184459686279,37,2,35,1,11
1403715897.880204916000366,37,6,35,0,11
1403715897.930233478546143,36,3,33,0,11
1403715897.980302810668945,43,5,30,8,11
1403715898.030384540557861,40,13,33,3,11
1403715898.080402374267578,39,6,32,0,11
1403715898.130433797836304,36,1,24,2,11
1403715898.180454730987549,34,3,24,7,11
1403715898.230546712875366,30,6,25,1,11
1403715898.280658483505249,31,2,23,3,11
1403715898.330743312835693,30,2,24,2,11
1403715898.380800962448120,29,0,26,2,11
1403715898.430938482284546,35,12,24,7,11
1403715898.480968952178955,33,3,26,1,11
1403715898.530983209609985,32,5,26,1,11
1403715898.580983638763428,29,7,25,2,11
1403715898.631014108657837,33,5,25,4,11
1403715898.681050777435303,33,0,27,1,11
1403715898.731067180633545,30,5,25,1,11
1403715898.781073808670044,22,10,19,1,11
1403715898.831076383590698,24,1,17,5,11
1403715898.881074905395508,26,1,21,3,11
1403715898.931071519851685,23,4,20,0,11
1403715898.981065273284912,28,2,17,7,11
1403715899.031080007553101,28,13,24,3,11
1403715899.081079244613647,28,6,22,3,11
1403715899.131064653396606,25,3,23,0,11
1403715899.181053638458252,31,3,20,11,11
1403715899.231056451797485,28,6,28,0,11
1403715899.281072139739990,30,6,26,3,11
1403715899.331089019775391,38,3,24,11,11
1403715899.381164073944092,41,5,34,5,11
1403715899.431220769882202,41,3,37,4,11
1403715899.481287717819214,43,4,40,2,11
1403715899.531365633010864,48,8,41,5,11
1403715899.581392288208008,47,4,45,1,11
1403715899.631426811218262,49,8,46,3,11
1403715899.681418657302856,49,6,47,1,11
1403715899.731433391571045,49,6,46,0,11
1403715899.781435489654541,48,3,45,0,11
1403715899.831448078155518,45,10,41,2,11
1403715899.881459474563599,45,9,41,3,11
1403715899.931483030319214,47,5,42,4,11
1403715899.981546401977539,46,7,45,0,11
1403715900.031611680984497,44,2,42,0,11
1403715900.081670761108398,44,2,42,0,11
1403715900.131716728210449,45,8,40,3,11
1403715900.181752681732178,41,2,39,0,11
1403715900.231770753860474,47,1,39,6,11
1403715900.281807661056519,48,6,45,3,11
1403715900.331811189651489,47,2,47,0,11
1403715900.381816625595093,45,5,44,1,11
1403715900.431859493255615,47,4,41,5,11
1403715900.481864213943481,44,6,41,2,11
1403715900.531903982162476,40,5,35,4,11
1403715900.581942796707153,39,3,37,2,11
1403715900.631994724273682,41,1,35,3,11
1403715900.682038545608521,38,5,31,0,11
1403715900.732082605361938,43,1,25,8,11
1403715900.782099246978760,40,1,24,2,11
1403715900.832103967666626,30,1,18,3,11
1403715900.882098436355591,22,1,19,3,11
1403715900.932090759277344,22,0,21,0,11
1403715900.982092142105103,21,1,20,0,11
1403715901.032085418701172,19,1,19,0,11
1403715901.082079410552979,19,3,16,1,11
1403715901.132076740264893,18,3,13,0,11
1403715901.182077646255493,17,1,10,4,11
1403715901.232075452804565,16,2,11,2,11
1403715901.282073736190796,17,2,13,1,11
1403715901.332094192504883,18,1,12,4,11
1403715901.382124423980713,19,0,12,1,11
1403715901.432183980941772,21,1,12,4,11
1403715901.482201337814331,22,2,13,5,11
1403715901.532190322875977,22,1,16,1,11
1403715901.582165241241455,20,2,18,1,11
1403715901.632146596908569,20,3,16,1,11
1403715901.682143211364746,21,2,15,2,11
1403715901.732138872146606,19,0,16,1,11
1403715901.782149076461792,21,3,11,3,11
1403715901.832159996032715,24,2,11,5,11
1403715901.882157325744629,25,2,15,6,11
1403715901.932165622711182,26,2,20,5,11
1403715901.982176065444946,27,1,23,3,11
1403715902.032191514968872,27,2,26,1,11
1403715902.082216024398804,29,3,26,2,11
1403715902.132249116897583,35,1,26,6,11
1403715902.182273864746094,42,3,33,9,11
1403715902.232276916503906,41,0,39,0,11
1403715902.282281875610352,40,1,39,0,11
1403715902.332296609878540,43,2,33,7,11
1403715902.382296800613403,40,2,39,0,11
1403715902.432298898696899,41,1,38,2,11
1403715902.482314109802246,45,4,38,5,11
1403715902.532315969467163,43,1,43,0,11
1403715902.582312583923340,47,1,42,4,11
1403715902.632323741912842,47,1,44,1,11
1403715902.682320356369019,47,9,43,1,11
1403715902.732318162918091,49,4,43,2,11
1403715902.782316923141479,44,5,43,1,11
1403715902.832314252853394,48,2,41,4,11
1403715902.882313966751099,44,2,41,0,11
1403715902.932322502136230,41,2,39,1,11
1403715902.982330083847046,41,0,37,2,11
1403715903.032332181930542,40,1,37,0,11
1403715903.082341670989990,37,2,35,1,11
