# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.789571285247803,0.00289,0.00015,0.00060,0.00000,0.00000,0.00126,0.00491
1403715893.834399223327637,0.00330,0.00010,0.00206,0.00000,0.00330,0.00126,0.01003
1403715893.881560087203979,0.00236,0.00012,0.00002,0.00082,0.00000,0.00124,0.00457
1403715893.930212497711182,0.00230,0.00014,0.00004,0.00084,0.00000,0.00145,0.00476
1403715893.980320215225220,0.00234,0.00019,0.00016,0.00079,0.00000,0.00137,0.00485
1403715894.029430150985718,0.00261,0.00014,0.00016,0.00075,0.00000,0.00131,0.00496
1403715894.078758955001831,0.00255,0.00017,0.00009,0.00083,0.00000,0.00140,0.00504
1403715894.128990650177002,0.00316,0.00013,0.00020,0.00085,0.00000,0.00144,0.00579
1403715894.179279804229736,0.00236,0.00014,0.00023,0.00077,0.00220,0.00136,0.00707
1403715894.228315591812134,0.00229,0.00015,0.00004,0.00116,0.00118,0.00140,0.00623
1403715894.278353929519653,0.00299,0.00015,0.00021,0.00141,0.00302,0.00139,0.00917
1403715894.328513860702515,0.00261,0.00015,0.00048,0.00180,0.00018,0.00137,0.00659
1403715894.379071474075317,0.00265,0.00016,0.00097,0.00174,0.00210,0.00155,0.00918
1403715894.429729223251343,0.00294,0.00018,0.00925,0.00205,0.00929,0.00136,0.02508
1403715894.480205297470093,0.00250,0.00019,0.00020,0.00323,0.00420,0.00145,0.01179
1403715894.529686689376831,0.00240,0.00018,0.00002,0.00376,0.00000,0.00142,0.00779
1403715894.579967498779297,0.00232,0.00018,0.00112,0.00356,0.00224,0.00214,0.01157
1403715894.629849910736084,0.00300,0.00022,0.00001,0.00409,0.00000,0.00182,0.00915
1403715894.679763793945312,0.00284,0.00022,0.00014,0.00402,0.00032,0.00139,0.00894
1403715894.729652166366577,0.00266,0.00021,0.00006,0.00400,0.00000,0.00136,0.00830
1403715894.779576778411865,0.00260,0.00020,0.00007,0.00403,0.00002,0.00134,0.00826
1403715894.829452753067017,0.00258,0.00017,0.00347,0.00371,0.00214,0.00144,0.01350
1403715894.879422664642334,0.00282,0.00035,0.00171,0.00497,0.00000,0.00141,0.01127
1403715894.929438829421997,0.00247,0.00021,0.00419,0.00393,0.00016,0.00153,0.01249
1403715894.979439020156860,0.00250,0.00020,0.00002,0.00426,0.00063,0.00153,0.00914
1403715895.029416322708130,0.00244,0.00021,0.00972,0.00383,0.00000,0.00153,0.01773
1403715895.079336881637573,0.00247,0.00019,0.00005,0.00375,0.00000,0.00138,0.00785
1403715895.129296779632568,0.00251,0.00022,0.00009,0.00341,0.00000,0.00135,0.00758
1403715895.179095506668091,0.00256,0.00018,0.00221,0.00303,0.00358,0.00138,0.01293
1403715895.228775739669800,0.00359,0.00019,0.00046,0.00384,0.00000,0.00145,0.00953
1403715895.278627634048462,0.00359,0.00020,0.00049,0.00357,0.00015,0.00148,0.00948
1403715895.328597545623779,0.00338,0.00019,0.00050,0.00322,0.00000,0.00147,0.00878
1403715895.378587961196899,0.00267,0.00017,0.00057,0.00309,0.00018,0.00160,0.00828
1403715895.428562641143799,0.00265,0.00017,0.00024,0.00284,0.00312,0.00147,0.01050
1403715895.478560924530029,0.00264,0.00020,0.00019,0.00350,0.00073,0.00154,0.00880
1403715895.528571128845215,0.00267,0.00022,0.00219,0.00331,0.00226,0.00148,0.01213
1403715895.578541278839111,0.00246,0.00022,0.00059,0.00340,0.00000,0.00141,0.00808
1403715895.628492832183838,0.00258,0.00022,0.00886,0.00284,0.00083,0.00142,0.01674
1403715895.678474187850952,0.00365,0.00018,0.00023,0.00333,0.00015,0.00151,0.00906
1403715895.728469610214233,0.00275,0.00019,0.00031,0.00309,0.00001,0.00148,0.00783
1403715895.778401136398315,0.00285,0.00019,0.00475,0.00274,0.00711,0.00149,0.01914
1403715895.828447580337524,0.00276,0.00020,0.00010,0.00365,0.00030,0.00146,0.00848
1403715895.878464937210083,0.00277,0.00023,0.00067,0.00398,0.00016,0.00149,0.00930
1403715895.928428411483765,0.00262,0.00024,0.00070,0.00363,0.00026,0.00147,0.00891
1403715895.978435277938843,0.00257,0.00020,0.00027,0.00387,0.00000,0.00141,0.00832
1403715896.028435707092285,0.00264,0.00019,0.00066,0.00376,0.00016,0.00151,0.00892
1403715896.078406333923340,0.00232,0.00018,0.00058,0.00332,0.00014,0.00145,0.00801
1403715896.128397226333618,0.00254,0.00045,0.00002,0.00361,0.00016,0.00164,0.00843
1403715896.178438425064087,0.00271,0.00021,0.00016,0.00352,0.00038,0.00142,0.00840
1403715896.228468894958496,0.00242,0.00018,0.01267,0.00390,0.00191,0.00149,0.02256
1403715896.278660297393799,0.00260,0.00019,0.00042,0.00385,0.00222,0.00143,0.01072
1403715896.328679323196411,0.00276,0.00019,0.00060,0.00419,0.00057,0.00156,0.00987
1403715896.378715038299561,0.00256,0.00020,0.00353,0.00386,0.00088,0.00140,0.01243
1403715896.428734540939331,0.00256,0.00020,0.00006,0.00413,0.00000,0.00138,0.00833
1403715896.478718280792236,0.00249,0.00020,0.00036,0.00387,0.00016,0.00147,0.00855
1403715896.528695583343506,0.00413,0.00017,0.00031,0.00332,0.00040,0.00150,0.00983
1403715896.578667879104614,0.00305,0.00021,0.00011,0.00386,0.00001,0.00154,0.00879
1403715896.628623247146606,0.00308,0.00021,0.00047,0.00327,0.00014,0.00149,0.00866
1403715896.678655862808228,0.00303,0.00018,0.00055,0.00306,0.00015,0.00166,0.00861
1403715896.728650331497192,0.00279,0.00019,0.00029,0.00276,0.00000,0.00157,0.00761
1403715896.778688907623291,0.00279,0.00022,0.00014,0.00252,0.00086,0.00153,0.00805
1403715896.828752279281616,0.00286,0.00021,0.00928,0.00257,0.00222,0.00154,0.01869
1403715896.878764867782593,0.00366,0.00019,0.00018,0.00317,0.00024,0.00166,0.00911
1403715896.928796052932739,0.00374,0.00019,0.00019,0.00314,0.00014,0.00163,0.00903
1403715896.978839635848999,0.00276,0.00019,0.00015,0.00332,0.00370,0.00151,0.01164
1403715897.028926372528076,0.00285,0.00020,0.00013,0.00347,0.00015,0.00154,0.00835
1403715897.079007625579834,0.00360,0.00020,0.00929,0.00347,0.00229,0.00157,0.02042
1403715897.129037857055664,0.00355,0.00019,0.00009,0.00391,0.00016,0.00168,0.00959
1403715897.179060935974121,0.00277,0.00019,0.00008,0.00394,0.00071,0.00165,0.00933
1403715897.229083776473999,0.00291,0.00022,0.00016,0.00335,0.00000,0.00142,0.00806
1403715897.279185533523560,0.00351,0.00019,0.00005,0.00312,0.00014,0.00152,0.00853
1403715897.329325199127197,0.00276,0.00019,0.00084,0.00271,0.00037,0.00144,0.00830
1403715897.379374980926514,0.00326,0.00019,0.00061,0.00279,0.00013,0.00153,0.00852
1403715897.429533004760742,0.00483,0.00021,0.00823,0.00259,0.00261,0.00155,0.02003
1403715897.479606151580811,0.00364,0.00020,0.00063,0.00288,0.00001,0.00150,0.00886
1403715897.529685497283936,0.00285,0.00018,0.00058,0.00278,0.00015,0.00154,0.00808
1403715897.579787492752075,0.00269,0.00019,0.00045,0.00239,0.00119,0.00148,0.00839
1403715897.629895925521851,0.00458,0.00019,0.00049,0.00241,0.00015,0.00154,0.00935
1403715897.680079936981201,0.00286,0.00015,0.00324,0.00211,0.00565,0.00156,0.01558
1403715897.730158805847168,0.00276,0.00019,0.00059,0.00280,0.00000,0.00140,0.00775
1403715897.780188798904419,0.00232,0.00017,0.00042,0.00295,0.00001,0.00138,0.00725
1403715897.830184459686279,0.00254,0.00018,0.00097,0.00260,0.00013,0.00136,0.00779
1403715897.880204916000366,0.00325,0.00018,0.00158,0.00249,0.00000,0.00153,0.00903
1403715897.930233478546143,0.00285,0.00019,0.00068,0.00262,0.00001,0.00151,0.00785
1403715897.980302810668945,0.00250,0.00019,0.00103,0.00210,0.00600,0.00149,0.01330
1403715898.030384540557861,0.00251,0.00019,0.00556,0.00243,0.00269,0.00141,0.01479
1403715898.080402374267578,0.00337,0.00019,0.00158,0.00233,0.00001,0.00146,0.00894
1403715898.130433797836304,0.00249,0.00017,0.00081,0.00147,0.00024,0.00140,0.00659
1403715898.180454730987549,0.00295,0.00019,0.00153,0.00159,0.00514,0.00137,0.01277
1403715898.230546712875366,0.00327,0.00017,0.00120,0.00168,0.00013,0.00141,0.00787
1403715898.280658483505249,0.00316,0.00016,0.00031,0.00166,0.00145,0.00134,0.00809
1403715898.330743312835693,0.00299,0.00016,0.00077,0.00167,0.00019,0.00135,0.00713
1403715898.380800962448120,0.00221,0.00017,0.00016,0.00197,0.00025,0.00144,0.00621
1403715898.430938482284546,0.00325,0.00016,0.00237,0.00174,0.00538,0.00136,0.01427
1403715898.480968952178955,0.00316,0.00017,0.00082,0.00194,0.00012,0.00138,0.00760
1403715898.530983209609985,0.00299,0.00017,0.00121,0.00193,0.00020,0.00141,0.00792
1403715898.580983638763428,0.00267,0.00017,0.00216,0.00193,0.00018,0.00137,0.00849
1403715898.631014108657837,0.00315,0.00016,0.00097,0.00184,0.00400,0.00142,0.01155
1403715898.681050777435303,0.00242,0.00017,0.00025,0.00199,0.00050,0.00143,0.00676
1403715898.731067180633545,0.00315,0.00016,0.00114,0.00175,0.00011,0.00138,0.00770
1403715898.781073808670044,0.00325,0.00017,0.00178,0.00124,0.00030,0.00142,0.00816
1403715898.831076383590698,0.00284,0.00016,0.00059,0.00104,0.00223,0.00135,0.00821
1403715898.881074905395508,0.00293,0.00016,0.00015,0.00122,0.00151,0.00136,0.00734
1403715898.931071519851685,0.00311,0.00015,0.00044,0.00126,0.00001,0.00138,0.00635
1403715898.981065273284912,0.00432,0.00017,0.00033,0.00094,0.00355,0.00149,0.01080
1403715899.031080007553101,0.00343,0.00016,0.00093,0.00158,0.00087,0.00151,0.00849
1403715899.081079244613647,0.00409,0.00016,0.00086,0.00136,0.00170,0.00151,0.00967
1403715899.131064653396606,0.00403,0.00016,0.00092,0.00145,0.00026,0.00150,0.00832
1403715899.181053638458252,0.00357,0.00016,0.00062,0.00106,0.00652,0.00148,0.01341
1403715899.231056451797485,0.00396,0.00019,0.00123,0.00188,0.00032,0.00152,0.00910
1403715899.281072139739990,0.00326,0.00019,0.00058,0.00171,0.00205,0.00145,0.00924
1403715899.331089019775391,0.00430,0.00016,0.00051,0.00156,0.00469,0.00143,0.01265
1403715899.381164073944092,0.00368,0.00018,0.00091,0.00214,0.00386,0.00147,0.01225
1403715899.431220769882202,0.00271,0.00018,0.00103,0.00244,0.00386,0.00146,0.01168
1403715899.481287717819214,0.00405,0.00018,0.00039,0.00282,0.00104,0.00152,0.00999
1403715899.531365633010864,0.00333,0.00020,0.00327,0.00281,0.00468,0.00146,0.01575
1403715899.581392288208008,0.00449,0.00020,0.00083,0.00352,0.00016,0.00155,0.01076
1403715899.631426811218262,0.00261,0.00019,0.00324,0.00355,0.00162,0.00149,0.01270
1403715899.681418657302856,0.00330,0.00019,0.00213,0.00366,0.00058,0.00149,0.01136
1403715899.731433391571045,0.00357,0.00025,0.00091,0.00372,0.00000,0.00167,0.01012
1403715899.781435489654541,0.00353,0.00019,0.00114,0.00345,0.00009,0.00144,0.00985
1403715899.831448078155518,0.00281,0.00020,0.00420,0.00298,0.00201,0.00146,0.01367
1403715899.881459474563599,0.00435,0.00020,0.00286,0.00308,0.00337,0.00164,0.01550
1403715899.931483030319214,0.00382,0.00022,0.00408,0.00325,0.00413,0.00151,0.01702
1403715899.981546401977539,0.00266,0.00019,0.00143,0.00374,0.00019,0.00150,0.00971
1403715900.031611680984497,0.00300,0.00019,0.00081,0.00329,0.00002,0.00136,0.00868
1403715900.081670761108398,0.00282,0.00020,0.00120,0.00332,0.00000,0.00144,0.00898
1403715900.131716728210449,0.00260,0.00018,0.00333,0.00310,0.00273,0.00135,0.01329
1403715900.181752681732178,0.00295,0.00019,0.00079,0.00319,0.00000,0.00148,0.00860
1403715900.231770753860474,0.00243,0.00023,0.00058,0.00311,0.00310,0.00141,0.01086
1403715900.281807661056519,0.00243,0.00020,0.00403,0.00352,0.00250,0.00157,0.01426
1403715900.331811189651489,0.00283,0.00020,0.00080,0.00396,0.00000,0.00148,0.00927
1403715900.381816625595093,0.00247,0.00018,0.00228,0.00342,0.00055,0.00150,0.01039
1403715900.431859493255615,0.00253,0.00018,0.00298,0.00300,0.00474,0.00159,0.01502
1403715900.481864213943481,0.00261,0.00016,0.00111,0.00330,0.00108,0.00187,0.01014
1403715900.531903982162476,0.00299,0.00020,0.00274,0.00265,0.00311,0.00140,0.01309
1403715900.581942796707153,0.00312,0.00019,0.00109,0.00289,0.00201,0.00132,0.01062
1403715900.631994724273682,0.00337,0.00018,0.00040,0.00273,0.00266,0.00130,0.01065
1403715900.682038545608521,0.00301,0.00017,0.00292,0.00210,0.00000,0.00135,0.00955
1403715900.732082605361938,0.00258,0.00018,0.00049,0.00168,0.00568,0.00129,0.01189
1403715900.782099246978760,0.00264,0.00018,0.00033,0.00155,0.00024,0.00125,0.00620
1403715900.832103967666626,0.00307,0.00017,0.00056,0.00137,0.00026,0.00132,0.00675
1403715900.882098436355591,0.00292,0.00017,0.00042,0.00131,0.00183,0.00126,0.00790
1403715900.932090759277344,0.00301,0.00015,0.00029,0.00169,0.00000,0.00128,0.00643
1403715900.982092142105103,0.00345,0.00015,0.00016,0.00158,0.00000,0.00142,0.00677
1403715901.032085418701172,0.00323,0.00017,0.00056,0.00141,0.00000,0.00129,0.00666
1403715901.082079410552979,0.00409,0.00013,0.00036,0.00107,0.00104,0.00137,0.00805
1403715901.132076740264893,0.00413,0.00016,0.00129,0.00077,0.00016,0.00132,0.00784
1403715901.182077646255493,0.00605,0.00019,0.00032,0.00055,0.00153,0.00127,0.00991
1403715901.232075452804565,0.00505,0.00015,0.00040,0.00056,0.00016,0.00137,0.00769
1403715901.282073736190796,0.00454,0.00014,0.00062,0.00074,0.00101,0.00129,0.00833
1403715901.332094192504883,0.00479,0.00017,0.00051,0.00066,0.00055,0.00141,0.00809
1403715901.382124423980713,0.00350,0.00015,0.00007,0.00086,0.00074,0.00140,0.00672
1403715901.432183980941772,0.00449,0.00015,0.00071,0.00068,0.00124,0.00132,0.00859
1403715901.482201337814331,0.00507,0.00016,0.00035,0.00079,0.00082,0.00146,0.00865
1403715901.532190322875977,0.00450,0.00016,0.00033,0.00109,0.00084,0.00141,0.00834
1403715901.582165241241455,0.00425,0.00016,0.00038,0.00121,0.00010,0.00140,0.00750
1403715901.632146596908569,0.00388,0.00017,0.00039,0.00104,0.00010,0.00142,0.00700
1403715901.682143211364746,0.00273,0.00016,0.00029,0.00106,0.00139,0.00143,0.00705
1403715901.732138872146606,0.00346,0.00014,0.00024,0.00108,0.00042,0.00143,0.00676
1403715901.782149076461792,0.00364,0.00014,0.00068,0.00071,0.00159,0.00141,0.00816
1403715901.832159996032715,0.00284,0.00014,0.00049,0.00071,0.00223,0.00134,0.00775
1403715901.882157325744629,0.00413,0.00016,0.00076,0.00095,0.00097,0.00142,0.00839
1403715901.932165622711182,0.00415,0.00015,0.00062,0.00136,0.00105,0.00144,0.00877
1403715901.982176065444946,0.00429,0.00016,0.00043,0.00184,0.00159,0.00143,0.00974
1403715902.032191514968872,0.00425,0.00016,0.00096,0.00209,0.00143,0.00144,0.01034
1403715902.082216024398804,0.00327,0.00016,0.00060,0.00218,0.00151,0.00142,0.00914
1403715902.132249116897583,0.00471,0.00016,0.00029,0.00211,0.00458,0.00145,0.01330
1403715902.182273864746094,0.00356,0.00017,0.00106,0.00282,0.00660,0.00159,0.01581
1403715902.232276916503906,0.00256,0.00021,0.00016,0.00348,0.00000,0.00139,0.00781
1403715902.282281875610352,0.00511,0.00019,0.00049,0.00321,0.00000,0.00149,0.01049
1403715902.332296609878540,0.00298,0.00019,0.00067,0.00263,0.00528,0.00142,0.01318
1403715902.382296800613403,0.00520,0.00020,0.00079,0.00328,0.00001,0.00140,0.01088
1403715902.432298898696899,0.00389,0.00018,0.00041,0.00332,0.00196,0.00144,0.01120
1403715902.482314109802246,0.00400,0.00018,0.00074,0.00329,0.00298,0.00147,0.01267
1403715902.532315969467163,0.00458,0.00019,0.00028,0.00385,0.00001,0.00144,0.01035
1403715902.582312583923340,0.00356,0.00019,0.00092,0.00373,0.00429,0.00160,0.01428
1403715902.632323741912842,0.00401,0.00019,0.00043,0.00422,0.00084,0.00141,0.01109
1403715902.682320356369019,0.00300,0.00019,0.00390,0.00411,0.00095,0.00158,0.01372
1403715902.732318162918091,0.00395,0.00020,0.00070,0.00413,0.00114,0.00153,0.01166
1403715902.782316923141479,0.00365,0.00019,0.00166,0.00378,0.00027,0.00144,0.01099
1403715902.832314252853394,0.00347,0.00019,0.00026,0.00365,0.00412,0.00138,0.01307
1403715902.882313966751099,0.00520,0.00018,0.00064,0.00383,0.00000,0.00159,0.01146
1403715902.932322502136230,0.00277,0.00020,0.00097,0.00346,0.00016,0.00138,0.00895
1403715902.982330083847046,0.00447,0.00017,0.00025,0.00333,0.00124,0.00146,0.01093
1403715903.032332181930542,0.00504,0.00019,0.00022,0.00328,0.00000,0.00165,0.01039
1403715903.082341670989990,0.00281,0.00019,0.00072,0.00283,0.00094,0.00147,0.00897
1403715903.132343769073486,0.00421,0.00018,0.00077,0.00242,0.00000,0.00149,0.00909
1403715903.182343721389771,0.00279,0.00016,0.00051,0.00217,0.00206,0.00155,0.00923
1403715903.232341051101685,0.00465,0.00018,0.00050,0.00238,0.00029,0.00154,0.00955
1403715903.282339096069336,0.00283,0.00016,0.00127,0.00225,0.00276,0.00254,0.01180
1403715903.332346439361572,0.00496,0.00017,0.00074,0.00226,0.00316,0.00148,0.01277
1403715903.382349014282227,0.00269,0.00018,0.00052,0.00250,0.00152,0.00251,0.00993
1403715903.432349443435669,0.00409,0.00017,0.00073,0.00262,0.00214,0.00147,0.01122
1403715903.482352495193481,0.00349,0.00017,0.00033,0.00192,0.00000,0.00220,0.00810
1403715903.532361268997192,0.00297,0.00016,0.00079,0.00162,0.00602,0.00148,0.01305
1403715903.582363843917847,0.00490,0.00019,0.00192,0.00206,0.00707,0.00154,0.01768
1403715903.632360458374023,0.00293,0.00020,0.00095,0.00308,0.00000,0.00149,0.00866
1403715903.682381391525269,0.00285,0.00019,0.00412,0.00304,0.00213,0.00149,0.01382
1403715903.732410192489624,0.00284,0.00018,0.00218,0.00229,0.00001,0.00143,0.00893
