# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.787102222442627,0,15,0,0,5
1403715893.831469297409058,13,13,0,13,6
1403715893.882427930831909,13,0,13,0,7
1403715893.932566165924072,13,0,13,0,8
1403715893.983155965805054,12,0,12,0,9
1403715894.033569335937500,12,0,12,0,10
1403715894.083359718322754,12,1,12,0,11
1403715894.134196996688843,12,0,12,0,11
1403715894.184696197509766,17,0,11,6,11
1403715894.234541654586792,19,0,17,2,11
1403715894.284382343292236,24,0,14,5,11
1403715894.334436655044556,23,0,22,0,11
1403715894.384433507919312,26,2,22,4,11
1403715894.433715820312500,41,21,26,15,11
1403715894.483723640441895,44,0,40,4,11
1403715894.533781528472900,44,0,44,0,11
1403715894.583454132080078,46,0,42,2,11
1403715894.633444070816040,47,0,45,1,11
1403715894.683390140533447,47,0,47,0,11
1403715894.733242273330688,47,0,46,0,11
1403715894.782614946365356,50,0,46,4,11
1403715894.832241535186768,50,4,49,0,11
1403715894.881999731063843,50,5,48,0,11
1403715894.932063102722168,49,0,47,1,11
1403715894.981852769851685,49,8,46,2,11
1403715895.031697511672974,45,22,43,0,11
1403715895.081788539886475,43,0,41,1,11
1403715895.131773710250854,42,0,41,0,11
1403715895.181716442108154,41,0,38,1,11
1403715895.231672525405884,40,5,38,1,11
1403715895.281684637069702,39,1,38,1,11
1403715895.331726312637329,36,0,34,0,11
1403715895.381814241409302,35,1,32,0,11
1403715895.432028293609619,40,2,31,7,11
1403715895.482080221176147,43,0,37,4,11
1403715895.532054424285889,42,0,37,1,11
1403715895.582108497619629,45,3,36,5,11
1403715895.632179975509644,45,19,40,3,11
1403715895.682231426239014,45,0,43,1,11
1403715895.732221841812134,47,8,38,4,11
1403715895.782210350036621,44,1,38,0,11
1403715895.832214117050171,42,0,37,3,11
1403715895.882150411605835,42,6,32,1,11
1403715895.932128429412842,42,1,12,2,11
1403715895.982115268707275,36,0,12,1,11
1403715896.032109975814819,29,1,2,16,11
1403715896.082078456878662,29,1,15,1,11
1403715896.132115840911865,22,0,6,3,11
1403715896.182109594345093,22,0,6,3,11
1403715896.232085943222046,22,0,8,10,11
1403715896.281989812850952,21,0,13,2,11
1403715896.331934213638306,21,0,14,1,11
1403715896.381967067718506,18,0,14,2,11
1403715896.431883811950684,18,0,9,1,11
1403715896.481824159622192,17,1,5,0,11
1403715896.531810522079468,17,0,3,7,11
1403715896.581806898117065,17,0,9,5,11
1403715896.631695747375488,22,0,14,7,11
1403715896.681654930114746,22,1,20,1,11
1403715896.731698989868164,28,2,18,6,11
1403715896.781817674636841,29,0,10,1,11
1403715896.832105636596680,37,16,25,12,11
1403715896.882135391235352,38,0,37,1,11
1403715896.932166814804077,45,0,36,7,11
1403715896.982216358184814,48,0,43,3,11
1403715897.032339096069336,48,2,45,2,11
1403715897.082790851593018,50,12,46,2,11
1403715897.132993221282959,49,0,44,0,11
1403715897.183167219161987,50,0,45,2,11
1403715897.233153820037842,48,0,46,2,11
1403715897.283118247985840,48,2,46,0,11
1403715897.333237171173096,47,2,43,1,11
1403715897.383150339126587,46,5,42,3,11
1403715897.433286190032959,46,17,40,2,11
1403715897.483251571655273,45,1,40,0,11
1403715897.533235073089600,40,4,38,1,11
1403715897.583394050598145,40,1,35,1,11
1403715897.633482217788696,40,4,34,0,11
1403715897.683457851409912,45,0,34,9,11
1403715897.733440876007080,43,4,41,2,11
1403715897.783423185348511,41,3,39,0,11
1403715897.833394050598145,41,1,36,2,11
1403715897.883373022079468,44,5,36,5,11
1403715897.933380126953125,42,3,36,0,11
1403715897.983407497406006,39,2,34,1,11
1403715898.033464431762695,42,17,32,8,11
1403715898.083456516265869,38,3,36,0,11
1403715898.133481502532959,36,7,29,0,11
1403715898.183485269546509,30,4,27,1,11
1403715898.233469486236572,27,6,24,0,11
1403715898.283440113067627,25,9,23,0,11
1403715898.333417654037476,28,4,23,5,11
1403715898.383422851562500,28,1,26,0,11
1403715898.433426141738892,27,7,20,0,11
1403715898.483434200286865,21,4,17,2,11
1403715898.533455371856689,19,9,18,0,11
1403715898.583398342132568,22,8,18,3,11
1403715898.633350133895874,31,5,21,10,11
1403715898.683325290679932,27,2,25,0,11
1403715898.733263254165649,29,6,21,4,11
1403715898.783247947692871,19,7,14,2,11
1403715898.833202600479126,19,1,13,2,11
1403715898.883187294006348,17,1,15,1,11
1403715898.933207750320435,22,4,16,6,11
1403715898.983164548873901,26,2,20,4,11
1403715899.033170938491821,27,3,5,2,11
1403715899.083086729049683,29,7,6,7,11
1403715899.133033990859985,18,7,9,3,11
1403715899.183007240295410,18,8,12,3,11
1403715899.232986211776733,16,2,11,2,11
1403715899.282965660095215,21,5,13,8,11
1403715899.332975625991821,21,8,21,0,11
1403715899.383049726486206,32,5,13,11,11
1403715899.433083057403564,31,3,18,3,11
1403715899.483182430267334,27,4,14,2,11
1403715899.533195018768311,27,1,4,6,11
1403715899.583201169967651,24,4,9,2,11
1403715899.633326292037964,26,2,10,14,11
1403715899.683322668075562,25,2,21,0,11
1403715899.733443737030029,37,3,8,12,11
1403715899.783463954925537,35,4,22,3,11
1403715899.833522796630859,42,1,24,13,11
1403715899.883541345596313,38,4,36,2,11
1403715899.933565616607666,37,1,35,2,11
1403715899.983664989471436,37,3,34,3,11
1403715900.033742427825928,36,3,35,0,11
1403715900.083775758743286,37,1,34,2,11
1403715900.133852243423462,39,1,33,3,11
1403715900.183910608291626,36,1,28,1,11
1403715900.233980178833008,40,1,29,6,11
1403715900.284078121185303,37,0,29,3,11
1403715900.334043979644775,38,1,30,5,11
1403715900.384032726287842,38,1,35,3,11
1403715900.434124231338501,37,3,35,1,11
1403715900.484131574630737,38,4,32,5,11
1403715900.534139156341553,38,5,31,6,11
1403715900.584121465682983,40,8,22,7,11
1403715900.634017229080200,38,3,26,2,11
1403715900.683934450149536,29,2,21,5,11
1403715900.733902931213379,27,2,21,2,11
1403715900.783871412277222,27,1,18,5,11
1403715900.833864450454712,25,2,20,0,11
1403715900.883856773376465,24,1,19,3,11
1403715900.933845043182373,22,2,22,0,11
1403715900.983856439590454,22,4,22,0,11
1403715901.033864974975586,22,4,20,1,11
1403715901.083861351013184,22,5,17,2,11
1403715901.133844852447510,22,7,20,1,11
1403715901.183841705322266,23,1,16,2,11
1403715901.233842611312866,25,1,13,3,11
1403715901.283845901489258,26,0,14,7,11
1403715901.333845376968384,26,1,18,3,11
1403715901.383860826492310,27,2,19,3,11
1403715901.433868885040283,28,1,22,4,11
1403715901.483854293823242,26,3,22,0,11
1403715901.533804655075073,27,1,21,1,11
1403715901.583747625350952,26,0,21,3,11
1403715901.633714914321899,27,3,24,2,11
