# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.792396783828735,0.00391,0.00010,0.00056,0.00000,0.00000,0.00123,0.00580
1403715893.840613603591919,0.00484,0.00011,0.00212,0.00000,0.00286,0.00154,0.01147
1403715893.887275934219360,0.00428,0.00009,0.00002,0.00061,0.00000,0.00116,0.00617
1403715893.935072183609009,0.00380,0.00012,0.00003,0.00059,0.00000,0.00132,0.00587
1403715893.984223365783691,0.00398,0.00013,0.00015,0.00061,0.00000,0.00134,0.00622
1403715894.033799886703491,0.00374,0.00011,0.00003,0.00062,0.00000,0.00134,0.00584
1403715894.083665847778320,0.00398,0.00011,0.00025,0.00062,0.00000,0.00133,0.00628
1403715894.133062601089478,0.00327,0.00012,0.00037,0.00060,0.00000,0.00188,0.00623
1403715894.183307647705078,0.00332,0.00012,0.00028,0.00054,0.00175,0.00132,0.00732
1403715894.232727050781250,0.00358,0.00011,0.00029,0.00082,0.00112,0.00131,0.00722
1403715894.283112525939941,0.00444,0.00013,0.00008,0.00072,0.00345,0.00156,0.01038
1403715894.333037137985229,0.00371,0.00013,0.00060,0.00150,0.00052,0.00130,0.00777
1403715894.383890390396118,0.00404,0.00013,0.00086,0.00123,0.00211,0.00238,0.01076
1403715894.435209751129150,0.00346,0.00015,0.01018,0.00148,0.00980,0.00160,0.02666
1403715894.485712528228760,0.00329,0.00016,0.00029,0.00297,0.00471,0.00136,0.01279
1403715894.535550832748413,0.00346,0.00016,0.00005,0.00379,0.00000,0.00129,0.00875
1403715894.585200071334839,0.00346,0.00033,0.00002,0.00358,0.00033,0.00212,0.00985
1403715894.635102510452271,0.00413,0.00021,0.00005,0.00336,0.00001,0.00138,0.00914
1403715894.685031414031982,0.00418,0.00020,0.00041,0.00346,0.00001,0.00224,0.01050
1403715894.734623670578003,0.00435,0.00016,0.00026,0.00292,0.00107,0.00216,0.01092
1403715894.784204721450806,0.00382,0.00017,0.00008,0.00147,0.00017,0.00165,0.00736
1403715894.833258390426636,0.00398,0.00017,0.00359,0.00243,0.00325,0.00137,0.01479
1403715894.883049488067627,0.00371,0.00019,0.00053,0.00177,0.00032,0.00151,0.00803
1403715894.932934522628784,0.00419,0.00016,0.00035,0.00211,0.00179,0.00163,0.01022
1403715894.982860088348389,0.00506,0.00017,0.00005,0.00225,0.00140,0.00237,0.01129
1403715895.032380819320679,0.00382,0.00015,0.00815,0.00203,0.00349,0.00140,0.01904
1403715895.082329273223877,0.00382,0.00016,0.00017,0.00246,0.00000,0.00139,0.00801
