# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.792994737625122,0.00344,0.00009,0.00058,0.00000,0.00000,0.00134,0.00546
1403715893.838584899902344,0.00353,0.00011,0.00219,0.00000,0.00271,0.00138,0.00991
1403715893.888765573501587,0.00323,0.00011,0.00002,0.00057,0.00000,0.00136,0.00529
1403715893.938806056976318,0.00292,0.00013,0.00003,0.00052,0.00000,0.00142,0.00502
1403715893.989141225814819,0.00268,0.00013,0.00014,0.00054,0.00000,0.00147,0.00496
1403715894.039253234863281,0.00281,0.00014,0.00019,0.00060,0.00000,0.00142,0.00515
1403715894.087792158126831,0.00288,0.00013,0.00026,0.00062,0.00000,0.00140,0.00529
1403715894.136021614074707,0.00235,0.00011,0.00011,0.00060,0.00000,0.00142,0.00459
1403715894.184924125671387,0.00294,0.00013,0.00021,0.00054,0.00187,0.00145,0.00714
1403715894.234629869461060,0.00340,0.00015,0.00033,0.00081,0.00113,0.00142,0.00723
1403715894.284640550613403,0.00370,0.00013,0.00023,0.00107,0.00268,0.00150,0.00931
1403715894.334762096405029,0.00273,0.00013,0.00037,0.00111,0.00011,0.00149,0.00593
1403715894.384447336196899,0.00299,0.00015,0.00052,0.00124,0.00198,0.00164,0.00853
1403715894.433143615722656,0.00310,0.00015,0.00909,0.00158,0.01066,0.00152,0.02609
1403715894.482786655426025,0.00244,0.00015,0.00006,0.00285,0.00382,0.00142,0.01074
1403715894.532184123992920,0.00353,0.00016,0.00025,0.00306,0.00000,0.00145,0.00845
1403715894.582040786743164,0.00315,0.00017,0.00011,0.00332,0.00226,0.00153,0.01054
1403715894.632046222686768,0.00312,0.00018,0.00032,0.00356,0.00000,0.00150,0.00869
1403715894.682087898254395,0.00247,0.00020,0.00001,0.00283,0.00000,0.00147,0.00698
1403715894.731545686721802,0.00253,0.00017,0.00027,0.00259,0.00100,0.00145,0.00801
1403715894.781007528305054,0.00245,0.00017,0.00046,0.00265,0.00115,0.00138,0.00826
1403715894.830600738525391,0.00238,0.00019,0.00167,0.00351,0.00339,0.00149,0.01264
1403715894.880542755126953,0.00304,0.00019,0.00001,0.00396,0.00058,0.00156,0.00935
1403715894.930481433868408,0.00314,0.00017,0.00195,0.00407,0.00014,0.00166,0.01114
1403715894.980502128601074,0.00256,0.00018,0.00006,0.00402,0.00060,0.00158,0.00900
1403715895.030331611633301,0.00251,0.00018,0.01024,0.00339,0.00020,0.00153,0.01805
1403715895.080413579940796,0.00253,0.00019,0.00010,0.00342,0.00051,0.00150,0.00825
1403715895.130480527877808,0.00250,0.00018,0.00012,0.00319,0.00000,0.00143,0.00741
1403715895.180611848831177,0.00255,0.00018,0.00007,0.00275,0.00001,0.00140,0.00696
1403715895.230815410614014,0.00249,0.00016,0.00037,0.00257,0.00000,0.00140,0.00699
1403715895.280850648880005,0.00386,0.00016,0.00046,0.00258,0.00037,0.00152,0.00895
1403715895.331004619598389,0.00256,0.00015,0.00115,0.00232,0.00000,0.00146,0.00764
1403715895.381155014038086,0.00307,0.00016,0.00001,0.00126,0.00151,0.00154,0.00755
1403715895.431305408477783,0.00266,0.00015,0.00069,0.00105,0.00105,0.00145,0.00706
1403715895.481380701065063,0.00250,0.00016,0.00039,0.00066,0.00512,0.00160,0.01044
1403715895.531366348266602,0.00303,0.00020,0.00015,0.00081,0.00183,0.00151,0.00753
1403715895.581331253051758,0.00246,0.00015,0.00019,0.00048,0.00062,0.00147,0.00538
1403715895.631317138671875,0.00340,0.00015,0.00189,0.00047,0.00314,0.00153,0.01058
1403715895.681392908096313,0.00280,0.00014,0.00018,0.00064,0.00063,0.00155,0.00593
1403715895.731467723846436,0.00291,0.00013,0.00015,0.00066,0.00047,0.00147,0.00579
1403715895.781477212905884,0.00363,0.00013,0.00020,0.00082,0.00044,0.00158,0.00680
1403715895.831458568572998,0.00266,0.00013,0.00006,0.00061,0.00188,0.00147,0.00680
1403715895.881483316421509,0.00288,0.00015,0.00054,0.00041,0.00027,0.00147,0.00573
1403715895.931497335433960,0.00340,0.00015,0.00031,0.00029,0.00053,0.00155,0.00622
1403715895.981497764587402,0.00246,0.00015,0.00017,0.00063,0.00030,0.00149,0.00521
1403715896.031489610671997,0.00256,0.00014,0.00030,0.00046,0.00038,0.00149,0.00532
1403715896.081461668014526,0.00252,0.00015,0.00011,0.00049,0.00109,0.00150,0.00587
1403715896.131480216979980,0.00242,0.00014,0.00012,0.00039,0.00069,0.00146,0.00523
1403715896.181463956832886,0.00245,0.00015,0.00014,0.00037,0.00287,0.00144,0.00742
1403715896.231443643569946,0.00255,0.00013,0.00006,0.00033,0.00405,0.00149,0.00860
1403715896.281538724899292,0.00256,0.00012,0.00010,0.00026,0.00212,0.00154,0.00670
1403715896.331559658050537,0.00324,0.00014,0.00040,0.00047,0.00030,0.00152,0.00606
1403715896.381556987762451,0.00364,0.00012,0.00019,0.00020,0.00019,0.00148,0.00583
1403715896.431541919708252,0.00367,0.00014,0.00016,0.00028,0.00267,0.00153,0.00845
1403715896.481518507003784,0.00408,0.00016,0.00021,0.00032,0.00072,0.00161,0.00710
1403715896.531489849090576,0.00250,0.00016,0.00006,0.00069,0.00019,0.00151,0.00512
1403715896.581479787826538,0.00269,0.00014,0.00030,0.00032,0.00018,0.00145,0.00508
1403715896.631488561630249,0.00263,0.00014,0.00026,0.00019,0.00041,0.00150,0.00514
1403715896.681368350982666,0.00259,0.00011,0.00028,0.00017,0.00158,0.00150,0.00623
1403715896.731372356414795,0.00256,0.00012,0.00008,0.00036,0.00086,0.00159,0.00556
