# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.791134595870972,0.00360,0.00010,0.00059,0.00000,0.00000,0.00122,0.00551
1403715893.836188793182373,0.00470,0.00010,0.00210,0.00000,0.00555,0.00119,0.01364
1403715893.884598493576050,0.00343,0.00011,0.00002,0.00163,0.00000,0.00115,0.00635
1403715893.932852983474731,0.00378,0.00014,0.00004,0.00165,0.00000,0.00123,0.00684
1403715893.982932090759277,0.00367,0.00013,0.00024,0.00158,0.00000,0.00132,0.00694
1403715894.033036947250366,0.00485,0.00014,0.00009,0.00167,0.00000,0.00126,0.00801
1403715894.083140611648560,0.00435,0.00015,0.00046,0.00161,0.00000,0.00139,0.00797
1403715894.134564638137817,0.00348,0.00013,0.00013,0.00172,0.00000,0.00134,0.00680
1403715894.187634706497192,0.00368,0.00013,0.00044,0.00135,0.00173,0.00144,0.00877
1403715894.237624883651733,0.00376,0.00014,0.00012,0.00194,0.00140,0.00149,0.00885
1403715894.287906408309937,0.00459,0.00014,0.00017,0.00181,0.00333,0.00150,0.01154
1403715894.338490009307861,0.00408,0.00014,0.00044,0.00219,0.00012,0.00154,0.00850
1403715894.389430046081543,0.00373,0.00014,0.00080,0.00173,0.00273,0.00166,0.01079
1403715894.440971851348877,0.00404,0.00017,0.00930,0.00255,0.00117,0.00175,0.01898
1403715894.491156816482544,0.00375,0.00015,0.00008,0.00265,0.00369,0.00134,0.01165
1403715894.541038990020752,0.00353,0.00014,0.00004,0.00330,0.00000,0.00172,0.00873
1403715894.591147184371948,0.00405,0.00015,0.00220,0.00170,0.00384,0.00138,0.01331
1403715894.641133785247803,0.00366,0.00019,0.00005,0.00089,0.00020,0.00156,0.00655
1403715894.691101074218750,0.00395,0.00018,0.00052,0.00036,0.00084,0.00127,0.00713
1403715894.740858554840088,0.00365,0.00014,0.00041,0.00053,0.00129,0.00157,0.00758
1403715894.790667533874512,0.00409,0.00016,0.00035,0.00046,0.00009,0.00137,0.00652
1403715894.840565919876099,0.00370,0.00012,0.00010,0.00031,0.00083,0.00159,0.00663
1403715894.890564203262329,0.00389,0.00014,0.00011,0.00016,0.00080,0.00137,0.00646
1403715894.940515279769897,0.00467,0.00012,0.00019,0.00031,0.00031,0.00162,0.00723
1403715894.990520715713501,0.00433,0.00012,0.00020,0.00021,0.00150,0.00138,0.00774
1403715895.040529251098633,0.00393,0.00013,0.00028,0.00027,0.00427,0.00162,0.01049
1403715895.090516567230225,0.00421,0.00014,0.00018,0.00018,0.00059,0.00146,0.00675
1403715895.140431165695190,0.00375,0.00013,0.00011,0.00036,0.00015,0.00163,0.00614
1403715895.190434694290161,0.00404,0.00011,0.00018,0.00020,0.00061,0.00138,0.00653
1403715895.240471124649048,0.00356,0.00010,0.00024,0.00027,0.00016,0.00162,0.00596
1403715895.290412664413452,0.00520,0.00011,0.00035,0.00028,0.00117,0.00140,0.00851
1403715895.340333461761475,0.00380,0.00010,0.00029,0.00037,0.00092,0.00166,0.00715
1403715895.390333414077759,0.00399,0.00011,0.00011,0.00013,0.00047,0.00136,0.00617
1403715895.440333843231201,0.00387,0.00011,0.00025,0.00009,0.00123,0.00168,0.00723
1403715895.490334510803223,0.00593,0.00012,0.00028,0.00005,0.00231,0.00147,0.01015
1403715895.540349245071411,0.00424,0.00014,0.00012,0.00033,0.00004,0.00170,0.00656
1403715895.590349674224854,0.00454,0.00011,0.00015,0.00008,0.00102,0.00149,0.00740
1403715895.640349149703979,0.00404,0.00012,0.00009,0.00011,0.00375,0.00175,0.00987
1403715895.690349102020264,0.00441,0.00011,0.00015,0.00008,0.00045,0.00150,0.00669
1403715895.740370512008667,0.00411,0.00011,0.00017,0.00027,0.00032,0.00167,0.00665
1403715895.790370464324951,0.00452,0.00010,0.00007,0.00011,0.00029,0.00144,0.00653
1403715895.840370416641235,0.00393,0.00012,0.00011,0.00013,0.00122,0.00166,0.00716
1403715895.890371561050415,0.00448,0.00013,0.00018,0.00004,0.00131,0.00144,0.00757
1403715895.940371036529541,0.00393,0.00011,0.00035,0.00010,0.00089,0.00161,0.00699
1403715895.990370988845825,0.00404,0.00013,0.00001,0.00013,0.00051,0.00143,0.00625
1403715896.040372610092163,0.00389,0.00010,0.00031,0.00003,0.00450,0.00183,0.01067
1403715896.090372800827026,0.00417,0.00011,0.00005,0.00009,0.00139,0.00146,0.00727
1403715896.140372753143311,0.00378,0.00010,0.00001,0.00011,0.00004,0.00167,0.00572
1403715896.190374135971069,0.00410,0.00014,0.00009,0.00005,0.00079,0.00139,0.00655
1403715896.240374088287354,0.00388,0.00010,0.00009,0.00010,0.00350,0.00163,0.00930
1403715896.290374279022217,0.00422,0.00010,0.00001,0.00011,0.00000,0.00141,0.00586
1403715896.340374708175659,0.00390,0.00011,0.00016,0.00005,0.00042,0.00164,0.00628
1403715896.390374660491943,0.00623,0.00011,0.00016,0.00007,0.00022,0.00148,0.00827
1403715896.440374612808228,0.00440,0.00012,0.00008,0.00009,0.00035,0.00173,0.00678
1403715896.490374565124512,0.00520,0.00014,0.00019,0.00004,0.00103,0.00143,0.00803
1403715896.540374755859375,0.00426,0.00011,0.00008,0.00007,0.00028,0.00175,0.00655
1403715896.590374708175659,0.00462,0.00013,0.00011,0.00008,0.00008,0.00149,0.00652
1403715896.640374660491943,0.00408,0.00013,0.00012,0.00005,0.00257,0.00166,0.00862
1403715896.690374851226807,0.00436,0.00010,0.00017,0.00005,0.00048,0.00146,0.00662
1403715896.740374803543091,0.00394,0.00011,0.00004,0.00009,0.00000,0.00174,0.00592
1403715896.790374994277954,0.00416,0.00013,0.00009,0.00005,0.00028,0.00148,0.00619
1403715896.840375185012817,0.00397,0.00013,0.00005,0.00007,0.00234,0.00168,0.00823
