# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.793679714202881,0.00387,0.00011,0.00057,0.00000,0.00000,0.00129,0.00584
1403715893.838473558425903,0.00517,0.00010,0.00209,0.00000,0.00370,0.00160,0.01265
1403715893.890320062637329,0.00365,0.00011,0.00002,0.00099,0.00000,0.00125,0.00601
1403715893.940989494323730,0.00454,0.00014,0.00004,0.00100,0.00000,0.00126,0.00698
1403715893.991354465484619,0.00446,0.00014,0.00009,0.00091,0.00000,0.00127,0.00686
1403715894.042029380798340,0.00408,0.00012,0.00017,0.00092,0.00000,0.00128,0.00657
1403715894.091415643692017,0.00438,0.00014,0.00010,0.00089,0.00001,0.00128,0.00679
1403715894.139242410659790,0.00387,0.00012,0.00006,0.00094,0.00000,0.00135,0.00634
1403715894.187380313873291,0.00431,0.00012,0.00021,0.00084,0.00126,0.00136,0.00810
1403715894.235983848571777,0.00441,0.00012,0.00051,0.00104,0.00114,0.00132,0.00854
1403715894.285638332366943,0.00394,0.00014,0.00028,0.00125,0.00240,0.00136,0.00936
1403715894.335598945617676,0.00357,0.00014,0.00043,0.00172,0.00003,0.00131,0.00720
1403715894.386162757873535,0.00419,0.00015,0.00083,0.00173,0.00169,0.00205,0.01064
1403715894.436394929885864,0.00366,0.00015,0.00804,0.00187,0.00925,0.00168,0.02465
1403715894.486784934997559,0.00340,0.00016,0.00007,0.00280,0.00367,0.00183,0.01193
1403715894.537081956863403,0.00342,0.00016,0.00011,0.00317,0.00000,0.00133,0.00819
1403715894.587095975875854,0.00345,0.00016,0.00042,0.00312,0.00318,0.00143,0.01176
1403715894.637123584747314,0.00343,0.00018,0.00011,0.00351,0.00028,0.00131,0.00882
1403715894.686956405639648,0.00338,0.00018,0.00001,0.00383,0.00059,0.00158,0.00957
1403715894.736268281936646,0.00412,0.00016,0.00121,0.00328,0.00069,0.00209,0.01154
1403715894.785756349563599,0.00355,0.00018,0.00090,0.00307,0.00009,0.00149,0.00928
1403715894.835341930389404,0.00358,0.00016,0.00318,0.00370,0.00145,0.00141,0.01348
1403715894.885095834732056,0.00429,0.00019,0.00007,0.00367,0.00219,0.00167,0.01208
1403715894.935077190399170,0.00378,0.00018,0.00413,0.00400,0.00018,0.00148,0.01376
1403715894.985148668289185,0.00377,0.00016,0.00022,0.00195,0.00056,0.00147,0.00813
1403715895.035154819488525,0.00375,0.00017,0.00850,0.00236,0.00152,0.00137,0.01766
1403715895.085237979888916,0.00505,0.00018,0.00019,0.00305,0.00063,0.00147,0.01056
1403715895.135201692581177,0.00425,0.00017,0.00051,0.00288,0.00001,0.00139,0.00920
1403715895.184916973114014,0.00384,0.00015,0.00010,0.00274,0.00000,0.00140,0.00823
1403715895.234893560409546,0.00397,0.00015,0.00047,0.00273,0.00000,0.00139,0.00871
1403715895.284884929656982,0.00390,0.00014,0.00020,0.00264,0.00448,0.00168,0.01304
1403715895.334785699844360,0.00364,0.00016,0.00016,0.00302,0.00151,0.00189,0.01038
1403715895.384804487228394,0.00390,0.00015,0.00030,0.00304,0.00102,0.00175,0.01016
1403715895.435130357742310,0.00393,0.00015,0.00430,0.00364,0.00375,0.00142,0.01720
1403715895.485149860382080,0.00369,0.00016,0.00020,0.00338,0.00076,0.00161,0.00979
1403715895.535136938095093,0.00384,0.00017,0.00296,0.00444,0.00190,0.00138,0.01468
1403715895.585161924362183,0.00358,0.00016,0.00066,0.00473,0.00000,0.00155,0.01069
1403715895.635305404663086,0.00369,0.00018,0.01364,0.00412,0.00020,0.00140,0.02321
1403715895.685322761535645,0.00350,0.00017,0.00167,0.00430,0.00161,0.00133,0.01258
1403715895.735272645950317,0.00387,0.00018,0.00052,0.00427,0.00000,0.00256,0.01141
1403715895.785266876220703,0.00380,0.00017,0.00032,0.00410,0.00000,0.00205,0.01045
1403715895.835229158401489,0.00350,0.00017,0.00008,0.00386,0.00017,0.00196,0.00974
1403715895.885207176208496,0.00369,0.00018,0.00013,0.00305,0.00028,0.00133,0.00865
1403715895.935263156890869,0.00359,0.00017,0.00009,0.00384,0.00028,0.00145,0.00943
1403715895.985262393951416,0.00598,0.00018,0.00039,0.00236,0.00035,0.00151,0.01077
1403715896.035278797149658,0.00509,0.00018,0.00218,0.00289,0.00447,0.00140,0.01621
1403715896.085286378860474,0.00415,0.00014,0.00022,0.00298,0.00015,0.00198,0.00962
1403715896.135275602340698,0.00455,0.00015,0.00031,0.00287,0.00266,0.00148,0.01201
1403715896.185299873352051,0.00396,0.00016,0.00013,0.00318,0.00025,0.00141,0.00908
1403715896.235657453536987,0.00393,0.00015,0.01056,0.00339,0.00315,0.00149,0.02266
1403715896.285561084747314,0.00407,0.00015,0.00019,0.00358,0.00105,0.00217,0.01122
1403715896.335368871688843,0.00398,0.00015,0.00048,0.00283,0.00051,0.00136,0.00932
1403715896.385318756103516,0.00396,0.00015,0.00010,0.00320,0.00014,0.00146,0.00901
1403715896.435318231582642,0.00374,0.00015,0.00011,0.00420,0.00085,0.00139,0.01044
1403715896.485270500183105,0.00383,0.00018,0.00044,0.00302,0.00014,0.00139,0.00900
1403715896.535297870635986,0.00380,0.00015,0.00521,0.00403,0.00410,0.00138,0.01867
1403715896.585307121276855,0.00507,0.00020,0.00059,0.00349,0.00027,0.00172,0.01134
1403715896.635341882705688,0.00425,0.00018,0.00009,0.00347,0.00142,0.00197,0.01137
1403715896.685360908508301,0.00377,0.00014,0.00016,0.00372,0.00107,0.00216,0.01102
