# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715893.775182962417603,0.00242,0.00014,0.00051,0.00000,0.00000,0.00131,0.00438
1403715893.833132028579712,0.00371,0.00008,0.00196,0.00000,0.00332,0.00133,0.01039
1403715893.886466741561890,0.00245,0.00011,0.00002,0.00080,0.00000,0.00127,0.00465
1403715893.938833951950073,0.00278,0.00015,0.00004,0.00081,0.00000,0.00141,0.00520
1403715893.988208770751953,0.00214,0.00013,0.00011,0.00074,0.00000,0.00137,0.00449
1403715894.038688659667969,0.00300,0.00013,0.00004,0.00042,0.00000,0.00141,0.00501
1403715894.092229843139648,0.00256,0.00013,0.00038,0.00047,0.00009,0.00137,0.00500
1403715894.142050981521606,0.00383,0.00012,0.00016,0.00046,0.00026,0.00140,0.00622
1403715894.190618753433228,0.00260,0.00012,0.00005,0.00073,0.00201,0.00140,0.00691
1403715894.241134643554688,0.00325,0.00012,0.00018,0.00106,0.00108,0.00143,0.00712
1403715894.291302919387817,0.00324,0.00012,0.00007,0.00114,0.00311,0.00141,0.00908
1403715894.341270208358765,0.00431,0.00014,0.00028,0.00113,0.00022,0.00140,0.00749
1403715894.391115903854370,0.00375,0.00014,0.00049,0.00173,0.00171,0.00151,0.00933
1403715894.438802003860474,0.00356,0.00015,0.00833,0.00173,0.00752,0.00144,0.02272
1403715894.488485336303711,0.00246,0.00014,0.00005,0.00281,0.00386,0.00148,0.01081
1403715894.538061618804932,0.00288,0.00017,0.00009,0.00355,0.00001,0.00138,0.00809
1403715894.587611675262451,0.00245,0.00016,0.00001,0.00331,0.00329,0.00147,0.01070
1403715894.637571334838867,0.00260,0.00021,0.00001,0.00382,0.00000,0.00151,0.00817
1403715894.687229156494141,0.00256,0.00019,0.00008,0.00344,0.00125,0.00151,0.00903
1403715894.736773967742920,0.00339,0.00017,0.00041,0.00182,0.00014,0.00146,0.00739
1403715894.786537170410156,0.00383,0.00015,0.00019,0.00099,0.00036,0.00140,0.00693
1403715894.836019754409790,0.00337,0.00019,0.00060,0.00095,0.00521,0.00157,0.01189
1403715894.885883808135986,0.00261,0.00017,0.00046,0.00218,0.00164,0.00143,0.00849
1403715894.935897350311279,0.00258,0.00017,0.00007,0.00328,0.00099,0.00151,0.00860
1403715894.985924959182739,0.00261,0.00015,0.00009,0.00316,0.00024,0.00146,0.00771
1403715895.035729885101318,0.00247,0.00015,0.00502,0.00228,0.00342,0.00141,0.01475
1403715895.085767030715942,0.00448,0.00017,0.00011,0.00145,0.00015,0.00161,0.00796
1403715895.135756731033325,0.00290,0.00017,0.00077,0.00152,0.00133,0.00146,0.00815
1403715895.185757160186768,0.00281,0.00016,0.00027,0.00172,0.00073,0.00148,0.00716
1403715895.235742807388306,0.00264,0.00014,0.00032,0.00243,0.00000,0.00150,0.00703
1403715895.285671234130859,0.00280,0.00015,0.00043,0.00206,0.00038,0.00144,0.00725
1403715895.335657358169556,0.00257,0.00016,0.00017,0.00220,0.00150,0.00144,0.00804
1403715895.385693311691284,0.00256,0.00015,0.00003,0.00216,0.00024,0.00155,0.00669
1403715895.435807466506958,0.00262,0.00013,0.00073,0.00184,0.00067,0.00145,0.00744
1403715895.485826492309570,0.00262,0.00016,0.00009,0.00136,0.00109,0.00148,0.00679
1403715895.535810470581055,0.00257,0.00015,0.00014,0.00163,0.00099,0.00148,0.00697
1403715895.585866689682007,0.00289,0.00014,0.00065,0.00187,0.00190,0.00164,0.00909
1403715895.635872840881348,0.00264,0.00015,0.00940,0.00243,0.00606,0.00150,0.02218
1403715895.685908794403076,0.00240,0.00015,0.00007,0.00305,0.00024,0.00145,0.00737
1403715895.735907554626465,0.00260,0.00015,0.00010,0.00303,0.00050,0.00139,0.00777
1403715895.785899639129639,0.00260,0.00015,0.00013,0.00287,0.00032,0.00139,0.00747
1403715895.835908889770508,0.00259,0.00015,0.00037,0.00293,0.00013,0.00153,0.00770
1403715895.885917186737061,0.00325,0.00019,0.00051,0.00274,0.00013,0.00149,0.00832
1403715895.935911178588867,0.00254,0.00016,0.00130,0.00261,0.00040,0.00154,0.00856
1403715895.985929012298584,0.00380,0.00015,0.00032,0.00269,0.00020,0.00152,0.00869
1403715896.035926818847656,0.00298,0.00016,0.00035,0.00284,0.00246,0.00162,0.01042
1403715896.085924625396729,0.00285,0.00016,0.00017,0.00296,0.00128,0.00161,0.00903
1403715896.135962486267090,0.00264,0.00016,0.00031,0.00340,0.00122,0.00165,0.00938
1403715896.185975551605225,0.00259,0.00021,0.00009,0.00339,0.00025,0.00146,0.00800
1403715896.235987186431885,0.00270,0.00019,0.01103,0.00318,0.00295,0.00148,0.02152
1403715896.285860061645508,0.00265,0.00016,0.00010,0.00270,0.00000,0.00147,0.00708
1403715896.335788726806641,0.00277,0.00015,0.00098,0.00118,0.00000,0.00138,0.00648
1403715896.385784864425659,0.00253,0.00017,0.00023,0.00129,0.00140,0.00148,0.00709
1403715896.435768127441406,0.00259,0.00017,0.00034,0.00212,0.00091,0.00162,0.00775
1403715896.485711097717285,0.00250,0.00017,0.00093,0.00292,0.00000,0.00144,0.00797
1403715896.535677194595337,0.00359,0.00015,0.00173,0.00271,0.00745,0.00146,0.01709
1403715896.585765361785889,0.00272,0.00017,0.00034,0.00308,0.00031,0.00142,0.00804
1403715896.635908365249634,0.00290,0.00018,0.00077,0.00340,0.00038,0.00148,0.00911
1403715896.685958623886108,0.00273,0.00017,0.00025,0.00330,0.00001,0.00151,0.00797
1403715896.736111879348755,0.00266,0.00015,0.00030,0.00210,0.00001,0.00150,0.00672
1403715896.786112070083618,0.00274,0.00016,0.00029,0.00029,0.00028,0.00145,0.00521
1403715896.836457967758179,0.00260,0.00015,0.00582,0.00033,0.00571,0.00145,0.01607
1403715896.886456727981567,0.00251,0.00016,0.00049,0.00072,0.00136,0.00148,0.00673
1403715896.936498641967773,0.00238,0.00014,0.00014,0.00261,0.00000,0.00147,0.00676
1403715896.986499547958374,0.00239,0.00015,0.00027,0.00252,0.00036,0.00139,0.00708
1403715897.036524534225464,0.00267,0.00019,0.00006,0.00252,0.00020,0.00143,0.00708
1403715897.086624145507812,0.00249,0.00014,0.00065,0.00241,0.00191,0.00139,0.00899
1403715897.136815071105957,0.00308,0.00016,0.00016,0.00237,0.00179,0.00146,0.00903
1403715897.186973810195923,0.00247,0.00014,0.00002,0.00261,0.00000,0.00144,0.00669
1403715897.237107992172241,0.00250,0.00017,0.00014,0.00247,0.00023,0.00137,0.00688
1403715897.287203550338745,0.00238,0.00016,0.00045,0.00262,0.00046,0.00138,0.00746
1403715897.337238550186157,0.00323,0.00017,0.00030,0.00215,0.00047,0.00148,0.00780
1403715897.387246131896973,0.00247,0.00015,0.00115,0.00175,0.00098,0.00147,0.00797
1403715897.437353849411011,0.00227,0.00017,0.00523,0.00161,0.00616,0.00150,0.01694
1403715897.487210988998413,0.00369,0.00015,0.00044,0.00275,0.00241,0.00147,0.01091
1403715897.537038087844849,0.00256,0.00017,0.00067,0.00273,0.00001,0.00142,0.00755
1403715897.586917877197266,0.00239,0.00049,0.00036,0.00255,0.00106,0.00164,0.00851
1403715897.636792182922363,0.00286,0.00018,0.00086,0.00255,0.00039,0.00140,0.00824
1403715897.686534166336060,0.00262,0.00014,0.00064,0.00218,0.00503,0.00152,0.01213
1403715897.736394882202148,0.00279,0.00019,0.00128,0.00334,0.00194,0.00137,0.01091
1403715897.786363124847412,0.00358,0.00018,0.00068,0.00331,0.00035,0.00150,0.00960
1403715897.836339712142944,0.00268,0.00018,0.00040,0.00363,0.00000,0.00148,0.00837
1403715897.886319398880005,0.00260,0.00019,0.00115,0.00325,0.00609,0.00153,0.01481
1403715897.936305999755859,0.00246,0.00020,0.00126,0.00402,0.00015,0.00150,0.00958
1403715897.986338853836060,0.00233,0.00020,0.00068,0.00304,0.00000,0.00153,0.00778
