# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715893.793203592300415,0,15,0,0,5
1403715893.842257261276245,26,17,0,26,6
1403715893.892195701599121,26,0,26,0,7
1403715893.941823482513428,26,0,26,0,8
1403715893.992267370223999,25,0,25,0,9
1403715894.043113470077515,25,0,24,0,10
1403715894.092813730239868,25,1,25,0,11
1403715894.141219377517700,25,1,25,0,11
1403715894.189908742904663,30,0,24,6,11
1403715894.239265441894531,32,1,30,2,11
1403715894.289047718048096,37,0,32,5,11
1403715894.338584661483765,36,0,30,0,11
1403715894.388356924057007,38,2,32,3,11
1403715894.437563419342041,40,21,33,5,11
1403715894.487190485000610,40,0,36,3,11
1403715894.536793231964111,40,0,39,0,11
1403715894.586705684661865,41,0,37,2,11
1403715894.636756181716919,41,0,30,0,11
1403715894.686640262603760,41,0,31,2,11
1403715894.736269474029541,42,0,29,9,11
1403715894.785833120346069,41,0,38,0,11
1403715894.835512399673462,44,0,30,4,11
1403715894.885386943817139,44,0,32,4,11
1403715894.935363292694092,45,3,29,7,11
1403715894.985522270202637,48,1,19,5,11
1403715895.035686492919922,43,14,20,4,11
1403715895.085883378982544,40,2,21,13,11
1403715895.136070966720581,37,0,30,1,11
1403715895.186144590377808,34,0,29,0,11
1403715895.236203670501709,32,1,27,3,11
1403715895.286242961883545,32,3,29,1,11
1403715895.336411714553833,31,3,25,1,11
1403715895.386535167694092,31,0,20,2,11
1403715895.436682701110840,32,1,19,4,11
1403715895.486781358718872,31,0,22,5,11
1403715895.536921024322510,31,1,25,5,11
1403715895.587008237838745,32,1,25,4,11
1403715895.637057304382324,34,8,24,3,11
1403715895.687161445617676,35,0,30,4,11
1403715895.737181425094604,38,0,34,4,11
1403715895.787240505218506,39,0,35,2,11
1403715895.837262868881226,39,0,33,0,11
1403715895.887273311614990,37,0,30,1,11
1403715895.937316417694092,36,0,32,2,11
1403715895.987342596054077,37,0,32,3,11
1403715896.037379264831543,45,7,35,9,11
1403715896.087429285049438,45,1,42,2,11
1403715896.137511491775513,48,1,43,3,11
1403715896.187573194503784,48,6,44,2,11
1403715896.237607717514038,48,14,46,1,11
1403715896.287780284881592,49,1,44,2,11
1403715896.337884902954102,47,0,43,0,11
1403715896.388047218322754,47,0,36,2,11
1403715896.438248872756958,44,0,26,0,11
1403715896.488406658172607,45,0,15,7,11
1403715896.538467645645142,42,0,10,10,11
1403715896.588485717773438,40,0,15,9,11
1403715896.638634681701660,39,1,22,10,11
1403715896.688504934310913,37,0,19,3,11
1403715896.738560438156128,37,1,19,2,11
1403715896.788423776626587,34,0,11,10,11
1403715896.838440895080566,33,0,9,2,11
1403715896.888427495956421,33,1,2,10,11
1403715896.938348054885864,32,0,10,11,11
1403715896.988371610641479,31,0,9,8,11
1403715897.038427591323853,31,0,9,2,11
1403715897.088420152664185,31,0,2,12,11
1403715897.138565778732300,31,0,11,8,11
1403715897.188540220260620,31,0,11,9,11
1403715897.238590717315674,31,0,7,3,11
1403715897.288584709167480,31,1,4,8,11
1403715897.338570833206177,30,0,6,13,11
1403715897.388557434082031,30,3,15,6,11
1403715897.438488245010376,28,1,16,3,11
1403715897.488431692123413,28,2,4,4,11
1403715897.538443565368652,27,0,6,4,11
1403715897.588416576385498,26,2,10,14,11
1403715897.638319492340088,26,2,19,2,11
1403715897.688338518142700,26,0,4,0,11
1403715897.738367795944214,26,0,3,5,11
1403715897.788398504257202,28,2,7,19,11
1403715897.838246583938599,31,0,26,4,11
1403715897.888279199600220,32,2,29,3,11
1403715897.938226461410522,32,3,31,0,11
1403715897.988144159317017,34,3,27,4,11
1403715898.038068294525146,36,1,30,4,11
1403715898.088089227676392,33,10,27,1,11
1403715898.138156652450562,29,9,22,0,11
1403715898.188205480575562,22,2,18,3,11
1403715898.238285303115845,18,8,16,0,11
1403715898.288376569747925,17,1,16,0,11
1403715898.338494539260864,18,1,14,2,11
1403715898.388504981994629,19,4,8,1,11
1403715898.438561439514160,18,8,2,2,11
1403715898.488576412200928,16,8,1,6,11
1403715898.538632392883301,18,4,5,8,11
1403715898.588604688644409,19,5,8,5,11
1403715898.638522624969482,17,5,11,1,11
1403715898.688440322875977,15,5,9,1,11
1403715898.738429784774780,14,0,10,1,11
1403715898.788310289382935,18,10,8,10,11
1403715898.838262319564819,18,1,14,2,11
1403715898.888233423233032,21,4,15,3,11
1403715898.938148975372314,21,5,15,5,11
