# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403637149.987428188323975,0,5,0,0,5
1403637150.036609888076782,11,18,0,11,6
1403637150.086408853530884,9,27,9,0,7
1403637150.136347055435181,8,1,7,0,8
1403637150.186437129974365,5,4,5,0,9
1403637150.236543178558350,4,7,4,0,10
1403637150.286695003509521,4,4,3,0,11
1403637150.336674690246582,3,6,3,0,11
1403637150.386558532714844,3,13,3,0,11
1403637150.436527490615845,2,7,2,0,11
1403637150.486412048339844,2,3,2,0,11
1403637150.536418437957764,0,1,0,0,11
1403637150.587053775787354,0,4,0,0,11
1403637150.636893987655640,8,8,0,8,11
1403637150.686954498291016,8,7,8,0,11
1403637150.737001419067383,7,0,7,0,11
1403637150.787097692489624,9,2,7,2,11
1403637150.837132215499878,9,8,8,1,11
1403637150.887335538864136,15,5,8,7,11
1403637150.937428236007690,15,3,14,0,11
1403637150.987433433532715,18,2,14,3,11
1403637151.037403583526611,17,1,16,1,11
1403637151.087387561798096,17,2,17,0,11
1403637151.137370109558105,17,0,17,0,11
1403637151.187425136566162,21,3,17,4,11
1403637151.237513780593872,26,0,21,5,11
1403637151.287535429000854,26,1,26,0,11
1403637151.337591409683228,32,1,26,6,11
1403637151.387591361999512,32,0,31,1,11
1403637151.437601566314697,32,4,31,0,11
1403637151.487592697143555,37,3,31,5,11
1403637151.537555456161499,39,4,36,3,11
1403637151.587557792663574,38,4,38,0,11
1403637151.637577295303345,39,2,38,1,11
1403637151.687605619430542,42,1,39,3,11
1403637151.737593889236450,42,1,42,0,11
1403637151.787624597549438,42,0,41,0,11
1403637151.837667942047119,40,4,39,0,11
1403637151.887702941894531,37,0,36,0,11
1403637151.937745094299316,38,0,36,1,11
1403637151.987779617309570,36,1,36,0,11
1403637152.037800788879395,36,0,36,0,11
1403637152.087884426116943,36,1,35,1,11
1403637152.137987375259399,42,0,35,6,11
1403637152.187971591949463,42,0,41,0,11
1403637152.238006353378296,41,0,40,1,11
1403637152.287966489791870,43,0,40,2,11
1403637152.338013887405396,43,0,42,0,11
1403637152.388075590133667,42,0,41,0,11
1403637152.438003063201904,43,3,42,1,11
1403637152.488056421279907,45,0,42,2,11
1403637152.538031578063965,45,0,42,0,11
1403637152.588012695312500,44,0,41,1,11
1403637152.638062238693237,42,2,42,0,11
1403637152.688070535659790,42,0,42,0,11
1403637152.738109111785889,43,0,41,2,11
1403637152.788139343261719,44,0,42,1,11
1403637152.838180541992188,45,0,43,1,11
1403637152.888207435607910,44,0,44,0,11
1403637152.938199043273926,43,0,43,0,11
1403637152.988157510757446,43,1,43,0,11
1403637153.038171052932739,42,3,41,0,11
1403637153.088184595108032,44,1,40,2,11
1403637153.138155460357666,43,1,40,0,11
1403637153.188182592391968,42,0,38,1,11
1403637153.238187789916992,42,5,38,2,11
1403637153.288181304931641,40,0,39,0,11
1403637153.338178157806396,39,0,37,1,11
1403637153.388178348541260,38,0,37,0,11
1403637153.438174724578857,38,0,37,1,11
1403637153.488189697265625,38,0,38,0,11
1403637153.538207054138184,38,0,37,0,11
1403637153.588194608688354,38,0,37,0,11
1403637153.638191699981689,38,1,37,1,11
1403637153.688173770904541,38,0,38,0,11
1403637153.738217592239380,47,5,38,9,11
1403637153.788192749023438,47,0,45,0,11
1403637153.838201284408569,47,6,45,0,11
1403637153.888196706771851,46,1,45,1,11
1403637153.938214540481567,46,0,46,0,11
1403637153.988285303115845,46,0,45,0,11
1403637154.038348674774170,46,0,44,0,11
1403637154.088517665863037,45,0,44,0,11
1403637154.138586044311523,45,0,44,1,11
1403637154.188639879226685,45,0,45,0,11
1403637154.238620281219482,45,3,45,0,11
1403637154.288592338562012,45,0,45,0,11
1403637154.338594913482666,47,3,43,2,11
1403637154.388559818267822,47,0,43,0,11
1403637154.438396692276001,47,4,43,2,11
1403637154.488358497619629,44,1,42,0,11
1403637154.538356781005859,44,0,41,0,11
1403637154.588356256484985,43,0,38,1,11
1403637154.638453006744385,41,0,36,0,11
1403637154.688488006591797,38,0,33,3,11
1403637154.738493919372559,37,0,34,1,11
1403637154.788486957550049,35,0,33,0,11
1403637154.838508129119873,34,0,28,3,11
1403637154.888517856597900,33,0,28,0,11
1403637154.938571214675903,33,1,26,4,11
1403637154.988650321960449,30,1,28,0,11
1403637155.038734436035156,31,0,25,4,11
1403637155.088798761367798,28,0,25,1,11
1403637155.138871908187866,26,1,24,1,11
1403637155.188884973526001,26,1,23,2,11
1403637155.238973140716553,25,2,23,0,11
1403637155.288976907730103,24,0,21,1,11
1403637155.338955163955688,36,2,20,14,11
1403637155.388961553573608,34,0,33,0,11
1403637155.438940286636353,31,2,31,0,11
1403637155.488927364349365,31,1,31,0,11
1403637155.538887262344360,33,1,30,3,11
1403637155.588853120803833,33,0,33,0,11
1403637155.638808012008667,34,0,32,2,11
1403637155.688781976699829,34,0,33,0,11
1403637155.738772869110107,36,0,32,2,11
1403637155.788761138916016,36,0,33,1,11
1403637155.838789701461792,44,3,30,11,11
1403637155.888728618621826,41,0,39,0,11
1403637155.938707113265991,40,1,37,2,11
1403637155.988707065582275,40,0,38,1,11
1403637156.038721561431885,37,1,35,0,11
1403637156.088736057281494,30,0,28,0,11
1403637156.138743400573730,29,0,26,1,11
1403637156.188739538192749,26,0,25,0,11
1403637156.238734006881714,25,0,25,0,11
1403637156.288730859756470,24,0,23,0,11
1403637156.338726758956909,24,0,23,0,11
1403637156.388719081878662,23,1,23,0,11
1403637156.438697814941406,24,0,23,1,11
1403637156.488683462142944,23,4,23,0,11
1403637156.538671016693115,22,3,21,1,11
1403637156.588667869567871,21,0,20,0,11
1403637156.638662815093994,19,1,18,0,11
1403637156.688657522201538,17,0,16,0,11
1403637156.738657951354980,19,0,16,2,11
1403637156.788623571395874,17,0,17,0,11
1403637156.838610887527466,22,1,17,5,11
1403637156.888601064682007,22,0,21,0,11
1403637156.938565731048584,22,0,19,1,11
1403637156.988556146621704,21,0,20,0,11
1403637157.038527965545654,23,1,18,4,11
1403637157.088530540466309,25,0,21,2,11
1403637157.138549327850342,24,0,22,0,11
1403637157.188554048538208,22,0,22,0,11
1403637157.238570690155029,22,1,22,0,11
1403637157.288572788238525,22,0,22,0,11
1403637157.338592290878296,26,1,22,4,11
1403637157.388579607009888,27,0,26,1,11
1403637157.438594102859497,39,0,27,12,11
1403637157.488582134246826,42,4,39,3,11
