# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.861349105834961,0,1,0,0,5
1403715278.911096334457397,40,27,0,40,6
1403715278.960974216461182,40,21,40,0,7
1403715279.010958194732666,38,0,38,0,8
1403715279.060915708541870,38,3,38,0,9
1403715279.110870122909546,38,0,38,0,10
1403715279.160827875137329,37,0,37,0,11
1403715279.210776567459106,37,0,37,0,11
1403715279.260706901550293,38,0,37,1,11
1403715279.310697793960571,47,0,38,9,11
1403715279.360869169235229,48,5,47,1,11
1403715279.411083459854126,48,2,48,0,11
1403715279.461231470108032,48,0,48,0,11
1403715279.511217117309570,48,1,48,0,11
1403715279.561196565628052,48,0,48,0,11
1403715279.611180782318115,48,0,48,0,11
1403715279.661212205886841,48,0,48,0,11
1403715279.711292266845703,48,0,48,0,11
1403715279.761279821395874,48,0,48,0,11
1403715279.811325073242188,48,0,48,0,11
1403715279.861275196075439,48,0,48,0,11
1403715279.911248207092285,48,0,48,0,11
1403715279.961228847503662,48,0,48,0,11
1403715280.011152505874634,48,0,48,0,11
1403715280.061132431030273,48,0,48,0,11
1403715280.111186742782593,48,0,48,0,11
1403715280.161490201950073,49,1,48,1,11
1403715280.211859941482544,50,0,49,1,11
1403715280.262371540069580,50,0,50,0,11
1403715280.312394142150879,50,0,50,0,11
1403715280.362379312515259,50,0,50,0,11
1403715280.412300109863281,50,1,50,0,11
1403715280.462094545364380,50,3,49,0,11
1403715280.512033224105835,49,0,48,0,11
1403715280.561964035034180,48,6,47,1,11
1403715280.611965894699097,49,2,47,2,11
1403715280.661907196044922,48,4,46,1,11
1403715280.711883544921875,49,35,46,2,11
1403715280.761826753616333,47,15,45,1,11
1403715280.811781406402588,46,3,43,3,11
1403715280.861818075180054,47,0,45,2,11
1403715280.911839246749878,47,1,47,0,11
1403715280.961859464645386,44,0,43,0,11
1403715281.011837482452393,49,4,43,6,11
1403715281.061840534210205,50,2,49,1,11
1403715281.111846446990967,49,0,48,0,11
1403715281.161850929260254,49,4,48,0,11
1403715281.211905479431152,47,3,47,0,11
1403715281.262073040008545,49,1,46,3,11
1403715281.312213420867920,48,21,48,0,11
1403715281.362215995788574,48,22,47,1,11
1403715281.412249326705933,50,10,48,2,11
1403715281.462283611297607,50,8,50,0,11
1403715281.512243986129761,50,7,50,0,11
1403715281.562231302261353,50,2,50,0,11
1403715281.612210035324097,49,4,49,0,11
1403715281.662185907363892,49,1,48,1,11
1403715281.712145328521729,44,9,43,1,11
1403715281.762087583541870,47,1,39,6,11
1403715281.812114715576172,47,8,45,0,11
1403715281.862097501754761,44,3,40,3,11
1403715281.912122249603271,50,16,42,6,11
1403715281.962121248245239,49,10,48,0,11
1403715282.012131690979004,47,3,46,0,11
1403715282.062125921249390,47,0,46,0,11
1403715282.112104654312134,49,2,46,3,11
