# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403637149.987318277359009,0,8,0,0,5
1403637150.036755084991455,15,14,0,15,6
1403637150.086406707763672,13,29,12,0,7
1403637150.136349201202393,10,1,8,0,8
1403637150.186404228210449,9,2,6,0,9
1403637150.236432313919067,5,10,5,0,10
1403637150.286446809768677,5,7,4,0,11
1403637150.336531877517700,3,4,3,0,11
1403637150.386538743972778,2,10,2,0,11
1403637150.436788082122803,1,7,1,0,11
1403637150.486697196960449,1,7,1,0,11
1403637150.536769390106201,0,5,0,0,11
1403637150.586838245391846,0,2,0,0,11
1403637150.637199163436890,11,7,0,11,11
1403637150.687289953231812,10,4,10,0,11
1403637150.737383842468262,9,0,9,0,11
1403637150.787364482879639,9,2,9,0,11
1403637150.837416410446167,10,2,9,1,11
1403637150.887558698654175,11,6,9,2,11
1403637150.937611579895020,11,2,11,0,11
1403637150.987848281860352,16,2,11,5,11
1403637151.037859439849854,16,2,16,0,11
1403637151.087851047515869,16,2,16,0,11
1403637151.137898445129395,19,2,16,3,11
1403637151.187971115112305,19,1,19,0,11
1403637151.238170146942139,26,1,19,7,11
1403637151.288245439529419,26,1,26,0,11
1403637151.338264703750610,26,2,25,1,11
1403637151.388244390487671,21,0,21,0,11
1403637151.438209056854248,21,1,21,0,11
1403637151.488211870193481,22,1,21,1,11
1403637151.538184881210327,24,0,22,2,11
1403637151.588181972503662,24,2,23,0,11
1403637151.638184785842896,25,0,23,1,11
1403637151.688178062438965,23,3,23,0,11
1403637151.738198280334473,23,1,22,0,11
1403637151.788207054138184,25,0,21,2,11
1403637151.838215589523315,24,1,23,0,11
1403637151.888233184814453,25,0,21,3,11
1403637151.938234567642212,27,0,24,2,11
1403637151.988240718841553,25,0,25,0,11
1403637152.038254976272583,24,0,24,0,11
1403637152.088262557983398,25,0,23,2,11
1403637152.138282299041748,25,0,25,0,11
1403637152.188276529312134,26,0,25,1,11
1403637152.238335371017456,33,0,26,7,11
1403637152.288328647613525,34,0,31,1,11
1403637152.338364601135254,33,0,31,0,11
1403637152.388411521911621,32,0,31,1,11
1403637152.438369035720825,33,0,31,1,11
1403637152.488395929336548,32,0,31,0,11
1403637152.538377046585083,32,0,30,2,11
1403637152.588354110717773,32,0,32,0,11
1403637152.638387203216553,30,0,30,0,11
1403637152.688396692276001,31,0,30,1,11
1403637152.738421678543091,30,0,30,0,11
1403637152.788433074951172,31,0,30,1,11
1403637152.838469028472900,32,0,31,1,11
1403637152.888492822647095,31,0,31,0,11
1403637152.938494443893433,30,1,30,0,11
1403637152.988476037979126,31,0,30,1,11
1403637153.038485527038574,31,0,30,0,11
1403637153.088497161865234,31,0,30,0,11
1403637153.138503313064575,32,0,29,2,11
1403637153.188545942306519,37,0,30,6,11
1403637153.238539934158325,36,0,36,0,11
1403637153.288536787033081,36,0,36,0,11
1403637153.338595867156982,38,0,34,3,11
1403637153.388622760772705,37,0,35,1,11
1403637153.438622474670410,35,0,35,0,11
1403637153.488668203353882,35,0,35,0,11
1403637153.538697481155396,34,0,34,0,11
1403637153.588668107986450,35,0,34,1,11
1403637153.638612031936646,35,0,35,0,11
1403637153.688558816909790,35,0,35,0,11
1403637153.738513231277466,41,1,35,6,11
1403637153.788468122482300,40,0,38,1,11
1403637153.838450908660889,41,0,39,1,11
1403637153.888448715209961,39,0,38,0,11
1403637153.938454627990723,39,0,38,0,11
1403637153.988560438156128,38,0,37,0,11
1403637154.038618803024292,38,0,35,1,11
1403637154.088766813278198,37,0,35,0,11
1403637154.138849973678589,36,0,35,0,11
1403637154.188923358917236,35,0,35,0,11
1403637154.238909006118774,35,0,35,0,11
1403637154.288888931274414,35,1,34,0,11
1403637154.338824987411499,38,0,32,3,11
1403637154.388762474060059,36,0,33,0,11
1403637154.438662052154541,38,1,32,4,11
1403637154.488585948944092,40,6,35,3,11
1403637154.538580656051636,38,0,36,1,11
1403637154.588575124740601,37,0,35,1,11
1403637154.638597965240479,37,1,36,0,11
1403637154.688610553741455,36,0,33,1,11
1403637154.738627910614014,39,0,31,4,11
1403637154.788658618927002,37,0,33,1,11
1403637154.838700294494629,33,1,30,0,11
1403637154.888717412948608,31,0,29,0,11
1403637154.938759326934814,27,0,24,0,11
1403637154.988814115524292,27,0,22,1,11
1403637155.038874387741089,27,1,23,4,11
1403637155.088922262191772,30,0,25,5,11
1403637155.138942003250122,29,0,28,0,11
1403637155.188951730728149,28,0,27,0,11
1403637155.238978147506714,27,1,24,0,11
1403637155.288975000381470,26,1,22,1,11
1403637155.338967800140381,24,0,22,1,11
1403637155.388977766036987,24,0,21,1,11
1403637155.438933134078979,22,1,21,0,11
1403637155.488912105560303,29,1,20,8,11
1403637155.538882017135620,31,1,28,3,11
1403637155.588855266571045,31,0,31,0,11
1403637155.638835906982422,31,0,29,1,11
1403637155.688807487487793,38,1,28,8,11
1403637155.738792419433594,37,1,36,0,11
1403637155.788773775100708,36,0,36,0,11
1403637155.838791370391846,36,0,33,1,11
1403637155.888731241226196,35,0,34,0,11
1403637155.938702344894409,37,0,33,3,11
1403637155.988693952560425,34,0,34,0,11
1403637156.038693666458130,34,0,32,0,11
1403637156.088704109191895,30,1,28,0,11
1403637156.138699769973755,28,0,27,0,11
1403637156.188698530197144,26,0,26,0,11
1403637156.238692998886108,26,0,26,0,11
1403637156.288697242736816,25,0,24,0,11
1403637156.338702201843262,25,0,24,0,11
1403637156.388703107833862,24,0,24,0,11
1403637156.438691854476929,24,0,24,0,11
1403637156.488681077957153,23,2,23,0,11
1403637156.538678646087646,21,2,21,0,11
1403637156.588675498962402,21,0,21,0,11
1403637156.638668060302734,21,2,19,2,11
1403637156.688665151596069,19,0,19,0,11
1403637156.738658189773560,19,0,18,0,11
1403637156.788606166839600,20,1,16,3,11
1403637156.838560342788696,20,0,19,1,11
1403637156.888521671295166,20,0,19,1,11
1403637156.938499450683594,20,1,20,0,11
1403637156.988456726074219,20,0,19,0,11
1403637157.038467168807983,19,0,19,0,11
1403637157.088466644287109,19,0,19,0,11
1403637157.138491868972778,20,0,19,1,11
1403637157.188495635986328,20,0,20,0,11
1403637157.238508224487305,24,0,20,4,11
1403637157.288513422012329,25,0,24,1,11
1403637157.338513374328613,25,0,25,0,11
1403637157.388497352600098,27,1,25,2,11
1403637157.438498258590698,30,0,26,3,11
1403637157.488498687744141,31,0,29,1,11
1403637157.538503646850586,29,0,29,0,11
1403637157.588518381118774,29,0,27,0,11
1403637157.638528823852539,29,0,26,0,11
1403637157.688540458679199,33,0,26,6,11
1403637157.738555431365967,37,0,31,5,11
1403637157.788564205169678,36,3,35,0,11
1403637157.838562488555908,39,0,34,4,11
1403637157.888555765151978,40,1,37,1,11
1403637157.938559293746948,40,1,37,1,11
1403637157.988565444946289,48,3,38,9,11
1403637158.038553476333618,47,2,45,2,11
1403637158.088579893112183,46,3,44,1,11
1403637158.138602018356323,46,2,44,1,11
1403637158.188609361648560,45,0,43,0,11
1403637158.238601684570312,43,1,42,0,11
1403637158.288594484329224,49,2,40,7,11
1403637158.338550329208374,50,3,46,1,11
1403637158.388531446456909,47,1,44,0,11
1403637158.438508033752441,48,4,42,3,11
1403637158.488493919372559,47,2,42,2,11
1403637158.538474321365356,45,0,43,0,11
1403637158.588466882705688,42,1,41,0,11
1403637158.638411760330200,46,7,39,5,11
1403637158.688408136367798,44,2,43,0,11
1403637158.738392591476440,42,0,41,1,11
1403637158.788395643234253,42,1,39,1,11
1403637158.838392257690430,39,0,37,0,11
1403637158.888380527496338,38,0,37,1,11
1403637158.938357114791870,39,0,35,3,11
1403637158.988336563110352,40,0,37,2,11
1403637159.038314104080200,41,1,37,4,11
1403637159.088300704956055,43,1,39,2,11
1403637159.138256072998047,43,0,42,0,11
1403637159.188205957412720,47,8,39,5,11
1403637159.238198518753052,49,3,44,2,11
1403637159.288197755813599,44,0,43,0,11
1403637159.338207960128784,44,0,42,0,11
1403637159.388221263885498,43,5,39,1,11
1403637159.438219070434570,43,1,40,0,11
1403637159.488237857818604,40,0,38,0,11
1403637159.538247108459473,40,0,38,0,11
1403637159.588258981704712,38,3,38,0,11
1403637159.638285160064697,37,1,35,0,11
1403637159.688287973403931,37,0,34,0,11
1403637159.738261461257935,33,0,31,0,11
1403637159.788236618041992,46,2,31,14,11
1403637159.838230133056641,45,1,42,2,11
1403637159.888226032257080,43,17,40,1,11
1403637159.938207626342773,42,0,39,0,11
1403637159.988193750381470,43,2,36,6,11
1403637160.038179159164429,43,0,40,0,11
1403637160.088177442550659,41,0,39,0,11
1403637160.138160705566406,37,4,37,0,11
1403637160.188141107559204,36,2,36,0,11
