# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987318277359009,0.00363,0.00010,0.00055,0.00000,0.00000,0.00121,0.00549
1403637150.036755084991455,0.00410,0.00011,0.00150,0.00000,0.00213,0.00118,0.00901
1403637150.086406707763672,0.00447,0.00013,0.00221,0.00027,0.00000,0.00118,0.00826
1403637150.136349201202393,0.00423,0.00013,0.00015,0.00017,0.00000,0.00125,0.00594
1403637150.186404228210449,0.00504,0.00013,0.00017,0.00015,0.00003,0.00125,0.00676
1403637150.236432313919067,0.00470,0.00013,0.00041,0.00010,0.00000,0.00120,0.00654
1403637150.286446809768677,0.00687,0.00014,0.00035,0.00009,0.00000,0.00144,0.00888
1403637150.336531877517700,0.00663,0.00013,0.00038,0.00007,0.00000,0.00131,0.00853
1403637150.386538743972778,0.00607,0.00013,0.00059,0.00005,0.00000,0.00147,0.00832
1403637150.436788082122803,0.00543,0.00012,0.00052,0.00004,0.00000,0.00134,0.00745
1403637150.486697196960449,0.00456,0.00013,0.00086,0.00004,0.00000,0.00152,0.00712
1403637150.536769390106201,0.00425,0.00013,0.00029,0.00000,0.00000,0.00134,0.00601
1403637150.586838245391846,0.00396,0.00012,0.00034,0.00000,0.00000,0.00130,0.00572
1403637150.637199163436890,0.00432,0.00012,0.00137,0.00000,0.00454,0.00133,0.01169
1403637150.687289953231812,0.00407,0.00013,0.00038,0.00029,0.00000,0.00151,0.00638
1403637150.737383842468262,0.00474,0.00013,0.00015,0.00025,0.00000,0.00132,0.00659
1403637150.787364482879639,0.00390,0.00014,0.00039,0.00025,0.00000,0.00132,0.00600
1403637150.837416410446167,0.00417,0.00015,0.00028,0.00024,0.00033,0.00134,0.00650
1403637150.887558698654175,0.00386,0.00013,0.00050,0.00024,0.00151,0.00134,0.00758
1403637150.937611579895020,0.00386,0.00014,0.00024,0.00031,0.00030,0.00133,0.00617
1403637150.987848281860352,0.00394,0.00013,0.00027,0.00031,0.00309,0.00135,0.00909
1403637151.037859439849854,0.00320,0.00014,0.00035,0.00058,0.00036,0.00133,0.00596
1403637151.087851047515869,0.00359,0.00014,0.00035,0.00059,0.00032,0.00177,0.00676
1403637151.137898445129395,0.00400,0.00014,0.00055,0.00060,0.00249,0.00129,0.00906
1403637151.187971115112305,0.00427,0.00015,0.00037,0.00084,0.00048,0.00180,0.00791
1403637151.238170146942139,0.00355,0.00014,0.00015,0.00082,0.00496,0.00139,0.01102
1403637151.288245439529419,0.00374,0.00016,0.00027,0.00168,0.00027,0.00170,0.00782
1403637151.338264703750610,0.00416,0.00017,0.00031,0.00152,0.00068,0.00131,0.00815
1403637151.388244390487671,0.00473,0.00016,0.00029,0.00113,0.00016,0.00176,0.00823
1403637151.438209056854248,0.00393,0.00015,0.00052,0.00111,0.00013,0.00134,0.00719
1403637151.488211870193481,0.00391,0.00015,0.00031,0.00113,0.00105,0.00170,0.00825
1403637151.538184881210327,0.00417,0.00015,0.00011,0.00125,0.00093,0.00136,0.00798
1403637151.588181972503662,0.00401,0.00015,0.00027,0.00135,0.00028,0.00175,0.00781
1403637151.638184785842896,0.00414,0.00016,0.00016,0.00138,0.00110,0.00142,0.00836
1403637151.688178062438965,0.00413,0.00015,0.00059,0.00139,0.00001,0.00185,0.00811
1403637151.738198280334473,0.00384,0.00015,0.00030,0.00129,0.00042,0.00144,0.00745
