# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987318277359009,0.00874,0.00012,0.00061,0.00000,0.00000,0.00209,0.01157
1403637150.036755084991455,0.00930,0.00013,0.00160,0.00000,0.00207,0.00187,0.01497
1403637150.086406707763672,0.00995,0.00014,0.00239,0.00026,0.00000,0.00199,0.01473
1403637150.136349201202393,0.00904,0.00014,0.00018,0.00019,0.00000,0.00211,0.01166
1403637150.186404228210449,0.01083,0.00013,0.00019,0.00014,0.00003,0.00223,0.01355
1403637150.236432313919067,0.00974,0.00014,0.00042,0.00011,0.00001,0.00206,0.01247
1403637150.286446809768677,0.01117,0.00017,0.00035,0.00009,0.00000,0.00201,0.01379
1403637150.336531877517700,0.01062,0.00014,0.00038,0.00007,0.00000,0.00203,0.01324
1403637150.386538743972778,0.01058,0.00014,0.00069,0.00006,0.00000,0.00201,0.01348
1403637150.436788082122803,0.01013,0.00013,0.00052,0.00004,0.00000,0.00221,0.01303
1403637150.486697196960449,0.00974,0.00015,0.00089,0.00004,0.00000,0.00221,0.01304
1403637150.536769390106201,0.00851,0.00016,0.00029,0.00000,0.00000,0.00217,0.01113
1403637150.586838245391846,0.00925,0.00013,0.00034,0.00000,0.00000,0.00228,0.01201
1403637150.637199163436890,0.00945,0.00013,0.00149,0.00000,0.00453,0.00197,0.01757
1403637150.687289953231812,0.01048,0.00013,0.00041,0.00029,0.00000,0.00251,0.01383
1403637150.737383842468262,0.01064,0.00016,0.00016,0.00025,0.00000,0.00228,0.01350
1403637150.787364482879639,0.00877,0.00014,0.00038,0.00027,0.00000,0.00230,0.01185
1403637150.837416410446167,0.00913,0.00014,0.00029,0.00026,0.00036,0.00229,0.01246
1403637150.887558698654175,0.00862,0.00015,0.00056,0.00026,0.00168,0.00208,0.01335
1403637150.937611579895020,0.00939,0.00014,0.00024,0.00032,0.00034,0.00210,0.01253
1403637150.987835645675659,0.00904,0.00015,0.00027,0.00032,0.00334,0.00213,0.01525
1403637151.037839651107788,0.00723,0.00014,0.00034,0.00060,0.00036,0.00230,0.01098
1403637151.087833166122437,0.00821,0.00017,0.00035,0.00061,0.00031,0.00232,0.01198
1403637151.137871265411377,0.00639,0.00015,0.00067,0.00119,0.00277,0.00214,0.01331
1403637151.187973499298096,0.00819,0.00015,0.00036,0.00087,0.00054,0.00234,0.01245
1403637151.238211631774902,0.00601,0.00014,0.00015,0.00085,0.00498,0.00203,0.01416
1403637151.288338422775269,0.00694,0.00016,0.00031,0.00167,0.00030,0.00214,0.01152
1403637151.338380336761475,0.00781,0.00016,0.00030,0.00159,0.00070,0.00206,0.01263
1403637151.388348817825317,0.00831,0.00016,0.00027,0.00119,0.00017,0.00228,0.01238
1403637151.438298940658569,0.00648,0.00016,0.00059,0.00112,0.00014,0.00232,0.01080
