# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403637149.987318277359009,0.00262,0.00011,0.00059,0.00000,0.00000,0.00129,0.00463
1403637150.036755084991455,0.00310,0.00013,0.00154,0.00000,0.00210,0.00122,0.00809
1403637150.086406707763672,0.00327,0.00013,0.00229,0.00026,0.00000,0.00125,0.00721
1403637150.136349201202393,0.00261,0.00014,0.00017,0.00019,0.00000,0.00138,0.00450
1403637150.186404228210449,0.00332,0.00014,0.00018,0.00014,0.00003,0.00138,0.00519
1403637150.236432313919067,0.00333,0.00015,0.00042,0.00010,0.00001,0.00129,0.00529
1403637150.286446809768677,0.00445,0.00013,0.00035,0.00009,0.00000,0.00131,0.00633
1403637150.336531877517700,0.00363,0.00013,0.00038,0.00007,0.00000,0.00138,0.00558
1403637150.386538743972778,0.00382,0.00012,0.00062,0.00006,0.00000,0.00130,0.00592
1403637150.436788082122803,0.00309,0.00013,0.00058,0.00004,0.00000,0.00141,0.00525
1403637150.486697196960449,0.00292,0.00012,0.00088,0.00004,0.00000,0.00144,0.00540
1403637150.536769390106201,0.00255,0.00014,0.00030,0.00000,0.00000,0.00141,0.00439
1403637150.586838245391846,0.00261,0.00014,0.00034,0.00000,0.00000,0.00143,0.00451
1403637150.637199163436890,0.00295,0.00013,0.00139,0.00000,0.00450,0.00140,0.01037
1403637150.687289953231812,0.00257,0.00014,0.00044,0.00029,0.00000,0.00140,0.00484
1403637150.737383842468262,0.00276,0.00015,0.00015,0.00025,0.00000,0.00142,0.00473
1403637150.787364482879639,0.00289,0.00014,0.00039,0.00026,0.00000,0.00139,0.00507
1403637150.837416410446167,0.00234,0.00013,0.00028,0.00025,0.00033,0.00142,0.00475
1403637150.887558698654175,0.00268,0.00014,0.00056,0.00024,0.00159,0.00139,0.00661
1403637150.937611579895020,0.00288,0.00016,0.00024,0.00032,0.00032,0.00145,0.00537
1403637150.987848281860352,0.00301,0.00014,0.00028,0.00031,0.00315,0.00138,0.00826
1403637151.037844657897949,0.00255,0.00014,0.00038,0.00059,0.00037,0.00141,0.00545
1403637151.087845087051392,0.00267,0.00015,0.00037,0.00060,0.00032,0.00145,0.00557
1403637151.137892007827759,0.00241,0.00014,0.00060,0.00065,0.00255,0.00136,0.00772
1403637151.187899827957153,0.00289,0.00015,0.00039,0.00085,0.00050,0.00150,0.00628
1403637151.238042354583740,0.00240,0.00015,0.00017,0.00085,0.00491,0.00143,0.00991
1403637151.288051366806030,0.00235,0.00016,0.00034,0.00163,0.00029,0.00142,0.00619
1403637151.338046312332153,0.00268,0.00016,0.00029,0.00154,0.00070,0.00139,0.00676
1403637151.388019323348999,0.00304,0.00015,0.00027,0.00121,0.00017,0.00143,0.00626
1403637151.437981605529785,0.00244,0.00015,0.00057,0.00109,0.00013,0.00142,0.00579
1403637151.487985849380493,0.00258,0.00017,0.00033,0.00110,0.00108,0.00140,0.00666
1403637151.537917852401733,0.00260,0.00016,0.00015,0.00117,0.00096,0.00145,0.00649
1403637151.587880611419678,0.00252,0.00016,0.00032,0.00129,0.00027,0.00142,0.00598
1403637151.637824296951294,0.00253,0.00016,0.00017,0.00130,0.00105,0.00139,0.00661
1403637151.687751293182373,0.00279,0.00015,0.00060,0.00131,0.00001,0.00151,0.00636
1403637151.737747907638550,0.00225,0.00017,0.00031,0.00123,0.00041,0.00148,0.00585
1403637151.787764549255371,0.00220,0.00015,0.00006,0.00117,0.00144,0.00147,0.00649
1403637151.837721824645996,0.00236,0.00015,0.00017,0.00137,0.00026,0.00138,0.00568
1403637151.887851715087891,0.00294,0.00015,0.00036,0.00121,0.00145,0.00138,0.00750
1403637151.937816143035889,0.00247,0.00015,0.00015,0.00147,0.00280,0.00138,0.00842
1403637151.987823247909546,0.00240,0.00016,0.00007,0.00180,0.00007,0.00145,0.00594
1403637152.037863969802856,0.00238,0.00015,0.00007,0.00164,0.00003,0.00145,0.00573
1403637152.087837934494019,0.00239,0.00015,0.00015,0.00154,0.00143,0.00139,0.00705
1403637152.137820005416870,0.00231,0.00016,0.00013,0.00174,0.00013,0.00134,0.00581
1403637152.187819480895996,0.00285,0.00015,0.00002,0.00173,0.00137,0.00140,0.00753
1403637152.237875461578369,0.00247,0.00017,0.00009,0.00177,0.00555,0.00146,0.01151
1403637152.287875175476074,0.00241,0.00018,0.00001,0.00228,0.00050,0.00144,0.00683
1403637152.337900161743164,0.00218,0.00017,0.00019,0.00211,0.00025,0.00148,0.00639
1403637152.387931585311890,0.00231,0.00017,0.00005,0.00212,0.00067,0.00137,0.00669
1403637152.437899827957153,0.00213,0.00016,0.00018,0.00209,0.00161,0.00144,0.00761
1403637152.487924337387085,0.00207,0.00016,0.00004,0.00204,0.00019,0.00150,0.00599
1403637152.537913084030151,0.00225,0.00017,0.00010,0.00194,0.00174,0.00138,0.00758
1403637152.587891817092896,0.00208,0.00017,0.00005,0.00204,0.00014,0.00138,0.00586
1403637152.637927532196045,0.00295,0.00017,0.00005,0.00200,0.00004,0.00140,0.00660
1403637152.687964439392090,0.00249,0.00016,0.00025,0.00198,0.00107,0.00138,0.00732
1403637152.738004207611084,0.00248,0.00016,0.00021,0.00214,0.00041,0.00147,0.00687
1403637152.788044929504395,0.00242,0.00017,0.00007,0.00203,0.00111,0.00155,0.00735
1403637152.838109731674194,0.00252,0.00018,0.00016,0.00204,0.00072,0.00144,0.00706
