# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403715278.863020420074463,0,3,0,0,5
1403715278.911638259887695,32,35,0,32,6
1403715278.961567878723145,31,4,31,0,7
1403715279.011274576187134,29,0,29,0,8
1403715279.061169862747192,29,0,29,0,9
1403715279.110942840576172,29,1,29,0,10
1403715279.160958528518677,28,2,28,0,11
1403715279.211063385009766,28,1,28,0,11
1403715279.261090517044067,33,0,28,5,11
1403715279.310691595077515,37,0,33,4,11
1403715279.359587192535400,38,0,37,1,11
1403715279.408396959304810,47,0,38,9,11
1403715279.457696437835693,47,0,47,0,11
1403715279.506651163101196,48,22,47,1,11
1403715279.556226968765259,48,0,48,0,11
1403715279.606051206588745,49,1,48,1,11
1403715279.656013488769531,49,0,49,0,11
1403715279.706022500991821,49,0,49,0,11
1403715279.756008625030518,49,0,49,0,11
1403715279.806173324584961,49,0,49,0,11
1403715279.856178522109985,49,0,49,0,11
1403715279.905724763870239,49,1,49,0,11
1403715279.955139636993408,49,1,49,0,11
1403715280.004516839981079,49,0,49,0,11
1403715280.054052591323853,49,0,49,0,11
1403715280.104406356811523,48,19,47,0,11
1403715280.154707431793213,48,0,13,0,11
1403715280.205082893371582,49,0,4,2,11
1403715280.255132675170898,46,0,2,32,11
1403715280.305079936981201,45,0,33,9,11
1403715280.355306625366211,45,0,41,3,11
1403715280.405519962310791,45,0,40,0,11
1403715280.455450057983398,45,1,33,1,11
1403715280.505260944366455,45,0,32,4,11
1403715280.555338382720947,45,2,38,7,11
1403715280.605650424957275,44,0,44,0,11
1403715280.655974149703979,44,1,44,0,11
1403715280.707335948944092,46,19,44,2,11
1403715280.757490396499634,47,2,44,2,11
1403715280.807616949081421,45,0,43,1,11
1403715280.857825040817261,45,0,44,1,11
1403715280.908181190490723,44,2,44,0,11
1403715280.958511590957642,43,0,41,2,11
1403715281.008669137954712,40,0,40,0,11
1403715281.058732032775879,39,0,38,0,11
1403715281.108787059783936,39,0,38,0,11
1403715281.158870458602905,40,0,36,4,11
1403715281.209032058715820,43,1,40,3,11
1403715281.259256839752197,42,0,42,0,11
1403715281.309778928756714,48,13,41,7,11
1403715281.359938859939575,47,1,47,0,11
1403715281.410228252410889,47,0,47,0,11
1403715281.460507631301880,50,12,47,3,11
1403715281.510475635528564,50,0,49,0,11
1403715281.560479640960693,50,0,49,0,11
1403715281.610491037368774,50,0,47,1,11
1403715281.660447359085083,50,0,47,0,11
1403715281.710400581359863,42,0,39,1,11
1403715281.760358095169067,40,0,38,0,11
1403715281.810384988784790,38,0,36,0,11
1403715281.860322475433350,47,10,35,11,11
1403715281.910332441329956,50,6,45,4,11
1403715281.960316658020020,50,0,49,0,11
1403715282.010322570800781,50,0,49,1,11
1403715282.060354232788086,50,11,50,0,11
1403715282.110322237014771,49,0,47,0,11
1403715282.160361766815186,49,0,46,0,11
1403715282.210388898849487,49,0,46,2,11
1403715282.260398149490356,49,0,48,1,11
1403715282.310386419296265,48,0,47,0,11
1403715282.360389232635498,48,0,46,0,11
1403715282.410352706909180,47,0,44,1,11
1403715282.460412025451660,48,7,44,3,11
1403715282.510420799255371,48,7,46,2,11
1403715282.560383319854736,47,3,47,0,11
1403715282.610345840454102,45,1,44,0,11
1403715282.660345315933228,49,5,44,4,11
1403715282.710361242294312,48,1,46,0,11
1403715282.760354757308960,48,1,46,0,11
1403715282.810373067855835,48,1,46,2,11
1403715282.860586166381836,49,34,47,2,11
1403715282.910540103912354,49,0,47,0,11
1403715282.960471391677856,48,1,43,0,11
1403715283.010654687881470,48,0,43,2,11
1403715283.060629129409790,49,5,45,4,11
1403715283.110600709915161,50,7,49,1,11
1403715283.160666704177856,50,1,47,0,11
1403715283.210667133331299,50,0,44,0,11
1403715283.260766029357910,49,5,42,3,11
1403715283.310776472091675,48,0,44,2,11
1403715283.360848665237427,47,0,44,1,11
1403715283.410965442657471,46,0,46,0,11
1403715283.461099147796631,49,24,45,4,11
1403715283.511117458343506,44,0,44,0,11
1403715283.561143159866333,43,0,43,0,11
1403715283.611191511154175,42,1,42,0,11
1403715283.661326646804810,47,1,42,5,11
1403715283.711498737335205,49,6,47,2,11
1403715283.761670827865601,49,0,49,0,11
1403715283.811798572540283,49,0,49,0,11
1403715283.861863613128662,49,5,49,0,11
1403715283.911917924880981,48,0,48,0,11
1403715283.961899995803833,48,0,48,0,11
1403715284.011865377426147,48,0,48,0,11
1403715284.061856746673584,50,19,48,2,11
1403715284.111856222152710,50,30,50,0,11
1403715284.161874532699585,49,4,49,0,11
1403715284.211884021759033,49,0,49,0,11
1403715284.261924743652344,49,0,49,0,11
1403715284.311937570571899,50,3,48,1,11
1403715284.361942768096924,50,0,49,0,11
1403715284.411970376968384,50,1,48,1,11
1403715284.461935997009277,50,6,49,0,11
1403715284.511911869049072,49,0,49,0,11
1403715284.561917304992676,49,0,49,0,11
1403715284.611914157867432,48,0,48,0,11
1403715284.661909103393555,50,15,47,2,11
1403715284.711874246597290,50,28,49,0,11
1403715284.761819839477539,50,2,47,1,11
1403715284.811837434768677,50,0,50,0,11
1403715284.861868381500244,50,0,50,0,11
1403715284.911914110183716,50,2,50,0,11
1403715284.962001323699951,50,0,50,0,11
1403715285.012096643447876,50,0,48,0,11
1403715285.062130212783813,49,4,48,1,11
1403715285.112095117568970,48,0,48,0,11
1403715285.162131786346436,48,0,47,0,11
1403715285.212165355682373,47,1,47,0,11
1403715285.262208461761475,50,10,46,3,11
1403715285.312293291091919,49,24,49,0,11
1403715285.362313985824585,49,1,49,0,11
1403715285.412309408187866,49,0,48,0,11
1403715285.462283611297607,49,1,48,0,11
1403715285.512259483337402,49,0,48,1,11
1403715285.562219142913818,49,0,49,0,11
1403715285.612200736999512,49,0,47,0,11
1403715285.662231445312500,49,5,46,1,11
1403715285.712289810180664,48,1,47,1,11
1403715285.762253522872925,48,2,47,0,11
1403715285.812309980392456,45,0,45,0,11
1403715285.862450361251831,48,9,43,4,11
1403715285.912548065185547,50,29,47,2,11
1403715285.962596178054810,50,2,49,1,11
1403715286.012606143951416,50,0,49,0,11
1403715286.062573432922363,50,0,49,0,11
1403715286.112565279006958,50,1,49,1,11
1403715286.162551164627075,49,0,49,0,11
1403715286.212546586990356,49,0,49,0,11
1403715286.262543916702271,49,3,48,1,11
1403715286.312535047531128,49,1,49,0,11
1403715286.362514019012451,49,2,48,0,11
1403715286.412505149841309,49,0,47,0,11
1403715286.462494611740112,48,6,44,1,11
1403715286.512517690658569,47,24,43,2,11
1403715286.562521696090698,49,0,45,4,11
1403715286.612538337707520,47,0,47,0,11
1403715286.662549495697021,43,1,43,0,11
1403715286.712567567825317,41,0,38,0,11
1403715286.762560367584229,35,0,31,0,11
1403715286.812524318695068,33,0,30,2,11
1403715286.862507581710815,35,0,29,3,11
1403715286.912481069564819,34,0,33,0,11
1403715286.962488889694214,33,0,31,1,11
1403715287.012489080429077,32,0,29,0,11
1403715287.062529802322388,43,10,28,12,11
1403715287.112563610076904,47,13,37,8,11
1403715287.162583827972412,45,0,44,1,11
1403715287.212599992752075,44,1,41,0,11
1403715287.262602567672729,42,0,35,0,11
1403715287.312603473663330,41,1,34,2,11
1403715287.362599134445190,37,1,32,3,11
1403715287.412598371505737,35,1,32,1,11
1403715287.462605476379395,36,3,32,3,11
1403715287.512608766555786,42,1,33,8,11
1403715287.562611341476440,42,0,41,1,11
1403715287.612608671188354,39,0,39,0,11
1403715287.662599325180054,45,2,37,8,11
1403715287.712612628936768,48,5,42,4,11
1403715287.762630939483643,47,0,43,0,11
1403715287.812642097473145,43,1,41,0,11
1403715287.862647294998169,41,0,40,1,11
1403715287.912630558013916,40,1,40,0,11
1403715287.962636232376099,47,3,40,7,11
1403715288.012636423110962,45,1,42,0,11
1403715288.062651157379150,44,0,42,0,11
1403715288.112661361694336,42,2,41,1,11
1403715288.162675619125366,41,0,40,1,11
1403715288.212692260742188,41,0,41,0,11
1403715288.262670993804932,44,0,41,3,11
1403715288.312670469284058,50,6,42,6,11
1403715288.362648010253906,49,0,45,0,11
1403715288.412636041641235,48,0,44,0,11
1403715288.462620496749878,47,3,44,2,11
1403715288.512607574462891,47,0,46,1,11
1403715288.562677860260010,49,5,46,3,11
1403715288.612673759460449,49,0,49,0,11
1403715288.662686824798584,49,0,49,0,11
1403715288.712697267532349,50,2,49,1,11
1403715288.762704849243164,50,0,50,0,11
1403715288.812710523605347,50,0,50,0,11
1403715288.862720012664795,49,2,49,0,11
1403715288.912713050842285,50,5,49,1,11
1403715288.962709903717041,50,0,50,0,11
1403715289.012702465057373,49,0,49,0,11
1403715289.062698364257812,50,3,49,1,11
1403715289.112697124481201,50,0,49,0,11
1403715289.162689208984375,50,7,49,0,11
1403715289.212678194046021,50,0,48,1,11
1403715289.262671709060669,50,0,49,0,11
1403715289.312664747238159,50,2,49,1,11
1403715289.362653493881226,50,6,50,0,11
1403715289.412638902664185,50,10,49,0,11
1403715289.462639570236206,50,1,50,0,11
1403715289.512633800506592,48,5,48,0,11
1403715289.562631607055664,48,0,48,0,11
1403715289.612626075744629,50,7,48,2,11
1403715289.662612199783325,48,3,47,0,11
1403715289.712604522705078,47,2,47,0,11
1403715289.762598037719727,50,5,47,3,11
1403715289.812585592269897,50,1,50,0,11
1403715289.862567424774170,50,5,50,0,11
1403715289.912557363510132,50,8,50,0,11
1403715289.962546110153198,50,8,50,0,11
1403715290.012535810470581,50,7,50,0,11
1403715290.062523603439331,50,1,50,0,11
1403715290.112519979476929,50,0,50,0,11
1403715290.162515401840210,50,8,50,0,11
1403715290.212522268295288,50,0,50,0,11
1403715290.262553453445435,50,3,50,0,11
1403715290.312600374221802,50,0,48,0,11
1403715290.362621307373047,49,0,46,0,11
1403715290.412660121917725,47,0,46,0,11
1403715290.462656259536743,46,1,46,0,11
1403715290.512647151947021,47,3,46,1,11
1403715290.562608957290649,48,3,47,1,11
