# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00616,0.00011,0.00034,0.00000,0.00000,0.00129,0.00790
1403715278.911641120910645,0.00405,0.00011,0.00326,0.00000,0.00661,0.00121,0.01524
1403715278.961362123489380,0.00366,0.00013,0.00046,0.00203,0.00000,0.00116,0.00743
1403715279.010837316513062,0.00343,0.00014,0.00006,0.00200,0.00000,0.00124,0.00688
1403715279.060688972473145,0.00413,0.00014,0.00003,0.00203,0.00000,0.00127,0.00760
1403715279.110451221466064,0.00342,0.00015,0.00039,0.00206,0.00000,0.00124,0.00726
1403715279.160490512847900,0.00334,0.00016,0.00046,0.00219,0.00000,0.00133,0.00749
1403715279.210573434829712,0.00329,0.00015,0.00056,0.00206,0.00000,0.00130,0.00736
1403715279.260578155517578,0.00352,0.00016,0.00002,0.00214,0.00420,0.00132,0.01136
1403715279.310593366622925,0.00330,0.00015,0.00004,0.00259,0.00355,0.00138,0.01102
1403715279.360721349716187,0.00339,0.00016,0.00001,0.00305,0.00110,0.00129,0.00901
1403715279.411019325256348,0.00356,0.00017,0.00001,0.00327,0.00877,0.00136,0.01714
1403715279.461174011230469,0.00344,0.00018,0.00001,0.00468,0.00000,0.00160,0.00992
1403715279.511305332183838,0.00342,0.00020,0.01027,0.00459,0.00111,0.00123,0.02082
1403715279.561447381973267,0.00363,0.00019,0.00002,0.00536,0.00005,0.00139,0.01064
1403715279.611494302749634,0.00348,0.00019,0.00107,0.00509,0.00114,0.00134,0.01230
1403715279.661565065383911,0.00357,0.00019,0.00001,0.00535,0.00000,0.00131,0.01043
1403715279.711690664291382,0.00334,0.00018,0.00001,0.00539,0.00000,0.00130,0.01023
1403715279.761606693267822,0.00324,0.00019,0.00001,0.00529,0.00000,0.00137,0.01010
1403715279.811603069305420,0.00336,0.00017,0.00004,0.00537,0.00000,0.00135,0.01030
1403715279.861457347869873,0.00342,0.00017,0.00005,0.00723,0.00000,0.00203,0.01290
1403715279.911392450332642,0.00323,0.00018,0.00055,0.00528,0.00000,0.00128,0.01052
1403715279.960958957672119,0.00340,0.00018,0.00113,0.00531,0.00002,0.00139,0.01143
1403715280.010540485382080,0.00348,0.00020,0.00001,0.00544,0.00000,0.00155,0.01069
1403715280.060513257980347,0.00370,0.00019,0.00005,0.00521,0.00000,0.00131,0.01047
1403715280.110724210739136,0.00342,0.00018,0.00944,0.00487,0.00004,0.00121,0.01915
1403715280.161421775817871,0.00338,0.00022,0.00001,0.00509,0.00003,0.00137,0.01011
1403715280.212097167968750,0.00355,0.00018,0.00007,0.00500,0.00113,0.00128,0.01121
1403715280.262766361236572,0.00362,0.00018,0.00013,0.00522,0.00000,0.00137,0.01051
1403715280.312819004058838,0.00350,0.00019,0.00005,0.00506,0.00000,0.00125,0.01005
1403715280.362774848937988,0.00346,0.00019,0.00001,0.00471,0.00000,0.00133,0.00970
1403715280.412671566009521,0.00378,0.00017,0.00001,0.00473,0.00000,0.00135,0.01005
1403715280.462485790252686,0.00340,0.00017,0.00051,0.00458,0.00017,0.00127,0.01009
1403715280.512436628341675,0.00349,0.00017,0.00006,0.00465,0.00000,0.00134,0.00971
1403715280.562309026718140,0.00435,0.00019,0.00088,0.00483,0.00079,0.00157,0.01260
1403715280.612229585647583,0.00416,0.00016,0.00061,0.00458,0.00312,0.00128,0.01391
1403715280.662223815917969,0.00362,0.00018,0.00050,0.00517,0.00001,0.00128,0.01076
1403715280.712177515029907,0.00384,0.00018,0.00929,0.00511,0.00111,0.00126,0.02080
1403715280.762171268463135,0.00389,0.00018,0.00069,0.00470,0.00107,0.00127,0.01180
1403715280.812190055847168,0.00357,0.00019,0.00086,0.00456,0.00018,0.00126,0.01062
1403715280.862198591232300,0.00350,0.00019,0.00026,0.00443,0.00003,0.00120,0.00961
1403715280.912355661392212,0.00473,0.00017,0.00112,0.00444,0.00000,0.00140,0.01187
1403715280.962383747100830,0.00369,0.00018,0.00016,0.00397,0.00201,0.00132,0.01133
1403715281.012431621551514,0.00382,0.00017,0.00028,0.00407,0.00000,0.00128,0.00963
1403715281.062502622604370,0.00344,0.00020,0.00004,0.00403,0.00000,0.00135,0.00905
1403715281.112530946731567,0.00349,0.00017,0.00014,0.00370,0.00000,0.00153,0.00904
1403715281.162571668624878,0.00359,0.00020,0.00008,0.00343,0.00291,0.00132,0.01154
1403715281.212683439254761,0.00474,0.00017,0.00063,0.00381,0.00013,0.00132,0.01081
1403715281.262933254241943,0.00393,0.00016,0.00005,0.00393,0.00000,0.00133,0.00940
1403715281.313047409057617,0.00383,0.00015,0.00554,0.00375,0.00800,0.00132,0.02259
1403715281.363018274307251,0.00367,0.00018,0.00063,0.00515,0.00000,0.00129,0.01092
1403715281.413065910339355,0.00389,0.00017,0.00001,0.00507,0.00006,0.00141,0.01062
1403715281.462948560714722,0.00364,0.00016,0.00660,0.00496,0.00326,0.00136,0.01998
1403715281.512879848480225,0.00375,0.00018,0.00001,0.00539,0.00000,0.00140,0.01073
1403715281.562817811965942,0.00389,0.00020,0.00008,0.00552,0.00000,0.00132,0.01101
1403715281.612807035446167,0.00378,0.00018,0.00014,0.00496,0.00028,0.00133,0.01066
