# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863017320632935,0.00269,0.00012,0.00036,0.00000,0.00000,0.00140,0.00457
1403715278.911609649658203,0.00273,0.00012,0.00354,0.00000,0.00677,0.00138,0.01454
1403715278.961583137512207,0.00252,0.00012,0.00049,0.00236,0.00000,0.00126,0.00676
1403715279.011537551879883,0.00253,0.00015,0.00009,0.00206,0.00000,0.00135,0.00617
1403715279.061485052108765,0.00303,0.00015,0.00003,0.00218,0.00000,0.00142,0.00681
1403715279.111303567886353,0.00262,0.00016,0.00043,0.00221,0.00000,0.00145,0.00688
1403715279.161331415176392,0.00231,0.00017,0.00049,0.00217,0.00000,0.00131,0.00645
1403715279.211461782455444,0.00248,0.00016,0.00058,0.00210,0.00000,0.00138,0.00669
1403715279.261472702026367,0.00237,0.00016,0.00003,0.00221,0.00417,0.00142,0.01036
1403715279.311519622802734,0.00237,0.00016,0.00004,0.00264,0.00353,0.00147,0.01021
1403715279.361774206161499,0.00247,0.00017,0.00001,0.00320,0.00109,0.00147,0.00841
1403715279.411914110183716,0.00312,0.00018,0.00002,0.00352,0.00882,0.00144,0.01709
1403715279.462056636810303,0.00238,0.00018,0.00001,0.00477,0.00000,0.00170,0.00904
1403715279.512131690979004,0.00242,0.00018,0.01030,0.00458,0.00111,0.00141,0.02000
1403715279.562276601791382,0.00245,0.00018,0.00002,0.00506,0.00005,0.00133,0.00910
1403715279.612348318099976,0.00228,0.00023,0.00116,0.00491,0.00112,0.00136,0.01106
1403715279.662465095520020,0.00239,0.00019,0.00001,0.00525,0.00000,0.00140,0.00925
1403715279.712638378143311,0.00292,0.00019,0.00001,0.00541,0.00000,0.00151,0.01004
1403715279.762467145919800,0.00240,0.00020,0.00001,0.00565,0.00000,0.00144,0.00970
1403715279.812416315078735,0.00306,0.00018,0.00005,0.00523,0.00000,0.00150,0.01002
1403715279.862158298492432,0.00238,0.00023,0.00006,0.00532,0.00000,0.00145,0.00944
1403715279.912126779556274,0.00229,0.00018,0.00056,0.00521,0.00000,0.00145,0.00969
1403715279.961413383483887,0.00231,0.00017,0.00118,0.00520,0.00002,0.00141,0.01029
1403715280.011129140853882,0.00241,0.00019,0.00001,0.00533,0.00000,0.00203,0.00997
1403715280.061121702194214,0.00301,0.00018,0.00005,0.00512,0.00000,0.00137,0.00972
1403715280.110989570617676,0.00257,0.00018,0.00993,0.00495,0.00004,0.00168,0.01934
1403715280.161206007003784,0.00321,0.00019,0.00002,0.00509,0.00003,0.00141,0.00995
1403715280.211434602737427,0.00299,0.00020,0.00008,0.00518,0.00113,0.00207,0.01164
1403715280.262230634689331,0.00291,0.00019,0.00014,0.00514,0.00000,0.00136,0.00974
1403715280.312263965606689,0.00271,0.00020,0.00007,0.00506,0.00000,0.00134,0.00939
1403715280.362268209457397,0.00223,0.00019,0.00001,0.00486,0.00000,0.00138,0.00867
1403715280.412248849868774,0.00246,0.00021,0.00002,0.00468,0.00000,0.00147,0.00883
1403715280.462291479110718,0.00303,0.00017,0.00048,0.00480,0.00016,0.00147,0.01010
1403715280.512382745742798,0.00246,0.00019,0.00008,0.00486,0.00000,0.00148,0.00907
1403715280.562351226806641,0.00250,0.00019,0.00089,0.00492,0.00081,0.00172,0.01103
1403715280.612317323684692,0.00309,0.00021,0.00068,0.00477,0.00315,0.00138,0.01328
1403715280.662258863449097,0.00254,0.00020,0.00047,0.00538,0.00000,0.00143,0.01002
1403715280.712302446365356,0.00292,0.00019,0.00966,0.00511,0.00006,0.00156,0.01951
1403715280.762286663055420,0.00314,0.00020,0.00068,0.00497,0.00110,0.00138,0.01146
1403715280.812300682067871,0.00341,0.00020,0.00060,0.00473,0.00016,0.00153,0.01063
1403715280.862347841262817,0.00276,0.00018,0.00010,0.00462,0.00000,0.00136,0.00902
1403715280.912482500076294,0.00331,0.00018,0.00126,0.00452,0.00015,0.00177,0.01119
1403715280.962552785873413,0.00299,0.00021,0.00027,0.00401,0.00189,0.00139,0.01076
1403715281.012609243392944,0.00250,0.00019,0.00025,0.00404,0.00017,0.00151,0.00866
1403715281.062654733657837,0.00240,0.00020,0.00005,0.00426,0.00000,0.00143,0.00835
1403715281.112707138061523,0.00225,0.00017,0.00015,0.00417,0.00000,0.00159,0.00832
1403715281.162747144699097,0.00225,0.00017,0.00009,0.00391,0.00300,0.00139,0.01081
1403715281.212756156921387,0.00296,0.00016,0.00063,0.00399,0.00000,0.00139,0.00913
1403715281.262860059738159,0.00248,0.00016,0.00009,0.00420,0.00000,0.00204,0.00897
1403715281.313003540039062,0.00305,0.00017,0.00608,0.00401,0.00824,0.00133,0.02288
1403715281.362914800643921,0.00297,0.00019,0.00068,0.00470,0.00000,0.00163,0.01016
1403715281.413046121597290,0.00376,0.00018,0.00002,0.00460,0.00005,0.00145,0.01006
1403715281.462925434112549,0.00354,0.00017,0.00658,0.00375,0.00334,0.00182,0.01920
1403715281.512811660766602,0.00292,0.00016,0.00007,0.00300,0.00016,0.00140,0.00771
1403715281.562792778015137,0.00292,0.00019,0.00058,0.00151,0.00063,0.00164,0.00747
1403715281.612798213958740,0.00366,0.00021,0.00049,0.00123,0.00145,0.00136,0.00840
1403715281.662785768508911,0.00364,0.00020,0.00049,0.00219,0.00151,0.00181,0.00984
1403715281.712746858596802,0.00284,0.00020,0.00043,0.00234,0.00070,0.00138,0.00789
1403715281.762551069259644,0.00278,0.00017,0.00307,0.00299,0.00615,0.00173,0.01689
1403715281.812633514404297,0.00423,0.00017,0.00010,0.00364,0.00014,0.00157,0.00986
1403715281.862576246261597,0.00326,0.00020,0.00033,0.00363,0.00000,0.00184,0.00925
1403715281.912706375122070,0.00375,0.00016,0.00059,0.00366,0.00876,0.00145,0.01838
1403715281.962707519531250,0.00286,0.00022,0.00002,0.00537,0.00000,0.00183,0.01031
1403715282.012729406356812,0.00380,0.00020,0.00005,0.00520,0.00002,0.00146,0.01074
1403715282.062779188156128,0.00280,0.00023,0.00538,0.00502,0.00217,0.00158,0.01718
1403715282.112782001495361,0.00262,0.00019,0.00005,0.00570,0.00000,0.00150,0.01006
1403715282.162838697433472,0.00258,0.00019,0.00009,0.00547,0.00017,0.00151,0.01001
1403715282.212821960449219,0.00270,0.00019,0.00002,0.00537,0.00000,0.00155,0.00983
