# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.863006591796875,0.01048,0.00011,0.00033,0.00000,0.00000,0.00224,0.01316
1403715278.911638736724854,0.00998,0.00012,0.00353,0.00000,0.00664,0.00208,0.02235
1403715278.961488246917725,0.00808,0.00013,0.00044,0.00218,0.00000,0.00201,0.01285
1403715279.011152267456055,0.00830,0.00014,0.00006,0.00208,0.00000,0.00199,0.01258
1403715279.061038970947266,0.01042,0.00016,0.00003,0.00214,0.00000,0.00255,0.01530
1403715279.110815286636353,0.00897,0.00015,0.00040,0.00221,0.00000,0.00198,0.01371
1403715279.160833358764648,0.00899,0.00016,0.00045,0.00212,0.00000,0.00210,0.01382
1403715279.210919618606567,0.00921,0.00016,0.00061,0.00215,0.00000,0.00220,0.01433
1403715279.260926723480225,0.00827,0.00016,0.00001,0.00221,0.00427,0.00234,0.01726
1403715279.310984134674072,0.00883,0.00016,0.00004,0.00277,0.00367,0.00215,0.01762
1403715279.361308574676514,0.00775,0.00018,0.00001,0.00332,0.00114,0.00245,0.01484
1403715279.411541700363159,0.01035,0.00021,0.00002,0.00332,0.00875,0.00207,0.02472
1403715279.461724281311035,0.00898,0.00019,0.00002,0.00491,0.00000,0.00256,0.01666
1403715279.511888742446899,0.00789,0.00019,0.01040,0.00460,0.00110,0.00198,0.02615
1403715279.561807632446289,0.00727,0.00021,0.00002,0.00505,0.00005,0.00204,0.01464
1403715279.611803054809570,0.00778,0.00018,0.00112,0.00515,0.00111,0.00207,0.01742
1403715279.661820173263550,0.00789,0.00020,0.00002,0.00550,0.00000,0.00211,0.01571
1403715279.711919307708740,0.00755,0.00019,0.00001,0.00551,0.00000,0.00201,0.01528
1403715279.761862277984619,0.00751,0.00019,0.00001,0.00553,0.00000,0.00216,0.01540
1403715279.811884641647339,0.00865,0.00019,0.00004,0.00538,0.00000,0.00225,0.01651
1403715279.861777305603027,0.00767,0.00019,0.00005,0.00545,0.00000,0.00205,0.01541
1403715279.911746501922607,0.00740,0.00020,0.00056,0.00532,0.00000,0.00222,0.01572
1403715279.961276531219482,0.00783,0.00018,0.00122,0.00531,0.00002,0.00216,0.01673
1403715280.011181354522705,0.00775,0.00021,0.00001,0.00552,0.00000,0.00238,0.01588
1403715280.061166048049927,0.00896,0.00020,0.00005,0.00528,0.00000,0.00227,0.01677
1403715280.110958099365234,0.00805,0.00020,0.01006,0.00494,0.00004,0.00202,0.02531
1403715280.160894870758057,0.00732,0.00021,0.00002,0.00558,0.00004,0.00228,0.01545
1403715280.210878610610962,0.00860,0.00023,0.00007,0.00516,0.00113,0.00209,0.01729
1403715280.261056423187256,0.00847,0.00020,0.00011,0.00541,0.00000,0.00208,0.01628
1403715280.311085700988770,0.00825,0.00021,0.00006,0.00479,0.00000,0.00226,0.01557
1403715280.361090660095215,0.00812,0.00021,0.00001,0.00482,0.00000,0.00224,0.01540
1403715280.411077499389648,0.00890,0.00017,0.00004,0.00464,0.00017,0.00234,0.01625
