# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.058685302734375,0.00358,0.00010,0.00053,0.00000,0.00000,0.00120,0.00541
1413393890.105349063873291,0.00381,0.00010,0.00176,0.00000,0.00296,0.00118,0.00981
1413393890.155243873596191,0.00356,0.00013,0.00004,0.00078,0.00000,0.00116,0.00567
1413393890.204987525939941,0.00421,0.00014,0.00027,0.00080,0.00000,0.00119,0.00661
1413393890.254915475845337,0.00326,0.00013,0.00014,0.00071,0.00000,0.00123,0.00547
1413393890.305152654647827,0.00338,0.00014,0.00034,0.00077,0.00000,0.00124,0.00587
1413393890.355351209640503,0.00342,0.00014,0.00005,0.00076,0.00010,0.00126,0.00573
1413393890.405478954315186,0.00336,0.00014,0.00052,0.00091,0.00000,0.00130,0.00622
1413393890.454891204833984,0.00340,0.00012,0.00052,0.00083,0.00147,0.00126,0.00761
1413393890.504735231399536,0.00346,0.00014,0.00023,0.00104,0.00012,0.00130,0.00629
1413393890.554206609725952,0.00339,0.00013,0.00034,0.00108,0.00691,0.00132,0.01317
1413393890.604523181915283,0.00349,0.00015,0.00021,0.00193,0.00638,0.00132,0.01349
1413393890.655645370483398,0.00322,0.00016,0.00001,0.00248,0.00107,0.00142,0.00838
1413393890.706682443618774,0.00336,0.00017,0.00341,0.00248,0.01057,0.00124,0.02123
1413393890.756945848464966,0.00322,0.00020,0.00152,0.00443,0.00118,0.00127,0.01181
1413393890.806933403015137,0.00334,0.00019,0.00005,0.00474,0.00109,0.00123,0.01063
1413393890.856848716735840,0.00360,0.00020,0.00522,0.00692,0.00000,0.00134,0.01728
1413393890.906687259674072,0.00332,0.00018,0.00090,0.00490,0.00000,0.00129,0.01059
1413393890.956588029861450,0.00356,0.00018,0.00300,0.00488,0.00000,0.00132,0.01295
1413393891.006602287292480,0.00352,0.00018,0.00012,0.00499,0.00000,0.00132,0.01014
1413393891.056652307510376,0.00357,0.00019,0.00332,0.00474,0.00000,0.00129,0.01311
1413393891.106779336929321,0.00344,0.00018,0.00055,0.00470,0.00000,0.00138,0.01026
1413393891.156889200210571,0.00338,0.00017,0.00263,0.00448,0.00001,0.00136,0.01202
1413393891.206931829452515,0.00336,0.00019,0.00109,0.00434,0.00017,0.00144,0.01060
1413393891.256945133209229,0.00327,0.00018,0.00004,0.00460,0.00065,0.00141,0.01015
1413393891.307176351547241,0.00323,0.00018,0.00402,0.00455,0.00016,0.00131,0.01346
1413393891.357064723968506,0.00355,0.00018,0.00207,0.00381,0.00000,0.00126,0.01087
1413393891.406989097595215,0.00409,0.00018,0.00141,0.00301,0.00000,0.00126,0.00996
1413393891.457042694091797,0.00395,0.00017,0.00053,0.00281,0.00190,0.00124,0.01060
1413393891.506993532180786,0.00377,0.00017,0.00104,0.00280,0.00108,0.00122,0.01008
1413393891.556881904602051,0.00438,0.00017,0.00011,0.00295,0.00197,0.00125,0.01082
1413393891.606678485870361,0.00345,0.00017,0.00013,0.00309,0.00002,0.00127,0.00813
1413393891.656310558319092,0.00331,0.00014,0.00017,0.00304,0.00486,0.00126,0.01278
1413393891.706188678741455,0.00326,0.00017,0.00007,0.00315,0.00001,0.00135,0.00801
1413393891.756020307540894,0.00330,0.00017,0.00032,0.00311,0.00243,0.00141,0.01075
1413393891.805910110473633,0.00326,0.00018,0.00020,0.00332,0.00141,0.00130,0.00967
1413393891.855857610702515,0.00340,0.00016,0.00007,0.00390,0.00016,0.00134,0.00903
1413393891.905749082565308,0.00327,0.00017,0.00073,0.00369,0.00349,0.00129,0.01263
1413393891.955635786056519,0.00405,0.00018,0.00214,0.00369,0.00127,0.00129,0.01262
1413393892.005589723587036,0.00504,0.00016,0.00455,0.00326,0.00203,0.00118,0.01622
1413393892.055628776550293,0.00392,0.00015,0.00009,0.00349,0.00158,0.00130,0.01053
1413393892.105806827545166,0.00433,0.00016,0.00352,0.00340,0.00405,0.00124,0.01669
1413393892.155882120132446,0.00397,0.00020,0.00014,0.00371,0.00185,0.00122,0.01109
1413393892.205864191055298,0.00423,0.00016,0.00041,0.00420,0.00015,0.00129,0.01044
1413393892.255896806716919,0.00396,0.00017,0.00027,0.00419,0.00002,0.00133,0.00994
1413393892.305972099304199,0.00434,0.00016,0.00047,0.00384,0.00000,0.00139,0.01020
1413393892.355984449386597,0.00332,0.00017,0.00058,0.00387,0.00054,0.00142,0.00989
1413393892.405939579010010,0.00406,0.00019,0.00102,0.00321,0.00051,0.00132,0.01031
