# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.058722496032715,0.00338,0.00010,0.00053,0.00000,0.00000,0.00119,0.00521
1413393890.105359077453613,0.00387,0.00012,0.00174,0.00000,0.00297,0.00118,0.00987
1413393890.155322074890137,0.00328,0.00012,0.00003,0.00079,0.00000,0.00112,0.00535
1413393890.205170631408691,0.00354,0.00014,0.00027,0.00077,0.00000,0.00120,0.00592
1413393890.255363702774048,0.00322,0.00011,0.00014,0.00079,0.00000,0.00120,0.00546
1413393890.305775403976440,0.00329,0.00014,0.00035,0.00081,0.00000,0.00121,0.00580
1413393890.356018781661987,0.00353,0.00015,0.00003,0.00085,0.00000,0.00124,0.00580
1413393890.406102895736694,0.00339,0.00014,0.00052,0.00077,0.00000,0.00130,0.00613
1413393890.455642223358154,0.00316,0.00013,0.00051,0.00077,0.00141,0.00127,0.00725
1413393890.505445480346680,0.00334,0.00014,0.00027,0.00095,0.00021,0.00352,0.00844
1413393890.555095195770264,0.00391,0.00012,0.00034,0.00108,0.00691,0.00129,0.01366
1413393890.605407953262329,0.00338,0.00015,0.00021,0.00192,0.00642,0.00151,0.01358
1413393890.656163930892944,0.00371,0.00016,0.00009,0.00243,0.00142,0.00136,0.00917
1413393890.706844568252563,0.00348,0.00017,0.00378,0.00264,0.01017,0.00154,0.02179
1413393890.756993770599365,0.00386,0.00019,0.00158,0.00424,0.00120,0.00133,0.01240
1413393890.807004928588867,0.00340,0.00019,0.00005,0.00459,0.00111,0.00129,0.01064
1413393890.856938838958740,0.00349,0.00019,0.00297,0.00471,0.00000,0.00132,0.01269
1413393890.906769990921021,0.00333,0.00017,0.00093,0.00477,0.00000,0.00131,0.01051
1413393890.956683635711670,0.00347,0.00019,0.00294,0.00476,0.00000,0.00134,0.01270
1413393891.006685018539429,0.00329,0.00018,0.00011,0.00491,0.00000,0.00134,0.00984
1413393891.056677579879761,0.00330,0.00019,0.00340,0.00468,0.00000,0.00131,0.01288
1413393891.106743335723877,0.00338,0.00016,0.00053,0.00460,0.00000,0.00140,0.01008
1413393891.156765222549438,0.00321,0.00018,0.00253,0.00451,0.00001,0.00142,0.01185
1413393891.206801652908325,0.00319,0.00019,0.00131,0.00423,0.00017,0.00141,0.01050
1413393891.256830930709839,0.00339,0.00018,0.00088,0.00406,0.00071,0.00142,0.01064
1413393891.307061910629272,0.00333,0.00018,0.00351,0.00424,0.00218,0.00132,0.01476
1413393891.357091426849365,0.00337,0.00017,0.00095,0.00463,0.00108,0.00133,0.01153
1413393891.407064914703369,0.00427,0.00018,0.00152,0.00330,0.00000,0.00120,0.01047
1413393891.457085609436035,0.00369,0.00018,0.00050,0.00332,0.00195,0.00126,0.01090
1413393891.507011175155640,0.00383,0.00018,0.00095,0.00303,0.00120,0.00127,0.01047
1413393891.556819200515747,0.00454,0.00017,0.00014,0.00328,0.00385,0.00126,0.01324
1413393891.606616973876953,0.00342,0.00018,0.00014,0.00382,0.00101,0.00132,0.00988
1413393891.656254529953003,0.00336,0.00016,0.00005,0.00383,0.00512,0.00132,0.01385
1413393891.706136703491211,0.00336,0.00018,0.00031,0.00408,0.00001,0.00136,0.00929
1413393891.755989313125610,0.00338,0.00018,0.00036,0.00368,0.00256,0.00143,0.01158
1413393891.805878162384033,0.00331,0.00018,0.00020,0.00398,0.00194,0.00136,0.01098
1413393891.855830430984497,0.00329,0.00019,0.00010,0.00467,0.00012,0.00130,0.00967
1413393891.905710458755493,0.00340,0.00017,0.00146,0.00422,0.00259,0.00130,0.01315
1413393891.955608606338501,0.00393,0.00018,0.00200,0.00408,0.00068,0.00124,0.01211
1413393892.005569219589233,0.00522,0.00017,0.00413,0.00395,0.00129,0.00123,0.01599
1413393892.055609464645386,0.00398,0.00017,0.00079,0.00424,0.00164,0.00120,0.01202
1413393892.105777025222778,0.00438,0.00021,0.00512,0.00415,0.00116,0.00130,0.01632
1413393892.155818700790405,0.00409,0.00018,0.00015,0.00410,0.00016,0.00123,0.00991
1413393892.205789327621460,0.00396,0.00016,0.00056,0.00398,0.00029,0.00130,0.01026
1413393892.255821228027344,0.00398,0.00017,0.00022,0.00406,0.00001,0.00128,0.00972
1413393892.305837392807007,0.00458,0.00018,0.00084,0.00379,0.00053,0.00140,0.01133
1413393892.355808973312378,0.00335,0.00018,0.00115,0.00392,0.00113,0.00149,0.01122
1413393892.405756473541260,0.00427,0.00017,0.00045,0.00376,0.00000,0.00134,0.00999
1413393892.455675125122070,0.00338,0.00015,0.00068,0.00341,0.00056,0.00133,0.00952
1413393892.505631446838379,0.00431,0.00019,0.00025,0.00297,0.00259,0.00129,0.01159
1413393892.555613279342651,0.00347,0.00018,0.00096,0.00319,0.00032,0.00127,0.00938
1413393892.605628013610840,0.00385,0.00017,0.00066,0.00308,0.00050,0.00137,0.00963
1413393892.655643939971924,0.00444,0.00016,0.00105,0.00298,0.00096,0.00138,0.01097
1413393892.705680608749390,0.00350,0.00017,0.00130,0.00274,0.00818,0.00134,0.01723
1413393892.755705356597900,0.00352,0.00018,0.00065,0.00355,0.00075,0.00136,0.01003
1413393892.805713891983032,0.00433,0.00017,0.00057,0.00321,0.00099,0.00135,0.01062
1413393892.855721950531006,0.00370,0.00017,0.00095,0.00317,0.00466,0.00146,0.01412
1413393892.905730962753296,0.00364,0.00018,0.00047,0.00350,0.00002,0.00135,0.00916
1413393892.955739736557007,0.00362,0.00017,0.00051,0.00309,0.00287,0.00139,0.01165
1413393893.005760192871094,0.00327,0.00018,0.00154,0.00291,0.00001,0.00132,0.00922
1413393893.055798768997192,0.00437,0.00016,0.00013,0.00269,0.00242,0.00139,0.01116
1413393893.105823516845703,0.00348,0.00018,0.00053,0.00273,0.00110,0.00140,0.00942
1413393893.155858993530273,0.00364,0.00017,0.00053,0.00261,0.00421,0.00135,0.01251
1413393893.205854654312134,0.00344,0.00018,0.00398,0.00312,0.00303,0.00138,0.01512
1413393893.255861043930054,0.00341,0.00018,0.00012,0.00375,0.00121,0.00140,0.01007
1413393893.305862903594971,0.00342,0.00018,0.00002,0.00380,0.00113,0.00136,0.00991
1413393893.355914354324341,0.00331,0.00017,0.00863,0.00378,0.00018,0.00139,0.01746
1413393893.405918359756470,0.00340,0.00019,0.00052,0.00383,0.00001,0.00143,0.00938
1413393893.455923557281494,0.00338,0.00018,0.00110,0.00363,0.00161,0.00134,0.01124
1413393893.505905866622925,0.00332,0.00017,0.00076,0.00335,0.00103,0.00136,0.01000
1413393893.555871248245239,0.00418,0.00018,0.00002,0.00328,0.00318,0.00142,0.01227
1413393893.605829477310181,0.00360,0.00019,0.00741,0.00336,0.00001,0.00136,0.01595
1413393893.655796051025391,0.00335,0.00018,0.00014,0.00278,0.00079,0.00129,0.00853
1413393893.705792903900146,0.00320,0.00017,0.00007,0.00292,0.00115,0.00132,0.00884
1413393893.755796909332275,0.00318,0.00018,0.00055,0.00292,0.00160,0.00140,0.00985
1413393893.805817604064941,0.00377,0.00019,0.00297,0.00295,0.00400,0.00139,0.01527
1413393893.855824232101440,0.00398,0.00018,0.00206,0.00294,0.00035,0.00133,0.01083
1413393893.905829668045044,0.00379,0.00018,0.00223,0.00235,0.00001,0.00130,0.00986
1413393893.955817937850952,0.00414,0.00016,0.00300,0.00206,0.00541,0.00133,0.01609
1413393894.005809783935547,0.00549,0.00017,0.00032,0.00248,0.00012,0.00129,0.00987
1413393894.055795431137085,0.00341,0.00016,0.00131,0.00219,0.00046,0.00127,0.00880
1413393894.105790615081787,0.00366,0.00016,0.00079,0.00217,0.00445,0.00134,0.01256
1413393894.155793905258179,0.00408,0.00016,0.00026,0.00240,0.00001,0.00130,0.00821
1413393894.205799818038940,0.00384,0.00016,0.00062,0.00182,0.00216,0.00140,0.01000
1413393894.255801439285278,0.00366,0.00016,0.00060,0.00191,0.00087,0.00128,0.00847
1413393894.305801391601562,0.00404,0.00016,0.00011,0.00208,0.00091,0.00129,0.00859
1413393894.355805158615112,0.00401,0.00016,0.00202,0.00214,0.00118,0.00137,0.01087
1413393894.405810832977295,0.00375,0.00015,0.00032,0.00213,0.00658,0.00130,0.01425
1413393894.455816984176636,0.00346,0.00016,0.00006,0.00298,0.00305,0.00130,0.01100
1413393894.505820751190186,0.00358,0.00016,0.00005,0.00336,0.00259,0.00135,0.01110
1413393894.555821418762207,0.00345,0.00017,0.00031,0.00390,0.00250,0.00131,0.01163
1413393894.605821371078491,0.00347,0.00017,0.00068,0.00407,0.00001,0.00127,0.00968
1413393894.655817508697510,0.00374,0.00018,0.00056,0.00396,0.00413,0.00137,0.01393
1413393894.705813407897949,0.00340,0.00019,0.00230,0.00436,0.00084,0.00126,0.01234
