# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1413393890.058685302734375,0,13,0,0,5
1413393890.105247735977173,17,16,0,17,6
1413393890.155170202255249,17,0,17,0,7
1413393890.205012321472168,17,3,17,0,8
1413393890.255053997039795,17,1,17,0,9
1413393890.305325746536255,17,2,17,0,10
1413393890.355499029159546,17,1,17,0,11
1413393890.405541658401489,17,2,16,0,11
1413393890.455353021621704,18,1,15,2,11
1413393890.505274534225464,18,1,17,1,11
1413393890.554892301559448,30,1,18,12,11
1413393890.605107784271240,35,1,26,8,11
1413393890.655731678009033,38,0,34,3,11
1413393890.706325531005859,48,7,37,11,11
1413393890.756448984146118,49,3,48,1,11
1413393890.806447982788086,50,0,49,1,11
1413393890.856414794921875,50,4,50,0,11
1413393890.906303167343140,50,2,50,0,11
1413393890.956259489059448,50,3,50,0,11
1413393891.006257534027100,50,0,50,0,11
1413393891.056240797042847,50,4,49,0,11
1413393891.106299638748169,50,1,48,0,11
1413393891.156289577484131,49,3,48,0,11
1413393891.206322193145752,49,1,48,1,11
1413393891.256344795227051,50,1,49,1,11
1413393891.306503534317017,50,7,50,0,11
1413393891.356599807739258,46,3,45,0,11
1413393891.406562089920044,40,4,37,0,11
1413393891.456611156463623,41,2,37,2,11
1413393891.506567001342773,39,3,35,2,11
1413393891.556525468826294,39,0,36,2,11
1413393891.606400966644287,40,0,38,2,11
1413393891.656041860580444,45,0,36,5,11
1413393891.705894708633423,45,0,38,0,11
1413393891.755736589431763,47,1,35,5,11
1413393891.805613756179810,45,0,38,4,11
1413393891.855551481246948,44,0,42,1,11
1413393891.905433416366577,47,2,42,4,11
1413393891.955331325531006,49,3,42,2,11
1413393892.005298137664795,44,13,42,1,11
1413393892.055339336395264,45,1,41,2,11
1413393892.105510950088501,49,10,41,4,11
1413393892.155573129653931,48,1,41,2,11
1413393892.205492019653320,46,3,41,1,11
1413393892.255478143692017,42,2,42,0,11
1413393892.305536746978760,41,6,41,0,11
1413393892.355532169342041,39,4,39,0,11
1413393892.405489444732666,39,5,37,1,11
1413393892.455431461334229,39,0,37,1,11
1413393892.505424022674561,41,1,36,4,11
1413393892.555410385131836,39,5,38,1,11
1413393892.605406522750854,40,4,39,1,11
1413393892.655431270599365,44,4,37,5,11
1413393892.705461263656616,46,8,39,5,11
1413393892.755495786666870,48,3,43,4,11
1413393892.805498838424683,48,4,44,2,11
1413393892.855495214462280,49,3,45,2,11
1413393892.905485868453979,44,6,42,0,11
1413393892.955476999282837,46,1,40,4,11
1413393893.005502700805664,45,7,38,4,11
1413393893.055525541305542,42,2,38,0,11
1413393893.105549573898315,40,2,37,0,11
1413393893.155594825744629,40,2,34,2,11
1413393893.205573081970215,48,3,36,9,11
1413393893.255575895309448,46,0,44,1,11
1413393893.305546760559082,49,1,44,3,11
1413393893.355516910552979,50,17,47,2,11
1413393893.405548810958862,49,23,47,0,11
1413393893.455571174621582,48,2,44,1,11
1413393893.505595207214355,48,0,43,2,11
1413393893.555614233016968,48,2,44,2,11
