# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1413393890.058859586715698,0.00322,0.00010,0.00055,0.00000,0.00000,0.00130,0.00518
1413393890.105107545852661,0.00298,0.00011,0.00177,0.00000,0.00292,0.00125,0.00902
1413393890.155118942260742,0.00287,0.00012,0.00004,0.00082,0.00000,0.00126,0.00511
1413393890.205105304718018,0.00294,0.00014,0.00031,0.00084,0.00000,0.00132,0.00556
1413393890.255357503890991,0.00260,0.00011,0.00014,0.00075,0.00000,0.00135,0.00495
1413393890.305723190307617,0.00264,0.00015,0.00037,0.00079,0.00000,0.00134,0.00531
1413393890.355863332748413,0.00323,0.00015,0.00007,0.00083,0.00010,0.00135,0.00573
1413393890.405861616134644,0.00332,0.00016,0.00058,0.00088,0.00001,0.00143,0.00638
1413393890.455324411392212,0.00255,0.00013,0.00057,0.00083,0.00152,0.00189,0.00750
1413393890.505133628845215,0.00360,0.00014,0.00028,0.00102,0.00020,0.00138,0.00663
1413393890.554795265197754,0.00274,0.00015,0.00036,0.00113,0.00709,0.00163,0.01310
1413393890.604850292205811,0.00300,0.00017,0.00023,0.00202,0.00639,0.00141,0.01323
1413393890.655745744705200,0.00318,0.00016,0.00010,0.00249,0.00143,0.00151,0.00888
1413393890.706621170043945,0.00303,0.00019,0.00377,0.00258,0.00966,0.00134,0.02057
1413393890.756772756576538,0.00347,0.00024,0.00178,0.00426,0.00118,0.00161,0.01254
1413393890.806729078292847,0.00304,0.00021,0.00006,0.00482,0.00111,0.00142,0.01066
1413393890.856667995452881,0.00344,0.00019,0.00302,0.00511,0.00000,0.00169,0.01345
1413393890.906498432159424,0.00302,0.00018,0.00096,0.00486,0.00000,0.00143,0.01044
1413393890.956463336944580,0.00268,0.00019,0.00315,0.00477,0.00000,0.00143,0.01222
1413393891.006478548049927,0.00315,0.00017,0.00012,0.00507,0.00000,0.00153,0.01004
1413393891.056504964828491,0.00276,0.00021,0.00349,0.00482,0.00000,0.00149,0.01277
1413393891.106593608856201,0.00276,0.00017,0.00057,0.00473,0.00000,0.00154,0.00978
1413393891.156654596328735,0.00253,0.00022,0.00266,0.00454,0.00001,0.00147,0.01144
1413393891.206722259521484,0.00248,0.00021,0.00116,0.00460,0.00019,0.00161,0.01025
1413393891.256788253784180,0.00247,0.00019,0.00052,0.00462,0.00078,0.00149,0.01007
1413393891.307050466537476,0.00242,0.00020,0.00430,0.00457,0.00000,0.00148,0.01297
1413393891.357232332229614,0.00273,0.00018,0.00259,0.00420,0.00015,0.00138,0.01123
1413393891.407224416732788,0.00311,0.00018,0.00153,0.00319,0.00000,0.00138,0.00940
1413393891.457262516021729,0.00283,0.00019,0.00057,0.00336,0.00192,0.00131,0.01018
1413393891.507197380065918,0.00363,0.00018,0.00111,0.00287,0.00124,0.00141,0.01044
1413393891.556976079940796,0.00335,0.00020,0.00020,0.00325,0.00282,0.00142,0.01124
1413393891.606712579727173,0.00252,0.00022,0.00020,0.00363,0.00097,0.00137,0.00891
1413393891.656307458877563,0.00248,0.00016,0.00005,0.00353,0.00494,0.00142,0.01258
1413393891.706194400787354,0.00255,0.00026,0.00013,0.00356,0.00001,0.00141,0.00792
1413393891.756064891815186,0.00305,0.00018,0.00007,0.00331,0.00284,0.00155,0.01099
1413393891.805962562561035,0.00245,0.00019,0.00025,0.00354,0.00212,0.00148,0.01004
1413393891.855913162231445,0.00368,0.00021,0.00013,0.00447,0.00016,0.00137,0.01002
1413393891.905799627304077,0.00328,0.00019,0.00063,0.00441,0.00373,0.00143,0.01367
1413393891.955703973770142,0.00352,0.00020,0.00353,0.00426,0.00000,0.00136,0.01288
1413393892.005658626556396,0.00505,0.00017,0.00564,0.00327,0.00001,0.00130,0.01544
1413393892.055682420730591,0.00308,0.00015,0.00016,0.00299,0.00111,0.00133,0.00882
1413393892.105759859085083,0.00326,0.00020,0.00038,0.00291,0.00704,0.00134,0.01514
1413393892.155785799026489,0.00304,0.00018,0.00048,0.00365,0.00137,0.00134,0.01006
1413393892.205694675445557,0.00306,0.00023,0.00029,0.00423,0.00026,0.00142,0.00948
1413393892.255617141723633,0.00296,0.00020,0.00036,0.00424,0.00002,0.00134,0.00912
1413393892.305583477020264,0.00381,0.00017,0.00058,0.00403,0.00000,0.00142,0.01002
1413393892.355569839477539,0.00359,0.00019,0.00087,0.00404,0.00056,0.00147,0.01073
1413393892.405527114868164,0.00401,0.00018,0.00142,0.00366,0.00000,0.00143,0.01070
1413393892.455450534820557,0.00265,0.00018,0.00045,0.00344,0.00001,0.00138,0.00811
1413393892.505403280258179,0.00395,0.00019,0.00059,0.00304,0.00000,0.00142,0.00919
1413393892.555383205413818,0.00273,0.00016,0.00170,0.00272,0.00426,0.00147,0.01304
1413393892.605395078659058,0.00245,0.00018,0.00095,0.00338,0.00094,0.00142,0.00931
1413393892.655405521392822,0.00385,0.00018,0.00127,0.00344,0.00204,0.00155,0.01232
1413393892.705418586730957,0.00261,0.00019,0.00102,0.00317,0.00149,0.00147,0.00995
1413393892.755427122116089,0.00328,0.00022,0.00026,0.00329,0.00051,0.00142,0.00897
1413393892.805430650711060,0.00263,0.00018,0.00075,0.00300,0.00284,0.00152,0.01091
