# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403636624.662684679031372,0.00389,0.00011,0.00037,0.00000,0.00000,0.00157,0.00594
1403636624.712983131408691,0.00391,0.00012,0.00251,0.00000,0.00287,0.00132,0.01073
1403636624.762792587280273,0.00437,0.00013,0.00186,0.00047,0.00000,0.00133,0.00816
1403636624.812397003173828,0.00363,0.00012,0.00012,0.00044,0.00000,0.00135,0.00566
1403636624.862210750579834,0.00344,0.00013,0.00013,0.00044,0.00000,0.00136,0.00549
1403636624.912824869155884,0.00394,0.00014,0.00021,0.00037,0.00001,0.00137,0.00605
1403636624.962978124618530,0.00325,0.00013,0.00021,0.00032,0.00001,0.00136,0.00528
1403636625.013185024261475,0.00383,0.00014,0.00028,0.00026,0.00000,0.00140,0.00590
1403636625.063526630401611,0.00416,0.00013,0.00025,0.00020,0.00067,0.00150,0.00692
1403636625.113857984542847,0.00345,0.00013,0.00029,0.00014,0.00001,0.00143,0.00546
1403636625.164364337921143,0.00454,0.00014,0.00048,0.00010,0.00055,0.00150,0.00731
1403636625.214421749114990,0.00373,0.00012,0.00057,0.00011,0.00022,0.00157,0.00632
1403636625.264244079589844,0.00362,0.00012,0.00166,0.00009,0.00001,0.00157,0.00707
1403636625.314039945602417,0.00343,0.00013,0.00171,0.00008,0.00788,0.00147,0.01469
1403636625.364824056625366,0.00503,0.00014,0.00059,0.00048,0.00381,0.00181,0.01185
1403636625.415408849716187,0.00330,0.00015,0.00026,0.00065,0.00000,0.00144,0.00581
1403636625.465650796890259,0.00340,0.00015,0.00003,0.00046,0.00049,0.00144,0.00597
1403636625.515670776367188,0.00338,0.00014,0.00014,0.00027,0.00010,0.00146,0.00549
1403636625.565580368041992,0.00396,0.00014,0.00055,0.00021,0.00339,0.00152,0.00977
1403636625.615572929382324,0.00329,0.00013,0.00009,0.00044,0.00052,0.00146,0.00594
1403636625.665534734725952,0.00334,0.00012,0.00001,0.00043,0.00073,0.00147,0.00611
1403636625.715390205383301,0.00373,0.00013,0.00045,0.00042,0.00091,0.00142,0.00705
1403636625.765242576599121,0.00354,0.00013,0.00063,0.00042,0.00026,0.00141,0.00639
1403636625.815132617950439,0.00445,0.00013,0.00046,0.00042,0.00005,0.00142,0.00693
1403636625.864993810653687,0.00374,0.00012,0.00062,0.00042,0.00000,0.00136,0.00627
1403636625.914874553680420,0.00479,0.00013,0.00074,0.00039,0.00500,0.00138,0.01243
1403636625.964769363403320,0.00460,0.00013,0.00046,0.00050,0.00004,0.00131,0.00705
1403636626.014770984649658,0.00403,0.00013,0.00027,0.00051,0.00000,0.00133,0.00627
1403636626.064773321151733,0.00442,0.00014,0.00018,0.00045,0.00000,0.00134,0.00652
1403636626.114659547805786,0.00406,0.00013,0.00046,0.00044,0.00000,0.00138,0.00647
1403636626.164557218551636,0.00361,0.00013,0.00026,0.00042,0.00035,0.00162,0.00639
1403636626.214507341384888,0.00473,0.00013,0.00024,0.00051,0.00136,0.00142,0.00839
1403636626.264563798904419,0.00329,0.00013,0.00028,0.00073,0.00099,0.00135,0.00677
1403636626.314718723297119,0.00310,0.00013,0.00018,0.00089,0.00076,0.00136,0.00642
1403636626.364522695541382,0.00414,0.00013,0.00027,0.00065,0.00148,0.00148,0.00816
1403636626.414533853530884,0.00344,0.00014,0.00004,0.00080,0.00004,0.00143,0.00588
1403636626.464497804641724,0.00333,0.00014,0.00013,0.00071,0.00319,0.00148,0.00897
1403636626.514406681060791,0.00326,0.00013,0.00072,0.00097,0.00338,0.00146,0.00993
1403636626.564352035522461,0.00329,0.00014,0.00002,0.00122,0.00511,0.00140,0.01119
1403636626.614145517349243,0.00317,0.00014,0.00025,0.00203,0.00168,0.00139,0.00866
1403636626.664077997207642,0.00316,0.00014,0.00007,0.00222,0.00028,0.00142,0.00730
1403636626.713979959487915,0.00318,0.00015,0.00020,0.00223,0.00035,0.00136,0.00746
1403636626.763855218887329,0.00311,0.00015,0.00004,0.00221,0.00204,0.00143,0.00897
1403636626.813786745071411,0.00312,0.00014,0.00001,0.00220,0.00003,0.00137,0.00687
1403636626.863698959350586,0.00317,0.00014,0.00040,0.00214,0.00090,0.00143,0.00818
1403636626.913662672042847,0.00310,0.00015,0.00004,0.00229,0.00238,0.00142,0.00938
1403636626.963647365570068,0.00310,0.00014,0.00001,0.00240,0.00049,0.00140,0.00754
1403636627.013642311096191,0.00311,0.00014,0.00001,0.00237,0.00004,0.00142,0.00710
1403636627.063687562942505,0.00311,0.00014,0.00004,0.00224,0.00287,0.00142,0.00982
1403636627.113701581954956,0.00311,0.00015,0.00001,0.00267,0.00448,0.00145,0.01188
1403636627.163587808609009,0.00291,0.00015,0.00001,0.00326,0.00031,0.00143,0.00807
1403636627.213423490524292,0.00297,0.00015,0.00001,0.00332,0.00073,0.00142,0.00861
1403636627.263184785842896,0.00306,0.00015,0.00001,0.00328,0.00122,0.00138,0.00911
1403636627.313142299652100,0.00301,0.00016,0.00001,0.00353,0.00036,0.00139,0.00847
1403636627.363177776336670,0.00298,0.00015,0.00102,0.00315,0.00107,0.00137,0.00973
1403636627.413185834884644,0.00296,0.00016,0.00003,0.00324,0.00002,0.00136,0.00777
1403636627.463207960128784,0.00400,0.00015,0.00006,0.00327,0.00001,0.00143,0.00893
1403636627.513242006301880,0.00348,0.00015,0.00171,0.00300,0.00058,0.00145,0.01036
1403636627.563236951828003,0.00394,0.00016,0.00004,0.00303,0.00002,0.00139,0.00857
1403636627.613181114196777,0.00326,0.00016,0.00006,0.00298,0.00018,0.00144,0.00809
1403636627.663087129592896,0.00325,0.00014,0.00003,0.00301,0.00058,0.00148,0.00849
1403636627.712952136993408,0.00428,0.00015,0.00009,0.00283,0.00102,0.00142,0.00978
1403636627.762870788574219,0.00357,0.00015,0.00003,0.00282,0.00071,0.00147,0.00877
1403636627.812862157821655,0.00346,0.00015,0.00041,0.00293,0.00070,0.00146,0.00911
1403636627.862827539443970,0.00348,0.00016,0.00006,0.00275,0.00069,0.00144,0.00858
1403636627.912860393524170,0.00347,0.00015,0.00004,0.00287,0.00036,0.00144,0.00833
1403636627.962952136993408,0.00329,0.00016,0.00047,0.00261,0.00043,0.00142,0.00837
1403636628.013207674026489,0.00333,0.00015,0.00088,0.00227,0.00487,0.00143,0.01293
1403636628.063481330871582,0.00323,0.00016,0.00008,0.00310,0.00034,0.00140,0.00830
1403636628.113729715347290,0.00323,0.00015,0.00153,0.00302,0.00114,0.00148,0.01055
1403636628.163824081420898,0.00331,0.00016,0.00001,0.00319,0.00003,0.00147,0.00817
1403636628.213857173919678,0.00326,0.00015,0.00021,0.00286,0.00003,0.00143,0.00794
1403636628.263797760009766,0.00435,0.00015,0.00152,0.00268,0.00086,0.00145,0.01101
1403636628.313767433166504,0.00353,0.00015,0.00021,0.00256,0.00075,0.00149,0.00869
1403636628.363727092742920,0.00373,0.00015,0.00032,0.00214,0.00016,0.00140,0.00791
1403636628.413679838180542,0.00340,0.00015,0.00046,0.00206,0.00063,0.00157,0.00827
1403636628.463596820831299,0.00327,0.00015,0.00026,0.00198,0.00038,0.00136,0.00741
1403636628.513556480407715,0.00311,0.00015,0.00005,0.00224,0.00000,0.00143,0.00699
1403636628.563514709472656,0.00308,0.00014,0.00030,0.00215,0.00119,0.00141,0.00827
1403636628.613499879837036,0.00378,0.00014,0.00031,0.00226,0.00139,0.00148,0.00935
1403636628.663483858108521,0.00331,0.00014,0.00030,0.00237,0.00020,0.00146,0.00779
1403636628.713458538055420,0.00324,0.00016,0.00004,0.00239,0.00374,0.00147,0.01103
1403636628.763436555862427,0.00325,0.00015,0.00009,0.00263,0.00002,0.00146,0.00760
1403636628.813418388366699,0.00334,0.00015,0.00005,0.00266,0.00089,0.00145,0.00856
1403636628.863405942916870,0.00322,0.00015,0.00014,0.00260,0.00238,0.00147,0.00996
1403636628.913402080535889,0.00316,0.00015,0.00004,0.00274,0.00127,0.00139,0.00875
1403636628.963400602340698,0.00314,0.00015,0.00001,0.00264,0.00055,0.00137,0.00786
