# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403636897.705916881561279,0,12,0,0,5
1403636897.754704236984253,10,27,0,10,6
1403636897.804171800613403,9,6,6,0,7
1403636897.854174852371216,9,1,6,0,8
1403636897.904336214065552,7,1,5,1,9
1403636897.954821825027466,7,3,4,0,10
1403636898.004369735717773,6,3,3,0,11
1403636898.053307056427002,3,3,3,0,11
1403636898.102858543395996,3,3,2,0,11
1403636898.152211427688599,3,1,1,0,11
1403636898.201115608215332,4,1,1,2,11
1403636898.251063823699951,3,1,1,0,11
1403636898.300868749618530,3,1,1,0,11
1403636898.351544857025146,19,0,1,18,11
1403636898.401392221450806,22,3,17,3,11
1403636898.451287508010864,23,2,19,1,11
1403636898.501169204711914,22,3,19,2,11
1403636898.551123380661011,23,3,18,5,11
1403636898.601063489913940,22,2,22,0,11
1403636898.651011943817139,32,5,19,13,11
1403636898.701039552688599,37,1,30,5,11
1403636898.751008272171021,33,0,30,0,11
1403636898.801058053970337,33,2,29,3,11
1403636898.851007938385010,32,2,31,0,11
1403636898.950963020324707,32,2,28,3,11
1403636899.000870704650879,36,1,29,4,11
1403636899.050791501998901,34,0,30,1,11
1403636899.100603103637695,32,0,29,2,11
1403636899.150436878204346,31,2,29,0,11
1403636899.200284004211426,30,0,26,0,11
1403636899.250190019607544,26,0,22,1,11
1403636899.300122499465942,24,2,21,0,11
1403636899.350083589553833,23,1,19,0,11
1403636899.400116682052612,21,2,17,0,11
1403636899.450057744979858,17,1,15,0,11
1403636899.500108242034912,17,2,15,1,11
1403636899.550422668457031,23,2,16,7,11
1403636899.600465059280396,26,0,23,3,11
1403636899.650519847869873,25,1,24,0,11
1403636899.700548410415649,25,1,24,0,11
1403636899.750602245330811,29,0,23,5,11
1403636899.850651502609253,28,2,25,0,11
1403636899.900673389434814,28,3,25,0,11
1403636899.950834751129150,34,1,25,9,11
1403636900.000913381576538,34,0,34,0,11
1403636900.050963640213013,35,4,34,1,11
1403636900.101035833358765,39,0,35,4,11
1403636900.151061534881592,38,1,37,0,11
1403636900.201079368591309,38,0,37,0,11
1403636900.251035928726196,44,0,35,7,11
1403636900.301037788391113,46,1,39,3,11
1403636900.351039171218872,45,0,41,1,11
1403636900.401050090789795,44,2,42,2,11
1403636900.451039552688599,44,0,44,0,11
1403636900.501035451889038,47,1,44,3,11
1403636900.551008462905884,48,2,47,1,11
1403636900.601001024246216,48,0,47,0,11
1403636900.651005268096924,48,0,46,0,11
1403636900.700988531112671,48,2,46,1,11
1403636900.750967502593994,48,6,47,1,11
1403636900.800944805145264,48,0,48,0,11
1403636900.850894927978516,48,0,47,1,11
1403636900.900902748107910,48,1,47,0,11
1403636900.950913667678833,48,0,46,1,11
1403636901.000917673110962,48,0,47,1,11
1403636901.050924777984619,48,2,48,0,11
1403636901.100928783416748,48,0,47,0,11
1403636901.150973558425903,48,0,47,0,11
1403636901.200979948043823,47,0,46,0,11
1403636901.251019477844238,47,0,44,0,11
1403636901.301041841506958,47,4,44,1,11
1403636901.351043224334717,47,3,43,2,11
1403636901.401077270507812,48,0,43,1,11
1403636901.451089620590210,48,3,42,2,11
1403636901.501091241836548,47,5,44,1,11
1403636901.551082372665405,45,0,43,1,11
1403636901.601089000701904,45,2,44,0,11
1403636901.651110410690308,44,0,43,1,11
1403636901.701114416122437,44,0,44,0,11
1403636901.751077651977539,44,1,44,0,11
1403636901.801045179367065,45,0,43,1,11
1403636901.851031303405762,46,0,43,1,11
1403636901.901005268096924,47,8,44,2,11
1403636901.950995445251465,50,6,46,4,11
1403636902.000981569290161,50,1,50,0,11
1403636902.050970077514648,50,3,49,0,11
1403636902.100970983505249,50,4,49,0,11
