# timestamp (sec),slam_feats_in_state,msckf_feats_used,slam_feats_updated,slam_feats_delayed_init,clones
1403636897.651822566986084,0,9,0,0,5
1403636897.702986717224121,14,24,0,14,6
1403636897.756561517715454,13,15,12,0,7
1403636897.807561397552490,13,2,4,0,8
1403636897.857892751693726,12,0,1,0,9
1403636897.908617496490479,4,2,1,0,10
1403636897.959041595458984,1,1,1,0,11
1403636898.009041547775269,1,0,0,0,11
1403636898.058952331542969,1,2,0,0,11
1403636898.108842134475708,0,1,0,0,11
1403636898.158842086791992,0,0,0,0,11
1403636898.208807945251465,0,1,0,0,11
1403636898.258021116256714,0,1,0,0,11
1403636898.307205438613892,10,0,0,10,11
1403636898.357969522476196,29,0,10,19,11
1403636898.407652616500854,29,6,28,0,11
1403636898.457556962966919,30,6,28,1,11
1403636898.507332801818848,35,3,28,7,11
1403636898.557488679885864,38,8,35,3,11
1403636898.607415437698364,41,5,31,7,11
1403636898.657357454299927,40,2,36,0,11
1403636898.707404851913452,40,7,35,4,11
1403636898.757211923599243,38,1,37,0,11
1403636898.807121276855469,38,6,37,1,11
1403636898.856968402862549,41,1,37,3,11
1403636898.906732082366943,42,20,40,1,11
1403636898.956664085388184,38,2,37,1,11
1403636899.006510257720947,38,3,36,2,11
1403636899.056170225143433,38,3,36,2,11
1403636899.105775833129883,42,4,34,7,11
1403636899.155483007431030,43,3,40,1,11
1403636899.205060005187988,40,6,35,1,11
1403636899.254605293273926,40,8,31,5,11
1403636899.304558753967285,37,7,31,6,11
1403636899.354546070098877,34,3,29,3,11
1403636899.404564857482910,36,1,27,4,11
1403636899.454510927200317,28,6,25,0,11
1403636899.504297494888306,23,4,21,1,11
1403636899.554092884063721,22,0,20,1,11
1403636899.603969573974609,22,0,20,0,11
1403636899.653842687606812,22,5,20,1,11
1403636899.703819990158081,20,3,20,0,11
1403636899.753765344619751,25,2,19,5,11
1403636899.803693294525146,26,6,24,1,11
1403636899.853723764419556,28,8,23,4,11
1403636899.903743267059326,33,8,25,5,11
1403636899.953670978546143,31,1,27,0,11
1403636900.003489494323730,31,2,25,3,11
1403636900.053469657897949,33,7,28,5,11
1403636900.103437900543213,33,3,29,2,11
1403636900.153403043746948,33,2,30,1,11
1403636900.203424453735352,30,4,28,1,11
1403636900.253421783447266,30,4,29,0,11
1403636900.303404092788696,32,1,28,3,11
1403636900.353376865386963,34,5,31,2,11
1403636900.403269767761230,37,3,33,4,11
1403636900.453228950500488,40,0,32,4,11
1403636900.503195762634277,41,3,34,2,11
1403636900.553139448165894,38,2,35,1,11
1403636900.603124380111694,35,2,34,0,11
1403636900.653036832809448,42,4,34,7,11
1403636900.702998876571655,45,10,40,4,11
1403636900.752982378005981,50,3,44,5,11
1403636900.802972793579102,49,3,48,0,11
1403636900.852924346923828,49,2,47,0,11
1403636900.902901887893677,47,3,46,0,11
1403636900.952920198440552,47,6,46,1,11
1403636901.002908229827881,46,1,45,1,11
1403636901.052901506423950,46,0,46,0,11
1403636901.102889299392700,45,1,44,1,11
1403636901.152851104736328,46,5,44,1,11
1403636901.202831983566284,46,3,43,0,11
1403636901.252828359603882,44,6,41,0,11
1403636901.302844285964966,44,11,41,2,11
1403636901.352837324142456,49,3,40,6,11
1403636901.402909517288208,50,4,44,1,11
1403636901.452972173690796,47,3,45,0,11
1403636901.503002882003784,48,2,43,3,11
1403636901.553036689758301,49,5,46,1,11
1403636901.603029727935791,47,2,46,0,11
1403636901.653061151504517,50,4,46,3,11
1403636901.703066349029541,49,6,48,0,11
1403636901.753042697906494,49,7,47,1,11
1403636901.803013086318970,49,4,47,1,11
1403636901.853006362915039,49,10,47,1,11
1403636901.902970075607300,49,14,48,1,11
1403636901.952960729598999,50,4,47,1,11
1403636902.002946615219116,49,3,47,0,11
1403636902.052945852279663,48,7,45,1,11
1403636902.102947711944580,49,1,45,2,11
1403636902.152931690216064,48,2,46,0,11
1403636902.202925205230713,48,6,44,2,11
1403636902.252901792526245,47,2,43,2,11
1403636902.302889585494995,47,7,44,1,11
1403636902.352886676788330,46,2,44,1,11
1403636902.402903556823730,47,1,42,3,11
1403636902.452936410903931,49,4,44,2,11
1403636902.502958536148071,46,11,42,0,11
1403636902.553042888641357,46,3,40,2,11
1403636902.603104591369629,44,0,39,2,11
1403636902.653033494949341,47,5,39,4,11
1403636902.702960968017578,44,5,39,1,11
1403636902.752800464630127,45,0,37,3,11
1403636902.802735090255737,45,3,40,4,11
1403636902.852611064910889,44,3,44,0,11
1403636902.902576208114624,47,6,43,3,11
1403636902.952618122100830,47,1,44,1,11
1403636903.002645254135132,48,1,44,1,11
1403636903.052628517150879,48,12,45,2,11
1403636903.102615356445312,47,9,46,0,11
1403636903.152603149414062,46,2,44,1,11
1403636903.202616453170776,46,4,45,1,11
1403636903.252627134323120,49,4,45,3,11
1403636903.302622795104980,48,7,46,1,11
1403636903.352610588073730,47,0,44,2,11
1403636903.402590036392212,49,4,43,3,11
1403636903.452576398849487,47,5,44,0,11
1403636903.502568721771240,46,6,44,1,11
1403636903.552561044692993,45,0,45,0,11
1403636903.602543354034424,42,1,42,0,11
1403636903.652522802352905,48,11,42,6,11
1403636903.702501296997070,49,10,46,1,11
1403636903.752503633499146,48,2,44,0,11
1403636903.802525043487549,46,4,42,1,11
1403636903.852536201477051,46,2,42,3,11
1403636903.902527570724487,48,2,44,3,11
1403636903.952518224716187,48,0,47,0,11
1403636904.002507448196411,48,0,46,2,11
1403636904.052497863769531,49,2,47,1,11
1403636904.102487802505493,48,4,46,1,11
1403636904.152482509613037,48,6,45,1,11
1403636904.202483892440796,45,1,40,0,11
1403636904.252464771270752,45,9,38,3,11
1403636904.302453517913818,45,11,41,3,11
1403636904.352413415908813,48,2,41,5,11
1403636904.402367115020752,49,4,45,1,11
1403636904.452347040176392,48,4,46,1,11
1403636904.502267360687256,48,2,45,2,11
1403636904.552234649658203,48,0,47,0,11
1403636904.602205276489258,46,0,46,0,11
1403636904.652207136154175,44,6,43,1,11
1403636904.702205896377563,46,8,44,2,11
1403636904.752201318740845,48,4,46,2,11
1403636904.802192211151123,48,2,47,1,11
1403636904.852178812026978,48,7,47,1,11
1403636904.902164459228516,49,8,46,1,11
1403636904.952161312103271,49,3,46,1,11
1403636905.002152681350708,47,6,47,0,11
1403636905.052161216735840,49,2,46,3,11
1403636905.102159500122070,49,2,48,1,11
1403636905.152156829833984,48,1,48,0,11
1403636905.202146530151367,50,7,45,2,11
1403636905.252144813537598,50,2,47,0,11
1403636905.302160739898682,47,5,46,0,11
1403636905.352178812026978,47,5,46,0,11
1403636905.402189731597900,46,0,45,1,11
1403636905.452172279357910,47,6,46,1,11
1403636905.502163648605347,48,12,45,1,11
1403636905.552168369293213,50,4,45,2,11
1403636905.602158784866333,47,13,46,0,11
1403636905.652149438858032,47,0,45,2,11
1403636905.702109575271606,49,1,46,2,11
1403636905.752095937728882,50,3,47,1,11
1403636905.802103042602539,49,3,48,0,11
1403636905.852119207382202,48,3,48,0,11
1403636905.902117729187012,48,11,48,0,11
1403636905.952118635177612,48,6,48,0,11
1403636906.002140283584595,49,0,47,1,11
1403636906.052135705947876,50,7,48,1,11
1403636906.102114200592041,49,9,49,0,11
1403636906.152089118957520,50,3,49,1,11
1403636906.202058315277100,50,12,50,0,11
1403636906.252018451690674,50,1,49,0,11
1403636906.301968812942505,49,2,48,0,11
1403636906.351963281631470,48,2,47,1,11
1403636906.401940584182739,49,3,46,2,11
1403636906.451946020126343,47,2,46,0,11
1403636906.501906633377075,46,6,46,0,11
1403636906.551866292953491,46,5,45,0,11
1403636906.601831912994385,46,0,44,0,11
1403636906.651783227920532,45,4,43,0,11
1403636906.701727390289307,46,6,43,2,11
1403636906.751715183258057,48,0,44,3,11
1403636906.801733970642090,49,13,46,2,11
1403636906.851734876632690,48,1,48,0,11
1403636906.901732444763184,48,2,47,1,11
1403636906.951743841171265,49,5,48,1,11
1403636907.001744747161865,49,1,47,1,11
1403636907.051751136779785,49,2,48,0,11
1403636907.101757764816284,48,13,48,0,11
1403636907.151763677597046,47,5,46,0,11
1403636907.201759815216064,46,0,45,0,11
1403636907.251765727996826,43,2,42,0,11
1403636907.301770925521851,44,5,41,2,11
1403636907.351763248443604,42,0,41,1,11
1403636907.401762247085571,47,6,42,5,11
1403636907.451759338378906,47,0,46,1,11
1403636907.501749515533447,47,1,46,1,11
1403636907.551752567291260,49,2,47,2,11
1403636907.601750135421753,49,1,48,0,11
1403636907.651755809783936,48,3,45,0,11
1403636907.701753854751587,48,12,43,1,11
1403636907.751761436462402,46,3,40,0,11
1403636907.801760435104370,44,0,37,0,11
1403636907.851752996444702,44,3,36,5,11
1403636907.901751995086670,41,5,37,2,11
1403636907.951761960983276,41,0,34,1,11
1403636908.001768350601196,37,9,33,1,11
1403636908.051766872406006,34,0,29,2,11
1403636908.101762056350708,34,1,30,1,11
1403636908.151762247085571,34,0,29,4,11
1403636908.201773166656494,30,2,28,1,11
1403636908.251769781112671,36,0,26,9,11
1403636908.301761865615845,39,2,33,5,11
1403636908.351747989654541,39,1,37,1,11
1403636908.401729345321655,40,2,36,3,11
1403636908.451687812805176,47,5,38,7,11
1403636908.501672267913818,46,5,44,1,11
1403636908.551664590835571,45,0,45,0,11
1403636908.601666688919067,45,7,43,1,11
1403636908.651658535003662,47,5,43,2,11
1403636908.701645374298096,46,1,44,0,11
1403636908.751641511917114,46,2,42,2,11
1403636908.801639556884766,47,0,42,2,11
1403636908.851644515991211,44,3,41,0,11
1403636908.901638746261597,43,0,35,0,11
1403636908.951632499694824,39,1,35,0,11
1403636909.001638412475586,36,0,33,2,11
1403636909.051645517349243,38,4,31,6,11
1403636909.101677179336548,43,1,34,7,11
1403636909.151669979095459,42,1,41,0,11
1403636909.201661825180054,42,5,39,1,11
1403636909.251659393310547,44,1,39,4,11
1403636909.301664590835571,44,1,43,1,11
1403636909.351663827896118,42,1,41,0,11
1403636909.401656389236450,47,1,39,5,11
1403636909.451656818389893,46,5,41,1,11
1403636909.501662015914917,40,1,39,0,11
1403636909.551666021347046,41,2,36,3,11
1403636909.601677179336548,48,4,38,8,11
1403636909.651681661605835,45,3,44,0,11
1403636909.701684951782227,44,4,42,0,11
1403636909.751686334609985,44,0,42,1,11
1403636909.801699399948120,42,7,42,0,11
1403636909.851715564727783,43,5,39,3,11
1403636909.901718139648438,42,3,36,2,11
1403636909.951723814010620,49,2,36,7,11
1403636910.001729011535645,42,1,39,0,11
1403636910.051738262176514,39,1,37,1,11
1403636910.101755619049072,41,0,37,4,11
1403636910.151771783828735,44,1,40,3,11
1403636910.201782226562500,44,0,42,0,11
1403636910.251796483993530,44,3,42,1,11
1403636910.301804065704346,45,4,42,2,11
1403636910.351809501647949,45,0,41,0,11
1403636910.401792764663696,45,5,41,1,11
1403636910.451777696609497,42,0,40,2,11
1403636910.501762390136719,40,0,39,0,11
1403636910.551738739013672,44,3,39,4,11
1403636910.601724147796631,45,13,43,2,11
1403636910.651724576950073,44,3,43,0,11
1403636910.701729297637939,44,1,42,0,11
1403636910.751727581024170,44,1,42,2,11
1403636910.801731586456299,44,2,43,0,11
1403636910.851729154586792,42,2,40,1,11
1403636910.901730775833130,44,1,39,2,11
1403636910.951722860336304,43,1,40,0,11
1403636911.001716613769531,42,3,39,2,11
1403636911.051703691482544,42,4,37,2,11
1403636911.101707220077515,37,0,35,0,11
1403636911.151703834533691,37,0,35,1,11
1403636911.201644182205200,45,4,33,10,11
1403636911.251610994338989,45,1,41,0,11
1403636911.301583766937256,43,1,39,0,11
1403636911.351592063903809,41,1,34,1,11
1403636911.401621341705322,36,0,29,0,11
1403636911.451654195785522,32,1,29,0,11
1403636911.501653432846069,30,1,22,1,11
1403636911.551682710647583,29,0,19,1,11
1403636911.601693391799927,26,1,20,3,11
1403636911.651714801788330,23,3,20,1,11
1403636911.701737165451050,28,1,21,5,11
1403636911.751754045486450,26,1,25,0,11
1403636911.801781415939331,36,1,24,10,11
1403636911.851789236068726,37,0,31,2,11
1403636911.901772975921631,38,2,33,2,11
1403636911.951763153076172,37,2,33,3,11
1403636912.001750469207764,37,1,34,2,11
1403636912.051732301712036,37,0,35,2,11
1403636912.101736545562744,40,1,37,3,11
1403636912.151746273040771,36,0,36,0,11
1403636912.201748847961426,37,2,35,1,11
1403636912.251744270324707,39,2,36,2,11
1403636912.301737785339355,38,1,37,0,11
1403636912.351725339889526,37,2,32,2,11
1403636912.401705980300903,36,1,32,1,11
1403636912.451698541641235,33,1,31,1,11
1403636912.501706838607788,32,1,32,0,11
1403636912.551708221435547,33,1,30,1,11
1403636912.601706981658936,34,1,31,1,11
1403636912.651710987091064,38,1,29,6,11
1403636912.701735496520996,41,1,36,3,11
1403636912.751749992370605,40,0,38,1,11
1403636912.801743030548096,36,6,33,1,11
1403636912.851744413375854,36,0,32,2,11
1403636912.901731014251709,38,0,32,4,11
1403636912.951722145080566,39,0,34,3,11
1403636913.001719951629639,42,7,33,5,11
1403636913.051719188690186,42,6,37,3,11
1403636913.101711034774780,41,0,38,1,11
1403636913.151714324951172,40,2,37,1,11
1403636913.201718330383301,37,0,35,0,11
1403636913.251718044281006,39,0,35,2,11
1403636913.301720857620239,37,1,35,0,11
1403636913.351735115051270,38,0,34,2,11
1403636913.401743412017822,39,2,34,4,11
1403636913.451751470565796,42,1,37,4,11
1403636913.501759767532349,42,0,40,1,11
1403636913.551769256591797,47,3,39,7,11
1403636913.601774215698242,46,2,43,2,11
1403636913.651764631271362,47,7,45,1,11
1403636913.701761245727539,47,11,46,1,11
1403636913.751744985580444,47,5,45,0,11
1403636913.801740646362305,48,0,45,1,11
1403636913.851742506027222,45,0,41,0,11
1403636913.901722669601440,47,1,42,3,11
1403636913.951715707778931,44,1,44,0,11
1403636914.001698732376099,46,9,43,2,11
1403636914.051707744598389,45,1,45,0,11
1403636914.101699352264404,48,2,45,3,11
1403636914.151710987091064,49,2,48,1,11
1403636914.201712608337402,48,2,48,0,11
1403636914.251713037490845,48,5,46,1,11
1403636914.301708698272705,47,7,45,1,11
1403636914.351706027984619,47,8,46,1,11
1403636914.401701688766479,47,1,44,2,11
1403636914.451695442199707,48,0,44,2,11
1403636914.501702308654785,47,0,45,0,11
1403636914.551704168319702,47,6,44,2,11
1403636914.601692438125610,48,14,46,2,11
1403636914.651698350906372,48,0,48,0,11
1403636914.701703786849976,47,1,44,1,11
1403636914.751692533493042,50,1,45,3,11
1403636914.801703453063965,48,3,47,0,11
1403636914.851698875427246,49,4,47,1,11
1403636914.901682615280151,49,9,48,1,11
1403636914.951676368713379,47,8,45,0,11
1403636915.001670122146606,47,1,45,0,11
1403636915.051663160324097,44,0,44,0,11
1403636915.101663351058960,42,0,41,1,11
1403636915.151665449142456,46,2,42,4,11
1403636915.201649427413940,47,13,45,2,11
1403636915.251628398895264,50,5,46,3,11
1403636915.301616430282593,49,4,48,0,11
1403636915.351623773574829,46,4,45,1,11
1403636915.401652574539185,48,1,45,2,11
1403636915.451675176620483,48,2,45,1,11
1403636915.501706123352051,47,3,46,0,11
1403636915.551733732223511,46,4,46,0,11
1403636915.601739883422852,46,0,46,0,11
1403636915.651734590530396,44,1,42,1,11
1403636915.701730966567993,45,0,41,3,11
1403636915.751722335815430,44,3,42,1,11
1403636915.801693677902222,47,6,43,3,11
1403636915.851666212081909,45,4,44,1,11
1403636915.901664257049561,47,3,42,4,11
1403636915.951657056808472,50,0,46,3,11
1403636916.001647710800171,49,7,48,0,11
1403636916.051639795303345,47,3,45,0,11
1403636916.101634502410889,45,9,44,0,11
1403636916.151648759841919,46,10,44,2,11
1403636916.201632261276245,49,4,44,3,11
1403636916.251633405685425,48,2,45,1,11
1403636916.301630973815918,46,1,44,1,11
1403636916.351629495620728,46,2,43,1,11
1403636916.401637077331543,44,5,42,1,11
1403636916.451639890670776,47,5,42,4,11
1403636916.501642465591431,46,4,44,2,11
1403636916.551640033721924,44,1,44,0,11
1403636916.601642608642578,50,2,43,6,11
1403636916.651644945144653,49,3,47,0,11
1403636916.701654195785522,48,6,47,0,11
1403636916.751654148101807,47,6,46,1,11
1403636916.801680326461792,48,1,44,2,11
1403636916.851686000823975,47,1,45,1,11
1403636916.901702880859375,42,1,42,0,11
1403636916.951712131500244,40,3,38,1,11
1403636917.001724243164062,42,0,39,2,11
1403636917.051731824874878,45,9,40,5,11
1403636917.101739168167114,47,7,43,3,11
1403636917.151739358901978,46,0,44,0,11
1403636917.201744556427002,44,0,43,0,11
1403636917.251749992370605,43,1,43,0,11
1403636917.301754474639893,43,0,42,0,11
1403636917.351758956909180,44,1,42,1,11
1403636917.401759147644043,41,0,39,0,11
1403636917.451758384704590,40,0,38,0,11
1403636917.501764535903931,37,1,36,1,11
1403636917.551778793334961,35,3,34,0,11
1403636917.601782083511353,36,0,34,1,11
1403636917.651792526245117,40,0,35,5,11
1403636917.701810359954834,46,2,40,6,11
1403636917.751813411712646,45,0,45,0,11
1403636917.801818370819092,45,2,45,0,11
1403636917.851824760437012,47,5,45,2,11
1403636917.901828289031982,46,1,46,0,11
1403636917.951831340789795,45,2,45,0,11
1403636918.001835107803345,45,0,45,0,11
1403636918.051836967468262,45,0,45,0,11
1403636918.101842164993286,45,0,45,0,11
1403636918.151847124099731,44,0,44,0,11
1403636918.201855421066284,43,0,43,0,11
1403636918.251853942871094,43,0,42,1,11
1403636918.301865100860596,42,0,42,0,11
1403636918.351876974105835,42,0,42,0,11
1403636918.401885747909546,42,0,42,0,11
